group,CD47,CD52,CD3,CD45RA,CD7,CD194,CD45RO,CD279,CD62L,CD161,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD244,CD235ab,CD54,TCR,CD2,CD226,CD29,CD18,CD38,CD127,CD71,CD26,CD49d,CD99,CD82,CD224
healthy,-0.286513108240924,-0.171842077781286,-0.183087378466127,-0.266203463360199,-0.336346538394304,0.222454195550977,0.228767041916783,0.0840342263675187,-0.283010727772311,0.105218875342215,0.0605691528962013,-0.238459541234134,0.329676638986773,0.0622003511634775,0.18383139471758,-0.0275564534563822,0.1060170606163,0.022595466444767,0.106810032417976,-0.269836834215024,-0.0411149854490555,0.0005880814666726,0.116102263160252,-0.0222798475359678,-0.087429917760082,-0.301619828637605,-0.065419445933149,-0.1042592933047,0.0492273714444809,0.0635479515031604,0.0133772375489168,0.129857117719371
healthy,-0.0356421582188569,0.138438980544581,-0.249413184079101,-0.472116862240654,-0.339006412437036,0.206470753143597,0.585877360522864,0.0803490546732138,-0.389582935264501,0.218689156046266,0.109925366213702,-0.158850142841873,0.601522063979134,0.0666091708329138,0.142449026815573,0.309815597645319,0.130647087427527,-0.130802314978532,0.288298578043719,-0.369314021803385,0.204131417595064,0.188740459936225,0.161872758668562,0.204634087299038,-0.108098545178722,0.02179407796765,0.0211835522639182,0.165648467542551,0.31835537805295,0.412677204425651,0.275082742871059,0.47111297381099
healthy,-0.150326684117072,-0.141940082343976,-0.322543667073281,-0.502350113796942,-0.472385120298693,0.384034746239551,0.530081107353075,0.201270656120789,-0.218168738550636,0.206695332896733,0.170636395684567,-0.377920792819773,0.584964041172279,-0.0948322231895257,0.462447642029201,0.128549426833595,0.183822694650903,0.0395700436655021,0.324863221155719,-0.469223409069416,0.0997630012859236,0.296752404712733,0.267184212418766,0.115853426104216,-0.299815938200194,-0.170517324223097,0.178526974274126,-0.208897100128726,0.165441229105985,0.395912759323248,0.257988821274162,0.278944583016715
healthy,-0.141288724545341,0.047175590576348,-0.114387643428519,-0.282874121537193,-0.237628152346921,0.207746568004964,0.273802177514982,0.0654554317852554,-0.178848745121603,-0.0434884633588455,-0.0489022091735903,-0.260702839651638,0.307174436592704,0.190642273629019,0.0563351647177058,0.145116480499575,-0.0253194598921295,-0.0863729506780177,0.109735567961399,-0.123964286250044,0.0921462490821712,-0.0675216475506395,0.0223386891745752,0.135165019979523,-0.0802771122042867,-0.118418608408783,0.0724190174869014,-0.23405003805288,-0.0013034767123037,0.246894352186616,0.0925411050332373,0.11230811515595
healthy,0.121516272017101,0.329212078175608,0.0200943458532974,-0.269110901780882,-0.268434903841153,0.173135563135963,0.338700383691847,0.177023285619571,-0.600440572524116,0.178738630017189,0.0067144285421786,-0.138531406336973,0.408386205336382,0.139816306510068,0.131476517834272,0.16075703818502,0.0983816648932029,-0.155454620091288,0.188955552943418,-0.0425205739136395,0.287706283256545,0.160131010666857,0.185286023222318,0.154098242930685,-0.0880524415942659,0.0912504198479438,-0.058348066791009,0.155480478221711,0.11192344261177,0.243086906402715,0.0404980811168694,0.295559796695571
healthy,-0.0549997480568414,0.0473232450175975,-0.212790185562095,-0.543087519914787,-0.373804202436653,0.431410916957228,0.624266950156556,0.117658526439262,-0.0967158282219227,0.162802708395141,0.28795281090822,-0.33985755826814,0.65887935408926,0.235372049071927,0.337639029480862,0.376958981102964,0.201455931865099,-0.0068892054317745,0.378167153789888,-0.37356057707138,0.23847343451569,0.223836978374604,0.233587000624584,0.359885146679626,-0.406761373651434,-0.151736323530288,0.0504106545888863,-0.0280178051959507,0.16461085278647,0.472091816766975,0.419473460411369,0.379179714872905
healthy,-0.337206866631176,-0.207235281126135,-0.248569379502958,-0.192794404122123,-0.12126990943548,0.306214953962723,0.109724060243751,0.106197645963658,-0.0974003806773521,0.0994087553541087,0.133773357313794,-0.118231393890116,0.229832586048351,0.18381921123285,-0.0741928759472128,0.0741429667027304,0.0294404113481894,0.0,0.0508101063562378,-0.453697429579723,0.113468983466479,-0.171734813369636,-0.0887404986819604,0.0984389138384588,0.0481964974168817,-0.212857714115518,0.0,-0.0168528788818587,-0.089667440395849,-0.0717063774087584,-0.106308621665159,0.0005890777722285
mild,-0.329875294597268,-0.243266018062805,-0.291781383301051,-0.422367342308131,-0.640639550022226,0.2221737647653,0.455120568924735,0.137004525816013,-0.243894922661187,0.0924752326920163,0.565657830189906,-0.61405441268915,0.641076021184372,0.0183519922035579,0.33060501812803,0.454335589652708,0.483225286371234,-0.061256452786581,0.54245991595123,-0.423901548355365,0.242959938902191,0.543217646565266,0.423271992320098,0.479086860117751,-0.207282947061317,-0.387929673938282,0.138030470544004,-0.45287654724322,0.452555044767723,0.562777187784905,0.0857993438627155,0.152825673582372
mild,-0.105702939663849,0.0842224789091499,-0.0524395058426632,-0.322577147136422,-0.294287305038034,0.132367830448325,0.433672673211373,0.261540102639445,0.134018154446809,0.145311923479638,0.279786176233626,-0.129468249163187,0.561161732078315,0.318163218825051,0.206534380737284,0.28312392034765,0.133155006457934,-0.0063585668853666,0.24992588041176,-0.157201211665393,0.202051999393897,0.118593987551023,0.141122833769165,0.295518895546919,-0.200194027554774,-0.119352904928731,0.110513245477126,-0.13661739009545,0.392165432712506,0.246292949121332,0.207259489048312,0.258007241042944
mild,0.254188466613115,0.424820051653915,0.274414299904846,0.257187623031288,0.310890042556158,-0.108281604418798,-0.0307972212673649,0.0568258823779819,-0.140960456408886,0.0020539475558306,0.182947213984344,-0.0033523906525078,-0.0634848276788591,0.0720895371369891,0.0,0.133149368741476,0.119066402854142,-0.0176302423162904,0.150202747084017,0.136187529816347,0.176382738187098,-0.175340013577982,0.0,0.0,-0.0231069323440523,0.0613008928305409,-0.114336413941241,-0.109031488252526,-0.112834948159501,-0.0911032093246655,-0.0490982960465006,0.0328251994575496
