group,CD273,CD47,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CLEC15A,CD27,CD95,CD54,TCR,CD2,CD226,CD29,CD81,CD28,CD38,CD127,CD45,CD26,CD193,CD49d,CD305,CD158e1,CD99,CD82,CD101,CD224
healthy,0.103328226282058,0.138149685629456,0.278911919819712,-0.0149495246440491,-0.478461401585894,-0.150639295296174,0.335995241583352,0.529648485871523,0.672648846849909,-0.308226959818901,0.108904019311264,-0.0816363158433327,0.690635071625439,0.290874199037176,-0.128915853089233,0.405207687183091,0.0942987917925985,0.292897584723904,0.165694372373394,0.373739147505976,-0.095513161554421,-0.155478532603708,0.223637245292522,0.0763438631321321,0.0504211463146911,0.136273967100089,-0.248932747041997,0.0499630734105468,0.547527807051549,0.407881231640386,-0.150288539869774,0.527107286904648
healthy,0.0236672065781546,0.160710443085668,0.224833163669754,0.135854769639045,-0.0527923807933916,0.0225458503719588,0.204772048073746,0.0699827400687862,0.12879533001354,-0.432085586560782,0.0436128232539881,-0.0128722071643898,0.129442147903811,0.001403138117516,0.0876176797983175,0.227530992881283,0.104809201209932,0.0351262072486945,0.188903443038825,0.116234910460015,-0.162462449347603,0.171447479997743,0.147418979852191,0.12145910971953,0.0897695502253631,0.0720776422325543,0.0453471031546702,0.035772503264166,0.0694709274313448,0.053624826285665,0.0575338829827985,0.113301759044989
healthy,-0.0433573626009684,0.119115998863384,0.111542463450575,-0.112542888688475,-0.340882740810668,-0.186504538794686,0.169424894643112,0.0491100293157083,0.350683266613687,-0.50080849759666,0.171293500241266,-0.143499741907872,0.263701362762747,0.0173024991249022,-0.182079078627592,0.149706385304041,0.0295420553109981,0.263832883399989,0.0612487367427571,0.058088313130612,-0.276269425763436,0.276490504361072,0.0232512598118157,0.335605940050019,-0.0159845034619101,0.217407803905933,-0.179082202169803,-0.134998271126428,0.298631622757491,0.104995938106768,-0.152843748528885,0.181679322323035
healthy,-0.0240574977445876,0.158158985782495,0.256036240585915,-0.010356280099458,-0.184658485335453,-0.0153969945377861,0.0905149219474305,0.188115008707335,0.285222112100281,-0.437937405299942,-0.0140095263435638,-0.10762082093248,0.279008128204755,0.0693713421924315,-0.11137107248564,0.181165514484421,0.232250810939963,0.13778633997679,-0.0260671518284523,0.144821893965958,-0.083961296917941,0.131889797297261,0.0794366789198955,-0.0144661642357016,-0.0404603375281535,-0.13429716629404,-0.11002794893951,-0.0196081512009149,0.256540134023196,0.0299675551327951,0.129760174838111,0.252103643553817
healthy,0.0547599882095938,0.145837894285455,0.138463868557763,-0.0520613703798094,-0.123641992864493,-0.0872142096811884,0.122376702701942,-0.0114212368787114,0.142835308978535,-0.693839313530278,0.138200103675434,-0.116368520862164,0.150814760413798,0.128378240578982,-0.0971019233021395,0.181132375327233,0.225766188387962,0.0846182716687036,0.177153766488301,0.0917718913813037,-0.116290859253606,0.346056811236896,-0.0110459631791362,0.442437715384435,0.02537236708212,0.0125265277099802,-0.0765031328171776,0.0389588426372127,0.0681301869235293,-0.0458788706371089,0.0045972246989076,0.149535699305845
healthy,0.0820785897773118,0.31144264359418,0.377454590712885,0.156487830970795,-0.022559176969207,0.049424966037384,0.123674332958713,0.113152329823583,-0.012608239492902,-0.712182592883679,-0.117832210205343,0.0211829823650458,-0.0104340106472958,-0.126275217324822,0.0345399700365286,0.159671494502621,0.0066500488674321,0.152998742280355,0.222386476258779,0.107362475043393,0.002759777758652,0.15909991872032,0.198635417055295,0.144692703207568,0.0249600340655524,-0.231351690838419,-0.0704424834477592,0.0981479884453212,-0.028156358829263,-0.03120052777139,-0.0834547211272165,0.103710196188942
healthy,0.0,-0.14774547278303,-0.0992453095022246,-0.342608930346184,-0.271925654371488,-0.264968513308612,0.29877060347679,0.0819290370551768,0.273482405038113,-0.296288194977299,-0.0277122000861839,-0.126141336062901,0.0655966979560546,0.0555265725405268,-0.212615738916857,0.230553144245424,0.113901093568866,-0.112986536573206,-0.03055000774297,0.232502413431964,-0.232508853373191,0.135694210552292,-0.184224158686617,0.3746172496833,0.0,0.15219925094391,-0.117838307141005,0.0,0.124576028157165,0.280462334020842,-0.273106500821426,-0.0013239374173822
mild,0.0053990955937006,-0.0214386330466519,-0.0885584142386398,-0.331857441832568,-0.569483034483658,-0.358719596612935,0.416165427357973,0.310678076223015,0.501685349422235,-0.466732347538434,0.0991430233291339,-0.460530532062723,0.477076814406266,0.171891008285222,-0.493072646807103,0.124936397231991,0.390535383242776,0.399873003450043,-0.210112796952756,-0.0102242216174635,-0.296015713095886,0.0107832717545908,-0.127052061161411,-0.0280772970704344,-0.0802048974199345,0.180883583679807,-0.589671196466994,-0.0160364564077311,0.401571853777831,0.229243809023722,-0.0998072127954946,0.287935679511453
mild,0.136111875133946,0.285146911302473,0.333830961606299,0.0840756096908105,-0.395566047839087,-0.0870590039903258,0.245949642507867,0.278505374238417,0.488164672593173,-0.621839109679501,0.223114042019797,-0.116170216904827,0.382442768455626,0.211544763017274,-0.170006873303871,0.430989912636157,0.222970151062352,0.21552757461723,0.0074224340721744,0.179016048505601,-0.229956706688185,0.200715210291924,0.303054884097881,0.198333039083491,0.0822174634551946,-0.0286381608239391,-0.0820467970587273,0.0433177547042079,0.337586169961076,0.222973226444262,0.0141377242193453,0.342011138888487
mild,0.0,-0.166928832256487,-0.0644410096478571,-0.474671318831855,-0.409556021110626,-0.212781346182297,0.232678628065309,0.0562604639980548,0.332836013527714,-0.179066064704409,0.138413308487838,-0.128759780823726,0.309018993808313,0.0632734871304254,-0.648882927597981,-0.0514595720190651,0.133317170833618,0.0,-0.0133627662767758,-0.180800032076272,-0.154100574438521,0.357432214282849,-0.146995087750646,0.156130452580177,0.0657935934965473,0.169783193452251,-0.0464313191795738,0.0,0.215264580028804,0.318525026576968,-0.04597858269379,0.234939846094155
