group,CD47,CD52,CD3,CD56,CD45RA,CD7,CD49f,CD194,CD4,CD44,CD45RO,CD5,CD62L,CD197,CLEC15A,CD27,CD95,CD57,CD244,CD54,CD62,TCR,CD41,CD226,CD49b,CD81,CD18,CD28,CD38,CD45,CD26,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,-0.198133043513897,-0.373688913346985,-0.208163097713103,0.0080373915263247,0.201589332562144,0.0057788336006616,-0.0255063174030742,-0.347794123459109,-0.274779930633872,-0.211559996180936,-0.503980423255057,-0.390850777305959,0.0590731965104626,0.0397367307458664,-0.0065104428699524,-0.220133281643851,-0.468023805788189,-4.87751482967193e-05,-0.0135783176268976,-0.0543011629565407,0.22684388860496,-0.209105630530702,0.103988980468573,0.168294574632882,0.0292164217555659,-0.0149392355782694,-0.127600764699087,-0.401203109022398,-0.0292011216603682,-0.376063867659222,0.114200751457186,-0.146177108085665,0.0272089877040119,-0.430351746502614,-0.0395740833897913,-0.324303649923644,-0.234562734955447
healthy,0.122024476632803,0.12105287871194,0.246402525916095,0.0228930292468889,0.308139601716065,0.15854024368969,-0.0962390939260346,-0.0703094759871076,0.0293580043862523,-0.162461397820427,-0.324372700560652,0.114711673030032,-0.262769138836844,0.168392777828443,0.0191660302434228,0.107482690974118,-0.219123675992983,-0.0237072591692725,-0.0068736878929421,-0.100038742735179,0.217260629334359,0.236324452601046,0.221392286852403,-0.0353636430293635,0.216284100011869,0.225346719149712,-0.123904951568695,-0.164877596413259,-0.0130953041556911,0.0952539142935065,-0.244513412977281,-0.15324470232996,0.107107429438689,-0.314554072829026,-0.0571310063115715,-0.286742749145491,-0.191401706595744
healthy,0.102042888637878,0.0539319938022828,0.322843942478094,0.154757252372372,0.669656152898243,0.451346646258223,-0.355415448715454,-0.335867321864259,0.0332677023406444,-0.342041089780619,-0.650359881824578,0.107090115243768,-0.173838031159033,0.269170755594316,-0.0916033891841216,0.218586628042061,-0.593768001786612,0.118342919959792,0.132720699895338,-0.206510662483137,0.122499968868986,0.373634770931641,0.0653422515514161,-0.155772591065712,0.107600408738601,0.0748487333026091,-0.279789063215773,-0.214285920612217,0.563525876150952,0.106963257841335,-0.0265780626225269,-0.375673234206457,0.42934611933453,-0.550871192367062,-0.271373567965019,-0.590554109997978,-0.409224413507627
healthy,0.236276895835854,0.270643148554574,0.256648260391255,0.153571820677359,0.162670347651442,0.189520329591868,0.0817541200900967,-0.197529961839345,0.292590384261869,-0.0112273137479762,0.0552944356973174,0.349522316413981,-0.475216923715721,0.0503691760168675,-0.0348378688693345,0.287472446397832,-0.148426751784694,0.0854197846369668,0.167536395560564,-0.0833349227665187,0.0993774593545404,0.159598169470091,0.273534457438198,0.0928255253062075,0.185614875473982,0.188604899069533,-0.0151012661388204,-0.0185775972051204,0.124655246031267,0.278581117745796,0.0681412361031069,-0.214834489926455,0.0945775009151219,-0.0256724909910781,-0.0263929327678132,-0.276185370889155,-0.0315591241296544
healthy,0.194193846910837,0.239698012564232,0.188208768601187,0.152225441823625,0.133355060604732,0.0897781615964956,-0.0265906338681679,-0.114659216746569,0.134611263791149,-0.0530731808347801,-0.107997036159099,0.133197109398278,-0.751001286841388,0.179260495689677,0.0280070817995753,-0.0196299565493751,-0.120709137171665,0.105698857115886,0.106312820978203,-0.018326468343528,0.109161267011063,0.135206545071285,0.0683767307904843,0.0517137285392998,0.11809418629485,0.267151429965378,-0.05124699199679,0.0255276637633386,0.130750666143133,0.104393165224448,0.175354408604966,-0.0838543298209312,0.0727067257454399,-0.204293490833553,0.0738191758097849,-0.245725777615726,-0.0921366673329713
healthy,0.387533782585115,0.311619261036154,0.401783456834788,0.0164762606374415,0.488681314289675,0.392805972010983,-0.0633261122578194,-0.306480055435206,0.237831141488203,-0.229357166528883,-0.512919255985484,0.146726427369189,-0.549286232326851,0.213540298810813,-0.164044926396124,0.229196815112649,-0.550902808359297,-0.0973115443385867,-0.0789921349283637,-0.228083495895759,0.198097047141569,0.382286927899611,0.181759616432546,-0.103951005380859,0.199860474153795,0.341924663892151,-0.407506762072399,-0.0598307318812151,0.308303635941358,0.189221709203855,0.171467268517199,-0.257313440799145,0.238335060827334,-0.411038162396976,-0.167557638985348,-0.416232513825382,-0.268232477093084
healthy,-0.0339986900355979,-0.111983770219612,-0.142187647183403,0.0994087553541087,-0.108229233781801,-0.148133612640397,0.0309164648212521,0.250862379486499,-0.131998372234765,0.0,0.244811894822549,-0.204652473993125,-0.305286605281079,-0.0082436528830236,0.168534993942689,-0.132147196250171,0.317426186284302,0.101031854869081,0.249325241525461,0.260589168717687,0.213150830798296,-0.183817575078791,0.0007761470194285,0.261565658384838,0.134398152674575,-0.0829214495880614,0.0809817665567617,0.141378527983288,-0.000231264808198,-0.0232915308891566,0.0193792322625021,0.200814550629157,0.112041897610244,0.0651775217388374,0.0,0.156810624521149,0.138643023862298
mild,-0.179171859787818,-0.239653635779683,-0.10340625743401,0.42854219514056,0.0101517543793731,-0.222932665887919,-0.0260296129403831,-0.334491168840939,-0.0022320542359783,0.0093051667164889,0.0604481821196077,-0.0543085777016725,-0.31835564906385,-0.0677571492283301,0.605845279686579,-0.466173033991295,0.0662852681355256,0.360924839154595,0.551104301456288,0.418501150157412,0.0541142515098533,-0.156275875487833,0.0831149572833487,0.43589461014773,0.120605462077507,0.259500570081576,0.357353855855372,-0.412774476381224,-0.0140105140398443,0.0471190261969141,-0.132000734934726,0.524246321199083,-0.0338464314051448,0.13240087034987,0.046561892132891,-0.14987413302871,-0.179990908615032
mild,0.4171948950506,0.377760607132,0.229687906671676,0.180955618242143,0.0355800205132102,0.231147129742488,0.0838241088037529,0.021086304221126,0.238494762549501,0.0257454146696885,0.0368986115928065,0.306727672785587,-0.584176576909682,0.146229664769801,0.101106934131172,0.034747407569765,-0.0329634074855002,0.0278937789598692,0.0980299451193855,0.0602094817251096,0.139690909860407,0.0303477055638124,0.100314094338073,0.0769300667866603,0.177281649668931,0.0536143987915116,-0.0552196219071512,0.047783077314863,0.0522631145488843,0.349586345283039,0.264979724256855,-0.262026139059192,0.0835064960431999,-0.0234317596687721,0.094526070181682,-0.0804630153315544,0.0371794775961231
mild,0.268962278377239,0.332131428011985,0.438171339956472,-0.110228518829579,0.467943542258669,0.33630468401221,-0.0744793977776452,-0.298288345736846,0.0673991432887814,0.0,-0.495508364525201,0.122657334702384,0.055089581239154,-0.0677802693424121,0.012552517087228,0.139839768723761,-0.323462461171489,0.0665689153676981,0.0367106120356146,-0.0147883061950822,-0.0509102146868958,0.378611447334405,-0.206799915834263,-0.224712174514546,-0.0800961996749558,0.0377949943151795,0.0,0.0009110028537608,0.044932549845463,0.0660441308750705,-0.128576654484563,-0.178278794127295,0.10827788648212,-0.133877907338022,0.0,-0.133392944276817,-0.153942899488738
