group,CD47,CD52,CD3,CD56,CD45RA,CD7,CD49f,CD194,CD45RO,CD279,CD62L,CD161,CLEC15A,CD27,CD95,CD278,CD58,CD244,TCR,CD41,CD49b,CD28,CD127,CD45,CD26,CD36,CD49d,CD99,CD150,CD82
healthy,0.115684620739098,-0.0865201556829199,0.0992576303492866,0.0665460731745765,0.0426470624801684,0.167348168419189,0.0302180784604349,-0.508535681965635,-0.245364614889203,-0.0608629034279256,0.266233656673707,-0.0011200190530357,0.0490275383495415,0.17248194566445,-0.489149063789455,-0.267684005507488,-0.148770801619882,0.0109194949690342,0.133507356032647,-0.0442311806866726,-0.0391478066351276,-0.0654353649277774,0.488271292926738,-0.0044721040721041,0.244829409887706,0.0424445812302549,-0.0329398383772983,-0.0443626522160516,-0.0484404805648162,0.0229393892978308
healthy,0.141640983912185,0.0179725969437879,0.223593679843951,0.0791628363324142,0.258556473551705,0.412811036113841,-0.0174735737783949,-0.148882594433858,-0.301743467394703,-0.0928634608308773,0.488658312218411,-0.190386859924157,-0.185458441472181,0.292273767205809,-0.376436669101606,0.0077085634552921,-0.142786500129054,-0.0756980352787424,0.295187878721934,-0.0509544523302628,0.0070465257481513,0.027909801506121,0.219314286460462,0.0284131367579407,-0.0015264939452314,0.0789365511229764,-0.237205812597977,-0.12264258429112,-0.0773131622355091,0.0677066318556273
healthy,0.109077590626183,0.124762466034657,0.270115975597968,-0.136638151795401,0.433963755446162,0.426044118859535,-0.147907973370288,-0.305306698980803,-0.434912444358931,-0.208017440117628,0.380320715953446,-0.181905652558994,-0.161038385134548,0.371374421592479,-0.496231252248448,0.158602850230565,-0.439767247957616,-0.189374284692815,0.423481188009986,-0.0384055928819686,-0.14946268131008,0.0199796338753258,0.172787817255801,0.107696241115033,0.174793657839184,-0.132751237422024,-0.143807657710618,-0.294613508527766,-0.257352555252371,-0.114788684508073
healthy,-0.0024589563516177,-0.0887238939228039,-0.0471518963248015,0.0411458593554606,0.0845165693483374,0.156671010099233,0.0108687178242024,-0.229832486958261,-0.124630123825247,-0.0740536880936168,0.393178891592361,0.0512588993154094,0.172971836105164,0.0846740349060076,-0.203280917094625,-0.2327098220617,-0.0140143797250835,-0.0326246560079555,0.0297600678764229,-0.0978045167499743,-0.0955781277718084,0.0074698373305674,0.285791900146237,-0.122773125700626,0.404721403511344,-0.0370059728738652,0.154792892015762,-0.0306012895073468,0.0155322973142325,0.153947041180126
healthy,-0.183566633583132,-0.357320790867622,-0.289989048402914,-0.120248068826689,-0.194702355876334,-0.139462309404679,0.214914899631,-0.0974762410305938,0.154709687501392,-0.124856216389014,0.298761683026611,-0.0650782452519237,0.186215431913941,-0.095351096677538,-0.0150335479705966,-0.208504166900424,-0.0206852211897691,-0.0992936741326055,-0.305152865142394,0.0303834767653907,0.0116844647856771,-0.115049966723082,0.14100679435729,-0.226746894169368,0.276465509962617,0.0170393072479296,0.231990311349177,0.160366530510793,0.0194097246794349,0.226917233107454
healthy,-0.0887869939948739,-0.163440574764594,0.0770756595485058,-0.043530469258723,0.416028529970185,0.276094738253016,-0.163695683717494,-0.421203278918467,-0.46387064865355,-0.0937099483205749,0.488546436593142,-0.0248675179353161,-0.212131373371317,0.240189352134478,-0.502978045280816,-0.166882130776758,-0.32283902073808,-0.151433272784538,0.28167694454126,-0.11629746707664,-0.174617163849394,-0.118344821630389,0.150340960645259,-0.144336296545789,0.0616924198340335,-0.130775698562467,0.0236093986677895,-0.185551319244662,-0.206427118180106,-0.145959856677793
healthy,0.310876753421976,0.280225522628486,0.396924837421856,-0.0848611326193611,0.149326983464966,0.23911885868672,0.235072588348431,-0.299097350406476,-0.279810761065551,-0.0063039698517239,0.0162393878411049,-0.0033944453047744,-0.0365198473396303,0.237891164306097,-0.250223212834252,-0.0543096652171603,-0.0353992153212192,-0.206971904634832,0.450879761395524,0.0753706618830052,-0.0758180451813983,-0.0231314838667085,-0.0134135754674284,0.211735159582133,-0.0253050720073655,-0.160342353907973,-0.0886478310942375,-0.0151267415163208,0.0,0.0263861793851479
mild,0.0184717091668117,-0.117933661989612,0.15017774658066,0.406823618078856,0.265387459751619,-0.0418381892749921,0.0395694510766655,-0.533069652487526,-0.153854128902564,-0.066415472840938,-0.0542101152565716,-0.0008317252022958,0.555748645615884,-0.23870499526178,-0.154855942521241,-0.355049782250492,-0.10036295049508,0.438879739419455,0.115953401306882,0.0275679483487344,0.0560838010494401,-0.367377240804773,0.160723903415342,0.181069641830987,0.0359495449983783,0.0239185789840163,0.341055488297991,0.0052006858111364,0.0124720508305659,-0.249272896796652
mild,0.0972298117044408,-0.0577402989300428,0.173553795096172,-0.0233478417362622,0.484269947901874,0.411792411790721,-0.152299376649933,-0.271098342144866,-0.513933982577324,-0.214139655804738,0.0956682460541291,-0.0649765960870083,-0.14750906214094,0.131869576078901,-0.561370946855759,-0.139570281444539,-0.249459472004206,-0.106699262252013,0.348752220356985,0.0406954370735454,0.0771928505586909,-0.126053537411458,0.271304122258588,-0.041512448066303,0.210667409619286,0.0359227784716755,-0.189943090568275,-0.235712938369768,-0.292083856145317,-0.254318207838563
mild,-0.0338777123901654,-0.0167401237769002,0.157236488880245,0.106120623717918,-0.0596997694910716,-0.183511334419927,0.0124895252358467,0.331987448575402,0.104510689726698,-0.0403943019313365,-0.149519550473051,-0.0595644791190895,-0.0462460341825042,-0.30311725595997,0.146255489601774,0.141813875108886,0.0,-0.148626099957171,0.0195317625900757,0.0647530353598642,-0.0563762737369637,0.238067331223227,-0.10355847817228,-0.118292603210218,0.181341273873725,-0.0143569701486935,0.124262427915875,0.228539522676226,0.0,0.0651569951334805
