group,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CLEC15A,CD27,CD95,CD11a,CD244,CD235ab,CD54,TCR,CD267,CD41,CD226,CD29,CD18,CD38,CD45,CD26,CD36,CD49d,CD305,CD99,CD82,CD101,CD360,CD224
healthy,0.0464776247318895,0.297262625517536,0.569241026570131,0.457906106199475,-0.23790420167618,-0.178609743806093,-0.470622766235684,0.608804169434116,-0.209955007332306,0.303491972135787,-0.45225691972031,-0.205310573078456,-0.152207428059127,-0.125776215283271,-0.299966926355886,0.435585053558479,0.0332748736168494,0.0429050357617127,-0.150701943845687,-0.17139858606304,-0.119653573100743,0.291164643341421,0.0862077019770389,-0.200084137975903,0.0701862364726517,-0.199193195007097,0.401798866476998,-0.385769043709719,-0.164870383338165,0.140155108503886,-0.0195686508774014,-0.359547262469338
healthy,-0.139939002061766,0.320234625074748,0.602804283027952,0.438106962296057,-0.350042857920298,-0.260119981264067,-0.659743030255691,0.638169643982356,-0.148562397197336,0.251433022422106,-0.602882699351663,-0.208272272736865,-0.0813967153024448,-0.0550583678692531,-0.344312116448072,0.470003933271986,-0.0156046300663417,-0.0229537876185191,-0.348394889145257,-0.29484740478069,-0.191954215685884,0.20913794296079,-0.0178234488284261,-0.374577023961108,-0.0373757731336535,-0.347834262453928,0.234595258295779,-0.510481281018231,-0.322563539788945,0.117620894922271,0.0881651999066833,-0.530888110319264
healthy,-0.190513743513545,-0.177343789120485,-0.162729357336037,-0.2349764959101,0.143602636628495,0.245866182199478,0.171943322000206,0.282232128561734,0.0076662198281596,-0.168608077389528,0.225917400345431,-0.0479698642856031,0.115616054964859,0.0312809722375012,0.196659477224646,-0.237720744738619,0.0407589075699929,0.0055512693803221,0.202754125979735,0.083852876343176,-0.041879812104054,-0.0949109361157017,-0.130985698024519,-0.344583729183202,0.0329108574816138,-0.0252378027764829,-0.194508592946979,0.116917847880746,0.192791157599112,0.0857536829829874,0.0019306269199681,0.121932649031783
healthy,-0.218280254694455,-0.0113120529291822,-0.0210849330933828,-0.0407918955130714,0.0206703892978559,-0.0831662949022933,-0.151080027281268,0.345125993077653,-0.0717788815262197,0.0220472133370709,-0.113576703045967,-0.0647796362404086,-0.0507177054565593,-0.155569554920004,-0.111952357015483,0.0279910456186777,-0.138254883646833,-0.0734593719176137,-0.146795028878367,-0.0034784298389937,-0.0850948293832063,0.048905522121586,-0.0578790606113103,-0.226975973299537,-0.026278287205635,0.0174991405757942,0.0044811945249377,-0.183233030764247,-0.0591035453902092,0.0582324482016974,-0.0391494127507474,-0.272165463445069
healthy,0.162759526315946,0.210991686636932,0.224661677048113,0.243118022691212,-0.191663129410562,-0.132280749305714,-0.178718819553388,0.0367313283507654,-0.121043188786958,0.174988594025667,-0.236472970705917,0.0386764478564782,0.0742351777158906,-0.110093357032923,-0.165801008667043,0.296867699279244,-0.0448783736050647,0.0662879885737123,-0.162952335052687,-0.108168141368061,0.0028370006496238,0.132736563109814,0.155142736970237,-0.201988770797196,-0.0008347515920658,0.100709340657173,0.258001102874658,-0.162400398401559,-0.310794226941311,0.0300201592196169,0.0252313429285263,-0.0610491855294631
healthy,0.28829711475681,0.203181602407908,0.0227554789003033,0.161772866088447,0.0063633441830918,-0.0211118792130128,-0.122555858120528,-0.310947209047445,-0.208705774533481,0.210170764822164,-0.0882938238104155,-0.107724809553499,-0.0776894640223785,0.0317434412576733,-0.166065481637669,0.199928657492878,-0.0075894053452302,0.0664004408396021,-0.138218444957195,-0.0811813325493842,-0.197996904712247,0.298582828512589,0.148253066181946,-0.0769596274733199,0.0031606044022403,-0.187735162603562,0.0767389054411613,-0.0019224720575954,-0.278231931844192,-0.154467403116653,0.0043406645988974,-0.185128069944592
healthy,-0.0087952580452442,-0.276126087651135,-0.425257438069223,-0.276736128978798,0.111232856010022,0.193125363166463,0.314505099439901,0.0083449742485583,0.054464129981154,-0.138754146514932,0.104022792331787,-0.0105072840311363,-0.213060513927927,0.0,0.230095383841435,-0.368376020874245,0.0,-0.272777753907528,-0.0220576449221754,-0.112016695057557,-0.0082436528830236,-0.106982188884014,-0.0758116772343395,0.223141553875061,-0.210789368562425,0.028637073537725,-0.0206936317947139,0.422488969196915,0.495026848366903,-0.0135654178524217,-0.050624986728487,0.0839986226374435
mild,0.205784568286327,0.33031056872544,0.442161473970803,0.549066291814048,-0.165528383368874,-0.0022017439821545,-0.441901647125671,0.288266964554571,-0.60293196544058,0.639115588205153,-0.533724922075261,-0.412676806163236,-0.432064812845914,-0.0065794428643006,-0.584385840260413,0.449830779238699,-0.0397284026625113,0.0088091772698506,-0.601713736963192,-0.434328882399856,-0.511660724903253,0.323053164333648,0.0400050711386152,0.0078640638032647,0.0053187682902289,-0.62161831491759,0.321863586502152,-0.559164305571521,-0.227632908065698,0.20854426157449,0.154063297336449,-0.138169187294195
mild,0.0130885891594197,0.187401340253464,0.642055928248839,0.364564902975661,-0.379146198141688,-0.305384489902991,-0.617007484336576,0.230546788507951,-0.269819110478131,0.208450780900832,-0.505531326049497,-0.251876426089719,-0.0677638483073403,-0.0345876415718258,-0.260577374182151,0.314132344445522,-0.0247813669254405,-0.0336038446051916,-0.336550224470541,-0.362297191573993,-0.210990845746895,0.477327089062552,-0.0076736894170922,-0.0535036930783349,-0.0574407095238618,-0.209332965811369,0.221690580956272,-0.511910194163744,-0.407172923697155,0.0234855332750743,0.157207105016104,-0.363959298560141
mild,-0.211377626196498,-0.214010607124309,-0.136159570803244,0.0745257976533904,-0.15641836590333,0.286376291821878,0.0537354592703212,-0.0581937867252388,0.117549156749703,-0.0443354959153765,0.203950504819557,0.0473176421863477,-0.0507861729277196,0.0716713323714656,-0.0490444131350216,-0.252483005125696,0.0,-0.0505447046696038,0.164757732723576,0.0,0.0,-0.120453579479805,-0.159203768804385,-0.187197494305999,0.0660270160777207,0.0450071159754092,0.0065728591720044,0.0193813951721351,0.0972676323192764,0.151846405309306,0.0496161841732578,0.215509322069458
