group,CD273,CD47,CD52,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD45RO,CD279,CD5,CD62L,CD161,CLEC15A,CD27,CD95,CD21,CD54,TCR,CD41,CD226,CD81,CD28,CD38,CD127,CD45,CD36,CD49d,CD305,CD99,CD82,CD224
healthy,-0.155629414664703,0.0253855377223403,-0.232389693226418,-0.102998967310476,-0.0427165962060122,0.0751778796689628,0.138471704441608,-0.0430768156577706,-0.166311514148843,-0.170545595085667,-0.240235506118164,-0.0383422164927909,0.411169522477211,-0.0737491942718236,-0.112207971858034,0.0190986363424403,-0.241670679797315,-0.0570353631170872,-0.130408324782601,-0.0640443590016257,0.0245964750440483,0.0284882399624161,-0.262613738831654,-0.0760655417205034,-0.117599478208439,0.14282671628608,-0.0658961494333817,0.0630373100775949,0.0811830945554876,-0.0120974502228814,-0.201602400055368,-0.0061982994077267,-0.0701085009482857
healthy,-0.0143956897064848,-0.0989134289019618,-0.0021658592303618,0.0468899567193091,-0.0386698757421438,0.0261694964767568,0.154261216896156,-0.243183496414311,-0.0267207113965137,-0.116546058332244,0.0566774452517936,-0.0605357960520396,-0.044125176355249,0.080687848646333,-0.0047361525726074,0.14183613065083,-0.0515402006177262,0.0482372894464492,-0.135529751480524,0.0696992757764023,0.0146596314748501,-0.125985482002028,-0.022080369852032,-0.0622561792073762,0.187133123647002,-0.0736242986990818,-0.0032420471054249,-0.047447111093158,0.0048422264463711,0.0654394328894085,-0.125246566373621,-0.146423625448917,0.0024328092157419
healthy,0.0863193889989999,-0.0400689798633284,0.0145481334090117,-0.148766379023377,0.10808938172935,-0.39663024635867,-0.162612063151972,0.193338528123186,0.424444373395877,0.473913372431807,0.085449018879604,0.024588599593833,0.221314025918948,0.123199926358759,0.0064252750768448,-0.0536703331470745,0.509070593677136,-0.0682081086498552,0.20250979717139,-0.234656494550683,-0.125953858658877,0.043557613206407,0.0587365833879211,0.22320973591155,-0.231873004409723,-0.146205201657699,0.0500107735185843,-0.129156980567226,0.054461430013989,-0.256677795048487,0.385754143985887,0.381594965389043,0.291818681672656
healthy,0.0368127076290925,0.0219509223429125,0.0043249801715818,0.248631254491082,-0.0255886256061903,0.328565186719937,0.151572265585947,0.0188301648815511,-0.193601143085992,-0.244883784255677,-0.0080248431824617,-0.0299073552576915,0.277782047439093,-0.0627678200494299,-0.0517720898327435,0.350015091243716,-0.304975016257558,0.0561054274417808,-0.167370334675719,0.265874031509016,0.0398009120714508,-0.123096895291614,0.120072607321617,-0.0523363544598507,0.223604396168981,-0.174368293949578,0.169793758968469,0.0377692252208399,-0.0487685572296558,0.198546280111487,-0.250143481097826,-0.293148539685632,-0.255617442566442
healthy,0.0033184937469861,0.392269956907216,0.433048895283858,0.657867189183501,-0.0134310545118565,0.626750195483114,0.577255872856033,-0.242153456221288,-0.179689360383052,-0.499356456618111,0.0129072878654798,0.436041699836285,0.0800629536688299,-0.0993559621088082,-0.31772384756803,0.439024486980427,-0.50509581538193,0.0050766976760708,-0.309566253019716,0.695708630147273,0.0976027172551221,-0.433775487994426,0.429636721221016,0.0643508909993554,0.500804119612136,-0.132165997127892,0.419653719059248,0.009826910392208,-0.284611192644284,0.495788415117995,-0.405411805223491,-0.273676527633013,-0.443473292707607
healthy,0.0091201203196489,0.110944573598536,0.134660846564567,0.0197642262513561,-0.0246945988505798,-0.186229531053479,-0.139239572411756,0.249320189946244,0.364080985566615,0.273390579468293,0.0745461582926956,0.106467762263031,-0.284261287775191,0.121381048392764,-0.240114990108088,0.0087623352420842,0.325539720699181,0.0138196961894868,0.0138270968041226,0.0089378100219009,0.0218791703609689,0.0424885755494291,0.0880968236189201,0.225621333277538,-0.196555296258559,0.101795181651077,0.0906867868034361,0.0133143541377275,-0.324512987000937,-0.0912018738889542,0.214677522542228,0.183290976791149,0.154895818384508
healthy,0.0,-0.132212738868188,-0.118517203089484,0.184527795938193,-0.106796275293869,0.234147132653558,0.146511467200921,-0.194006149040321,-0.0049756589670781,-0.131628228134733,0.0344293738055693,0.125053589545412,-0.0600604740703905,-0.0577055701811655,-0.0513416285629924,0.0721906662774256,-0.0349147014353705,0.0,-0.269682374335853,0.300064909444903,-0.153506597018919,-0.33527113040141,0.0674039853376639,-0.14235677864726,0.0417598167946206,-0.187275555651791,-0.0757015918311186,-0.14506937313552,-0.26636118253575,-0.097103914949494,-0.212285142046207,-0.381317392118569,-0.231437648689608
mild,-0.0148615648955002,-0.0212731360849314,0.148696415921741,-0.249865611001808,-0.264922476427289,-0.378056751603625,-0.0361711882842676,-0.072516145577906,0.392310705684767,0.306989061641294,0.136380249964352,-0.0298616689321114,-0.27251164514381,0.150697196183253,-0.442380547995622,0.0887602666131097,0.278812619382313,-0.0427958478572954,-0.268522316987768,-0.27758761762461,-0.159610229906938,-0.178755953841783,-0.314335054438029,0.366043473272769,0.0608504988297134,0.0447214760384239,-0.143614183151192,-0.125561265659503,-0.213219710011428,-0.294431815521498,0.0223560119444564,0.244348554399125,0.398921147958231
mild,0.0214080124293733,-0.0306992047453782,0.0275536898271037,-0.204716538875957,-0.0654340962156966,-0.544128477282092,-0.390884481907398,0.220706784209899,0.250978701239354,0.519573217496154,0.214252786243595,0.0280833993486005,-0.236229666421466,0.12438971114057,0.140227489405139,-0.222387665199568,0.554866380460075,-0.0009777900700637,0.207228934682445,-0.434481006637474,0.0156366277989438,0.188380473940012,-0.0035743322886187,0.0876171146182024,-0.371759474046201,0.0394892270440771,0.0350747946388005,-0.0048171532112003,0.0477214511032991,-0.170946199764163,0.13227854357987,0.305264930439255,0.284589907512046
mild,0.0,0.0760886031448034,0.300421275701346,0.084593706629857,-0.143534710752295,0.211991862387495,0.216967465349209,-0.105278001486101,-0.0779900500469932,0.0600070905393545,0.117075010682348,0.286899163872145,0.2229678516191,-0.0540872856368743,0.060224551855541,0.365379492492884,-0.0907660034395312,0.0,-0.0199994474997084,0.141768301487855,-0.345811260624944,-0.241422904766346,0.0121678729857117,0.169675913299028,0.0282987535246257,0.193496920249322,0.323443193713058,-0.277522113800029,0.0217542818821033,0.050634337864152,0.180736229561343,0.125721927106016,-0.0560731868070116
