group,CD45RA,CD194,CD45RO,CD62L,CD95,CD278,TCR,CD150,CD82,CD3,CD45RA,CD7,CD194,CD45RO,CD62L,CLEC15A,CD27,CD95,CD58,CD11a,CD54,TCR,CD226,CD18,CD38,CD45,CD49d,CD305,CD99,CD150,CD82,CD224,CD3,CD45RA,CD7,CD45RO,CD27,CD95,TCR,CD81,CD305,CD99
healthy,0.106320347084121,0.0848577698887716,-0.133524223667308,0.269801086342613,-0.0741140695536982,-0.0180124842664423,0.057490305664501,-0.171954942890644,-0.123814709947014,-0.2887418973205,-0.480481757055082,-0.395063736743202,0.117464247749684,0.285673295387856,-0.569874699472237,0.160541828301867,-0.233683774533679,0.322158761294945,0.113406373393395,0.164669802506429,0.182351901852727,-0.378295565164175,0.358321829158908,0.0752307304174885,-0.251572524905089,-0.138596776210454,0.172337260654935,-0.270151616886812,0.152046902873891,0.1170640673012,-0.0036688730166244,0.260026147438822,0.132954770888723,0.38788146289803,0.331144217090062,-0.401691637296866,0.148118446757117,-0.460380413262548,0.228615628276936,0.0550092379635504,0.237976996538149,-0.254505186998677
healthy,-0.507827689164495,0.145881283822306,0.463861783961296,-0.607056895033101,0.433264809137258,0.0984499108553544,-0.366045648843268,0.110296897521028,0.0792562709181049,-0.397029772671074,-0.771171141291409,-0.563250807036608,0.368997214440282,0.776644982002352,-0.392865340680306,0.0733615219442886,-0.366706423536865,0.664838134627539,0.221329865258988,0.102648048465373,0.259806979704654,-0.511003739611465,0.356661436215025,0.202601878770287,-0.291243092269767,-0.0777722080070806,0.212448010235844,-0.479917800659334,0.586095003479829,0.256057379887789,0.433898638327379,0.530362048612537,0.298958656542197,0.388176114802956,0.287191128711824,-0.325706691641892,0.194476999205568,-0.352201146621919,0.380296729186205,0.0607849997994664,0.20916682590065,-0.198542468570979
healthy,0.278496645911712,-0.274582318092256,-0.301735979938502,0.153209166635458,-0.363754603086995,0.162670537413387,0.395947828517077,-0.18908814770174,-0.107397499495933,-0.391424078706139,-0.76461474688608,-0.557600465287971,0.550339231632141,0.803696806492372,-0.162247484278745,0.181028182473206,-0.384414414586271,0.794295641309112,0.531091184798311,0.261540838807505,0.334684733225332,-0.561285591303076,0.24834063265679,0.255343386315244,-0.521646503318744,-0.0928436870944734,0.22764206525503,-0.513791944140201,0.644765306639528,0.3450971702124,0.501885389398093,0.459494149027961,0.272962814802578,0.394026008040504,0.403262018174542,-0.423225684789453,0.314687444668149,-0.475077025172395,0.411515203149104,0.140339867405085,0.32224113546397,-0.306107421388213
healthy,-0.0371094618329505,0.102733891541228,0.410175586961457,0.0253378579450426,0.219131818714151,0.308502398458782,0.166521748263533,-0.0094666784658456,0.213592774775059,-0.287958828019422,-0.474333779190681,-0.336429247487599,0.328602076138647,0.451377534098865,-0.0991554756793565,0.167553055613979,-0.284640551244255,0.441120304860417,0.1113940152244,0.183142685293088,0.236878811124174,-0.341320017016478,0.328918634750125,0.190843756591817,-0.223008118540727,-0.0628131609525024,0.178166415422103,-0.194906407760799,0.440427743197716,0.14662752788912,0.436723659762367,0.37977670631386,0.216012476896527,0.342502974211417,0.342525243784845,-0.156001072627693,0.24556709880337,-0.255274648386463,0.232950681115817,0.201237922044183,0.207281670493622,-0.081157675957928
healthy,-0.05537421604399,0.103813442036293,0.023871226640904,-0.633240812245843,0.168188865631902,0.038909351276552,-0.0636988886617518,0.0887651019572803,-0.174004842125508,-0.439246492199425,-0.688944999372215,-0.528056049223091,0.354997155223397,0.62598201728126,-0.413923123246227,0.207208344537439,-0.239367901480928,0.686271444100549,0.282683382228351,0.171124582349971,0.389167513076927,-0.492395295111668,0.463695344697715,0.269696670514522,-0.432863326481228,-0.133114513273916,0.281496120357968,-0.48453925863121,0.603820156077279,0.329427270013021,0.363909817873508,0.541186366747547,0.334060100044333,0.524078635781871,0.421802538764948,-0.47317870692094,0.226214608102116,-0.506340221454204,0.35137285319951,0.268882725137258,0.392743125860413,-0.465857644414836
healthy,-0.439896962594748,0.309841467656208,0.320300343629471,-0.177394398146487,0.267579551663365,0.353156897351545,-0.264977514856627,0.166234390035311,0.223690501984204,-0.333530586855985,-0.598834371121842,-0.354756965572177,0.350358401361142,0.66342340491172,0.313499327272955,0.284851724706382,-0.283680506833284,0.64584671171815,0.297587572964298,0.268052359935694,0.316365338695096,-0.431487236297809,0.181792518797905,0.452801041734009,-0.574089415172597,-0.0476539876331574,0.233767241070946,-0.236262972775472,0.474089034306229,0.233259340496682,0.565163093788136,0.308273251071118,0.190567623122302,0.473160713946205,0.437340489005187,-0.578900626068923,0.274536233555437,-0.649504061150601,0.284649215126041,0.0800772132865475,0.268833986056162,-0.405075889678289
healthy,-0.316608868212452,0.225165914027086,0.19479531559879,-0.828627333511226,0.137606935550647,-0.0132435844223321,-0.556829464692203,0.0,-0.0306804705284151,-0.0814438720176664,-0.232569415850683,-0.0736345480356267,0.0048623103919618,0.208717456207465,-0.60526250381343,0.0978660339353506,0.0835546711386924,0.0905366598204632,-0.100378596869759,0.0756676787820292,-0.0147505384196672,-0.104742131217737,0.0731417793734433,-0.0092134943986734,-0.0952936325681914,0.111441711842616,0.131654160810122,-0.0158023841790375,0.244536309387173,0.0,0.111291795524344,-0.0035017400904695,0.434982239832924,0.399908150186857,0.33256916767299,-0.36899738905193,0.17268864273461,-0.320047279241557,0.512270574060627,0.0693436683689636,-0.034951337488226,-0.228877072550256
mild,-0.38300021164735,0.0886597672026824,0.454576429816865,-0.262184884037503,0.445099832525189,-0.0296357800387975,-0.374675056829289,0.189315145527628,0.350015636524912,-0.326867650224178,-0.556203110327454,-0.6789402576997,0.239551488670787,0.571689306635205,-0.302999478935716,0.585658833598082,-0.649557227622594,0.709678259188466,0.354664281475661,0.507092166576278,0.602842868975062,-0.483848026426973,0.572781640961576,0.51990171524751,-0.338099625244204,0.005473448941328,0.519847878944508,-0.399989214465099,0.637400657563148,0.237567883261733,0.155835060812576,0.225746397515592,0.210465676464307,0.369189152735927,0.528869098284754,-0.418505529982924,0.447530933183972,-0.586577890452283,0.322167017585995,0.0921547217568113,0.269618970570443,-0.513549749129181
mild,-0.0902008216407509,0.271864772614276,0.175194316882857,-0.5915337244257,0.103144127636669,0.0469926985625961,-0.0495061542740479,0.0931796095116475,-0.0441159305731079,-0.250753854136769,-0.661803885219908,-0.477186639919843,0.385945732582992,0.627902516862779,-0.280886740211785,0.213097853666065,-0.236919738520038,0.66243974559456,0.266727859924792,0.235631891355032,0.254183396656041,-0.397993607433377,0.219356887292181,0.283671040582962,-0.400003013774572,-0.0553740649129168,0.0736462127832302,-0.182397712486842,0.405179975428511,0.294940874767315,0.313034837262246,0.323238689416522,0.270863353698594,0.529014620732046,0.47795078557303,-0.494816405308045,0.222116418912116,-0.573148075761778,0.387815266444635,0.0572218270731498,0.135713889850214,-0.193993592921387
mild,-0.129348329212496,0.0234146848480529,-0.045946003673119,0.181111887591161,-0.148026125604109,-0.0255655905896956,-0.300797775881009,0.0,-0.0279607426507722,0.297807896319904,0.162646505414904,0.385255515380176,-0.219664767496835,-0.156265199699153,0.243002343974937,0.198418237693504,0.537937972212511,0.0285046111630951,0.0,0.247646964583237,0.0992148139725346,0.370716926008907,-0.237757462449765,0.0,0.12503303200831,0.522220384448361,0.319514486424461,0.142082595233979,0.0789208892706124,0.0,0.0570722054870463,0.0692473658650036,0.233696292861821,0.178343284753015,-0.0980922851708544,-0.110672726537253,-0.100181039118977,-0.182635966167968,0.303738283348814,-0.0224951650013371,-0.0419875547946856,-0.151139445934221
