group,CD273,CD47,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD279,CD62L,CD161,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD244,CD54,TCR,CD226,CD49b,CD81,CD18,CD38,CD26,CD49d,CD305,CD99,CD150,CD82,CD101,CD224
healthy,-0.0719576485404067,0.130399668166246,0.212924442653925,0.458789866194393,0.351748242098977,0.0004841481178055,-0.386016565279622,-0.562859331902232,-0.182744852297946,0.425395126632195,-0.165980310986293,-0.21087812103551,0.21786005321216,-0.602651612935347,-0.183415489732882,-0.224473852969427,-0.208242274725025,-0.194803415317144,-0.329789799138531,0.329383703873794,-0.0036276393035888,0.103149690684398,-0.0091645577420058,-0.0991427439419893,0.136783042500889,-0.0435700938912625,-0.202962328116324,0.255375116377776,-0.369979040343193,-0.163951239404927,-0.162599704288434,0.121103671356356,-0.356463220291308
healthy,0.005799019033859,0.160385934099318,0.264145964402775,0.179509111101352,0.194314590270471,0.0364286236815762,-0.018321312729588,-0.135856138262188,-0.061986743484667,-0.008452145263407,0.0054187156108078,-0.0294519771328941,0.128765682927371,-0.146527157156523,0.0260930926722463,-0.121848554488099,-0.132125109143865,-0.107316898263939,-0.0570695083278446,0.30297000440485,-0.0419524256002143,0.0986724677881727,0.104901262204728,-0.0307897343689968,0.0035275069990287,0.0551454921336109,0.0464510166841264,0.083993179407868,-0.0928341208760278,0.0091090515137591,0.0511329048152089,0.139410988996295,-0.0478547860772882
healthy,-0.110972254458781,0.150570958054609,0.303109704222439,0.40884348775171,0.447116966991568,-0.281532546901868,-0.367952627084006,-0.425310713267904,-0.198394741014077,0.087122210143345,-0.164184533423006,-0.131579666587604,0.351915036743513,-0.461256621579207,0.112748569377059,-0.407127122804125,-0.0258590390604377,-0.175494424660954,-0.291103281890596,0.454470156841818,-0.324494345726828,-0.185419133920734,0.151258593882587,-0.0008912028955815,0.248613985342667,0.275960791757811,-0.04034888874079,0.364048448164924,-0.305975398613508,-0.211375157847703,-0.224862786327374,-0.0407349463858514,-0.238212462716271
healthy,0.0315206203799328,0.214355788647441,0.306895969765207,0.448537152010959,0.413772217037936,-0.0230381437950196,-0.336666993212218,-0.267303464345281,-0.0006997404484054,-0.0269564336985485,0.0928658798737376,0.0553381381885972,0.336984384828523,-0.406658347415868,-0.166148241122511,-0.0600902863601274,-0.110991042711392,0.152518806313162,-0.126376947984484,0.313582716501097,0.0013544425500359,0.0427922837148159,0.206005119085939,-0.116014135898558,0.185597694412874,0.342793081209877,-0.0897616013541451,0.177673150553384,-0.23901263404843,-0.0824997015241509,-0.179213505643727,-0.141317856007072,-0.112686740435824
healthy,-0.0300278381775158,0.266933885090273,0.430106886096592,0.589034353632071,0.4491208862252,-0.283395481738021,-0.194063930384535,-0.55649940259994,-0.0922454353139887,0.158752562219233,-0.0444812208135797,-0.193504119825361,0.231539783758274,-0.548410041990906,0.139479552418416,-0.171427904191717,-0.318153900855056,0.101622673086081,-0.339459146882893,0.434606992170268,-0.35001835471506,0.0878608542914161,0.245216133629891,-0.282642251535968,0.474097007448129,-0.0813777622867485,-0.250062610790802,0.360947495952528,-0.551047502708886,-0.280035384126271,-0.327703766431535,0.0170856269294371,-0.461423135075889
healthy,0.0167437416660454,0.153346152305089,0.211032998148011,0.512704858308314,0.409685673747322,-0.272476695047362,-0.382451511719005,-0.614484196317735,-0.155788414346549,0.0230052888311117,-0.117293804814747,-0.352912334310204,0.296855654518358,-0.669260099819857,-0.22379924063347,-0.350141797191895,-0.294388516911425,-0.186748236325283,-0.347136713461259,0.318757021195413,-0.227387188063224,0.0871795015873473,0.0892194635880908,-0.456358964971511,0.454187861985884,0.152458247426437,-0.193432890731709,0.264067275902294,-0.395589319840249,-0.272918122125156,-0.378906592791007,0.277878239248309,-0.307947361897604
healthy,0.0,-0.336938064202058,-0.343532953955574,-0.0975386967725244,-0.320712940439022,-0.0693888477674502,0.273386458764776,0.116868939201877,0.0460674719933674,0.0353057360386726,0.0751627174628627,0.0159855046030974,-0.276232394280471,0.176995372165861,0.0644012239678893,0.079042083525462,0.0156226195609837,0.215359184537857,0.153178159123191,-0.512214418891657,0.180523182560468,0.134280725869003,-0.0004849207578249,0.103288121416708,0.0550239358185121,0.0121648775247489,0.0047333142853154,0.0177532611016119,0.0090070614876034,0.0,0.0119700216909816,0.029273991318571,0.111149752684703
mild,0.0355526133159202,0.26673519834311,0.192155846306507,0.362209099652464,0.54619721558143,-0.110310693643429,-0.21492018696138,-0.435057157007008,-0.126598811697376,0.150608052616467,-0.0790736292948631,-0.542286531272026,0.490087829798364,-0.617590551101142,-0.0477353854205121,-0.328957175020227,-0.459887982784394,-0.43747325417032,-0.534668573030333,0.317502498936572,-0.474422020136993,-0.0131301078624345,0.0109976810087775,-0.485205074782835,0.22176591076064,0.432470092365794,-0.358787544892534,0.244740481780046,-0.545395819953053,-0.161606512747203,-0.05748132847,0.0018553468982293,-0.154120672277543
mild,0.0509983215767176,0.202173527945521,0.197309991140616,0.389397151608333,0.387539058094867,-0.0811211047506914,-0.130485606511428,-0.396544497655339,-0.200665123467428,-0.0509575289217437,-0.0431149164686573,-0.101056266462057,0.191108381118064,-0.520930800496888,-0.189910080328154,-0.219063176512251,-0.144397447863963,-0.0180333817482964,-0.153310414034518,0.30948094046695,-0.043700426642107,0.186281134422866,-0.0741459048787687,-0.234634903394955,0.248764356360622,0.247912071100562,-0.191217024421567,0.0597230658590997,-0.143447466820277,-0.2329499641823,-0.204867262134008,-0.0026979739175973,-0.0790365072175577
mild,0.0,0.108323601939102,0.34396000686345,0.389036955015387,0.173932241465003,-0.187073988289138,-0.376219496337323,-0.2782909693867,0.0896890432712727,0.0959504355405465,-0.0020539475558306,-0.123163454066933,0.173815496678358,-0.318215070265784,-0.141777382161305,0.0,-0.113152772406642,0.0519277100891357,-0.0716544468224662,0.577849124352102,-0.30415939600611,-0.137712980450817,0.0880769946068518,0.0,0.0874455778971587,-0.280327768255874,-0.211475231467514,0.105419031290939,-0.38563671477834,0.0,-0.278948906260555,0.0321312132603403,-0.166158398656031
