group,CD11b,CD137L,CD3,CD56,HLA-ABC,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD294,CD5,CD62L,CLEC15A,CD27,CD95,CD1C,CD278,CD58,CD11a,CD244,CD54,TCR,CD41,CD163,CD2,CD226,CD49b,CD81,CD18,CD28,CD38,CD127,CD45,CD71,CD26,CD36,CD49d,TCR-Vg2,CD305,CD99,CD85j,CD82,CD101,CD224
healthy,-0.043753489607005,-0.122481996573707,0.0218620402598648,-0.0949694568022182,-0.0856278578415482,0.21144988198621,-0.0904197839070109,0.1565323223959,-0.43962067879066,-0.152869748033526,-0.405591768221708,-0.0807446496286182,-0.165938020053248,-0.301361039606904,0.138094881082747,-0.0856578303981917,-0.36376543770718,-0.0277414274461264,-0.383795307904932,-0.130417957234016,-0.246870840353545,0.182974360355467,-0.128099265262454,0.0228497880527569,0.366492263080179,-0.216948866682511,-0.143814310410487,0.217580782861349,0.291134046785101,-0.0166704548599722,-0.0791791695275649,-0.265877808953138,-0.021131753643711,0.106968178378383,-0.166286286909505,-0.0209696926733541,0.123773570383624,0.25012595085947,-0.0094391063958988,0.0360505703313937,-0.0880172986181958,-0.315345081585717,-0.116233376926394,-0.248757366637711,0.119300869825394,-0.234548142581174
healthy,0.0054159677810302,-0.0329287438246969,0.251061202869322,-0.103636556939192,-0.187857800218491,0.282336820498415,0.0547473982797381,-0.0163687952635222,-0.250307976317645,0.151918160431837,-0.229220187588605,-0.0612146497692498,0.0951015897889285,-0.05014758469422,0.0210837084329224,-0.0171218256630203,-0.215437330147241,-0.0101227740735432,-0.0966888611859924,-0.0804972333571789,0.0038173433148429,-0.0469873961715539,0.0028955770327878,0.329895065793754,0.0958167003841032,-0.0740615009270544,0.0450032040719906,-0.035748868771302,0.008544789637479,0.279947293424653,-0.0070674089940487,-0.0219787936895375,0.139712716763449,0.0699393049369818,0.0867905819915471,-0.145791986388693,0.31938418460963,-0.0304148336553213,0.144471341357196,-0.0417449103116659,0.148884153062783,-0.103665915173467,-0.0439935512695023,-0.192384545439354,0.332795304478962,-0.1538224414186
healthy,-0.0730345137671541,-0.0986493785163541,0.289850893517281,-0.0815083108934104,-0.267429352587306,0.423245316783129,0.446892362393286,-0.292948896744513,-0.265230393012618,0.115428195166656,-0.448120555349573,-0.175335298289827,0.123509633552548,0.718718258119781,-0.259295656952238,0.456910323339463,-0.450756232732757,0.0797204355427977,0.243116456744302,-0.398011291555894,-0.0947787984359909,-0.177383080283326,-0.264133278725683,0.502173260958022,-0.30437835613911,-0.204270326813651,-0.113326233113757,-0.320077490921786,-0.325057575129107,0.0848519672938608,-0.0545301727070914,0.110335188079107,0.221096826677538,0.0804562243031479,0.100976032697531,-0.226300355262524,-0.0176321101034828,-0.352831033136971,-0.0564038055566637,0.0832101455730939,0.325154333802076,-0.313302049724035,0.0200414625838786,-0.0349904767366596,0.052438770855989,-0.183228430101628
healthy,-0.0236715162383723,-0.104533058925137,-0.006011040279205,0.0739713202626667,-0.0690902580363852,0.0327352981318924,0.0062268621777571,0.0610091041376403,-0.0535057778152725,0.0712039877852772,0.138285872801915,0.0487511518571484,0.0152393813645985,-0.142271709132754,0.0800312702219785,-0.0108980680044222,0.0876684407961099,0.0318040845269472,0.116567696684745,-0.0074388454259817,0.210642773540513,0.147091635106456,0.196048236848313,-0.0111843033991512,-0.0170514424743641,0.0544670717111484,0.128093044810038,-0.0205021824453383,-0.0243635372588279,0.0243581617245642,0.25634440184461,0.131998831962557,0.0127827492513001,0.11856687926573,0.163010621175229,-0.151792448699279,0.111234504663489,-0.0286393561615514,0.29456635936126,-0.0595957271479903,-0.026829280259503,0.0693298350403765,0.0662623267635776,0.0466059500502202,0.0847998340242806,0.104217074348702
healthy,0.0950622039100461,0.0642849877698653,0.169887956928485,0.0563148984867801,0.0266004387389461,0.520717310473124,0.206873136404896,-0.263750734146757,-0.448629269510635,0.0102576201137752,-0.473106733725241,0.02968067980292,-0.0599686208562407,-0.275476355809642,0.151687371085378,0.0896101312222123,-0.4885902751653,0.0865804799060112,-0.182337746161288,-0.0494645192154527,-0.169241346224414,0.0569343536471624,0.0355579697720256,0.257734151158869,-0.0367010448266317,-0.0188286450060762,-0.067053288012409,0.0497028544024617,0.0392744522175808,0.0409299617691431,-0.186198892142924,-0.066172880559897,0.34347799343694,0.15561957339209,-0.0098116669347678,-0.0118787633416398,0.358735812976066,0.0218201124660392,-0.0356825644503527,0.0466344088793703,0.374459248776509,-0.453813937685971,0.075286660966453,-0.352755448012623,0.0870804439475767,-0.261027853760878
healthy,-0.0483325921061302,0.0376640469794247,0.374988925174909,-0.0139666243833347,0.0011464771910993,0.727190977872509,0.423362854991923,-0.132174690909719,-0.395372112418297,0.140051698339883,-0.658532121176925,0.0071306069736497,0.0201128931079831,-0.34674541935044,-0.268398015117631,0.324878913409938,-0.641339531745908,0.0483570823601056,-0.351280758956937,-0.239718580341504,-0.227538625496379,-0.0670962534870521,-0.236086520820296,0.479335569406123,0.119827947216101,0.0209419801280006,-0.0572340519669786,-0.225222095296035,0.0958281416524372,0.314315845579632,-0.395797609927933,-0.0984464209503072,0.351661526891933,0.102166408708094,0.101008518833247,-0.0225498338008215,0.20473263874081,0.0722039896447679,-0.279418495350032,-0.0141916078016572,0.325733776985766,-0.463611600315418,0.0077673201984991,-0.521478429837752,0.256360602365074,-0.345517295033787
healthy,-0.156785593204658,0.141644549501767,-0.460705895060242,0.0392785813838185,0.0,-0.405877356999018,-0.197988693712978,0.084995304256208,0.322925281779122,-0.118746789307938,0.542979862727277,0.137778140456579,0.216452827502664,-0.717353131540835,0.0916195881686125,-0.0543432055488691,0.243315160917385,-0.0586543120636731,0.116032075305387,-0.073223034431563,0.138306485720795,0.0322597021730357,0.176700927562421,-0.540478400786244,-0.122200669922264,0.0,0.325087291131297,0.0385691760159533,-0.047778428229279,0.0383087398681687,0.0295801662273201,0.266631607611444,-0.0828121683385466,0.25527551587546,0.0052864516068079,0.0,0.225056464937995,-0.0501186370163437,0.129542592461284,0.0,0.0343835029949118,0.422181851221416,0.0,0.208986097631388,-0.359125063647799,0.0468748224259919
mild,0.353776781188022,-0.0253316459556033,0.210290266801258,0.396115030544895,0.0373469045440733,0.337148958344607,-0.0447555952208846,-0.230707880185776,-0.540459729745527,0.13333268992916,-0.284152865754618,-0.0440469731423524,0.0131315273364452,-0.0430049776108245,0.55606742304408,-0.12310021437015,-0.243706062445894,0.0738128693883709,-0.145447112998257,-0.173149182381325,0.296418447736559,0.429844751794831,0.319000994520599,0.327383437595527,-0.115383166010914,-0.050560253488421,0.116497996277808,0.156052044163804,-0.175757508756873,0.401622741944219,0.307028523520877,-0.295166657957255,0.0198409961501967,0.0624383844814248,0.190319962118179,-0.0877012967654972,-0.136158974282464,-0.153815064301567,0.343593574970669,0.0063315670828049,0.295646928309751,-0.124772990206353,0.0694335253047974,-0.292934906702448,-0.272026033182832,-0.374442463099974
mild,-0.0343856666838765,0.105578902220452,0.227156133831909,0.0246797173603321,0.104673542098504,0.320294762083048,0.332747643107976,-0.305561859615488,-0.226049733876045,0.125884059184526,-0.327863104748613,0.0063712714717159,0.205837210922781,-0.322994979500668,-0.0302058958991503,0.119403775562357,-0.227156095201505,-0.0229800361354483,-0.249106682194268,-0.0881054799457931,-0.104743063355472,-0.0459440969257738,-0.0969643449644434,0.18679318839878,-0.085111391134718,0.0729599203266232,0.097066520777965,-0.185111258977156,-0.0971280504275644,0.188480159595278,-0.0770542911301372,-0.0687062637626739,0.165578871308676,0.234489198593047,0.205117458248192,0.0527766349958377,0.287982752089715,-0.188589791296575,-0.35895288804727,0.0844383585902388,0.280668957632251,-0.34212465424903,0.0842665349402558,-0.308941059047953,-0.041313152848481,-0.232341733422231
mild,0.108859220459026,-0.0054193436735227,0.0576982981941269,0.102012728606257,0.0,0.121881465458017,0.0995465702372846,-0.117935049614902,-0.184471629917376,-0.056699297284479,-0.157557942935179,0.0772806589303825,0.0942828663156697,-0.100415966471425,-0.005145665888271,-0.151203699448769,-0.0730584486550466,0.0116714715559027,-0.142511802731372,0.0,-0.0871015084476123,-0.0269341616317716,0.0308580816907727,0.0728380776110952,0.190015427193754,0.0,0.0801840850611894,-0.031016590032063,-0.0266494310221573,0.139847045239259,0.0,0.0517154966993686,0.0421369538251542,-0.201354099288785,0.02225167123698,0.125290800905671,-0.291793451396742,-0.0085991354829467,-0.105395998009876,0.0,-0.0113576799656651,-0.31514251906083,0.0,-0.143385684783114,0.107734812552841,-0.0206844773217316
