group,CD252,CD3,CD8,CD11c,CD45RA,CD7,CD194,CD4,CD45RO,CD335,CD5,CD62L,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD244,ITGB7,CD54,TCR,CD122,CD2,CD226,CD29,CD18,CD38,CD127,CD45,CD26,CD49d,CD99,CD82,CD224
healthy,0.0742365343583869,-0.161751426937296,-0.0558417125318336,0.0384416262647319,-0.503958791836434,-0.340846289414431,0.424666058660554,0.0175415163572247,0.571654080609684,0.028126311864518,0.0262030319126873,-0.249145392179522,0.0901559233894091,-0.210518110735461,0.574684305494299,0.27058470648082,0.243841131755022,0.228997084649697,0.10095903693565,-0.0591939252532354,0.25448340190731,-0.282621365327182,0.154452871451822,0.166526100323025,-0.0460307402550146,0.123604289915373,0.106157357724254,-0.0629814007794058,-0.326284981305359,0.0219676500393453,-0.128910355696601,0.0499484077291976,0.426037360604161,0.272867142719344,0.406447995249718
healthy,0.0074797088464684,-0.415311863156578,0.0596989882374152,0.0135239717234923,-0.614409668051026,-0.382226057902669,0.15455271392169,-0.253474488035575,0.546637709176359,0.063565250768122,-0.217307868758572,-0.43215833500001,0.115166165672573,-0.283200086436727,0.469744944804882,-0.0847793545268281,0.20336188320416,0.271243662185392,0.03201976819571,-0.121345754862881,0.288797605633808,-0.504456138541076,-0.0014862849087778,0.116856633016324,0.279191650998063,0.18230478914702,0.246452726776233,-0.287008433913469,0.0769901734925802,-0.0869383601695596,0.151152005278779,0.0949902615908123,0.475872777881234,0.238123018451115,0.423100511733758
healthy,0.0804116222825402,-0.332572987933472,0.171619131206863,0.124483114195863,-0.496878206866713,-0.467335052846759,0.445473500583001,-0.152564498952797,0.533773733117163,0.0360787067697775,-0.102983655448592,-0.130465185579201,0.157022493432268,-0.377666698123315,0.56969456917736,-0.0398093317393192,0.441673596043432,0.0902823012366328,0.181113158545128,-0.109012424556879,0.296409976479118,-0.499837163592522,0.254697389452513,0.0642834034293109,0.299389714357594,0.283426963749004,0.0709272356366376,-0.295384255644277,-0.24274728609178,-0.146808302003246,-0.284002904161998,0.0526152659163155,0.405911411511682,0.300484805986598,0.307554194270787
healthy,-0.0363729826408478,-0.138513341117105,0.105343569700214,-0.110169005907716,-0.386171083781005,-0.274999683608789,0.467995326807155,-0.0307929229858122,0.415442784301695,-0.0688188915086272,0.0788848016295316,0.192603574566239,-0.011111276166862,-0.279602759276581,0.495372835607543,0.308991004214998,0.0763307915914944,0.168379130740974,0.0114437525602255,-0.0966160901808654,0.218743496038153,-0.131485580604873,-0.0233588148014328,0.165111778282121,0.0474604207578774,0.0092620891408554,0.278949574348012,-0.114948409775144,-0.0207471904256788,-0.0282826693263984,-0.0891598164322826,0.092333515795752,0.484098060873164,0.451837953304641,0.199514924769269
healthy,-0.129089559829758,-0.176224371805334,-0.0168622426002295,-0.151553700066206,-0.16187983106522,-0.062737421294684,0.115820665991133,-0.121100989624658,0.15187689875489,-0.124438797927605,-0.123016699918854,0.666390253737647,-0.0131082696126242,-0.0570678122302003,0.189803562315939,0.0546592010795486,-0.0053836284648596,0.109841366039859,-0.0935278435414669,-0.155797788120601,0.0431643892492706,-0.150079286201795,-0.0919743913447953,-0.10614023329521,-0.0833543470561886,0.0670242468582075,0.118756837431498,-0.224089493704806,-0.217587558755461,-0.0661674976167123,-0.267096905009169,0.0546970685655166,0.250595850799027,0.26666331056443,0.0751492780490679
healthy,-0.0483689225653401,-0.23097986177885,-0.109732127772374,-0.0441288328835625,-0.118321520958602,-0.0911987226516225,-0.220959445571529,-0.170213017062054,0.0336508165020907,-0.0876605647396254,-0.238335418487182,0.603069553905206,0.218717936966241,-0.136691696385714,-0.0031195621322717,-0.174678151161699,0.0204288322482736,0.121310921335332,0.0385818404903014,-0.0610723701875806,0.142826040738719,-0.149317907651619,-0.0692416561290273,-0.119272494603547,0.104627313735895,0.126361057407048,0.204051941380094,-0.18297904365775,0.036250875270534,-0.178806096943279,0.082572516308837,0.237498082118526,-0.0112094889346421,0.0318388786512895,-0.0949031847967066
healthy,0.0,0.409392596143276,-0.191805036359265,0.0,0.346897878771247,0.405030166310785,-0.424579718748793,0.19422433658973,-0.440693683355114,0.0,0.0033435661755668,0.483836653226276,-0.189418525839663,0.216879474679044,-0.378469102108985,-0.125784589592159,-0.0431579474464179,-0.230133974472115,-0.261319360629287,-0.0680146815702834,-0.251198150688446,0.409770402572102,-0.123342659371989,-0.213338549440785,-0.232960506607866,-0.112016695057557,-0.0964992308071591,0.0154525904354603,0.126835269463234,0.0923536556448209,-0.0527609920589552,-0.210012664679978,-0.292716977383496,-0.183425153741383,-0.131154595818363
mild,0.0053954331479026,-0.276094954115717,0.239988831908537,0.0094565868910784,-0.456723342231032,-0.61981671296872,0.178248401508636,-0.0632837191573191,0.509162711024334,-0.0415862102065927,-0.13836890636853,-0.238145436167732,0.601467726452555,-0.614109949039745,0.654673046269257,-0.0178882819254209,0.320183011410604,0.515933371113991,0.508421353105743,-0.288070641396324,0.568793829477772,-0.419679302036779,0.0341202175874893,0.285919057898319,0.560502834662053,0.455711218619699,0.535143001695287,-0.291072924465933,-0.322903378931701,0.0297815834594223,-0.432506847592399,0.44928747080251,0.591342689991616,0.0682250068399749,0.16172201535643
mild,-0.102148196972024,-0.0954846469700615,-0.109400952186623,-0.0790500131746576,0.0544210608139177,-0.106831408549183,-0.120306055348417,-0.108181978153207,-0.123487648397812,-0.101483642801876,-0.146073944351233,0.429171056391603,-0.0020098175415514,-0.0629357550880834,-0.0302296012168871,-0.0251316539229876,-0.0601326415799565,-0.0497307923636629,-0.0389243649428438,-0.0496172956181196,-0.0390684853611973,0.0349488180320603,-0.0584955815746663,-0.142923281743344,-0.0023991083646488,0.0215182387052871,-0.0243960967191211,-0.266395793648827,0.277032811158818,-0.209212349680445,0.149133134097969,0.144017658179916,-0.0082617355514615,0.153531333112545,-0.0443378085771356
mild,0.0,-0.221122409646184,0.152308246825283,0.0,-0.170518991457512,-0.287391724651183,0.3892549494517,-0.291823563229091,0.312656491947307,0.0,-0.187274288703781,-0.0145412565821295,-0.0136552702517417,-0.161974873619454,0.290632814699047,0.149942679182548,0.0,0.0512237519582519,0.087288862123219,-0.113017121775761,0.0965114403794706,-0.285337124300125,-0.095501314022602,-0.0081274096523652,0.163463129692613,0.0,0.0,-0.0603549212241665,0.0881849681557988,-0.180918265627541,0.184996219959116,0.106700504831379,0.214720378042146,0.182819824348085,0.115292761015299
