group,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD244,CD54,CD62,TCR,CD267,CD226,CD29,CD18,CD38,CD45,CD49d,CD305,CD99,CD150,CD23,CD82,CD224
healthy,-0.2887418973205,-0.480481757055082,-0.395063736743202,0.492315222929758,0.117464247749684,0.285673295387856,-0.569874699472237,0.160541828301867,-0.233683774533679,0.322158761294945,-0.211343822626328,0.113406373393395,0.164669802506429,0.182707310853447,0.182351901852727,0.241003350744303,-0.378295565164175,-0.0063430426182154,0.358321829158908,0.302294775693842,0.0752307304174885,-0.251572524905089,-0.138596776210454,0.172337260654935,-0.270151616886812,0.152046902873891,0.1170640673012,-0.0475892425027607,-0.0036688730166244,0.260026147438822
healthy,-0.397029772671074,-0.771171141291409,-0.563250807036608,0.441334548640218,0.368997214440282,0.776644982002352,-0.392865340680306,0.0733615219442886,-0.366706423536865,0.664838134627539,0.0308060318713392,0.221329865258988,0.102648048465373,0.0301042109495185,0.259806979704654,0.0473160067546194,-0.511003739611465,-0.0482870382908615,0.356661436215025,0.31371917382578,0.202601878770287,-0.291243092269767,-0.0777722080070806,0.212448010235844,-0.479917800659334,0.586095003479829,0.256057379887789,-0.0329894715179401,0.433898638327379,0.530362048612537
healthy,-0.391424078706139,-0.76461474688608,-0.557600465287971,0.415483581759539,0.550339231632141,0.803696806492372,-0.162247484278745,0.181028182473206,-0.384414414586271,0.794295641309112,0.0242538323510696,0.531091184798311,0.261540838807505,0.0677046647994136,0.334684733225332,0.0071608085087847,-0.561285591303076,-0.0219202565129324,0.24834063265679,0.396402903108097,0.255343386315244,-0.521646503318744,-0.0928436870944734,0.22764206525503,-0.513791944140201,0.644765306639528,0.3450971702124,-0.0180176575205324,0.501885389398093,0.459494149027961
healthy,-0.287958828019422,-0.474333779190681,-0.336429247487599,0.249317963036088,0.328602076138647,0.451377534098865,-0.0991554756793565,0.167553055613979,-0.284640551244255,0.441120304860417,0.167292671485097,0.1113940152244,0.183142685293088,-0.0181173024100337,0.236878811124174,0.0908942131063562,-0.341320017016478,0.0166037573572769,0.328918634750125,0.149549267547917,0.190843756591817,-0.223008118540727,-0.0628131609525024,0.178166415422103,-0.194906407760799,0.440427743197716,0.14662752788912,-0.0249107437180876,0.436723659762367,0.37977670631386
healthy,-0.439246492199425,-0.688944999372215,-0.528056049223091,0.410242460556854,0.354997155223397,0.62598201728126,-0.413923123246227,0.207208344537439,-0.239367901480928,0.686271444100549,-0.118158731168789,0.282683382228351,0.171124582349971,-0.0641853482714004,0.389167513076927,0.034132514274225,-0.492395295111668,0.0057761304039462,0.463695344697715,0.329849287534292,0.269696670514522,-0.432863326481228,-0.133114513273916,0.281496120357968,-0.48453925863121,0.603820156077279,0.329427270013021,-0.0302682162087418,0.363909817873508,0.541186366747547
healthy,-0.333530586855985,-0.598834371121842,-0.354756965572177,0.270278286880711,0.350358401361142,0.66342340491172,0.313499327272955,0.284851724706382,-0.283680506833284,0.64584671171815,0.205115259113659,0.297587572964298,0.268052359935694,0.110917611325046,0.316365338695096,-0.128099839026528,-0.431487236297809,-0.0008270647732498,0.181792518797905,0.282196537635182,0.452801041734009,-0.574089415172597,-0.0476539876331574,0.233767241070946,-0.236262972775472,0.474089034306229,0.233259340496682,0.0416759556306819,0.565163093788136,0.308273251071118
healthy,-0.0814438720176664,-0.232569415850683,-0.0736345480356267,0.338527055121703,0.0048623103919618,0.208717456207465,-0.60526250381343,0.0978660339353506,0.0835546711386924,0.0905366598204632,0.0414930592507744,-0.100378596869759,0.0756676787820292,-0.214516485715406,-0.0147505384196672,-0.0463376829891397,-0.104742131217737,0.0,0.0731417793734433,-0.108137328994957,-0.0092134943986734,-0.0952936325681914,0.111441711842616,0.131654160810122,-0.0158023841790375,0.244536309387173,0.0,0.0,0.111291795524344,-0.0035017400904695
mild,-0.326867650224178,-0.556203110327454,-0.6789402576997,0.185650541002717,0.239551488670787,0.571689306635205,-0.302999478935716,0.585658833598082,-0.649557227622594,0.709678259188466,0.0037613132090989,0.354664281475661,0.507092166576278,0.468440036135591,0.602842868975062,0.0511731228610857,-0.483848026426973,-0.0086974842135884,0.572781640961576,0.46793177119318,0.51990171524751,-0.338099625244204,0.005473448941328,0.519847878944508,-0.399989214465099,0.637400657563148,0.237567883261733,-0.0169231537339747,0.155835060812576,0.225746397515592
mild,-0.250753854136769,-0.661803885219908,-0.477186639919843,0.324429514827534,0.385945732582992,0.627902516862779,-0.280886740211785,0.213097853666065,-0.236919738520038,0.66243974559456,0.0733541746235099,0.266727859924792,0.235631891355032,0.0856179682995651,0.254183396656041,-0.0261424899615685,-0.397993607433377,-0.0111558546686626,0.219356887292181,0.331116361972924,0.283671040582962,-0.400003013774572,-0.0553740649129168,0.0736462127832302,-0.182397712486842,0.405179975428511,0.294940874767315,0.0024751063511218,0.313034837262246,0.323238689416522
mild,0.297807896319904,0.162646505414904,0.385255515380176,-0.0349589333876161,-0.219664767496835,-0.156265199699153,0.243002343974937,0.198418237693504,0.537937972212511,0.0285046111630951,-0.0235584784727421,0.0,0.247646964583237,0.191653897105694,0.0992148139725346,-0.365086295439114,0.370716926008907,0.0,-0.237757462449765,0.0,0.0,0.12503303200831,0.522220384448361,0.319514486424461,0.142082595233979,0.0789208892706124,0.0,-0.0442782271821667,0.0570722054870463,0.0692473658650036
