group,CD47,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD279,CD5,CD62L,CD197,CD161,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD54,TCR,CD41,CD2,CD226,CD29,CD81,CD18,CD38,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,0.148354915744603,0.182492897647043,-0.0019745000621112,-0.232221554218563,-0.268597092213207,0.331860511407702,0.32432634254359,0.39636505024311,0.150247938064442,0.134234307747823,-0.396425971329923,-0.0164992165445188,0.0715777000453438,-0.054553427599866,0.0383029324283097,0.576214068360843,0.073890969900059,0.109292042522534,0.253792788138004,0.176560717571472,-0.0755290498973637,0.15979587517451,0.332687745974265,0.162389963845302,0.334189409531338,0.0033444446931638,0.0938644835437124,-0.121545025427529,0.280123204341091,-0.128934294282073,0.339661676042534,0.0956003614977586,0.332935954083882,0.446487225273499
healthy,-0.114319587384285,-0.139684163138115,-0.0097990298510018,0.0400324440650637,-0.0003644619108372,-0.172860668215837,0.0413737094659475,-0.0025585519493564,-0.0760728873557618,0.0675442355526084,-0.153618928047517,-0.0219521894576342,0.0281479762969471,-0.0436437767983707,-0.166345418582184,0.0550135642610152,-0.0160547496247695,0.0294858302314801,-0.0529489164084877,0.0890411155195587,-0.0769942093501125,-0.0867572273730639,0.0553644677608969,0.003790023365648,-0.22136175606446,0.0197365373374324,-0.115462040947484,0.0998418858704156,0.0436334056637318,0.207874061741971,-0.0150185273715874,-0.0010109479107224,-0.014724993312408,0.0386656875640802
healthy,-0.189068707325003,-0.215502598728119,-0.332111088510407,-0.405713082083367,-0.484369880222662,0.257489134463012,0.356146021494719,0.428027653769469,0.213141545105105,-0.11104276715539,-0.119731407529901,-0.281847265414995,0.167275546232191,0.164981296812502,-0.399354135905877,0.470408431955021,-0.125943494156813,0.415541281995136,0.0237423806681226,0.296197771385412,-0.484545000617586,0.0926906277453521,0.0227989092757776,0.332646702682996,0.262055802555591,-0.173920303506703,0.0092187251559273,-0.248931967809731,0.0854743846948264,-0.36117539084286,0.316311894991392,0.22261735871853,0.226231545279866,0.242502664548904
healthy,0.172792140116457,0.400372812512468,0.140607787238554,-0.123219605094862,0.0300528712194177,0.201833734537285,0.271132272458174,0.396510418284042,0.13590714446258,0.462094435918235,-0.458611695662965,0.045932443277312,0.0486721260108217,-0.0414741576020281,-0.0112277748448727,0.378807811871297,0.207096883705172,0.049008346871374,0.261703099290956,0.132509334211903,0.0179399323221485,0.276464808848315,0.315033047962358,0.151017738089648,0.186058225809013,0.0855754213674185,0.11027538111276,0.0321315013704329,-0.149026723014027,-0.0964019190877366,0.358225668493628,0.102758807526007,0.0255243519932877,0.261688633225668
healthy,-0.0975537483033633,-0.127803493327534,-0.300460980831868,-0.278399031402513,-0.248859750436945,0.0811570832066459,0.0610043052993164,0.19414588714597,0.0500578587365297,-0.206449641609027,-0.618146956937856,-0.0467783439260447,0.123107014885296,0.203211155199611,-0.251225359930986,0.233233614757184,-0.324991199012437,0.278265126256935,-0.042348014481739,0.290034525754115,-0.304929741808999,-0.181381154997224,0.032819779703008,0.337042213661299,0.0532443081347127,-0.151102390128348,0.0524461235736462,-0.321475659681064,0.0570376693179789,-0.20999515432131,0.0837042841883061,0.242941901824093,0.0741740808498073,0.183680628036587
healthy,-0.0626321903760836,-0.0362849289489104,-0.223730195311805,-0.675812901120168,-0.48147600773526,0.419029326390768,0.444873848166278,0.619505216332693,0.0743540199583171,0.0660824569469116,-0.180336131415206,-0.174331141807407,0.111429441887433,0.275479041688984,-0.300335524489071,0.675117476286162,0.276013967102113,0.345353156526189,0.231146776232004,0.283958497829212,-0.33272626980749,0.0758640052000391,0.164163357348895,0.312823258513456,0.504519362594808,-0.206377590248729,0.39375933283671,-0.606779615645711,0.128495461949081,-0.323551283230132,0.408629735489648,0.241947795508807,0.473290321331682,0.378414809081006
healthy,0.378361578323671,0.431294643797003,-0.0550323533732164,0.0456659799978745,0.104417097648781,-0.0215154404122398,-0.127813914184408,0.0485976734771923,0.0286103247116703,0.135712260374834,-0.559035472922643,-0.0266706416803706,0.0208515925864716,-0.0292431492565486,0.0115108119766292,-0.102686008241269,-0.105643172746695,0.0615849362437649,-0.0255499517582764,-0.0876660467402025,-0.18507799908147,0.0199899202586538,0.247319061777703,-0.0126131342222165,-0.112016695057557,0.112016695057557,-0.0780722420098122,0.0068627547023896,0.0573248664847474,0.174753876379282,0.0448793860043022,0.0,-0.137640190404406,-0.004836090498775
mild,-0.326298355331809,-0.230590171232035,-0.285645888185557,-0.506452667415246,-0.595741926987767,0.182929933536898,0.141871509391531,0.525801191247267,0.0676555655218796,-0.133334365861028,-0.125630263771212,-0.263174507371063,0.0730328118227812,0.55661676046637,-0.681445593464824,0.641904337636297,-0.0132610600841504,0.232045744413289,0.445986223739278,0.513839691972104,-0.415826373060228,0.100391241044378,0.254335395072009,0.568238238603951,0.478416202772309,-0.0713579122390806,0.46204866099673,-0.381333152658475,0.584121400493602,-0.436373577051299,0.607392922520035,0.185540902684345,0.241581435944816,0.162577661947925
mild,-0.265477578673075,-0.224797523513655,-0.18743102731243,-0.222106669896135,-0.293248118047427,0.159435202568353,0.0702004352737158,0.171776725621707,0.109951892974227,-0.183597975243751,0.177788076740581,-0.238323932802949,0.014327117813826,-0.0592636443015365,-0.103398140570345,0.247288968105938,0.0556595435839501,0.1100305381898,-0.0605755394835117,0.0433967618127584,-0.161290550422096,0.269044653528378,-0.142336627936784,0.185237868241396,0.105626324329134,0.025401790767969,0.001055247015605,-0.0599967781029809,0.213671439855971,-0.0335899313792874,-0.119885704201592,0.0693816682620484,0.0718905169195208,0.0015645462853712
mild,0.396179498168513,-0.002644851613329,-0.13394081264153,-0.153282052243191,0.0389513591360271,0.337052859549295,0.0360909949958668,0.118345517065753,0.0979048334945953,0.024032046458455,0.108631853134719,-0.0335478100785676,-0.0171162296319223,0.0227031047712444,0.0192386808234337,-0.0495144857252138,-0.0193435430271397,0.0,-0.0271393663272391,0.113313484046937,-0.0470152803778693,0.453688127752947,0.200569587731111,0.123363048952614,0.0,0.0757421334282895,0.0,0.0837048041747456,-0.203429685645889,-0.119121474066915,0.0366492616984109,0.0,-0.222858396254912,-0.203604435186752
