group,CD52,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD45RO,CD279,CD62L,CLEC15A,CD27,CD95,CD278,CD58,CD244,CD54,TCR,CD41,CD2,CD226,CD29,CD49b,CD81,CD18,CD38,CD127,CD26,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,0.0479768227829923,0.0063283648920955,0.0663918229811099,-0.121820530287394,-0.131034416280546,-0.132185855483742,0.203517644037585,0.183164681171167,0.055168468755484,0.047753038464697,-0.150408113648278,0.121321954367673,0.107575023014684,0.199994289591904,0.127767623566945,-0.212861620980914,-0.156233738704659,-0.0357696038131242,-0.235934632374686,-0.132321368989909,-0.248928523346229,-0.0967699798260707,-0.162597921327578,-0.182075281015025,7.7405197217729e-06,0.151638269098635,-0.406681494108021,-0.284835757114646,-0.163321808655957,-0.0456862559568538,0.007630967810134,0.0570469023968146,0.0027201327649281,0.101413353102077
healthy,-0.182656815269555,0.159908706187662,0.118235808064437,0.500497421144293,0.26683660373059,-0.162648505657384,-0.108322912630406,-0.440601012789469,-0.0797695120445261,0.75162921871767,-0.067800195129647,0.0970927572813135,-0.450455163991887,-0.0104772445644698,-0.069499817667199,-0.0695357471056474,-0.140593030205317,0.246273179296129,-0.128428742365785,-0.212792203646038,-0.277611908947141,-0.0839015405613648,-0.0409976305306984,0.0130935949668338,-0.0173458895769572,0.121495196204867,-0.083271698185726,-0.118902121879466,-0.201427523853672,0.270907917611882,-0.324018419683611,-0.167205763287442,-0.0476545440846481,-0.424140849879014
healthy,0.0700425381116321,0.37103318340576,-0.0497972457239437,0.723691434508298,0.537934880904485,-0.307045001173742,-0.48896576387961,-0.757010741869367,-0.137326474250132,0.227459284344747,-0.181301810174806,0.377031529358281,-0.767072469557294,0.0265031489749911,-0.538196262404381,-0.096880046960775,-0.357015375102311,0.527056890791063,0.0534896288863398,-0.19055845243306,-0.25329454132497,-0.3516100327695,0.0074851652887375,0.0917903183196436,-0.24663678206259,0.475885223551299,0.0642956442487842,0.139742702130775,-0.257243724721809,0.472631469379205,-0.594030526191581,-0.357400017396373,-0.432431993194395,-0.412308915185088
healthy,0.157265042030472,0.332771537489955,-0.113768465014995,0.315427526233037,0.232499258873625,0.0619108237456896,-0.103541350983335,-0.173114203916928,0.0021923789238241,-0.134004606791802,-0.103309877846448,0.259385421105284,-0.179873313432691,-0.0453169742490465,-0.0371228292710471,0.156524967833844,-0.15863635514963,0.25736407429709,0.254049796282709,0.0449337785300852,0.0347899876045989,0.0744616322204147,0.146651460995311,0.122415828603777,-0.101913760248629,0.203591971057481,-0.122460159355187,-0.159554928020784,-0.229665358857391,0.207804124205328,-0.140357293087655,-0.122956042657953,-0.268690012011606,-0.173109642311034
healthy,-0.0491278706072784,0.337570188197668,0.0034417119911878,0.556800033458563,0.356395184399807,-0.232628619863071,-0.243758174766591,-0.579278895467545,-0.122662260606168,0.520955574753715,-0.260578371625916,0.0988154083924388,-0.590438773967477,-0.0190587376015467,-0.0977551049354045,0.0077026050571876,-0.33273707496043,0.34271886467537,0.0613268649863505,-0.217004381357803,-0.384420026686573,-0.264562451719907,0.0744605196817212,0.0801654610608327,-0.303262031273978,0.275940262580068,-0.242356014678834,-0.362613080132938,-0.276951972800866,0.284753751620459,-0.474016353285948,-0.326721944904836,-0.269617377071746,-0.490263636295881
healthy,-0.266815969419292,-0.0740593830610197,0.0188427981750869,-0.0682937005804948,-0.0683196080165808,0.0678599212375183,-0.0765519333448844,0.138226365374095,0.0228122618468745,0.677871260937131,0.128854962726635,-0.0294794955209567,-0.0087834539078826,0.0613145655780344,-0.0403220199455324,0.04462098101314,0.0452291034573078,0.0306225990403916,-0.0619791854854065,-0.113440009378114,0.0007883785532816,0.0518996299040944,-0.0401923364041854,-0.03205559120561,0.141945025548164,-0.0254351573038244,0.123409393284888,-0.057272163472516,0.020871563032226,-0.0388351914064762,0.209085988604044,-0.0595429130516228,0.169129634126222,-0.136561517809912
healthy,-0.200213222809305,0.199844471264627,0.0950020451251312,0.291738580329817,0.171492174675481,-0.283809961186377,-0.0990920722109798,-0.330529816926557,-0.112986536573206,0.692328549531527,-0.0371359786268554,-0.0768708519122387,-0.213481662082898,-0.120448718696831,0.0780722420098122,0.177267874152394,-0.0150351147235836,0.353210350114945,-0.0939434437557076,-0.382431805982749,-0.137437102215472,0.112016695057557,0.0751896530867158,-0.0838912911037112,-0.0315198492586198,0.0377508470406848,-0.137264850520319,-0.322746836652313,-0.137777037735454,-0.0615130608908276,-0.308113510229063,0.0,-0.154206231677821,-0.0674851066033305
mild,-0.272496594252299,-0.199211183858153,0.369471585850575,-0.227935967042578,-0.584316905856418,0.172108217098961,-0.016013455049018,0.263972621896992,0.133132019206433,-0.0588115533281009,0.678749059314789,-0.617792408934274,0.385773079307883,-0.119931374168709,0.194998537625255,0.54354733362951,0.52554057823448,-0.318030931240215,0.144546813796046,0.218360857164474,0.598927131044468,0.480075988571905,0.199592969565947,0.0665204401646142,0.462499475291141,-0.235411410714764,-0.256024754754113,-0.428161033387096,0.536686337019043,-0.240163717277058,0.462057430160934,0.137663298838463,-0.0533985886149673,-0.0163392521550221
mild,-0.308770744601688,0.000926448166091,-0.0962923419565446,0.527588254101293,0.174576245097982,-0.220581143562613,-0.362567624245986,-0.642116692011422,-0.236355347745748,0.602709459477039,-0.224657514547929,0.116217488078136,-0.520847543763735,-0.120898502617858,-0.239378990329595,-0.166939878408305,-0.232479395164635,0.252862940705853,-0.0560317303528053,-0.383516518468498,-0.212050004026856,-0.202221192715119,-0.0197705937708284,-0.0406953818490969,-0.18735559617182,0.25158572102893,-0.0907708686117039,-0.0554845360790333,0.0450677452389612,0.0833291541247354,-0.354857380963137,-0.281568071086032,-0.257712985603957,-0.378980528428333
mild,-0.0171723563362769,0.165900093053891,-0.189893600199467,0.103742920266619,-0.164340524507767,0.108015987112345,0.244804775156258,0.190588298598413,-0.0280706165963525,-0.0320620902645529,-0.148491204168023,-0.126855084063506,0.308425197524129,0.170780152251284,0.0,-0.0705286504425692,-0.0592911520044647,0.0630144933137376,-0.126070856170987,0.144799515837758,0.109754828483669,0.0,-0.122688531737403,-0.0734896482491718,0.0,-0.0414580233630792,0.0415695772156939,0.157955482477093,0.257181889225954,-0.0079822246259024,0.139283014279155,0.0,0.260308861892584,0.222582462303039
