group,CD47,CD52,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD4,CD44,CD45RO,CD5,CD32,CD69,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD58,CD11a,ITGB7,CD54,CD62,TCR,CD226,CD29,CD49b,CD81,CD38,CD127,CD45,CD26,CD36,CD49d,CD305,CD319,CD99,CD150,CD82,CD101,CD224
healthy,-0.011472491528192,-0.0929077700629283,0.14325240529438,-0.156656734673193,0.0955415844894997,0.211218211718894,-0.240013008790393,0.0001881622206819,0.151817783034592,-0.034459426547664,-0.149448555740084,0.102414995369481,0.0418536450118374,-0.137468095723575,0.286752755272897,-0.0038961840219812,-0.193668884609405,0.145208574737954,-0.070346726906816,-0.0202763937620804,-0.0320305539466287,-0.0161109328356538,0.0411195461549405,-0.0737455983686396,-0.126669674682219,0.260792013816814,-0.133013176730247,-0.130710187736703,-0.102239545493814,-0.159874810054401,0.194335243614944,-0.09350360584169,-0.0679899756124836,-0.125462230252948,0.0249500468005244,0.172779146911462,0.280407816835542,-0.0049438442647365,-0.150043249175418,-0.0049959479354784,-0.259877204762354,0.0006506295173535,-0.126490488601097
healthy,0.140615807493706,-0.0062767574219308,0.424745679582632,-0.0083318450499588,0.687560606121181,0.501284438500825,-0.333545540997133,-0.268195843050226,0.192221338863774,-0.0482415194934732,-0.586652169345587,0.192756757201165,-0.0877750410466058,-0.115812018985762,0.72097416507247,0.186831349748469,-0.112998836936562,0.387643819170946,-0.536281627094181,0.003634979701428,-0.25269058731839,-0.0984223280000179,0.124063697513667,-0.228455175917965,-0.121347476474294,0.615413459741676,-0.368855478319387,-0.262337070533763,-0.138130508322608,0.0846380167436236,0.300620668041676,0.0397421218071362,0.0596263514131734,0.0007527047023899,-0.0831300064540069,-0.0656503682296016,0.35022333717779,-0.0825464475027146,-0.30059721826048,-0.1769186226701,-0.175741367360337,0.266870807705381,-0.460678271727192
healthy,0.0797026980972785,0.18179032796424,0.261987538060953,-0.156950511053551,0.275435892380633,0.422548841549117,-0.25391277179901,-0.165810958621691,0.170384914258742,0.215467987094783,-0.239707761997712,0.108522438415677,-0.196591137315772,-0.38448460208678,0.552635990448003,0.217590971340573,-0.181476298778424,0.416551343814393,-0.264092212866836,0.319542390327984,-0.349348519912873,0.0804684313553055,0.0625076568128101,-0.245683764574343,-0.37739890615601,0.433779144990787,-0.369035604435764,-0.28490817409306,-0.382852945895117,0.178810039089526,0.100508724382831,0.22039868617302,0.171358738900392,0.117174998471937,-0.386279020865147,0.0035046302802238,0.279878823638298,-0.246147572829306,-0.130384711682144,-0.173092782432438,0.078848916347211,0.0050787802342596,-0.0759036936265836
healthy,0.0073945993686241,-0.184490762948196,0.206520563068301,-0.0263239772233662,0.406025162873198,0.358750409096943,-0.110192937473433,-0.0583448202246298,0.0227985098381044,-0.0801641747533994,-0.390712988629782,-0.128488464122888,-0.0929025538117981,-0.128281030512925,0.563659587449973,0.0835284789739116,-0.0606877173209055,0.253077273832336,-0.277865257393139,-0.05008144635047,-0.0578262923762156,-0.149526647647757,0.155565363994277,-0.041897552416856,-0.0396720475688803,0.32688400411209,-0.198452096453874,-0.150079415912981,-0.128223391000913,0.047508404593387,0.177622671517356,-0.210339298375341,-0.0159820303302041,0.0185467063341759,-0.0139418374752291,0.0164213379194067,0.154484144017459,-0.071230378296495,-0.296775367479291,-0.154950054818531,-0.10836177053237,0.0442072124168233,-0.254404086544652
healthy,-0.0298409069416811,-0.0682280806174028,0.143148672806964,-0.0641491422071683,0.206767802668725,0.217518813618681,-0.0083200284636946,-0.0332140895548924,0.0298765272178666,-0.0180568037441448,-0.143463705623461,0.0067189444191755,-0.0357463048421471,-0.0714825430397508,0.746748662689282,-0.0255454706272683,-0.134595265865034,0.233996129144337,-0.170582531740607,0.120282472099499,-0.238087837599139,0.0317176627820582,0.0096942526684603,-0.097982147170207,-0.0434274499817521,0.213016246320303,-0.212300128855711,0.0125908669909877,-0.0466789261399403,-0.113044466954917,0.159732247417364,-0.190780562665651,0.0619620046812183,-0.184723268525222,-0.0443613787574868,0.128480366717111,0.159389894806674,-0.124275170163479,-0.0500350851104876,-0.169336472668367,0.088084185774052,0.0956856009514481,-0.152010896069298
healthy,0.0404489061076247,-0.0763802143679286,0.157152563252846,-0.113823458634888,0.543217845055565,0.384104188722187,-0.130316221572121,-0.476832713883157,-0.0542134957580929,-0.144654160207078,-0.599373728600008,-0.117333888647681,0.0141740318846412,-0.0363424197404424,0.277240237593282,0.106632152501375,-0.312139780120067,0.40983402161908,-0.633192479146917,-0.256304609265321,-0.349940554059261,-0.339211722153385,0.238315449306985,-0.343340636491048,-0.0097631995071227,0.336494799850961,-0.268350460302937,-0.253946173167531,0.0677940047182279,0.0908354283142138,0.427577529392839,0.0108524633633533,-0.099903815868702,0.0477045548792312,-0.007813737223497,-0.159179206385826,0.232204396344938,-0.0066851073525932,-0.400273621558712,-0.25242573456102,-0.470192489933334,0.224144461785362,-0.319750511553503
healthy,0.378145765620723,0.468355220842021,0.222137243698867,-0.0205595186859633,0.170211608600131,0.325972590571729,-0.130848112338671,0.111317918219138,0.141478372403353,0.0,0.135476683909088,0.118283570469758,-0.0964992308071591,-0.174722897471601,0.0969897057187578,0.048976996540317,-0.151929750726329,0.133235963182987,-0.13601755885753,0.0600008982244435,0.0072738113673738,-0.0613011760961909,-0.0942583938370902,-0.0758395849937229,-0.0695195621177804,0.199183800012983,-0.249787836482845,-0.112016695057557,-0.17546262395284,0.073223034431563,-0.0407208340109919,0.370434550343657,0.391318324667151,0.018000163991582,-0.220207991755471,-0.0552155357569075,0.0327193543808426,-0.159497269541266,0.229821105958021,0.0,0.0537717315497478,-0.200714588865009,-0.0100738249331604
mild,0.341071234856954,0.282565694475773,0.450538773215414,-0.159106030429972,0.576092616032859,0.623825219210002,-0.204788623759535,-0.35249637960406,0.210889755314495,-0.10790979755082,-0.48620212244769,0.206572715892945,-0.0122224623142207,-0.0762186915221691,0.272149601457218,0.250140356139633,-0.368344044688616,0.660866070093575,-0.599816744338313,0.0230500214253815,-0.358066345168328,-0.221935699281817,0.303910475233073,-0.409520736991749,-0.0922977687124401,0.581959106673892,-0.538809343340882,-0.372909812455473,-0.109610918965768,0.264120004780216,0.277509570591502,0.252699779089064,0.16322462290632,0.344340005768333,-0.0708167272120933,-0.246798297363112,0.505722302053995,-0.100016460210902,-0.549856734334208,-0.173797692725276,-0.181624920326622,0.0989793463875516,-0.221365073281764
mild,-0.111666365613552,-0.181077825024405,0.0922146408757894,-0.0910717571874294,0.62353309585524,0.33744684384653,-0.258306630705836,-0.308917326468958,-0.0983626246436566,-0.196914237835227,-0.620491166573288,-0.118224862557855,-0.0450545024771404,-0.0686069011969434,0.522959244881313,0.203312255065738,-0.283390293807343,0.24809588892086,-0.587342755821396,0.0205651841956521,-0.284089249464213,-0.308839170286238,0.348754105154484,-0.286619023711098,-0.0245779236473256,0.366350449940267,-0.287911992969832,-0.313339567532819,-0.0278427096658731,0.0379292140332741,0.405232592857776,-0.109084879238606,-0.175888294795854,-0.0346250903937009,0.0242083521951654,-0.0386420491417135,0.100942049185824,-0.0774468188143219,-0.332577323285209,-0.364978120828847,-0.308747975936039,0.0988152615841449,-0.364050262476603
mild,-0.250044545528062,-0.433981136548757,-0.196932395796864,-0.163036737164437,-0.262922559936705,-0.172530977208287,0.0761012754673921,0.147158112263329,-0.185940603170477,0.0,0.0775245273702789,-0.258390422614985,0.0718881644540735,0.154024128262705,-0.178638493473157,0.12118290579401,-0.0017554345606214,-0.322303086111602,0.214800130688115,-0.0039754504771022,0.0,-0.0013369243253686,-0.0061066081981912,-0.12275773724868,0.198458466794267,-0.336594279043644,0.288547589466244,0.0,0.187531266014841,-0.0298686214278723,-0.0153524814781957,-0.0365830963021529,-0.399461397843058,0.0201400722292242,0.215685577568329,0.0907757378078713,-0.0402170707903227,0.0222742187109988,-0.002205283631982,0.0,0.0765600777707743,-0.0447972105300588,0.179913537727787
