group,CD47,CD3,HLA-ABC,CD45RA,CD7,CD49f,CD194,CD4,CD25,CD45RO,CD5,CD185,CD69,CD62L,CD27,CD95,CD58,CD11a,CD54,TCR,CD81,CD38,CD127,CD45,CD26,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,0.0704711468543615,0.124540228137772,-0.168211116974563,0.504322352683059,0.31091184350844,-0.0633769620505728,-0.443319629530147,0.0162276068398994,-0.219417378752556,-0.557691884323952,-0.0034400175544733,-0.0708806027596425,0.019967007180014,0.53864215036111,0.277735966419247,-0.632036180746109,-0.261200410510193,-0.177806893973833,-0.268208567521935,0.288480799242507,-0.0429983706771957,0.0493086317580226,0.334824251154519,-0.0874067149945283,0.0526298524314458,-0.219306042321255,0.245994219546971,-0.397650970286772,-0.21707499007769,-0.163491492744358,-0.364152419354012
healthy,0.115632698157693,0.0923925222937359,-0.0483234565734527,0.384119648038759,0.377771017445137,-0.375912064042167,-0.148530379455362,-0.053915927319679,-0.0653494931250868,-0.335625038478217,-0.073075854208211,-0.0546572716534123,-0.208746548299923,0.549501099232464,0.268777800711181,-0.286281323777252,-0.174807940661821,0.0347940915011441,-0.0588044240854783,0.248274926466473,-0.0404836753101973,0.191437845660977,0.142540881640694,-0.104323392573389,0.0524557178157834,0.0453721080057493,0.232034503621219,-0.197616891694875,-0.0983552741106829,-0.172902699834792,-0.202548200448557
healthy,-0.157907332238728,-0.42763169889459,0.0721404913487937,-0.688050337357425,-0.594371597235737,0.43944694904891,0.524958517054172,-0.124444872788609,0.109019861985224,0.74592756097256,-0.159299225999038,-0.0997730472239702,0.067567691077758,0.0356187113731579,-0.425000638244636,0.719225707900452,0.465124319193962,0.206627687919296,0.293302545808568,-0.567111018247663,-0.0825380934221292,-0.586820887733936,-0.0437292402834977,-0.170285482015513,-0.117496085691455,0.174106114016266,-0.522246038742287,0.623857650792399,0.332639427141222,0.578009962605647,0.460761389140261
healthy,0.201843920808805,0.297286838926472,0.0354148631630277,0.405992411849008,0.315782411017061,-0.0036063273430557,-0.135695397942083,0.159705062749028,-0.140941150142092,-0.316179210311956,0.0042260307853242,0.089681341773767,0.0305595191927013,-0.422683063392276,0.239853383598756,-0.278771808169148,-0.175816804806975,0.0063964867062385,0.0077542519050342,0.287963716075362,0.175729880949875,0.143702051688583,0.124682809264946,0.153261389196801,0.116338144460474,-0.0317604048272705,0.0869710386813549,-0.103469255178144,0.0461388830323742,-0.205906369796872,-0.0275938575532165
healthy,-0.112735240810849,-0.224923875409093,0.0977441568476892,-0.391333527890478,-0.312681773851527,0.186198736600143,0.28878472449257,-0.0567747467387774,0.0643027541380447,0.331067568033204,-0.0566697641728696,0.0467643886044807,0.101717416750456,-0.659566835700443,-0.193733659548067,0.410424994755066,0.269905086308306,0.101037908420635,0.222000666019646,-0.278966338586237,-0.103612826696137,-0.217233792440192,-0.0088251166541961,-0.0792720041498075,-0.0053630175790056,0.0577150516294358,-0.329457933414173,0.249117104527843,0.213429025355317,0.116581144747626,0.225457874020525
healthy,0.102486708315423,0.0720479837575508,0.106043761680889,-0.136086900670173,0.0443912672821181,0.0015433326139722,0.284463348944643,0.134514469005962,0.244569487535131,0.231503279683605,0.209125249595418,0.0816509597187743,-0.183669445191766,-0.381110194255706,0.234332354456878,0.364759353617028,0.140131876671731,0.252726295799495,-0.0075340834633644,0.0289754291340668,0.105262114249739,-0.108189220929592,0.21486973579845,0.210063833899573,0.119645754512688,0.104267893306329,-0.0308829221850415,0.381683373754201,0.104677146644428,0.216393255054213,0.298691626074391
healthy,-0.249368206182716,-0.419593404447744,0.0,-0.407249627268518,-0.437337388643256,0.159132182329715,0.395421656501432,-0.163117910428961,0.0460674719933674,0.433109604841404,-0.0462873186355359,0.0,0.128442537668175,-0.34596410765465,-0.204233900407275,0.327131434451786,0.0315198492586198,0.163618577049523,0.283222911959411,-0.494300448098063,-0.0722531929159131,-0.055298491576028,-0.0148861888930226,-0.162390553714475,0.0947286979879139,0.161794169785117,0.0358424440940705,0.363602641063881,0.0,0.302894282808498,0.179923095022251
mild,0.102995027183511,-0.122867006722699,-0.162396705086049,-0.201174904935243,0.0290783412852176,0.0684291247384806,0.187661191112637,-0.0040764333087507,0.127428135194667,0.178662006915454,-0.0486613543309398,0.0211745648334485,-0.10271814267968,-0.191839661268909,-0.0441632563466871,0.209296646885859,0.180476332362204,-0.0489351979971375,0.0415987591721591,-0.163433573735611,-0.210191281119987,-0.218746234124805,0.421566445338708,-0.0371008112738236,0.5968845370997,-0.0292353425163737,-0.047328506405342,0.121733402714514,0.334611467537081,0.198922694817836,0.158009487722736
mild,-0.0838636403520329,-0.167739752227885,0.135602937443127,-0.624842809494596,-0.378995865720386,0.217495854587326,0.296411448285549,0.0140661867284398,0.120752108399706,0.611330897549657,0.0567678009046004,0.0487750618092141,-0.120446844043007,-0.432483348522742,-0.243374457694002,0.666649594165199,0.267804669268101,0.376269783085283,0.296018251137592,-0.358394072203957,0.069883259833295,-0.337899984725151,0.0625356063883694,0.0627737262541777,-0.0805354417242776,0.0794005820900148,-0.0574368937101196,0.363493607191096,0.353508164593941,0.333624866919302,0.354576629686347
mild,-0.259235253185973,-0.292983695632039,0.0,-0.220955713348903,-0.0607631103320172,0.100045311887076,-0.0849085801548663,-0.0974691428685153,0.0,0.0978772789011835,-0.103668912940075,0.0,0.194253386189768,0.181871162064595,0.311538129667011,0.0611502644207198,0.0,0.0773342592404141,0.0248294081121772,-0.274903670872559,-0.0351602917168705,-0.0486067617578688,0.274171869429259,-0.0248893958630353,0.044603290914397,0.0755423593997603,0.0038895477206329,0.115707256120701,0.0,0.129647356833997,0.0165084677178448
moderate,-0.211795874850904,0.0589831821598591,0.10974164450209,-0.0017018523745787,-0.0881120186832345,-0.0211422888231851,0.0137774031110927,-0.0578458519617984,0.0683662572303067,-0.122664544699864,-0.112960029444576,0.0676245438813737,-0.0063446948535353,0.121202326216236,0.0745522208765935,-0.0574090893503262,-0.0570501546696798,0.181119345908615,0.0474719420611416,0.115175172541203,-0.0613292825612842,-0.0120187450999014,-0.1274863419669,-0.0697288286111593,-0.142356656436536,0.0751980158471987,0.166539384612791,0.0143178827125218,-0.0202873020853603,-0.0001743502058796,-0.0716889764994966
