group,CD47,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CD161,CLEC15A,CD27,CD95,CD11a,CD54,TCR,CD41,CD2,CD226,CD29,CD18,CD38,CD127,CD26,CD49d,CD305,CD99,CD150,CD82,CD101,CD360,CD224
healthy,0.119051507769149,0.197056647969682,0.0481565382722471,-0.434329297617561,-0.176403844135058,0.1694040842301,0.280109252921226,0.585942782548067,-0.481855335045256,0.141909348742919,0.212522017539064,-0.0500793619767509,0.613968550845454,0.313485498493571,0.447147395246211,-0.077420397844648,-0.15076508517939,0.459273301970337,0.0747361594804128,0.289066452035675,0.256415552511338,-0.179518929524174,0.0849875195305825,0.235816855150859,0.350421743660948,-0.24105958577954,0.571595520417189,0.206943379566604,0.344148065069946,0.0185952039465551,0.0364100986403223,0.439400943828584
healthy,0.0484504458172659,0.132890430816104,-0.355293968769926,-0.665479521314208,-0.415309877165926,0.416108370268876,0.279392417873265,0.753387812525214,-0.548867226057194,0.17807921086824,0.115253420230412,-0.324193478164959,0.663911280482663,0.281249450152613,0.324243367929922,-0.512597029515966,1.23061299758465e-05,0.370905713672376,0.374237179556312,0.348996114920604,0.233359543923776,-0.309135537188179,0.206279270478413,0.347519576920683,0.314418566754742,-0.258943906817616,0.572424548011318,0.296154119981458,0.378501055574523,-0.168562707375085,-0.105366688679393,0.545886369286569
healthy,0.0257571710458103,0.0075649967488287,-0.320822079023508,-0.639045114913182,-0.477894222973365,0.393007108590256,0.33090441457663,0.683663208048312,-0.524704923116876,0.194746597020838,0.26605758793351,-0.38365763656175,0.611054031654602,0.249736531099501,0.214903995613382,-0.494237696317878,0.154073862953923,0.199012176853919,0.224649919548045,0.452981451708981,0.244001184493264,-0.472678951948475,0.132146229931944,0.157897463316367,0.264631120228375,-0.435774836401393,0.557726318117028,0.316015600794954,0.330284283520593,-0.121546270706489,-0.234924294177718,0.381968638184998
healthy,0.0848037379237318,0.185984192673593,-0.146027938489376,-0.365491409819812,-0.130317689553101,0.13571102833004,0.21530042896548,0.43278674227653,-0.172913516702841,0.0814391014072594,0.100663812416811,-0.185843625746543,0.417718639110497,0.175001026573246,0.178742814102267,-0.219197871967514,0.0874197134766778,0.209653990553716,0.250334904454387,0.114901813818069,0.158717336082625,-0.16659410555684,0.277724561414815,0.178291300928299,0.146420344724242,-0.140772309561219,0.402734204728616,0.128380797327637,0.337731907622688,-0.0100422669552328,-0.122395809462862,0.390279272321469
healthy,-0.221248081117011,-0.181374084777612,-0.51996442673878,-0.685600998801764,-0.553746251024598,0.351245109234366,0.254402076692719,0.615734346123316,-0.225637160229106,0.152939328962605,0.285380411275685,-0.320294519009603,0.648150949718799,0.145097145849173,0.334749625573778,-0.579819060854124,-0.0671107774150979,0.0977689329594266,0.388053204524892,0.310613540259364,0.290046871973411,-0.4789887393704,0.220222706228091,0.314187057988376,0.373759674702815,-0.49476525911488,0.576542663626869,0.286313124393421,0.385515753936504,0.0351215730971044,-0.230483949073944,0.518299982544803
healthy,-0.0575200934129948,0.0597205758407205,-0.248707826419476,-0.687869480201653,-0.464633260559722,0.341682704121289,0.48116826386755,0.710919766223998,-0.146009560288351,0.198876837215785,0.349675529581741,-0.403000999715052,0.724721812846948,0.325917320040822,0.31466226230474,-0.440592457708147,-0.0004520452239285,0.234658769787471,0.353188287204368,0.503372031463264,0.403151322188937,-0.524932277127285,0.0704144905274477,-0.0201551336360472,0.187632357384742,-0.349196726849834,0.493522849608304,0.265120555484439,0.496635684792109,-0.28484258109379,-0.182289381989669,0.416626240060522
healthy,-0.330280627695945,-0.211422093800597,-0.101941077275851,-0.0359069882289681,-0.269434536123201,0.0354080053746217,0.335207458594308,0.154311307944737,0.0978159797961214,0.0654643023063642,0.142389094822039,-0.252040093845053,0.157080580036266,0.0208475312437693,0.162853753456349,-0.269493846700785,-0.0236408337181552,-0.0762353267310126,0.138287959035288,0.112986536573206,0.0334595322899195,-0.0090136313421823,-0.0875377023929481,-0.186314615693363,-0.0483520062811002,-0.0189479623870501,0.0280011270492495,0.0,0.24027823906098,-0.0092488193259703,-0.0809253027449584,0.0788903068045326
mild,-0.210898815043918,-0.124016643858778,-0.282718492919358,-0.441166300026523,-0.47580909712677,0.176662475510704,0.0964754140760772,0.483842948210178,-0.403901856369223,0.144823348665959,0.545218913212978,-0.615065365849698,0.574245555950906,0.413771400664565,0.518302872730798,-0.450288949962626,0.0020473039890799,0.300342578063141,0.549075452612718,0.4591594427151,0.445110150895815,-0.372002171137742,0.111770431581454,-0.0415466649330766,0.570263211021925,-0.383912438789823,0.558985818735665,0.273661917069756,0.206766697167401,-0.141822513448437,-0.153848950879104,0.20931546501067
mild,0.0376890111254857,0.0906575397099454,-0.125832203913585,-0.615948890445868,-0.339059698415287,0.382562009543885,0.331139819058171,0.655428162124933,-0.225586059359858,0.199349483196245,0.335005917183624,-0.21302287799623,0.604225246710454,0.383553598296468,0.317191503743151,-0.260902888414288,-0.0282838892055652,0.324147837662555,0.296372296649628,0.347471842340326,0.279808664331581,-0.501574309547807,0.191667688563149,0.170077291523386,0.228710829069552,-0.0602614143795894,0.598820610778016,0.295952834640393,0.425605290896691,-0.103930153649304,-0.0957845446692067,0.392579578809866
mild,-0.15205277290507,-0.121402150654552,-0.0133693680767901,-0.421138344664704,-0.0453744515127604,0.158262184750621,0.245132313541763,0.358314957471301,0.108522563627179,0.0403943019313365,-0.111617798564696,0.191488346813712,0.492853305394865,0.178703534675897,-0.117095197755973,-0.0881636197231333,0.065263005354729,0.171856292645719,0.0895814250647167,0.0,0.0,-0.0334772623431977,0.295599850954941,0.3153624787268,0.392384237473666,0.0108561264233527,0.365295583544463,0.0,0.42054969016839,-0.0173429652822045,-0.146200349816364,0.35472306371749
