group,CD3,CD45RA,CD7,CD194,CD45RO,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD11a,CD244,CD54,TCR,CD226,CD29,CD49b,CD81,CD18,CD38,CD127,CD26,CD36,CD49d,CD305,CD99,CD82,CD101,CD224
healthy,-0.222544425604395,-0.353965160875289,-0.240078968365379,0.378199132830554,0.365189087541353,-0.291916545938607,-0.0202062787251235,0.0939365823562145,-0.218678748403304,0.439111748464117,0.198019258803195,0.0528635497185327,0.100639284949125,0.188384126936918,-0.355562470009727,-0.0069219742744343,0.106391147456318,-0.145528527383364,-0.103407377132006,0.0374692241963972,-0.0194343840564159,-0.34130951282776,-0.120778657646996,-0.113822305435416,0.0206799256733122,-0.224870145375797,0.240446087255487,0.0429404218825078,-0.108355160928303,0.199314153343153
healthy,-0.400233409507993,-0.735781540693969,-0.538714063146675,0.27605626522758,0.750951748848026,-0.697729240095735,-0.193897555606926,0.145278358281545,-0.408998368804293,0.643018203982315,-0.0209891437498106,0.201152054856465,0.0816801450566189,0.331266157744102,-0.564569668220472,0.394416380812231,0.357857085094127,0.0189554737352507,-0.106079864033653,0.176746254822372,-0.273628945846924,0.0723803138126135,0.321030088178803,0.0239525094500571,0.358436554986184,-0.300212055554746,0.547431688519428,0.283065462064565,-0.158614918838176,0.563800697516157
healthy,-0.350255661432616,-0.483471100841181,-0.516052762616788,0.353315130795597,0.474147336140923,-0.351012906531774,-0.320113637664378,0.181621595372311,-0.451416154307585,0.504091002998593,-0.171713055627569,0.0256615178090949,0.197611407193433,0.293605860130097,-0.521424384493229,0.374874615650441,0.343175610669427,0.260280947706655,-0.200668342052032,0.0128329374684729,-0.257028189746644,-0.248196877304337,-0.234275201308735,0.245520299281545,0.0943887345831423,-0.400458332833004,0.342868157151487,0.175619763462349,0.0034717570451518,0.245130726908734
healthy,-0.24215973129131,-0.570940625705568,-0.51097484429153,0.383111993963251,0.495040223995951,-0.267809482885877,-0.118909717356387,-0.133668351874423,-0.243659122431164,0.537345764309435,0.303310934554957,0.0188437832452577,-0.0873441973067052,0.0064374869379673,-0.317707730242571,0.0543068110899864,-0.0219335056482143,-0.0105221667559902,-0.173155038298324,0.0193804485810521,-0.195807044972886,-0.0962324665366996,-0.399012081132416,-0.0532455989328118,-0.0771845088259819,-0.289203705801773,0.252796740533258,0.123544881997563,0.115049011317053,0.202819381787353
healthy,-0.578806908795318,-0.799388774094206,-0.650888162145412,0.339441675904021,0.662140456439254,-0.339474722333844,-0.315599597170128,0.209521919090932,-0.395658184041539,0.709634301819176,-0.201216906920515,0.13330668398885,-0.0988526115250841,0.319851462341399,-0.642083749532662,0.438461786762896,0.388034499458472,0.0644042267992759,-0.355797420750614,0.219054192046098,-0.575695105799209,0.0787442914346689,0.151276461295417,0.144387642730881,0.262929801513425,-0.582602960869303,0.562395990521354,0.32306973756441,-0.0683755012367368,0.559537609638951
healthy,-0.316825514415159,-0.66657178465835,-0.568433537994504,0.440781811716695,0.657769242030496,0.17097326369604,-0.187798475095094,0.276814082427432,-0.315826095946975,0.707465219664502,0.266848410823164,0.197002515187423,0.147453505642106,0.312445385362722,-0.414308215695323,0.244237057084576,0.307665595062265,-0.0723288719966603,-0.270355121740143,0.367583595278558,-0.356040701915779,-0.103227599832494,-0.254262185602744,-0.0463567857556043,0.216529903921286,-0.336795499022411,0.468708839047255,0.388694221972402,-0.36940209873379,0.356212008044699
healthy,-0.186357100284571,-0.0750701632951218,-0.0124803849363542,0.0844659842545997,0.0447164597249351,-0.567235184446039,-0.0169722265238722,0.0253429083446768,-0.0414594635105466,-0.0399060735684278,-0.0657320188157217,-0.0298007047155503,0.0090391581806006,-0.15669455159174,-0.232856610031383,0.0418564286140505,-0.111046853541907,0.0226681340215633,0.0955293892915093,-0.0955293892915093,-0.0977293180850754,0.0844407282387837,0.262461614876657,-0.0155038712992477,0.0321561054945669,-0.0449053074923124,-0.0423950378271098,-0.16640679360998,-0.460208265626889,-0.0656152309475445
mild,-0.302680259940952,-0.459348526122907,-0.64247305987718,0.214260575297061,0.479896295398497,-0.157328247434491,-0.246002174635323,0.587437980828597,-0.657915009350192,0.614358617226961,0.0843613920794237,0.451493250168648,0.486273854448647,0.527216426895801,-0.435963071010087,0.551697266741083,0.46795694265525,0.0830246579389008,-0.0605075196573039,0.457608998187911,-0.235001862403129,-0.389946022956835,-0.460856494145212,0.0530154647911423,0.542315609849692,-0.359130997617588,0.53741515195245,0.0648859708857755,-0.1343357215853,0.1500070961597
mild,-0.143919804570564,-0.689613770651634,-0.424689921315821,0.356063827876913,0.652035482077648,-0.443189093425267,-0.244812109557903,0.22095552472588,-0.23742376729676,0.656179537616564,0.0695449800826014,0.317241089717024,0.126928158907768,0.281872575733568,-0.373732322151981,0.206080771374743,0.289136194321484,-0.0435888723315924,-0.0362670121361748,0.278661947471618,-0.381620798068874,-0.0015081304015534,-0.0956722016051713,-0.0679542139352576,0.0374305496751134,-0.120212672950661,0.363176197164227,0.330467816231674,-0.0764803614813622,0.334233294019681
mild,-0.423109351688598,-0.308138400891791,-0.306067673672683,0.39200742114744,0.449393844641734,-0.16909004176179,-0.126660099276225,0.1924265606117,-0.283606031476069,0.331793530567091,0.141740889213724,0.103037962370396,-0.0169477499285968,0.137057028740008,-0.436111785450858,0.215316731269029,0.0,0.139683478170296,-0.0718642965054262,0.0,-0.0957524917860763,0.216237798015531,0.201878357292037,0.131549970845417,0.0589816453007691,-0.0877041601764642,0.482161905524345,0.258123710518,-0.148070233571665,0.103982255664827
moderate,-0.178004184589616,-0.38629445797674,-0.258501662916488,0.368451819918655,0.317688318933803,-0.175297870817675,-0.0431731460867634,-0.0940023234871495,-0.0461174533484644,0.504497500738765,0.300595013827311,0.168587438149005,-0.0570003712219968,0.0668918572005312,-0.218394279549066,0.0178757898651052,0.0699499389445139,-0.0566583814389936,-0.185189427808693,0.11890272787877,0.109044133538751,-0.257279433318648,-0.0570393573367728,0.0047560914512855,0.0352665069046118,-0.112795922577905,0.27215263961671,0.078436999190884,-0.132658802271432,0.24342698380094
moderate,-0.451770279182075,-0.743067734474733,-0.575695641714494,0.210545924116733,0.521500974067868,-0.572455104367381,-0.247712070457085,0.0516714543723362,-0.37057673740064,0.504278045024095,-0.0706021246869048,0.0893204666772171,-0.0050011497872418,0.116556481382783,-0.483235831254257,0.20481402334751,0.173852003867299,0.039502254209176,-0.168857580673392,0.111733912565628,-0.410042640157066,-0.0218447035417502,0.0241899862806312,0.0761479835553656,0.147545116780426,-0.368729213319734,0.357313009783845,0.174339587319301,0.0997515983759719,0.256028073953101
moderate,-0.369763346167113,-0.639711491600074,-0.606769141989643,0.238691844082175,0.613967033936053,-0.417594391456465,-0.368467375936001,0.137388338474622,-0.514716434057799,0.614837359316223,0.294313279934659,0.197284523268752,0.114037648412249,0.221498163638669,-0.470028858638943,0.177897025696566,0.0922729590985662,-0.0360722133245336,-0.229808942953271,0.207009585816164,-0.0547677020715003,-0.315045617041938,-0.460705744355757,-0.0197781192096865,0.143129365953911,-0.340802405633615,0.24071710845519,0.194540137262506,0.0391275571223959,0.328801532247053
moderate,-0.133866986892485,-0.400352163731142,-0.419967474777966,0.205118825296774,0.430886538202126,0.0271477436695401,-0.234101790936142,0.0698116125460115,-0.159604471843595,0.470827037922533,0.508573005233738,0.0880328757997294,-0.0491149390244695,0.0423307999648002,-0.0811711885769963,-0.0055966423063541,-0.114506972361103,-0.0274992136921453,-0.177223012883187,0.0875976394901303,0.134960241202482,-0.303022661223403,-0.492224185911856,-0.0515102230374336,0.0438310779328988,-0.155630442432486,0.0591608990291913,-0.020022145089876,-0.0541550456864865,0.045932637427825
moderate,-0.204307813584173,-0.476121579637458,-0.438401424618588,0.168150116771941,0.256638969294544,-0.263957483755887,-0.114244650230009,-0.155086745046515,-0.264028741008404,0.298211298262214,0.21153245602006,-0.0113332558182218,-0.124387340140661,-0.119476886056972,-0.23766698245042,-0.0375869619365308,-0.0636214261298026,-0.0580878028206804,-0.281164911075825,-0.006333682337534,-0.0709891616976216,-0.235364763141573,-0.363239101265341,-0.0901380397110268,-0.0187590037090808,-0.21176311046122,0.0035565712427122,-0.0569224092533867,0.111722409469228,0.108084724598091
moderate,-0.222462915854433,-0.308154945290543,-0.350745036560478,-0.0421569671237847,0.0191703848760055,-0.403030101720908,-0.178619581209316,-0.0257480576438516,-0.259932678747097,0.0554436169378344,-0.138660558314638,-0.131718990529375,-0.0073094435617377,-0.0692535777169168,-0.359126318033375,0.0002730290700702,-0.0364826839884514,-0.0044982824816176,-0.258850207611695,-0.079984437143217,-0.0920792734066557,-0.176112657466338,-0.212984874277187,-0.0595369077556637,-0.106556722781978,-0.190943238418026,-0.19568397500222,0.0013166510222926,-0.110275616251406,-0.0403747400603298
moderate,-0.343813122075337,-0.540559008114171,-0.312459630131572,0.221967199503834,0.375019812805736,0.0070326293744749,-0.252186629948969,-0.0140099669002733,-0.0899503230558348,0.618034224601436,0.106281712267832,0.0751658692546236,-0.0348892860803215,-0.0506951353062848,-0.436681625651095,0.117760424498857,0.14080336703314,0.0139750282220798,-0.288251379871398,0.0864441975024006,-0.128664412144377,-0.253188765853402,-0.162043026120382,-4.51205320497725e-05,0.0144440015928503,-0.189646117888299,0.272304513837762,0.118875634890561,-0.160099316924703,0.174057710721781
moderate,-0.526420457434915,-0.736259371817487,-0.597142316604639,0.329528394680401,0.702398523942024,-0.0053337409059915,-0.30227811288683,0.114651568746995,-0.372423311221528,0.672122572528942,-0.0548756116248694,0.105438751341211,0.0191178106601579,0.220446145879902,-0.673078723247011,0.381775473744,0.260790659269246,-0.0719369365319761,-0.267479531658975,0.228589239801394,-0.499947697465735,0.0622099006154175,0.158675637016866,-0.0512544620539256,0.292184216619868,-0.49498478667712,0.579485554412751,0.45288361671494,-0.280443277005953,0.424908887849605
moderate,-0.296777015584791,-0.515617072680707,-0.384328129970416,0.266098097292682,0.424201241916562,-0.214773626694038,-0.20601488080265,-0.0322483372730464,-0.153950005175711,0.409666410104926,0.181783068296632,0.0787427112167891,0.032999555830099,0.0345447504363015,-0.406952869421511,0.0898238645666757,0.292548331098386,0.0919472343502025,-0.173162774419585,0.166001233997628,0.0749668614801559,-0.0240669409145972,-0.293404618728568,0.0872510889451318,0.076722254501616,-0.193630566295311,0.0791537821220676,0.133880114302306,-0.0321655726685297,0.240534869782055
moderate,-0.378654097156098,-0.758363824244772,-0.537689360952479,0.524040846199636,0.736991923919189,-0.287724798903552,-0.245447743247939,0.120555363148558,-0.347089337086521,0.75935640345601,0.352541946846633,0.218783984943148,-0.0067630556234619,0.242656782320322,-0.516683225750966,0.264522870735691,0.425163793106852,0.113121228002,-0.320631593443939,0.314774136408117,-0.197691693090232,-0.0203642485482491,-0.265372994470949,0.0396250197338003,0.179904595913878,-0.420200947866923,0.53002351916575,0.40106113955658,-0.251502558287583,0.43223982166747
moderate,-0.294254493928786,-0.433393354062698,-0.422415257383055,0.220614139655032,0.392609360719715,0.001690633917767,-0.284754613264282,-0.0126766530397387,-0.451601095903743,0.304741631705965,0.287958581412329,0.0664788426957591,-0.110451208013569,0.105172525614626,-0.332668289357307,-0.0674034449289048,0.015973422403474,-0.0948353308898065,-0.238105057282792,0.0898302005203936,-0.0198025080597939,-0.320591727494831,-0.186394144134404,-0.121672332165869,0.26236135524184,-0.124066957188662,0.361201801952499,0.184210864347799,-0.0548442399792674,0.0351636509196376
moderate,-0.373957601462471,-0.719339642829618,-0.629642967615615,0.264386526061484,0.487683919589674,-0.437316027457265,-0.363922681577063,0.0261062069898378,-0.500712301354777,0.518581321791352,-0.0649855343454407,0.110603675662188,0.0663185836972455,0.194913371569547,-0.487134209764786,0.274364454641986,0.253519037762143,0.0953608496719472,-0.306533880067332,0.166510842602233,-0.293890481719613,-0.0499894413881249,-0.291375370080619,0.0382350987605254,-0.0200073588874518,-0.256983046956467,0.378680716386534,0.314789134343515,-0.0184531227039702,0.23654586634859
moderate,-0.249107398878479,-0.566343798792266,-0.281993749512945,0.425223705790481,0.53725307905294,-0.430569168893579,-0.0785150191471588,0.133786348167448,-0.0993303139261937,0.630164742414137,0.261466093987963,0.276240271794355,0.136790301515441,0.221959854057287,-0.410666270604964,0.134833813974632,0.198805284844901,-0.0475412777614584,-0.160477838649613,0.376024780616634,-0.0785878144794188,-0.114728587082444,-0.0496801027111405,-0.026462517801122,0.0637708252841944,-0.208804116024293,0.310113547601623,0.229450539861776,-0.0016488934887231,0.336324116733634
moderate,-0.453541995899269,-0.711560412342557,-0.681435366618879,0.322138803614706,0.628649072644373,-0.247417165114638,-0.452049924740335,0.0900542273834831,-0.41327492528526,0.692237753366321,-0.0518007894540486,0.163843087892056,-0.0119575729397657,0.257470468861828,-0.582450087643772,0.448085604464421,0.343433974758038,0.13023924269712,-0.29099572486543,0.307547469955914,-0.494864806973692,-0.10237433048048,-0.0258466632198733,0.144018485510128,0.300135202901107,-0.478192328191923,0.539848535311393,0.349153322001314,-0.375773658798506,0.326330357481149
moderate,-0.301482667280084,-0.615551184613886,-0.536801460827648,0.152049399060385,0.633842505771778,-0.327436776436,-0.269672984581263,0.316435559510742,-0.322199083562614,0.536469725614748,0.0192432479470798,0.30948200864209,0.100484099531233,0.273557739107668,-0.482386062136429,0.212355359936499,0.148906014064427,-0.0684338388148048,-0.0754596254792121,0.190311815009737,-0.421158077521872,-0.171917081980003,-0.0213074682888817,-0.0165663622895469,0.302724256021298,-0.249456851191119,0.540021589273664,0.245892790468327,-0.0050796090881474,0.376504324206676
moderate,-0.356952012862923,-0.507209347812645,-0.217331730389219,0.429646387816132,0.54357258579586,0.0261189243482769,0.0,0.199128012277064,-0.365970841442671,0.407512593443165,0.344816350330035,0.281875766831235,0.245997484017663,0.416839229544497,-0.426852408379916,0.18784489915796,0.0,0.058827770355456,-0.0831067660128631,0.116509174077798,0.0700707279399873,0.0471020161405604,-0.194329784082811,0.158851466639253,0.308746097683179,-0.147227094123661,0.428371706843507,0.225311073981008,0.314840056912305,0.191093900844942
severe,-0.303366690837281,-0.481599539965352,-0.36835883750468,0.163672363188867,0.513598917986801,-0.158609486162553,-0.280220761973679,-0.0111680333931176,-0.198851703651446,0.451678409163535,0.23474495289703,0.10593682901319,-0.0059764112301964,0.115299555644663,-0.364417100648008,0.121297052628978,0.16912191592865,0.0303330197530053,-0.209867446362326,0.108660285106003,-0.167896349270187,-0.05793417871466,-0.155039672779949,-0.0154508369619651,-0.0010294769682319,-0.271355021589891,0.255704417580909,0.123244781363507,0.0895561944647752,0.256186100565352
severe,-0.185730371645822,-0.421418608716389,-0.349434407885163,0.195865884648188,0.307742810290204,-0.371281728011357,-0.208161217037608,0.10708900174125,-0.29782637627491,0.48126475203433,0.179993650034279,0.0690274338902823,-0.0347526938878909,0.130173665285354,-0.259546014076349,0.331527203532428,0.183388130965407,0.101303378253636,-0.239725852760498,0.102338421017342,-0.05425189700456,-0.0780135716500629,-0.0509019386380074,0.0732771889411293,0.685869471004265,-0.240519521846643,0.365856576230097,0.0459271036587914,-0.154314118255574,0.335182026380005
severe,-0.523081211483064,-0.638776249107075,-0.361053661057989,0.420668654575214,0.526641936130926,-0.106884646073193,-0.225312271114624,0.0441050008861967,-0.344428665933073,0.536819646161691,0.164565919713116,0.154777927021597,0.0515756314241419,0.159921532424348,-0.542719679686396,0.246488867616233,0.256057537174295,-0.014148795049456,-0.249046764121886,0.185621897553851,-0.0884209145756554,0.019740230290564,-0.14852584487559,0.0287241015406526,0.13837354366797,-0.287024954551955,0.306789437944013,0.352346567057806,-0.0659211961284194,0.398714623243358
severe,-0.364096774262497,-0.484941449088292,-0.411901566021254,0.129020540290865,0.193943961280409,-0.0321892574183968,-0.196501690764561,-0.107531678728656,-0.361266239182798,0.194576196797129,0.0005377638832353,-0.12840444286487,-0.0592104032308487,-0.0981334783913286,-0.42134275904762,0.108281234451662,-0.0765851390682795,0.046362603787794,-0.293270587632852,0.0158934396386551,-0.27997402618291,-0.466028974636743,-0.391565329836889,-0.0119526290911631,-0.256984338737135,-0.228435895191044,0.0882863149408659,0.0243207943732155,-0.0722389099124954,-0.0566838674391014
severe,-0.129126165485522,-0.654976590540673,-0.171797937379689,0.412770588695573,0.569465398503135,-0.334724639501007,-0.192975765979582,-0.0181552421063772,-0.125796139674124,0.631782697510508,0.239742661969797,0.0380055751000838,-0.125533493423121,-0.0445971786519671,-0.301749173864229,0.0664776181012325,0.0793745287671691,-0.0665119244499069,-0.141775987994658,0.10928509747455,-0.325552684274444,0.236022643429101,0.0548362968015723,0.0145131669664219,-0.0694243461652991,-0.329938194429998,0.204132690106423,-0.054792018872975,-0.132221180423949,0.314290142990094
severe,-0.532886317462441,-0.773299701933726,-0.631469148707141,0.479193553608894,0.669078141771956,-0.164674881358006,-0.29847091790865,0.0038159090181188,-0.614149866578138,0.689105313710148,-0.0142944329950617,0.0818226398319573,-0.117708588402112,0.343264917072861,-0.521195659866952,0.272473792785871,0.234767208964545,-0.203767537656505,-0.584567925777187,0.18480023580527,-0.414621695692206,-0.216554951842741,-0.225399491115993,-0.234981862325407,0.190613173599879,-0.592692101638018,0.344071100077869,0.601439054249942,-0.0537166002997336,0.555528573073581
severe,-0.425816058587039,-0.63483479427459,-0.547817406761716,0.211192981148807,0.387894704123358,-0.443508381141226,-0.238185657273865,0.0006321655606908,-0.404522489550692,0.360394921491544,0.0637555507988375,-0.155871620602102,-0.0633143620116204,0.0349046507504584,-0.467912061118997,0.0505071365311046,0.134539828764496,0.0389109776566443,-0.36876406509126,-0.1035938380456,-0.226629031500708,-0.334218578324128,-0.246294824833476,0.0712168022488057,0.015631359963308,-0.398443728580247,0.163204722804968,0.0281654663837102,-0.167379330738801,0.230260316019681
severe,-0.44886616488737,-0.555424457834998,-0.623026578760685,0.375062549970379,0.433482512479337,-0.367104717779997,-0.230742465158323,0.0482009317234296,-0.430595755542268,0.665072666186069,0.177243318750011,0.0257864398165528,0.0775169349186985,0.221942504401285,-0.54822730794956,0.242489583150994,0.212482991546797,0.0381679821379536,-0.392311765177438,0.181004192520746,-0.168751146441669,-0.325569710151478,-0.351070892473765,0.0058065179223686,0.228973795135146,-0.439680115812474,0.232480119563331,0.155526648607516,-0.218569072067795,0.404044645965849
severe,-0.135392535392535,-0.235233523371716,-0.380412686999187,0.163461038681758,0.0760551859661235,0.10980922485037,-0.0997151845418962,0.34275107983814,-0.233699103568485,0.230726774793731,-0.139175373292386,-0.447219376305873,-0.0601307722777974,-0.0429839847200792,0.0337629146320417,-0.323156784359051,-0.0197843173991075,-0.533642310898131,-0.0728534652596747,-0.267730125468197,-0.261598076114139,-0.0200823899550133,-0.166883034074078,-0.603458314846632,0.199055684337513,0.0281200329466579,0.0367312672136246,0.322424874247735,-0.208129431119306,-0.0145277092152739
severe,-0.315505335873605,-0.233417649988324,-0.244178242631139,0.263318078367349,0.314739305411248,-0.0591679062555012,0.0,0.184537356053422,-0.267732357725462,0.483592811665089,0.445211738313253,0.258502970961168,0.322923037177071,0.314167528429431,-0.252397970182358,-0.0077131360436977,-0.0588380310732097,0.0235428883531455,-0.0060656250783059,0.0,0.303434511526474,-0.294752162117535,0.0512502006076942,0.103986488099909,0.316621150430494,-0.0286699435241403,0.294179028423186,0.157435777287465,-0.264101896414039,0.0150556523572783
