group,CD47,CD52,CD3,CD56,CD45RA,CD7,CD49f,CD194,CD44,CD45RO,CD5,CD62L,CLEC15A,CD27,CD107a,CD95,CD57,CD278,CD11a,CD244,CD235ab,ITGB7,CD54,TCR,CD41,CD2,CD18,CD28,CD38,CD127,CD45,CD26,CD36,CD49d,CD99,CD82,CD224
healthy,-0.269649618868455,-0.158178474116097,-0.217888219947628,0.0648071306416959,-0.317348080207051,-0.271909209266893,-0.0760733517540575,0.218047719470713,-0.0379593841433165,0.248667163597233,-0.180280406023064,-0.208810635560225,0.157174584224753,-0.228221420885452,0.0517851351046938,0.316340349031145,0.0949410652534282,0.0719784536415336,-0.0066564808311539,0.118917850665556,0.027470425454937,0.035853913878723,0.188288824335625,-0.350691167823136,-0.184094636188844,0.0037596239016193,-0.0007827213542656,0.0005298012805572,-0.0630510813151558,-0.314027818089513,-0.104803127904695,-0.046503192123522,-0.164817327760651,0.0679925467067211,0.133325573724429,0.0210744917929815,0.117656489714437
healthy,-0.0190784321105632,-0.0412268212428326,0.108332267143624,0.0640590511601577,0.262535820564211,0.337404517322436,-0.307130605343106,-0.245559132462263,-0.0713256695769898,-0.323477150670844,-0.0734540146534124,-0.0476522716072066,0.0474711244983578,0.214607571190648,-0.0120994354879113,-0.24735723306693,0.0038254970662087,-0.135799397005783,0.0726315432453643,0.0316875478390024,-0.0279418580877317,0.0400257878839399,-0.0012900842683549,0.177489413471606,-0.180722130349065,-0.0628074789571876,-0.0386622588798175,-0.0890607807964734,0.166568734209246,0.0262784384438684,0.146085805170559,-0.0803642244014958,-0.0945847654063252,-0.0686081011506399,-0.246859785258107,-0.248592050883925,-0.228774169138657
healthy,-0.249170596883755,-0.282483047998055,-0.178130839638304,0.147102429143573,0.02454075753407,-0.277209640407103,-0.0011606034659571,0.0815586780245293,-0.150974426834074,-0.0290058047845041,-0.0527629006957037,0.117034715414761,0.0559674328637913,-0.288749120892287,0.205897962552358,0.0512730548423338,0.0573388425557991,-0.152704952189568,-0.151997768639601,0.195480392166784,0.0740319948642625,0.0843846353146669,0.185358693999604,-0.226422897484853,0.0501183584040571,-0.117943596073175,-0.128356682310601,-0.182203989864177,0.0248480220693904,-0.295564277572054,-0.213040744018293,-0.254308016607215,0.118183858184009,-0.0271130357413472,-0.0466865266661595,-0.0017215735013613,-0.0206043280290876
healthy,-0.19571620087489,-0.0564213679726161,0.0034529668166388,-0.0493917778033271,0.007392731893777,-0.178368255730591,-0.181333815480584,0.0366617554228506,-0.0015222998238022,-0.0135412159797329,-0.0935734761601584,-0.200777841790468,-0.148035384798952,-0.14300881215988,0.0239295732031614,0.0667313630342663,-0.041677183143423,0.0043908820183572,-0.013407908394399,-0.0119166124034147,-0.0822766215628864,-0.062746432417581,-0.118444513583033,-0.0167134903457826,-0.194090230849397,-0.0228109836829153,0.0513745140220205,-0.0754079742092792,-0.004054097686738,-0.225843935082448,-0.0145964205278172,-0.356673106653004,-0.196347996323667,-0.108455031508347,-0.0576760678608921,-0.133962217539643,-0.12339723888067
healthy,0.246440608853738,0.261275084019936,0.466282284411571,0.140872234103076,0.420427080000466,0.40229586266737,-0.22622953474016,-0.0662157406553235,-0.192188496775116,-0.371028538275902,0.284735859604001,-0.0922654092967453,-0.253218050257629,0.316288456950301,0.137665239261887,-0.272822821889072,0.0866661907741559,0.248701226083511,-0.0046106094251888,0.137118815918779,-0.0247107694365817,0.19530384378264,-0.19945583786806,0.450428308067324,0.0955395925513021,0.0608309691044327,-0.0786503438318956,-0.0066047121569631,0.381635918356694,-0.29366164048054,0.297261422236021,-0.324671521903292,0.0938043277067122,-0.190371006721277,-0.375534101343236,-0.311587505904576,-0.318518417995156
healthy,-0.101785587323493,-0.0654512766614209,-0.116365021676731,0.0393149321034166,-0.371509961401779,-0.238756510029358,0.0226315884549356,0.279071207781569,0.158751882847383,0.438487974906985,0.0282978936453122,-0.135497002242581,0.314803848947005,-0.140340920167085,0.0802154406938732,0.487738687957708,0.183561838906244,0.234787875512316,0.246925278715902,0.169522520399109,-0.0159379607983999,-0.0189152459268214,0.231302994692393,-0.21086151103251,0.0239431489508945,0.125631577171527,0.387339770829509,0.121415463872178,-0.149954914146173,-0.132274342592956,0.0182568113828343,-0.328794552210332,0.0146337919213566,0.208838857686076,0.288691078333311,0.196966158732759,0.198653441426677
healthy,-0.364693119320454,-0.486471840841363,-0.618959463894326,0.0412182644151182,-0.354508969248762,-0.380627095467627,0.145597083085815,0.409433601269,0.0,0.313115918525136,-0.0711027610410873,-0.196572966601684,0.151892234535538,-0.267561323372246,0.163642871476571,0.284904888699618,0.041496484809455,0.0798214013259473,0.112585488260371,0.178145869260602,0.0,-0.0313832670724874,0.171933722967357,-0.590590990439732,0.154639167173647,-0.0264143522795416,0.100378596869759,0.0231914245488475,-0.0161498025665796,-0.16949287626766,-0.35380837009618,0.0388274179385503,0.23949846769416,0.0859619400224724,0.110451436219358,0.141658490380088,0.0919690234041112
mild,0.0444880800692468,0.0277143927960597,-0.0953392911362424,-0.386966911938196,-0.0455554512033302,0.177819662481805,-0.160976379490422,0.410843347364921,0.0008638208435657,-0.0253933883706511,0.0097753596338749,-0.0520950082408341,-0.567779369923623,0.231576400677669,0.0792396767222657,-0.0500149352095608,-0.338701578732942,0.238923820497574,-0.342467947818537,-0.38285538571996,-0.0052461696362969,0.0687727927279027,-0.318600203611681,-0.0533662321728321,-0.0630932014255839,-0.207792636438104,-0.294366571101979,0.277376971006994,0.199548266346177,-0.134599741900671,-0.132316654319925,0.162915723235313,-0.0411133133812086,-0.410339364462591,-0.175042334396083,0.134204257149064,0.181571211906701
mild,-0.075495332301857,-0.0382577316060353,-0.155543095907914,-0.013608534362995,-0.385014252901046,-0.308157357256215,0.0538034279364885,0.0671168912214827,0.0410818581303974,0.291311057085877,-0.0760330675416801,-0.0947318342217731,-0.015196304861464,-0.136497795194477,0.019143018781005,0.295082285889664,0.0581516151828173,0.0094238419320643,0.0440276109377952,0.0723505474089416,-0.0390241665353755,-0.0179557223177636,0.0833449456438666,-0.292457764094547,0.0817323917886756,0.0154925973346862,0.115303130586633,0.016098528395825,-0.110436265238885,-0.0653361777915436,-0.02937487169323,-0.158067250411458,0.060972501051307,0.0613527144344726,-0.0633111131302927,0.0840798498978528,0.0573450752829851
mild,-0.0865390782461688,-0.180503871955303,-0.0429244750166361,-0.122552204164563,0.246774977610055,-0.165345395091863,0.198523164348995,-0.225511614992484,0.0,-0.313957484228595,-0.0888317607557377,0.228418905477617,-0.116093770034685,0.0784003446106587,-0.0072621309646348,-0.308673707840246,-0.0634740675268675,-0.142552857297401,-0.160263062962024,0.0852565182840549,-0.251254145811701,-0.0949066910242327,-0.157053968472005,0.174539853764656,-0.061288477299513,-0.293202800275685,0.0,-0.128882193903754,0.0675103157999568,-0.0518960111075332,-0.285433147580547,-0.0302449231711871,0.114953564130299,-0.142088513631725,-0.0300629411428259,-0.0952001221387449,-0.313428886105501
