group,CD3,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD62L,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD235ab,ITGB7,CD54,TCR,CD163,CD226,CD29,CD81,CD18,CD38,CD127,CD26,CD36,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,-0.517318885502897,-0.272613479421971,-0.583561027805533,0.0481893145322063,0.0255813617219728,-0.487833983175441,0.0244740329607862,-0.381913091290547,0.116945746892749,-0.609205484010483,0.035144289012962,-0.136015152396139,0.12291227454147,-0.162180235605326,0.0858775700048167,-0.0869988427020337,0.0282321625861022,-0.60458907069295,-0.161130704475427,0.252565205175742,-0.0633188273359524,-0.0986925788909824,-0.143448549967051,-0.226171405621822,-0.192511436628592,-0.037998359247551,0.0378812410611542,-0.0288567121304122,-0.293193469810273,0.0125254504760608,-0.0426506351362454,0.0016331201244566,-0.0082209788559131
healthy,0.492415057273613,0.767948551472778,0.528703255511726,-0.393430636958765,-0.263810075802325,0.245687091549469,-0.706285615692149,0.478485712448216,-0.113732411912393,0.303031505287633,-0.597868502000931,0.0770561260688841,-0.230454407218901,-0.29321104843906,0.0500937645719786,0.157640251355915,-0.293402566118037,0.604324205338512,0.0380114121750786,-0.370695539468244,-0.343477767799601,0.174978663020831,-0.2163202445099,0.28854678961549,-0.0023122900433733,-0.234322140087181,0.0164727870994198,-0.178105046063745,0.334821389973403,-0.536543050407239,-0.238261218743816,-0.27162861247619,-0.535484156753282
healthy,-0.105344027138698,0.434202739992564,-0.054977840445224,-0.196638060867217,-0.326705278090525,-0.246680077424324,-0.521126416016239,0.330985401711992,-0.0092049609904291,-0.146634936019698,-0.460298246050313,-0.265657324419105,-0.151802162677443,-0.397704213698283,0.0598200469528134,0.20942224217845,-0.0412283883532808,0.0101858286670453,0.217406525860909,0.151930150392547,-0.124483924833383,-0.247733963397684,-0.285201736556803,0.230593278889281,-0.235632576003226,-0.137192677773311,0.0877584289014595,-0.0442647630302341,0.179396286814926,-0.416840243823049,-0.179763007798844,-0.227152858035768,-0.291364053622158
healthy,0.141255756234424,0.399952770427725,0.269169165653854,-0.103984045734769,-0.401964480704764,0.046522281179546,-0.526114760345913,-0.0238634920815918,-0.207839138348956,0.198275893774468,-0.606121541587613,-0.258549906384846,-0.176354345592831,-0.299527896046526,0.031588667210908,0.077593112828091,-0.376558518234256,0.21920550405878,-0.0816515531066835,-0.152835790526741,-0.0885800291097373,0.0448742704484354,-0.314576160408019,0.147717216177691,-0.173534612576735,-0.177684656459631,-0.0107514733586687,-0.440832523712071,0.0560383449802997,-0.422109594625956,-0.199702285399023,-0.350151386534506,-0.300853501223444
healthy,0.51814571920887,0.795449905525266,0.611554492989499,-0.403030843053749,-0.33069789075661,0.192451721003391,-0.740901471365758,0.140372193300258,-0.243138971473622,0.335653921928433,-0.74969961857609,0.112198866613007,-0.275823640388161,-0.291891239584067,-0.0226804113910946,0.237273671545505,-0.328675225204451,0.580321611136206,0.077088589189075,-0.36738219617385,-0.346596193206679,0.255898222726606,-0.336700870299863,0.58839521723616,-0.149975468704554,-0.142674704970491,0.0384588343499592,-0.299423465234433,0.548192138425431,-0.699751491688683,-0.304401586286097,-0.441697721396243,-0.598547954019992
healthy,0.430526563155636,0.680882254378797,0.558729086001472,-0.236946323200759,-0.415298800442002,0.216366279484861,-0.697294964118547,-0.281413084975612,-0.292514971049813,0.380055124259408,-0.721946970573957,-0.312209347364945,-0.346314876705357,-0.193248400614976,-0.0466302481788619,0.0999759603202193,-0.307124679863699,0.526288656885563,0.0684302161472598,-0.271467674819566,-0.326131982026694,0.360003483640458,-0.402386522032775,0.405187154070259,0.186614735256258,0.201442492227837,0.0698417419269544,-0.315823983310666,0.368254967776559,-0.398398322160968,-0.225770892871399,-0.480494125355654,-0.401781444150417
healthy,0.396154505366158,0.299247228974251,0.348255629751415,0.0930755414334889,-0.424635362594759,0.200760685253687,-0.360991096600806,0.255060171496164,-0.197898627888894,0.224344584991546,-0.347390428472951,-0.160706169379761,-0.0324896907742697,-0.166913879404957,0.0,-0.0711504794083079,-0.22412589951277,0.518623658429052,0.0,-0.127342995058845,-0.112016695057557,0.0295801662273201,-0.101348438385408,-0.0465822007015288,0.155902077672669,-0.0383671746722311,-0.152738359225518,-0.0802791285601625,-0.0358199555992858,-0.12556447554908,0.0,-0.0800084157191201,-0.138025682257563
mild,0.322112547238354,0.54535398490061,0.657940342024835,-0.225938277714451,-0.356678365698803,0.0830438254831697,-0.565199188138217,0.118746119205738,-0.480384820326058,0.61524738110458,-0.724824279549969,-0.0101100955085666,-0.374280530860805,-0.434891449936003,0.0797409405040386,0.299508190699056,-0.525070749754651,0.475185236623149,0.0407093158935697,-0.562357864171773,-0.486965522744776,0.156210457208212,-0.444338045689866,0.351312221716537,0.284988715709453,0.378444265321802,-0.0800247850221241,-0.41805812423768,0.411286870096111,-0.637574673363123,-0.226824122364034,-0.197960283752817,-0.280435683063142
mild,0.182890001664322,0.179294995236443,0.291058745551115,-0.1210674764018,0.0106788579100742,0.143836109251995,-0.21333541887927,-0.590687377553775,-0.0419227544232048,0.0996670999805854,-0.282489201469204,-0.216657368278104,-0.0738157208633462,0.0027579011885091,0.107255880863823,-0.190624489889337,-0.0765519420793095,0.0835786133983692,0.197168445398445,-0.0603775278453996,-0.180958971204449,-0.0191791935000273,-0.0777830413662467,0.139279334031494,0.191696892880078,0.222380607146778,0.0042842003101066,-0.43644936101742,0.0295209364998396,-0.198984062583084,-0.0433328935104227,-0.109951456593774,-0.02059609406921
mild,-0.272477345559457,0.148764986217724,0.040632876244087,0.033264498011749,0.166971311442686,-0.302577505386483,0.1138945679295,0.147774753071978,0.0397393265203593,0.175461121517982,0.167478031645954,-0.0333750813720239,0.0,0.0660622296256371,-0.245687872716682,-0.0432163251982559,0.0609813874420576,-0.294428865641232,0.0,0.0049898226352212,0.0,0.0158787217157244,0.0,-0.0400935062579285,0.159672168452507,0.0178435151969599,0.0801507638292389,-0.0160698934074004,-0.100117610348697,-0.0026102711569371,0.0,0.11834974561206,0.11900860427165
moderate,0.217056936297729,0.648623605701678,0.414421853719465,-0.344117654960607,-0.432645810816957,-0.0802158516547225,-0.64026771458882,0.297938668530874,-0.0411985256542516,0.322112838340448,-0.720027621490877,-0.19354875060623,-0.20888204629729,-0.333804787346627,-0.0349889020707463,0.129131497750654,-0.151770281552974,0.432234056569955,0.0531884336588902,-0.309209134817213,-0.227926287013619,0.172153083855864,-0.305317933835531,0.268362984827435,0.0728791984359283,0.0814047026186244,0.0174548781278333,-0.381287417079717,0.147200672919711,-0.58374043251282,-0.129040268140478,-0.253914060415804,-0.388601230531124
moderate,0.443682886731411,0.743137553075125,0.57079071057198,-0.32014342669202,-0.281367942182498,0.212687724377076,-0.513735977758892,0.280359301561279,-0.0195355433247032,0.308016339160111,-0.470244588252882,0.0646426523405297,-0.100820811650769,-0.0301181428265943,0.100346803873618,0.0879272719205684,-0.176125750051818,0.456008187505149,0.0659967418098362,-0.274941479015042,-0.196079327165774,0.188353629999956,-0.142384189340217,0.470544109738934,0.0728349821957554,-0.0117471093445358,-0.0902729532370949,-0.159028238109358,0.336680556749749,-0.369515637090403,-0.108407975167669,-0.304344759066701,-0.227723583250166
moderate,0.223082364024293,0.603760125158315,0.340376769912459,-0.249908012621271,-0.335152098959866,0.0307375062353509,-0.660830730320804,0.179523185410899,-0.240372498632798,0.285624818601333,-0.673708690996607,-0.0083918168140115,-0.309101988219545,-0.393735009781925,0.0080642965717563,0.229311344676207,-0.210033252916323,0.296235426038364,0.119519421955688,-0.147210117548108,-0.0689400489285713,0.118386149611616,-0.318562340055331,0.339675087594659,-0.173320735888346,0.131478144446058,0.030026206711894,-0.0709196566168618,0.254963449786907,-0.460457923904535,-0.266059544532862,-0.315302908869101,-0.503592814548254
moderate,-0.135196481798702,0.208907768990713,0.403253770586452,0.125157728743976,-0.256145033068368,-0.295921824755336,-0.466623207770012,-0.063220957055909,-0.341156356279982,0.184807116748734,-0.523196393674499,-0.452829916877161,-0.164784143637117,-0.340009733048086,-0.0863490795470963,0.0085981712434913,-0.150659609648114,-0.176296422105712,-0.0337295553611999,-0.076461072270279,-0.0254591868870627,-0.0087845011539594,-0.204786857231714,-0.0996664265414261,0.114392265166366,0.456986920334215,0.007848734899373,-0.254794435534118,0.0603042216122493,-0.400501425482625,-0.119720700130971,-0.0900414594906441,-0.0847775724330203
moderate,0.210663232785403,0.371012303773657,0.162206541531401,-0.216907341999882,-0.342339038172913,0.120235856609721,-0.426122090863668,-0.197663861746128,-0.0291723361385199,-0.046866480024044,-0.565052711379513,-0.297810251675106,-0.193074746033694,-0.166750568310022,-0.0088297370404615,0.0235894484466331,-0.255405342920733,0.213002444775613,0.0558921754168721,-0.115694729197035,-0.175029337429812,0.0994831742849467,-0.288116733926343,-0.0230278959842406,-0.179490519751678,-0.0175822621490766,-0.150096476430145,-0.394477741084413,-0.0064216325773009,-0.505689936832174,-0.1232228691641,-0.26677479231538,-0.236355689195461
moderate,0.156083479221983,0.318921148791821,0.339611077101059,0.0502570375424087,-0.0199344651423851,0.0391908153115546,-0.0686207709565916,0.469670287128058,-0.0049568246042913,0.181163516755842,-0.111543855235789,0.09316464269007,-0.0351601215498108,0.0722047815760275,-0.0410122807478838,0.0579534074671679,0.04769330552802,0.286944543962481,-0.0068616936993963,-0.0031581010503725,0.0333737192535538,0.202758468983962,0.0527405583717242,0.101707589086547,0.122119682385516,0.179381045532658,0.0589646464963729,0.0851507908095705,0.163708386343062,0.14791097794809,0.003411097391753,-0.0175366547518706,-0.0136478653300556
moderate,0.130291570213133,0.373396790436121,0.0352859310472021,-0.127073546769825,-0.243471330293949,0.0215552664640986,-0.445435016598121,-0.464477702560487,-0.0597198624613431,-0.140506173969698,-0.597554044755754,-0.258582041178972,-0.0936409444912927,-0.151558628038552,-0.0219122161244345,0.0242585073861326,-0.0408789196931484,0.146955788105537,-0.0382254480249492,0.0173171955046334,-0.0759923595883256,0.194948565127853,-0.169505460082866,0.0887112959876948,0.126623507920291,0.0298881442938736,0.0461580982570905,-0.144693969947345,0.0285186958261564,-0.393163881528439,-0.0702099955071531,-0.16229896476983,-0.183392133274814
moderate,0.342208831005272,0.756281059784253,0.553385232161152,-0.478902767377178,-0.400898470163768,0.034439764025063,-0.81500303836886,0.125530316120032,-0.101951111562463,0.273372744046767,-0.750415390905352,-0.055702119371,-0.189296502396015,-0.331077459292322,0.0506297726648599,0.217985827078467,-0.205914071912991,0.51371918377428,0.0636817154140519,-0.336048731429389,-0.374691881014061,0.131128194637664,-0.27705132505356,0.491125659748862,-0.128972107957918,-0.0983669470463138,0.0051244444971796,-0.324698104647882,0.409151552118683,-0.680905583383433,-0.238923309672075,-0.414251466328285,-0.4639757860104
