group,CD11b,CD252,CD52,CD3,CD8,CD56,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CD161,CLEC15A,CD27,CD95,CD64,CD57,CD278,CD11a,CD244,CD54,TCR,CD2,CD226,CD29,CD49b,CD81,CD18,CD28,CD127,CD45,CD26,CD49d,CD305,NCR3,CD99,CD150,TCR-Vb13-1,CD82,CD224
healthy,0.0462381850251819,0.0966898062591987,0.394298374044608,0.0780040640803485,0.0053195370919873,0.0599169195692743,-0.390555597604411,-0.151395643222347,0.228938383719569,0.55124083800755,0.71028209606508,-0.294692305987156,0.115367992716018,0.0869930301576071,0.0553167019909409,0.766100662138052,0.0880575763131412,0.0889878671287223,0.387520210082417,0.440953238063478,0.116950527049347,0.269498255144777,-0.0004463338539847,0.448751978135464,0.0161529654756075,0.23493796488431,0.0241844225014823,0.188052627435881,0.188655662108515,0.445228169199616,-0.183428819261179,0.33015453807726,-0.0768656337440016,0.165840641348643,-0.195637373830434,0.0903495335322585,0.617746603189829,0.141594774736453,0.0839812622800532,0.4792987835395,0.470053208167543
healthy,0.0059931460742135,-0.0426172561049836,0.347149900732034,-0.0381015067828109,-0.0601308903043885,-0.0432832899287929,-0.332482607997449,-0.145056720248857,0.0733279832375139,0.252893449793777,0.399756568900144,-0.571311546581872,0.124289408216227,-0.0649949550886071,0.0811205718515493,0.444228947703585,-0.0492286647784701,-0.0085398815389164,0.265277002883614,-0.0116575509568335,-0.037676321509078,0.0417793755611269,-0.150901466029693,0.154711549119674,0.0624773843103166,0.0336073925375252,-0.0661082063400387,0.0120853237989664,-0.0054165482743764,0.254025840605292,-0.0709004708769731,0.153320931395375,-0.196290792369688,-0.0039828246043311,-0.227807569296186,0.0221215876016424,0.222105334627658,0.106159580445922,0.0666792934641516,0.165607771949785,0.336816848325269
healthy,-0.162071008208083,-0.0649118800582884,0.144190652734739,0.19216276775626,-0.181013640142834,-0.116533562694243,0.182759071761176,0.288347118074154,-0.17975897944968,-0.298408284710778,-0.232221991145857,-0.227898026329646,-0.130531921170744,-0.0632540617861985,0.19081342514863,-0.280762863249812,-0.0220757454795006,-0.0549454101546119,0.0504595448425284,0.0104945909178718,-0.143674769766033,-0.257296952147085,0.302144251335345,-0.0319472499449472,-0.17548863333665,-0.0509555155348458,-0.0674800558717623,0.0579378100613123,0.0601811359593043,-0.0046907334472563,0.246554330780094,0.0876965262339383,0.267445960055227,0.0638558441978072,0.220357082245689,-0.222707116366363,-0.145009640903828,-0.127735890287166,-0.0613157712693331,-0.183105013465635,-0.150301318631698
healthy,-0.0144209944382113,-0.14217117920997,-0.0115844969065772,0.0126206996206459,0.0038085788349815,-0.152680345335291,-0.255347024873946,-0.0902064817438832,0.323355641116401,-0.103186975734516,0.235776782359454,0.211155365741195,-0.0342664764207975,-0.0968114345731283,0.0440719736779301,0.0816591852122518,-0.0359024121543785,-0.0370096685995066,0.0860952018686742,0.168119315683562,-0.0019705166638319,-0.0112090227562814,0.0212806390295609,0.0245220225454403,0.166765638733205,0.33357441155803,0.311197263790597,-0.0784369223060547,0.0226186762975245,-0.0006773999390119,-0.167637644810872,0.0201457602715884,-0.175058181034634,0.19527388918413,-0.0625150763199193,-0.10242618972714,-0.0304335060122613,-0.104745447780459,-0.108670998530108,0.0901097480515566,0.0229762842318434
healthy,-0.114380250975952,-0.100126704892832,0.272333272623199,0.371392887394735,-0.0443107758700301,-0.0598162585312549,0.246128403000874,0.37813061193163,-0.215530816555559,0.0370780676927001,-0.172600296495683,0.351354411916216,-0.112184492087818,-0.308709557349243,0.305079332357697,-0.146627603048326,-0.0940566966462801,-0.0246564944630512,0.463510255834991,0.0010100455419138,-0.0460279732433852,-0.337750471792315,0.405064349303244,0.0155880471493237,-0.434018158675585,-0.177688632286021,-0.0958152034084637,0.265332122092541,-0.125631327593017,0.129237185480437,-0.224011585697147,0.268458515178437,-0.34020990517596,-0.162593794702189,0.211317224010997,-0.0544371403368841,-0.0829892885557913,-0.227598360561184,-0.0471178294665301,-0.0197365032081878,-0.139188005968366
healthy,-0.0431665046951451,0.0359264265724293,0.18313179146312,0.138880699719861,-0.0108234739437867,-0.0654444779678072,0.273613432088623,0.286547041942547,-0.0352439308709071,-0.262497792561265,-0.32476183662397,-0.379356884230206,-0.0344608818246038,-0.196151113477183,0.136363622930998,-0.415064812890636,0.0885101188917195,-0.15637932013472,-0.0784567578228006,-0.156806571667786,-0.186807954408676,-0.28785816336725,0.124484884746318,-0.0272661822133627,-0.0862346491597757,-0.0635896171420613,0.122893486628722,0.147485653703753,-0.234414852644246,-0.007162767454754,0.276227140646887,0.0611255133796422,0.180328972660096,-0.262170972290695,0.0768517540126375,-0.0026728307702027,-0.260383967558244,-0.173246413899517,-0.0048912089614293,-0.200195020973005,-0.0996397313210823
healthy,-0.142308862108187,0.0,0.0591199312357301,0.455064290467417,-0.16232972273861,-0.0780722420098122,0.385724459242995,0.353948922724378,-0.068444965477562,-0.466101706177636,-0.46051711302005,0.414210998015964,-0.0218214341021214,-0.173550620065392,0.217675887528049,-0.333333294374061,0.0,-0.0881297345655967,-0.144152822021845,-0.177648333509258,-0.189998803221399,-0.252497495207878,0.547669093767456,-0.267430856589456,-0.17485189460377,-0.112986536573206,-0.0796042662367326,0.0315198492586198,-0.0868008156506607,-0.191901967014367,0.0321183689371612,0.12438944888298,-0.0857365082502998,-0.0808609100197506,-0.061839144065206,-0.0780722420098122,-0.296147248925226,0.0,-0.0276743675116523,-0.158397573734766,-0.167268335910261
mild,-0.382573576935808,-0.11208915592424,0.0406801173395987,-0.175284228019051,-0.280207742175873,-0.391954639195671,-0.298344157057575,-0.0084946910598839,0.0626566307084359,0.478179057281537,0.250878151512169,-0.111929086465707,0.0449434808414139,-0.497257565353756,0.135280715574701,0.247818968333558,-0.0420289516492785,-0.347282240772207,0.257805400732062,-0.276517751397819,-0.380279772068966,-0.377757149722399,-0.192201410292796,-0.173606505084132,-0.167480556270139,-0.0184648868613564,0.126005842137112,-0.449249410469969,-0.171852621286586,0.335247500890956,0.0298766556614791,-0.234982173358557,0.130524483111775,-0.233222316767097,-0.39065455817057,0.0210110355622809,0.0243586428764901,0.0703572469697143,-0.0555845265846073,0.338727837172776,0.407649610799102
mild,-0.0680898770154389,0.0040870932597788,0.196973652383273,-0.0348861680210073,0.0676617300775569,-0.0037159195841621,-0.371663581733926,-0.144804736614964,0.150734926248723,0.237827321703348,0.521283867262695,-0.251144435505177,0.157536071528134,0.101526101204526,-0.121725010138818,0.505439532818834,0.0571762413264468,0.0094934971368943,0.191592343997045,0.357661884255945,-0.0593882662802073,0.124969010437709,-0.171229404716557,0.272163678149139,0.06254846079369,0.109930620290963,-0.0718106754975652,0.145597890310949,0.211727715358925,0.287391477788442,0.282274746952984,0.176206288961063,0.112267155766732,0.072115295781806,0.0360145058112667,-0.0413441626591693,0.375759722106766,0.25938724222991,0.0091049651590798,0.306708717927261,0.248044983171238
mild,0.125290800905671,0.0,0.202005102863519,0.394992272481342,0.0294346195717544,0.110228518829579,0.279342230481381,-0.0382494646074375,-0.104289936525111,-0.0904824789959268,-0.460292011867593,0.0084747302337832,-0.100643430235703,-0.0302305937637948,-0.195507070445992,-0.171524687610805,0.0,0.134640724471051,-0.135933948929902,-0.120321214505738,0.0365760737273048,0.005023058726259,0.434460447498293,-0.0142767196009803,-0.0148205814672727,0.0,0.0583753985419559,0.0523823406728595,0.0,-0.035796724212772,-0.35377377841261,-0.104404426054205,-0.250680194227654,0.002685653418771,-0.022928520186813,0.0342304154026464,-0.321590679809725,0.0,0.0554331267184999,-0.229132593271044,-0.0811982693824631
moderate,-0.0180495921652626,0.0579154545868774,0.177832507761872,0.280396204084068,-0.152954793465276,-0.103971319010311,0.428856270279223,0.499228309588578,-0.1134573448908,-0.184174530996101,-0.258933196400791,0.301823962257643,-0.0261729445720147,-0.148389579062134,0.309951308371328,-0.380588389798267,-0.0039849812238851,-0.147730734564909,0.0224741175539209,-0.200473156379404,-0.184524629443513,-0.070541829316431,0.406227756286634,-0.10681312925656,-0.33768702691959,-0.0935075630089027,-0.150778435996218,0.208302645740441,-0.166734000270169,0.21947936220014,0.368926921502286,0.205636172953041,0.330845310985833,-0.278287756372105,0.154109641257662,0.0199050682345483,-0.19475844395371,-0.0008694187650855,0.0577038969521029,0.0177927450979752,-0.0969414950350362
moderate,-0.0258672769278132,-0.0338935843956677,0.128838923731027,-0.097043392502866,0.017401055217918,-0.125843391641139,-0.338441287889183,-0.139944108876925,0.1325489726495,0.26863829745632,0.361647642857219,-0.180663516705867,-0.0323373069839925,0.0083959081503811,-0.110940657890127,0.30162794527175,-0.0485045037082578,-0.0836343395172696,0.182303005233816,0.173818961257044,-0.030513750069231,0.0786472807457762,-0.168354566308733,0.229458226883825,0.0776881210307147,0.12985111595211,0.0297620579145871,-0.0196434110523339,0.112259949197438,0.21593552813319,0.0785271588119653,0.0367539838891553,0.128679714844387,0.111508494704428,-0.179804448263761,-0.0142456225444557,0.306918591891582,0.0594327517947396,-0.112801147781377,0.243049355662506,0.123838578008544
moderate,-0.148154635972485,-0.0884144927328826,0.0971837800644351,0.117706802479565,-0.06030364610116,-0.0893244327053174,0.12667448749622,0.194236994191815,0.0251450021061851,-0.143820489673714,-0.106401776351193,0.0752273314484116,0.0061038212757671,-0.280032993084265,0.281345363930129,-0.155295736230355,-0.0299788492216032,-0.293418944618702,0.01593268446785,-0.122558055679955,-0.194062634984994,-0.164488164478737,0.134827514282719,-0.0685938015463298,-0.18920742987699,-0.0577639353499791,0.0459017034169241,0.058171278578551,-0.165677801530235,0.19632460294825,0.168517538006181,0.0481262304732292,0.178510602388079,-0.217603998654916,-0.0764847171936682,-0.041895928370805,-0.0639926159848008,-0.164808256386994,-0.0242075085636808,-0.0074889761201159,-0.108102974693424
moderate,-0.114913384413881,-0.0286382969006404,0.0267145908429276,0.0222752335967594,-0.10743085850651,-0.111826500984767,-0.0240083620759749,0.292305523635552,0.21377413526731,0.0175293148710694,-0.150348050319,-0.130436808502908,0.0104203674003385,-0.308087073935036,0.226903873997843,-0.158485901719635,-0.0214588673936528,-0.384767551523121,-0.142254432109845,-0.274514240260788,-0.103905728165662,-0.132065082518821,-0.0337240951358524,-0.101072931582377,-0.0886759974945277,-0.0468968929246585,0.0471364345881002,0.057887045142298,-0.251376236036042,0.281673600553589,0.22357113431665,0.0314700209474108,0.491568139712626,-0.148866908826515,-0.0263220492796599,0.0506142453854837,-0.229495996949438,-0.0379406147532031,-0.0475367632219216,0.0585365616768806,0.0407429900221135
moderate,-0.0328860560754433,0.0333359411296495,-0.0623105988123784,-0.254870143716067,0.333278209567094,-0.0614684935368511,-0.401083896817688,-0.167823543061822,0.226420282360653,0.295539446548221,0.306318500089474,0.251714234194094,-0.124750492364774,-0.0763841394862926,-0.100852835657965,0.459046149801386,-0.0300937764744351,-0.0939476015988177,0.222817601469871,0.0740966640954658,-0.0465699469345131,0.0919597056405644,-0.278591021691087,0.110721673466253,0.0887083695492878,0.0957781851333478,0.100026586532072,-0.112778568629509,0.204460257888764,0.204555854616627,0.0403475639696478,-0.0224106920295769,-0.0860184073927536,0.264260811752724,0.005993061379846,-0.127298243667887,0.386521998538803,0.0528936679862591,-0.104468976543558,0.201774681544287,0.185098666186349
moderate,-0.0489379005657516,0.0184956953906491,0.242676398810592,0.188165637126534,0.0288242615147527,0.0381217255228403,0.0380369617172352,0.141192663186685,0.231297837403464,0.134356652497415,0.154411346569628,-0.13174134382689,0.0821399922312806,0.0263562467459681,0.201222210645059,0.210082555971217,-0.0083732852911905,0.0831911330052171,0.279788476476657,0.260276161305701,0.0891386892251539,0.126142116679144,0.229951470250043,0.335496348530795,0.0508212463260158,0.0521231541060576,0.123092758315875,0.214845204698222,0.051998043616003,0.276258291313005,0.161041094463444,0.272643271120957,0.271615440577657,0.138236455173992,0.0622151432008629,-0.0123158103865203,0.286066349942954,0.137301718429843,0.0015638264241058,0.0638597040737052,0.131481643799127
moderate,-0.239933320369906,-0.0712797198757649,-0.29145929968178,-0.33089926690298,-0.0691236209336067,-0.176523673744237,-0.347172875714488,-0.175930248299862,0.0726085586089127,0.140419093543856,0.130050072799975,0.525784955031381,-0.0735661261204002,-0.0613053904799362,-0.0276368926379741,0.227178632851514,-0.17777039175163,-0.102318572706725,0.101674040955301,-0.157062297962257,-0.139678865814361,-0.124963983580646,-0.324703038805539,-0.182568844176302,-0.074807466274335,0.0410523021245055,-0.112428438917743,-0.334978146081902,-0.0667010293615357,-0.0214926883846569,-0.295045820887437,-0.227152551893723,-0.184539659073408,-0.059339589034213,-0.1880957446883,-0.140874050039757,0.100551186190368,-0.149176030563518,-0.0878023646994039,0.011790162266009,-0.0011781332280334
moderate,-0.0320379933252758,0.0496824147211617,0.149319439652054,0.125501260989125,0.0225231514358898,0.0512158212166447,-0.0497664336183135,0.106489741286444,0.055545552681939,0.153518200237851,0.15602189631914,-0.100241481544023,0.0219475028530789,-0.0400297564049703,0.0322717452806363,0.0470357056748095,0.0174801377901348,0.0336495986903981,0.0360293444940721,0.0058730510078403,-0.0116446240871949,-0.101042258368606,0.0799615905820051,0.0087389798282002,-0.121860302638574,0.0213107536244161,0.123961024255236,-0.0518374296214828,-0.133524123645902,0.0183768709154582,0.0381441084500187,0.177906009481489,-0.424599100388809,-0.262910354789845,-0.0002487601153425,0.0668640093107468,0.0332353205684229,-0.0136476736415515,0.0651004779858506,-0.164961566331305,-0.0663157828360576
