group,CD47,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD5,CD62L,CD197,CLEC15A,CD27,CD95,CD314,CD58,CD11a,CD244,CD54,TCR,CD226,CD29,CD81,CD18,CD38,CD127,CD45,CD71,CD26,CD193,CD49d,CD305,CD99,CD82,CD224
healthy,0.188046516910227,0.0359675427044672,0.216840750214697,0.474051399921513,0.131461975157503,-0.240398616978787,-0.432204344492262,0.110350212498254,-0.466200981504787,0.0071670737515403,0.15947518798025,0.145465041655608,-0.181876460540904,0.36027623023273,-0.499628603596646,-0.0294475646970692,-0.143125976450687,-0.0901977479337657,-0.2065405062119,-0.231872024460585,0.39360409114575,-0.18399937983243,-0.166819276020163,-0.0526697375631453,-0.0011889438292643,0.18451511443165,0.316963600143756,0.0050611479890732,-0.0304383780366927,0.0689949614878419,-0.0082162361327264,0.091837928360081,0.304695298749431,-0.357652989749988,-0.24992241419066,-0.359253029691934
healthy,-0.156592467077863,-0.0955000974702585,0.0623386592957059,0.194162806182358,0.163248855010138,-0.380005653673603,-0.0839568721716036,-0.126285395735712,-0.30861784579567,-0.0587107780938592,0.198994622424522,0.061160512808792,-0.0353939564609913,0.115045790755934,-0.281768145236836,0.0979779856096752,-0.0453395109166833,-0.0928933212478036,0.0469354489885051,-0.090291415650878,0.122530090374254,-0.225225231139514,-0.147408157750567,-0.0020089948611474,-0.065292760028131,0.104245129055856,-0.134384428019128,-0.0723149856856864,-0.0152296632607079,-0.241395817412406,-0.0317444728751048,-0.209822196215743,0.101227052280765,-0.169145177393252,-0.158508839015091,-0.237049781265679
healthy,-0.256536502794602,-0.285218082670079,-0.0913373825088795,0.238432364398127,-0.0756558115254179,-0.0126501374452747,-0.0349162392410933,-0.125621377840025,-0.285414261540106,-0.0455712437029163,0.540562633422353,0.0755667881004709,-0.0901552569871202,-0.06549212628661,-0.229368393560499,0.146979708824754,-0.0272192408052275,-0.278731848748879,0.0964077171313544,0.0387545429551231,-0.0322509913960073,0.107843721472149,-0.113291371846469,-0.155827334742075,-0.217577420020204,0.0967366122872927,-0.287895525030333,-0.208143189636747,-0.0176391105627863,-0.295411534430485,0.0006057976793543,-0.181186146483054,0.0209956661240486,-0.23007931974705,0.0137936959682416,-0.119674128292586
healthy,-0.0314194391596241,-0.314385519155081,-0.115565359942075,0.0671696136305948,-0.0491759510414922,0.0352703480038914,-0.101474638218833,-0.238317607422795,-0.263592278320059,-0.380351898175478,0.460648119572906,-0.0373731679990996,0.0815821202946821,-0.0531870976812087,-0.16456382531308,-0.107919025617009,-0.0015664137985562,-0.065994379835438,-0.066983909091004,0.0744991509671666,-0.0031094192519788,-0.0453666081479638,-0.024004403367099,-0.11259454596698,0.0353135842094783,-0.0257822488473535,-0.0527771395781803,-0.22514770447089,-0.167571754707156,0.151470270096356,0.0247240284042075,0.390784468468074,0.0465845863191928,-0.173882628254343,0.0955397157555354,-0.114645297575887
healthy,-0.105115974448101,-0.133092509248031,0.04588644009967,0.164687402729863,0.110575527395552,-0.149180560227383,0.0206371428080827,-0.0608553662020047,-0.16960764064714,-0.0364437726997673,0.792070398335859,-0.0368380616942587,-0.145275458402181,0.0656778177915036,-0.163758415746631,-0.0464130248126885,-0.0842436306452073,-0.0293209950640806,-0.0409476268993869,-0.136577990205221,0.10141900431161,-0.254612694644003,-0.0863426490247577,-0.180305207757766,-0.0710279960926521,0.0837327139972373,-0.284220234063372,-0.0063040154267332,0.0264932370629239,-0.426290523677841,-0.0557035539181215,-0.0404316268504317,0.113321677706816,-0.0955566315186994,0.0455263453062689,-0.186269783611118
healthy,0.0563379562920801,-0.077737009449133,0.219550989109091,0.609065968644003,0.445089758331556,-0.194274762686434,-0.406087962312214,-0.0261519074319899,-0.601956549868687,-0.112960223330704,0.380254704771162,0.152726438113659,-0.344877248957138,0.373793453431247,-0.644633289706917,0.003708952550615,-0.327222472592852,-0.323316111684182,-0.201424280745952,-0.295381985254825,0.418381988605968,-0.289949978018196,-0.330506945900598,0.0419133428265365,-0.378198912855193,0.213133051972733,0.122035323812551,-0.0652389816204725,-0.100549142743072,0.12945210389603,-0.0087906525028595,-0.282682556015001,0.360553499639356,-0.357526076915567,-0.367940025612013,-0.384452272333135
healthy,0.101699327640241,-0.0010306577021166,0.23001299868194,0.441686406332624,0.144887106472351,-0.227830397689403,-0.163256983181706,0.0265710674553359,-0.199478493180445,-0.257669070771924,-0.0256514275995839,-0.0926198647445598,0.0014248937848588,-0.0384842566489974,-0.0778109733486555,0.0,0.103288121416708,0.0171981108331076,0.192712205188974,-0.111010127732787,0.267635063418662,-0.0424929349657976,0.112016695057557,0.012123018945623,0.0906801817132601,0.0754037198276502,-0.0691740634437742,0.057242057422653,0.0,-0.107208435075722,0.0,-0.185743427331161,0.0768811360143352,-0.329342449673957,-0.470400112675114,-0.0536655800780706
mild,0.231134914859112,0.21915077283996,0.330415401318726,0.506528219793076,0.603854208738836,-0.296799090032361,-0.139011339619464,0.0606973494999395,-0.538376289486097,0.157161729118266,0.420394677514461,0.255075583826178,-0.570632716138576,0.724138032736528,-0.655827154283611,0.0065020682638836,-0.282021323254572,-0.493342689391803,-0.488399266874364,-0.580696910165496,0.495271662456398,-0.651180147846105,-0.533614645745912,-0.0025249755613104,-0.508861358831809,0.356174906053144,0.112169164619778,0.0011180054677277,-0.101958777401416,0.2251903999445,0.0477689452833929,-0.528143122512066,0.446612466267762,-0.613613598080676,-0.144252796342616,-0.196628353740788
mild,-0.0471617847058336,-0.286007003533348,-0.0076973905839495,0.400702480176169,0.192421100871589,-0.0430478380655187,-0.258807506474026,-0.119739545813786,-0.442110217978719,-0.136374528184368,0.48207095526318,0.0646663744728011,-0.0723344644188748,0.0222334490563564,-0.31760022043347,-0.0392120432074092,-0.159533789557736,-0.151863028226142,-0.108178856374642,-0.178226242633448,0.143340549762969,-0.0882011658177689,-0.124634988320719,0.15695831932332,-0.0879184510787914,0.0250735031508138,0.270180716782342,-0.232851166675475,-0.222401803849425,0.222201470494727,-0.0648936898134792,0.0441830485827923,0.165135202498877,-0.231646888473705,-0.11246631158613,-0.262248353710032
mild,0.118810731835912,0.153578215983739,0.214391096952388,0.217600293331763,0.267236242558627,-0.0598376835284963,-0.249789679532154,0.378349427404398,-0.0613917517082974,0.187212746971493,0.226900356530749,-0.0896890432712727,0.0403502486802231,0.484285213744833,-0.2000938158752,0.0,0.0,0.0320210161534004,0.0405429153632261,-0.0368666931276756,0.359448421003055,-0.286468851193089,0.0,0.0123942347582425,0.0,0.0574395139458444,0.151115619684917,0.403009203549828,-0.112967115570687,0.0729999743037671,-0.121408884151503,-0.0383280410493096,0.116508380111467,0.0601216636656003,0.0082402923742047,-0.136124875040198
