group,CD47,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD5,CLEC15A,CD27,CD95,CD58,CD11a,CD244,CD235ab,ITGB7,CD54,TCR,CD226,CD81,CD18,CD38,CD127,CD45,CD71,CD26,CD49d,CD305,CD158e1,CD99,CD82,CD224
healthy,0.171696842296367,0.0188576931615551,0.132954770888723,0.38788146289803,0.331144217090062,0.106429964988419,-0.268590657794341,0.0406598864643953,-0.401691637296866,0.0424172498324282,-0.06358055044367,0.148118446757117,-0.460380413262548,-0.194285940586739,-0.126624679270526,-0.0631204216010414,-0.0391807723838404,0.0270540359882826,-0.198013667238538,0.228615628276936,0.0742208941435494,0.0550092379635504,-0.0896858413771105,0.0279993586541867,0.268106558757446,0.0180617029647009,0.0258146492766463,0.0889936395009942,-0.0638062416395459,0.237976996538149,-0.105421119936137,-0.254505186998677,-0.125771880313284,-0.286788982788927
healthy,0.22493974735856,0.0279217393273111,0.298958656542197,0.388176114802956,0.287191128711824,0.0007156297942739,-0.130253909871681,0.238325477010461,-0.325706691641892,0.172263482361656,-0.0268662149401868,0.194476999205568,-0.352201146621919,-0.137651884195518,-0.176702678893114,-0.0583993310475111,0.074503547092561,0.123017725912645,-0.117526646599801,0.380296729186205,-0.0840643831635447,0.0607849997994664,-0.076412192926872,0.101214463371971,0.149177029626902,0.021649297545896,-0.0251534962479616,0.160004104816269,0.0067341417142768,0.20916682590065,0.0062406336955679,-0.198542468570979,-0.042916954176519,-0.223602101708806
healthy,0.147008663782439,0.156098156758858,0.272962814802578,0.394026008040504,0.403262018174542,-0.204952823305647,-0.370202393476173,0.123569868396238,-0.423225684789453,0.0676711868830353,-0.119997357609912,0.314687444668149,-0.475077025172395,-0.400257588821504,-0.0652016563160362,-0.168525734514896,-0.0361946622350362,0.0684328895570049,-0.296300269266715,0.411515203149104,-0.282383026182333,0.140339867405085,-0.039018960927353,0.230049623219851,0.225420558515424,0.122297591447004,-0.146669361072754,0.264267672770675,-0.0589443012889204,0.32224113546397,-0.113442676873002,-0.306107421388213,-0.232847260771623,-0.236741972556351
healthy,0.168716461422593,0.112768488108384,0.216012476896527,0.342502974211417,0.342525243784845,-0.0154767415304245,-0.210313645717669,0.177542227976188,-0.156001072627693,0.146353813070348,0.122658750032061,0.24556709880337,-0.255274648386463,-0.017380278785693,-0.0317448271308835,0.099430094408838,0.143065659481796,0.140127280462585,-0.0263428463272412,0.232950681115817,0.0587504492074447,0.201237922044183,-0.0374579151729021,0.107267432472486,0.254821615167606,0.0801241992347532,0.0019607988586005,0.369813790981524,-0.0298183957391503,0.207281670493622,0.0655253145301871,-0.081157675957928,-0.031040387021231,-0.0059762046847265
healthy,0.22200562486918,0.0535193938940963,0.334060100044333,0.524078635781871,0.421802538764948,-0.226691986123031,-0.28228137506021,0.147397241364154,-0.47317870692094,0.140444700916052,-0.0693433084787342,0.226214608102116,-0.506340221454204,-0.18619100306232,-0.21916791481287,0.0395662438714904,-0.0087862736675203,0.191839223149656,-0.223061097053684,0.35137285319951,-0.192485909878705,0.268882725137258,-0.197669271071257,0.390534300928363,0.0928090088639847,0.103310553185195,-0.0185350377585773,0.199452779409507,-0.155627046162271,0.392743125860413,0.095966687158831,-0.465857644414836,-0.302868392317649,-0.359485239294602
healthy,0.100837646057559,0.0140619569263516,0.190567623122302,0.473160713946205,0.437340489005187,-0.231001913098808,-0.425716920474964,0.0328436634603538,-0.578900626068923,-0.0389598102140878,-0.248494501126007,0.274536233555437,-0.649504061150601,-0.341533513609052,-0.31446923659793,-0.179541303243064,-0.0040768863683214,0.231672343220019,-0.323340276111338,0.284649215126041,-0.256800230063006,0.0800772132865475,-0.37127359767031,0.384686444210205,0.158458945363142,-0.031318827480113,-0.0621772727646814,0.171162155723922,-0.148675963348356,0.268833986056162,0.0778242859688243,-0.405075889678289,-0.30640307104752,-0.306735966566835
healthy,0.300760532971297,0.179019621088372,0.434982239832924,0.399908150186857,0.33256916767299,-0.0682106148403701,-0.409615645950248,0.173458621934729,-0.36899738905193,0.0271887187889929,-0.241297645982261,0.17268864273461,-0.320047279241557,-0.0082436528830236,-0.172625202303225,-0.185986056734392,0.0,-0.037416851527434,-0.252812955761832,0.512270574060627,-0.157363514430319,0.0693436683689636,-0.103288121416708,-0.0108261550359908,0.136006012492348,0.191292206113927,0.0,-0.0087280067796908,-0.0615785840027358,-0.034951337488226,0.0,-0.228877072550256,-0.222971840528487,-0.140718184196285
mild,0.275762353946675,0.166400571166999,0.210465676464307,0.369189152735927,0.528869098284754,-0.0725987684421478,-0.289960151205455,0.0401419694678814,-0.418505529982924,0.0986659530282154,-0.433058210208242,0.447530933183972,-0.586577890452283,-0.332051471875316,-0.389345650281683,-0.362908442792429,0.0518481548409733,0.241424065401269,-0.449124866560165,0.322167017585995,-0.414297271937391,0.0921547217568113,-0.435364717232805,0.204560269742285,0.390711468213326,-0.0216223381488703,-0.150586793899117,0.456678997170766,-0.31159722893846,0.269618970570443,0.0479973427573177,-0.513549749129181,-0.101304205254853,-0.181312894308449
mild,0.214124995325766,0.124441354861879,0.270863353698594,0.529014620732046,0.47795078557303,-0.215346750828201,-0.169088513642856,0.125862762309035,-0.494816405308045,0.104468542522964,-0.108595413168767,0.222116418912116,-0.573148075761778,-0.247410533147417,-0.166656031445696,-0.0352228307785538,0.0867398175073394,0.178590228875851,-0.179425213998484,0.387815266444635,-0.152503145322227,0.0572218270731498,-0.242667811586962,0.353355447389827,0.147866934051051,0.10718496577242,-0.0148210207202725,0.262353651610681,-0.20159665391272,0.135713889850214,0.0169411639762341,-0.193993592921387,-0.310491314640995,-0.202825541289816
mild,0.131697786234494,0.0909437887431473,0.233696292861821,0.178343284753015,-0.0980922851708544,0.257523233412721,-0.152347009844233,0.157685622796145,-0.110672726537253,0.157838691660344,-0.265035045971114,-0.100181039118977,-0.182635966167968,0.0,-0.183593083611809,-0.0384799946358097,-0.107447624977518,-0.0610361685757628,-0.0908137921388013,0.303738283348814,0.0802455363945556,-0.0224951650013371,0.0,0.0683822755110531,-0.210493876963225,-0.0709136310974015,-0.122552204164563,-0.128349441927116,-0.237353385539096,-0.0419875547946856,0.0,-0.151139445934221,-0.232033057193373,-0.191419613775962
