group,CD47,CD52,CD3,CD45RA,CD7,CD194,CD4,CD44,CD45RO,CD5,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD58,CD54,TCR,CD41,CD226,CD29,CD81,CD18,CD38,CD45,CD26,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,-0.223576297056041,-0.140582320406896,-0.275209791457378,-0.416440041207032,-0.299701867398839,0.294789887623412,-0.175924529211656,0.0948680518445069,0.338086016500106,-0.156637183417334,-0.476384868736078,-0.0480802147147511,0.145020590456311,-0.271055639210171,0.419643936886039,0.113098289452327,0.20379608623021,0.204857953219225,-0.402279977386367,-0.153975310260688,0.0555288825729605,0.137144751259715,-0.159359051550404,0.0103108367005848,-0.127504671941868,-0.133325199344293,0.0056724641883293,0.097269536963756,-0.279339739449906,0.192010018602645,0.169300364728177,0.0258129907239641,0.221654517109576
healthy,-0.209312555036641,-0.140509302707696,-0.513241764993757,-0.68829094173727,-0.524882918448816,0.242599456522373,-0.348583181791547,0.116805173341173,0.611321693584595,-0.322279300828214,-0.429038743980376,-0.257616145789312,0.126339173871146,-0.387979161025651,0.552083265709425,-0.075098221792424,0.227108085294129,0.278374090560284,-0.63007559138498,-0.0179009209571727,0.348138192740401,0.31251730364015,-0.202896942347044,0.139028593424063,-0.199860130080912,-0.160702602600612,0.174254665093094,0.201309053070867,-0.354134186907371,0.418261326936386,0.198808993936268,0.19299143010642,0.464203460014341
healthy,0.0108568006918147,0.0841756009025664,-0.263193839107198,-0.725010264342534,-0.381913225307471,0.567366771672635,0.0156305934543227,0.366420181522159,0.817239080163856,-0.0245794921009491,-0.0995025701812404,-0.311821340406265,0.139608511835341,-0.219526805609397,0.804262984102464,0.184320388543836,0.47413822429241,0.288721799516976,-0.410896930624412,-0.0944588370647335,0.104254774420168,0.313160746900139,0.0447669080185907,0.345914822323594,-0.494579124642254,0.0540906925176287,-0.0921901951223603,0.225878211589308,-0.425803520806195,0.678324544194337,0.311242740896885,0.53749189266186,0.470975943888576
healthy,-0.259787909369565,-0.0797365863491624,-0.236063529622205,-0.286988410964152,-0.316780544349559,0.240558213767437,-0.182328759229737,-0.0078596043763063,0.189451134257677,-0.0757777407490466,-0.0043979509907739,-0.0357657333145889,-0.0336035922165612,-0.331035529520445,0.30952810970189,0.187033507066168,0.0916184425249233,0.0534447169561111,-0.269044068865188,-0.166929955929807,-0.0858574436437444,-0.0660497211367735,-0.164150064487706,0.050872995628373,-0.0611077002913529,-0.0562782676942427,-0.428571253693715,0.0063219262043263,-0.105816031026718,0.134517020890455,0.0570336224447401,0.0833891298506327,0.0164343014328529
healthy,-0.411476019023525,-0.243364184872229,-0.576372774816855,-0.632839231367453,-0.594634625173651,0.27678606883981,-0.311058053538027,0.134034682386005,0.539804187099002,-0.36178631796404,-0.0818168583717729,-0.272047032186213,0.282555509662939,-0.323495788332317,0.649402334883576,-0.13295871502479,0.241069472157842,0.367193269668842,-0.579974078769857,-0.129604338552648,0.406221014768896,0.267142634987022,-0.379223569274279,0.210524522408164,-0.53583631423387,-0.30320993107382,0.160497342403531,0.285082710455921,-0.47562788853833,0.531557422286356,0.295618971077442,0.368779153419902,0.464691488774907
healthy,-0.253262126590305,-0.0807230446821851,-0.277501767190802,-0.600041614511006,-0.498777253089933,0.42027764316407,-0.138506350833244,0.216812830258718,0.572114689446843,-0.0242209508985286,-0.021239977951119,-0.133640668323647,0.274096039219558,-0.293189602391336,0.643853914775382,0.241157590288324,0.30160311183443,0.28120739132685,-0.343417073472967,-0.0930663787801192,0.268305392563807,0.271001392482892,-0.296019250767811,0.229304228667124,-0.252235493951157,-0.078352724000693,-0.306592412736866,0.205781514622843,-0.372122881361938,0.416145697497633,0.270717707552511,0.251476452667045,0.270105135094262
healthy,0.370832219959666,0.042329580306703,-0.110112969642866,-0.0991090963016079,-0.0219269314577385,-0.0112936398479588,0.0742070848999807,0.0,0.0602037037222978,0.0849766875233728,-0.506368625355003,-0.0353992153212192,0.16394647522284,0.0067877813467746,0.0652000208407047,-0.0732163800307792,-0.0586754116968154,-0.114535344272775,-0.0539018838285201,0.433918649346058,0.288670356885327,-0.0460674719933674,0.0130928604612728,-0.0722531929159131,-0.005358963831348,0.0958603932328912,0.262591214063563,0.192664389079261,0.0895337253925879,0.0269559809541659,0.0,-0.167899555361644,-0.0791253428853712
mild,-0.362062647547471,-0.236208767936167,-0.220034583487019,-0.371835162741601,-0.562324236327426,0.32999481098094,-0.047434706649006,0.171854022591007,0.413792833719118,-0.109416849066248,0.0524306394022072,-0.192617074935944,0.439766708723283,-0.47754400925122,0.586340498683986,0.135293619417738,0.312908863541102,0.465838874030752,-0.312795337069787,-0.0353568428960597,0.421719322537515,0.314597643355544,-0.112815011200368,0.411386954179802,-0.200920391548044,-0.0216436051461241,-0.451261121300053,0.328834919063868,-0.276640434458609,0.549583469246349,0.171007629635988,0.17628094552932,0.176376191167764
mild,-0.373307334098803,-0.30658144831252,-0.323247185448813,-0.480465451375535,-0.516613672252532,0.0925182506597977,-0.202916073808184,0.154752100257892,0.426363041219715,-0.243348587034442,0.353429488894553,-0.331197183670494,0.142818333514021,-0.25530680775818,0.50498438785404,0.146358261003121,0.205189592334438,0.2074553200145,-0.318633604141499,-0.0517433744922156,0.191576258142803,0.219726254608256,-0.0686808274362641,0.193576198038031,-0.313857055684241,-0.256759269453804,-0.268347435871931,0.417565385883048,-0.147773373155505,0.239446374800502,0.184540823470457,0.297828037403599,0.171080060622379
mild,0.217140114416952,0.359240455372375,0.429262469055413,0.408211644269528,0.302431961006607,-0.276978238672853,0.309031736065508,0.0,-0.298622509086932,0.12570271800015,0.226823662139493,-0.12118290579401,0.131004910650502,0.37631647269275,-0.275695910987042,-0.0323669636950996,0.0,0.0081226596177499,0.506456905709701,-0.302210849754461,-0.386268139829674,0.0,0.0785215591270691,0.0,0.113597713049047,0.389654424537596,0.0248015943755649,0.0522047323630566,0.107776332939808,-0.0697401173832839,0.0,-0.0566070495013675,-0.101842482148785
