group,CD274,CD273,CD47,CD52,CD3,HLA-ABC,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD5,CD62L,CLEC15A,CD27,CD95,CD57,CD11a,CD54,TCR,CD267,CD41,CD2,CD49b,CD81,CD18,CD28,CD38,CD127,CD45,CD26,CD193,CD49d,CD305,CD99,CD150,CD82,CD360,CD224
healthy,-0.0055608721123296,0.0014561719808341,0.151739209133008,-0.0056006073416655,0.0961957756268365,-0.0782813601888614,0.511693556010731,0.248962662117042,-0.0055942788764475,-0.395763840191123,-0.0463750395929323,-0.525145029445737,-0.0873185935394392,0.174905171698663,-0.065812250202437,0.183579306620433,-0.549846194007267,-0.0754073356421848,-0.223991231339421,-0.176324290750901,0.201489869603538,0.045565681431228,0.16720293730876,-0.161146765059824,0.120083689919495,0.186164450147089,-0.10032983004652,-0.252801177593216,0.0726341156884945,0.247455888856974,-0.0671210573655159,0.127304583458133,-0.0168395943156388,-0.103243509628008,0.209907236439908,-0.354892233335574,-0.0414119498964107,-0.210620746586627,0.0265593725179291,-0.392425284818765
healthy,-0.0206765127687759,-0.0316573614108596,-0.0339557453601645,-0.171195391732893,0.0977339576484594,-0.074738419178435,0.471569294384159,0.304906188006735,-0.274636826990542,-0.132076927190448,0.0169313287942818,-0.573538245717011,0.0866045701935545,0.325629728826033,-0.199794297251391,0.197394960726658,-0.534087616773883,-0.0336512062772141,-0.332691350649524,-0.332535549279285,0.16252182689358,0.0260781359143858,0.069804468607841,-0.31112190227274,0.191945826804856,0.0167695722758835,-0.203216393618485,-0.359986914767824,0.153563327220543,-0.19547091863003,-0.0538773897759175,-0.421968062555843,0.0511575061665703,-0.385840916299727,0.117037962415261,-0.575524063416547,-0.310423123631344,-0.339999754152536,0.0596704660695316,-0.447803859000214
healthy,-0.0364263361554784,-0.0964185899777997,0.0731773079484095,0.012384627937481,0.164740785880477,-0.0610586559859149,0.384073268566904,0.205776776130407,-0.108230019450037,-0.387337112697777,0.0008020760318751,-0.448212176007912,-0.0090734417351541,-0.225504690741641,-0.0122400769891577,0.0960044265031405,-0.50584157714707,-0.0462228134672767,-0.20355577706092,-0.247754409846155,0.231482772795185,-0.0027092215073523,0.203223020724117,-0.143597024704414,0.174155193406525,-0.0007647728241796,-0.179378785662993,-0.212225078131601,0.249889339469359,0.0895787178847036,-0.0308937038490322,0.226256796297768,0.0215456568727212,-0.0940528162603998,0.231109267112098,-0.353934528208212,-0.175015082597306,-0.372343659343402,0.0404062957838287,-0.268812570299197
healthy,0.165625410649815,-0.050148052291827,0.1447274351012,0.191989270367445,0.0033210758435628,0.168873055437194,-0.125277213703869,-0.0407753224005512,0.074679053993021,0.182188416769743,0.0445410631290617,0.167402079776911,0.255084785161822,-0.414828401336882,-0.16883601638526,-0.0439663565447694,0.154406716623467,0.0838573518887708,-0.0421836391725716,-0.0986160966353938,-0.0940887281649817,0.0422325799527122,0.270035704182956,0.0734130397342743,0.234326584649811,-0.0530993330766354,-0.0644971613199972,0.0053133776175982,-0.0856512261539564,-0.0464064380350152,0.0552931945966937,-0.225860884252408,-0.0598372729470916,-0.342492211353297,-0.0991702771034559,0.145436751659781,-0.0966400735758525,-0.0650116898497212,-0.0076888407252008,0.134377235588253
healthy,0.105333282556484,-0.0012091104605741,0.364953246224768,0.276516092039325,0.469630038599464,0.093249563004975,0.496721725646356,0.4208250061986,-0.271934958824564,-0.124786419892847,0.263892106602027,-0.438591434476139,0.329230217020473,-0.244890755750944,-0.244232540755446,0.251475222006867,-0.393486520425473,0.0935175542961876,-0.137508833195666,-0.290322525912234,0.436867566640784,0.151020517978618,0.104237943895436,0.0476589057270952,0.0964454837494723,0.357583978175286,-0.206120839965661,-0.0513854840778035,0.432664322132176,-0.0805337471680034,0.255986285333038,-0.146274280586629,0.0933568114457823,-0.28616142830047,0.317123582485258,-0.450957795812852,-0.217267283808746,-0.345011125748669,0.213428515489935,-0.359208941425352
healthy,0.145062378492564,0.0455693632742407,0.20976614750228,0.164432966884139,0.149857512422607,0.222633866303723,-0.004566405112811,-0.0202743383760193,0.0951889211865675,0.208808995450678,0.175317370727618,0.0039782958217616,0.132671484642917,-0.426186440840819,-0.0461800495255453,-0.0785112987847581,0.0095965068585931,0.0831524286085719,-0.0421525228554522,-0.0032887879689339,0.0343642941105064,0.103166434012222,0.302943955587951,0.129295284391252,0.297481437047749,0.20804191198322,-0.294530706550167,-0.0335740126766889,0.0294974522341279,-0.212248901325742,0.128325426495342,-0.0345163088654615,0.0286707978869618,-0.265664839961351,-0.0562629273750041,-0.0880614368745133,0.0526496191619653,-0.118206669560245,0.0657517509766158,0.0152409584723266
healthy,0.079042083525462,0.0,0.287616190532382,0.223948332727503,0.440495455749799,0.0,0.284556394669922,0.342952781481364,-0.110633479956375,-0.435335468085745,0.201716927120129,-0.321087026481475,0.0522977768797096,0.0763200509682129,-0.121113085852172,0.186843873008131,-0.264962524842275,-0.0653946302475281,-0.0318906693886645,-0.202835621147675,0.657702080064951,0.0,-0.0326432267002996,-0.0047111113597742,-0.103832272553934,-0.0033944453047744,-0.111046853541907,-0.10151469635479,-0.051619900119518,0.031265482635764,0.244336434250512,0.0139643123890941,0.0,-0.0214446137751506,-0.0178853810084721,-0.303083390279578,0.0,-0.274371909882176,0.0536923563404446,-0.152679735626814
mild,-0.0580201316532369,0.0261398665210342,0.218741325074364,0.0581147092848959,0.0672352274500955,-0.0640289586934371,0.179557431213722,0.415762588819754,0.0352526918497256,-0.257969613822426,-0.0325793925735977,-0.269779835830477,0.0700612180083887,-0.159694433515719,-0.342452106052522,0.197034633837082,-0.474399258486465,-0.155214319643073,-0.285227638114719,-0.342842062533024,0.126789335473811,0.0783307994559227,0.0625716167497438,-0.198932731529509,0.110651644649704,0.0787399664040601,-0.32477651135879,-0.0088582507772072,0.166879380301381,0.245339022007753,-0.0578025138255402,0.286369181291855,-0.0241601521810681,-0.268690132531985,0.0484060887711683,-0.40953627187561,-0.157935836474922,-0.131029345831832,0.0503844667806167,-0.165083036159136
mild,0.0614781622233009,0.0794531339081226,0.246222123129765,0.198011140944583,0.156163866381418,-0.119051501372032,0.192552773078919,0.267903966918535,-0.0649235854249099,0.0404671219862869,0.102552724097983,-0.210497185296648,0.11870197472123,-0.415837931964009,-0.0765817310648512,0.0907782501136606,-0.321896064569429,-0.0723775176520465,-0.133344847479557,-0.106666989319881,0.104046501771716,0.128853817708625,0.173149654060939,0.0684808360654047,0.253597089854245,-0.163196070658306,-0.262758790460126,-0.0491518379600375,0.247810722720893,-0.0373966190582572,0.148580350434411,0.0852610565092646,0.129887986957754,-0.349183565161601,-0.134570400766617,-0.129908232229271,-0.147490499318193,-0.255106190159073,0.103228338402819,-0.0160522975918512
mild,-0.0486100921546592,0.0,0.0005314945339535,-0.195435542188317,-0.154185109670755,0.0,0.0607238653670389,0.100766048860697,0.323693709104801,-0.245715561719462,-0.110948411910895,-0.20723958567685,0.0019963764974024,-0.0465975947673381,-0.176943163795505,0.159556178168773,-0.288190722938742,-0.0571062511061657,-0.202827415855665,-0.132442736150734,-0.121593830660559,0.0,0.240265684902037,-0.404175502417695,0.281246801622613,0.0212891391640829,0.0,-0.250442796806762,-0.0336636354112183,-0.0271756897786827,-0.304316385937869,-0.247855917707124,-0.0056998495912915,-0.323845449071854,-0.0114780528158201,-0.30640048365887,0.0,-0.224571630655653,0.0946105524541064,-0.176086487604115
