group,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD5,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD11a,CD244,ITGB7,CD62,TCR,CD41,CD2,CD18,CD38,CD127,CD45,CD26,CD49d,TCR-Vg2,CD305,CD99,CD150,CD82,CD224
healthy,0.185763199399363,-0.0399603679069337,0.304625742526927,0.186666055859874,0.106322610405775,-0.198768464978586,0.154529863942291,-0.234172119796579,0.181708537693116,0.339334606371595,0.019586248837298,-0.080704612629472,0.229570697151604,-0.267889454456296,-0.0712252004052543,0.0193095636971633,-0.0813625553986532,-0.0278730104345291,0.153660773927796,0.314268215635862,0.199074987401281,-0.0110464942553563,-0.0607150885936422,-0.0035882459437832,0.171040282663038,0.111165429963468,-0.0630107555149842,-0.0751347088938802,-0.114692830061432,0.122010335246629,-0.105537517151023,-0.130489052531904,0.0619278220251128,-0.178790119239814
healthy,0.304247725603284,-0.0643250120120713,0.16998083439986,0.215649007693037,0.104000823446434,0.0689597652394852,0.261192824516193,-0.188281992352827,0.222231544473989,0.135671156740787,0.0957528201383229,-0.120263870059192,0.17338340929768,-0.0932938440253653,0.233115246548054,-0.219705811416132,-0.0384885954099618,0.0456569250521614,0.308266292877507,0.300394695566687,0.40816041168069,0.0095048479479188,-0.143099683091743,0.0923342562212002,-0.144965645022357,0.0957354192291764,-0.324536966557577,-0.0933278811242337,-0.0341822948866186,0.0319186018141429,-0.117247612428759,-0.132165089549472,-0.081605070638131,-0.143170864779787
healthy,-0.187786821250276,0.197210676854282,-0.0764189390879675,-0.310010649779599,0.13788249760274,0.0970899551073931,-0.171790943143701,0.0352742026232055,-0.0704066291673577,-0.340514287979597,-0.12756712317883,0.127058127573915,-0.360702240412945,0.073851434569759,-0.287412785575279,-0.180988056497996,0.222583606952376,0.0206529962760983,0.403035813051196,-0.313776780487944,0.285875710063098,-0.0761248433375291,-0.191626050029865,0.0327278600156568,-0.304898828879887,-0.18920874559253,-0.20442953201199,-0.0837195016335845,-0.0014091918330168,-0.178580268510928,-0.0231030842710677,0.0685232141770776,-0.144286275752712,-0.008498594766404
healthy,-0.033005366632193,-0.0047882156345765,-0.147920742988107,-0.1269900201307,-0.0124769337118662,-0.0003252510411134,0.105991147003038,0.205112135043874,0.182708761836386,-0.571775359537548,-0.0464049749155549,-0.0984829564151188,-0.0804567898861659,0.190540063361667,0.108161475911189,0.0047955398103204,-0.0231958919747049,-0.0558456992534526,0.026625547229771,-0.15567207259006,0.0318694649445251,0.0728030680710648,-0.0430259498065118,0.0287143279510401,0.0702349953525538,0.0304800964082018,-0.0671563515408569,-0.113970441727699,-0.075348487687282,-0.0640296792185075,0.054033187211931,-0.0294688679781868,-0.164886575386656,0.123519915835768
healthy,0.380938498284917,0.034851478259685,0.698801981530164,0.489736773933591,-0.356931605658569,-0.29342093410332,0.105780088312654,-0.688160561468611,0.147619926217886,0.303730054249552,0.209194045392316,-0.258684427429939,0.195671034897613,-0.726164844804092,0.0671331530053234,-0.368027709236082,0.0609648314731625,0.0771152540569741,0.0607856695049375,0.443052704368202,0.165981731777381,-0.211216246705201,-0.421900316844886,0.463566780575641,-0.192910269879404,0.0638900131138304,-0.0940996383832863,-0.4072736318065,-0.0010077638351841,0.411169478802655,-0.657324867996779,-0.330498147320292,-0.392753671295641,-0.589111334055566
healthy,0.15601192934923,-0.0220926860180187,0.515712167127932,0.388542204534264,-0.204007776337693,-0.354609936946048,-0.0661832551455539,-0.507742011963566,-0.056572926651784,0.16336031951786,0.11207068797772,-0.332427437358611,0.225969697379366,-0.552300034865977,-0.323950748862088,-0.347265160415856,-0.175934609179383,0.172191634510048,0.170291795920702,0.296107263183005,0.0704776890843302,-0.216182121702134,-0.330582717063312,0.449145636525979,-0.0506167913805205,-0.111412021990805,-0.180785600136956,-0.20196103354405,-0.0077666143429419,0.304006633580418,-0.398190696926251,-0.265706122094191,-0.407960685488748,-0.390982836592653
healthy,-0.568742623012842,0.180238276116925,-0.358335903441679,-0.324205343696562,0.10312993973882,0.476437722306126,-0.27914348451364,0.411135067960853,-0.036992298324776,-0.0984049093530504,-0.079042083525462,0.139478704174889,-0.257317589116619,0.298432823507851,0.146917756821497,0.106112477469728,0.189052421559537,-0.0091321930396738,0.229633297515864,-0.623289343114241,0.0423892609119333,0.0986579499997821,0.0829214495880614,-0.0041365641308726,-0.0380774966014687,-0.239880327672272,0.0519543201968688,0.100324483337637,0.0,0.002222144390915,0.256736925330776,0.0,0.226881715402617,0.141990056659051
mild,-0.207553465742698,0.250318850958621,-0.241320337683154,-0.300530889724625,0.101248893351107,-0.137386346539922,-0.065142675960486,0.20926792319427,-0.0882407077491907,-0.342436212431213,-0.186027052390348,0.462511086524363,-0.411277524842578,0.257381562870635,-0.0123812733210416,0.295893089765343,0.403920645777017,-0.0096389785310674,0.184962955638768,-0.31301200363202,0.254683386056608,0.118382862793038,0.261619060775865,-0.0221389639984396,-0.115802789433535,-0.0269351721387914,-0.15642846974008,0.500800072108873,-0.0543782675938672,-0.144537237065344,0.161757106086927,0.0511638426946692,-0.117914653155745,-0.0149464589909548
mild,0.238950373295231,0.046236303173899,0.660509707434886,0.455216007663321,-0.301924502255401,-0.217209957266776,0.064611662940322,-0.589828692090206,0.0657277939700932,0.0260855005261369,0.289383660988255,-0.188690741965247,0.275485964822973,-0.601763271887346,-0.0916925965337613,-0.227542003838167,-0.0553199099972501,0.235401444437129,0.0920977319597959,0.392308780291745,0.0909659070800471,-0.122117795227426,-0.295350799092307,0.513970066038999,-0.0719246421299368,0.0520672973348932,0.0691974285160927,-0.228224343680629,-0.0185610158223725,0.0471375213331945,-0.333720107790586,-0.304622270201292,-0.416525854947355,-0.308353596697003
mild,-0.385918336140162,-0.0202945295738606,-0.365932548841112,-0.200031103846407,0.331553413751298,0.136521734165594,-0.211483314351947,0.153504126406529,-0.0907675279713414,0.283623528303655,0.126660099276225,0.122577278121139,0.208694867491993,0.212804879592367,0.0437573249588109,0.105083831795923,0.148848292011804,-0.0215761125211109,-0.0827958525455086,-0.361313682281293,-0.110112033236448,-0.045035422130515,0.0,-0.0241053594941625,0.272710009961441,-0.102461535116331,0.0423531536519337,0.200142328455699,0.0,-0.101933234171868,0.318706198349432,0.0,0.300078346470486,0.108369174844667
moderate,-0.115257801481836,0.204512834114877,-0.356085594932645,-0.436807383542562,0.213165812430189,0.164347616062168,0.0826146253471836,0.475640284395114,0.1447604096329,-0.341671490868321,-0.13083832194456,0.335299549794004,-0.302909635026227,0.567063294647825,0.130831773679497,0.558084683101293,0.266807451015723,-0.0433316892323147,-0.0791851834461948,-0.268935097380977,-0.0019464869198981,0.452793752707091,0.299827430792677,-0.0503376458366002,-0.147534358459203,0.119048363376634,-0.118959474228655,0.567677661645313,-0.0685653078252976,-0.0181723014062056,0.39210325477923,0.177199960477104,0.0653057793054531,0.239981699204147
moderate,0.225318326310226,0.0131856283902034,0.0423089012683118,0.125819090101588,-0.0783530678725411,0.0624453841288922,0.294963867277069,0.150326652034097,0.266557762349172,-0.0473381819715637,0.164684057558031,0.105736521728978,0.18407216547081,0.0979125654905962,0.246624192147572,0.110296263310176,0.0029530645102256,0.161353655869098,-0.0830830983514035,0.178111141491123,-0.008986937492658,0.236753426933677,0.0688746777345393,0.0987545289232385,0.180665689037474,0.205561837988175,0.18994322852406,0.16624279315148,0.0946458472389083,0.0809906094903773,0.117476712422498,0.140361505316744,0.0823958948299103,0.0380358876349519
moderate,-0.347216584572573,-0.0034460827104247,-0.627066608560097,-0.61800458483391,0.0133351875213716,0.25679256162065,-0.167408023859404,0.646863438263968,-0.205732956018752,-0.261049358313943,-0.377910292264035,0.162127630176677,-0.481513467474093,0.598852312105325,0.344140053041752,0.205064457546783,0.124736884329578,-0.120850571894159,0.0519038974488008,-0.429073703479235,-0.0834356829056003,0.0364540948434608,0.245302381227255,0.0273784306762543,-0.302490935301289,-0.0894099269884165,-0.493000082130473,0.22325047997784,-0.13572294871702,-0.316722382876224,0.280219745666955,0.188996625296197,0.19895193614688,0.313465119805165
moderate,-0.0837793422361616,-0.0264499942084668,-0.264333924686745,-0.434027924469873,-0.157878554337217,0.157880538071726,0.0313024556220488,0.376967242577193,-0.0525033087209117,-0.105678151887212,-0.235681358507778,0.194778005776467,-0.239027690560846,0.372242490586912,0.432849955819466,0.201715286201259,0.0468418567215171,-0.122823560858757,-0.0216004410555153,-0.0494018895678119,-0.0475949817671574,0.0368681825160172,0.14748860576656,0.166134526375532,-0.330276223230561,-0.0600820603877819,-0.574091291283654,0.0928151606541591,-0.0134800977053499,-0.135797747947504,0.143614973688905,0.0667706064164002,-0.0204456996129335,0.0477534334354507
moderate,0.346603310453479,-0.450033004929341,0.346826411406215,0.233713136138028,-0.0737426254559701,-0.0558503467563326,0.479598269628016,0.0073878357308317,0.208346700233916,0.0468711674353437,0.0892434794646174,0.0122875970426152,0.119004076460508,-0.130191501178082,0.0873990330821355,0.0818501663668509,-0.0046318287389585,0.152161564102553,-0.086353526703788,0.445623630514023,0.0188046326469916,0.0339237063414567,0.0236403262463366,0.06921089409597,-0.0530516858068649,0.135920272842483,0.0300638557570505,-0.0773464677770543,0.021579118171248,0.0604330201665304,-0.199161713904955,0.0022759392537987,-0.157499831292002,-0.0655285709899129
moderate,0.244003280382168,0.0354788192412405,0.341084198390812,0.275278878487387,0.128397515686253,0.0239057143329682,0.136758241524115,-0.111687001628679,0.13171286530845,-0.0040213492607141,0.172923095362793,0.0145733782297227,0.240308911722415,-0.0835431675513293,0.0814031217915132,0.0715366020021983,0.0678041923994121,0.0357424087794394,0.174304166857426,0.271451479666269,0.130786333902598,0.156118688910163,0.0487022314448188,0.128245763096552,0.133657905096354,0.181110136364971,0.212844646592636,0.039588872687219,0.0254873729098997,0.135452492486751,0.0546184270970989,0.0874486731462179,-0.0428721641195912,0.0476487696176564
