group,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CLEC15A,CD27,CD95,CD57,CD278,CD11a,CD244,CD54,TCR,CD41,CD226,CD29,CD18,CD38,CD45,CD36,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,0.0089189335113111,-0.174724359195173,-0.456481297792419,-0.292203879720999,0.199145645168065,0.40204412296277,0.510472100078851,-0.602769249860876,0.253119831026689,-0.350949978978545,0.633815346738157,0.10712241944667,0.122715219565627,0.212795092794006,0.30216898749166,0.344778082201682,-0.370935078193086,0.0526390129234485,0.220311625690403,0.227617025641779,0.0945041600935197,-0.137018327426798,0.0199719106581402,0.0695644617216645,0.292049001336444,-0.258005730918274,0.366047899142253,0.178851186785863,0.148534527379521,0.411094403653971
healthy,0.11726892372207,-0.400180676195197,-0.749194953748755,-0.555544071417174,0.42372707391027,0.290606554374446,0.782910260189041,-0.715781050292158,0.139926678661748,-0.360840556862252,0.686655588735525,0.0271410002910618,0.0298137942223397,0.228825513941238,0.0548603366482518,0.308374781639427,-0.568656031647048,0.027526890670859,0.379529629075853,0.335267434882282,0.183074802436332,-0.303259936599282,0.0040265516254381,-0.0073421136186009,0.283259500189813,-0.370913156046958,0.544456627404147,0.287312677861681,0.296650040472035,0.565713513797791
healthy,0.116649796281003,-0.205795053642369,-0.594226901721902,-0.305714534335978,0.336623339426792,0.271348704002835,0.637053458379262,-0.378800985095762,0.184703911438721,-0.189710920632354,0.537470306575695,-0.0959033252631586,0.0074191043071522,0.294620278765706,-0.0753381564149849,0.106021572481545,-0.318737811215495,0.0543859827548445,0.0832070379633413,0.38814676101648,0.298326824454823,-0.450931668751117,0.0225136208420492,0.0250848372633538,0.303973794753616,-0.359797876997579,0.538946024337027,0.266444599402675,0.349828127065075,0.373885125470011
healthy,-0.198311080598251,-0.320007723061769,-0.394011614026777,-0.502355679767943,-0.063001888397996,0.193500037845951,0.163322469007511,0.0931356140813692,0.0997221977334631,-0.252230047441946,0.24224367890756,-0.0997865881635069,0.058960292315852,-0.15541181062667,-0.104980717563503,0.0051856076423746,-0.324711226681338,-0.138427912945439,0.0740889697907341,0.0016030504018534,-0.0363222550300829,-0.339682059057787,-0.352880610981844,-0.0494260120369089,0.22362993827669,-0.134472717457016,0.0024805398468961,-0.0453271120644681,0.140588503078601,0.0910326209557742
healthy,-0.042235461702683,-0.432983521583444,-0.66089558173523,-0.548345703394516,0.427997570416725,0.279457601839131,0.641792266207772,-0.545831345435117,0.314742749757628,-0.26654710386646,0.652351604513655,0.0457173318799673,-0.181532750138982,0.192629785387505,-0.0364435277191351,0.399738355177791,-0.51336077226112,0.0017661757420838,0.491416698910702,0.35379178384638,0.305660601989903,-0.464346240671791,-0.158783628312649,0.0001594932041907,0.289036844131013,-0.467534263450004,0.551478689796275,0.369267177228973,0.328767000056371,0.563775123557636
healthy,0.226587662154478,-0.0910298648432855,-0.424694347602435,-0.323775942540903,0.241361435680715,0.377395372404443,0.456714233298589,-0.64269783586124,0.254045106828324,-0.281227839874008,0.511056037078008,0.197225522579948,0.223286011858264,0.202702536790712,0.138565871385786,0.183573110696237,-0.315024641071737,0.142926406394247,0.280780855889105,0.357405880863398,0.15139554659004,-0.204858496037385,0.111556201572568,0.177374123267544,0.127426323907815,-0.357039245771026,0.253985255892724,0.219356203343997,0.214728987717547,0.316713069690076
healthy,-0.0491309841791253,-0.498570245885575,-0.493796653071888,-0.389335396898256,0.324763005024878,0.383298854652471,0.374664519229108,-0.719655668838661,0.230879688385622,-0.180197858189067,0.248897991081177,-0.0106700211842841,0.0647275769278482,0.173014064016701,0.155090776607653,0.259810444413172,-0.52126295137064,0.0138149607242144,0.271666310593925,0.112016695057557,0.0518865210872665,-0.110569641499855,-0.174437848610545,0.16535182318933,0.238980906125469,0.0336104609866871,0.334897032627756,0.0,0.306688066159754,0.158261098761666
mild,-0.227035076748898,-0.334952950667602,-0.557430635982432,-0.637512657395556,0.24009280857153,0.243525734348966,0.575111008495018,-0.266272806592208,0.598265344907704,-0.70288488166155,0.709461180157072,0.377667751467089,-0.0021102059499882,0.480443274403974,0.478403881245027,0.591835692294454,-0.502562546143721,0.09825122293139,0.634956558223881,0.507742154020551,0.524465649318114,-0.362617915112691,-0.0167274324399019,0.0919878391488754,0.535662945067283,-0.461607478254706,0.665286963167387,0.228985630937298,0.194068318804328,0.235497285654075
mild,0.316440968322662,0.0314495218116599,-0.481498844917566,-0.211807100594163,0.322621243515329,0.374084915969957,0.64894401937705,-0.547391634476744,0.293464262484055,-0.208357151460817,0.604311599923961,0.158576827878165,0.0960801349752293,0.400398907004119,0.198325492805901,0.288951389004924,-0.248613721021513,0.0488426390603169,0.244113506211303,0.260000201153045,0.226735076848901,-0.235677696748843,0.292075973124872,0.0451793267622749,-0.0464150080699118,-0.0806810260633899,0.413909599202801,0.343633697625768,0.292111671393819,0.372216352366801
mild,0.240185645608464,0.383439556819004,0.408809033530509,0.245278052935809,-0.175221476856435,-0.260193332987557,-0.291713344462666,0.174987840449373,-0.0592501696765176,0.143980774302562,-0.200833373017875,0.0751632410264075,-0.0659678451802808,-0.058392194057348,-0.11660394412023,-0.104094929939235,0.520733472917781,-0.0560106925907537,-0.157540285376808,0.0,0.0,0.0304353876258617,0.159601221226565,-0.180055213922453,-0.0899147633056788,0.150002125667092,-0.0399081456882839,0.0,0.0466792144814444,-0.0401322575844609
moderate,-0.0036382256657201,-0.265535458469735,-0.625688165844872,-0.528575362286435,0.2383616738593,0.26120693490379,0.5271523500549,-0.401651467863784,0.212750891982198,-0.378127401304191,0.610795148772282,0.173735866893429,0.116500642024825,0.430299277364428,0.104437056529045,0.232231282667647,-0.479539019572445,0.107787925198651,0.500044964422292,0.159705393939836,0.278187297468004,-0.151731267555719,-0.055796041185573,0.0216311779544786,0.507760680111686,-0.098007409525255,0.477384043025658,0.170313316908929,0.104451391953513,0.350092132055697
