group,CD137L,CD52,CD3,HLA-ABC,CD45RA,CD7,CD49f,CD194,CD44,CD45RO,CD5,CD62L,CLEC15A,CD27,CD95,CD314,CD54,CD62,TCR,CD41,CD2,CD226,CD29,CD49b,CD38,CD127,CD45,CD26,CD36,CD49d,CD305,CD99,CD82,CD101,CD224,DR3
healthy,-0.0366783922784392,-0.0741409809884013,0.306168602882264,-0.0610877265797542,0.439583597008501,0.511147569192676,-0.0904013732393421,-0.413758990750885,-0.0228454523126289,-0.502496919670104,0.0610609000538115,0.544457028831411,-0.0797441299907991,0.413566332697544,-0.586807195026279,-0.0457467667357931,-0.139556101684028,0.0529818069633479,0.414005438036131,0.0789878188504484,-0.16819027332379,-0.0726281404544764,-0.0843791859136312,0.0406406613792197,0.136204482901025,0.394214346662462,0.0487696713910266,0.0796439147403213,0.127604583551285,-0.134424851383599,0.319805313964269,-0.329377630436637,-0.101378714286339,0.204425222339673,-0.321718636836587,0.108504558203396
healthy,-0.0607051161595503,-0.221739301385389,0.152315799141143,-0.0050448265719952,0.44101965340918,0.274914698684042,-0.309576063823935,-0.145968516574991,-0.184278770899234,-0.493265314394922,-0.0553600818831413,0.657846959634571,-0.106148292996215,0.208302990803323,-0.409856740503279,0.0218463148193186,-0.268227071680649,-0.0443673206198783,0.241537076545815,-0.0606899968461126,-0.351131077736354,-0.285858912541089,-0.193177900211433,-0.0225545373377185,0.251392724251263,-0.316405050162327,-0.0993715757314565,-0.405350111626275,-0.0705946662316168,-0.334852503833147,0.107981476425837,-0.369538035965734,-0.257320333109585,-0.0149293729031709,-0.421939150413163,0.0386338179418892
healthy,0.0846658919287378,-0.267564565842047,-0.155104106716438,-0.171595454147105,0.101608968378255,-0.164702490720273,-0.0060039323617148,0.0916083941591948,0.006120370798143,-0.113030847146852,-0.0667802837731663,0.589699718526509,-0.0564325146551837,-0.120875117506783,-0.045634293359966,0.108683432134517,0.0898410124488176,0.0014650017943518,-0.104290708115935,-0.113375578452827,-0.173709726530535,0.0673927300505062,-0.100482568876891,-0.0548579718917835,-0.0580079215007159,-0.206068166336093,-0.205597135584693,-0.244999174305858,-0.109252148432003,-0.151843436183016,-0.0498526117427198,-0.0747864314107886,0.187984564049271,0.112331815110448,-0.0086920984718283,0.173060772267999
healthy,-0.0873747990989002,0.0996381512386363,0.125712841782501,0.0440307333799517,0.288079446853572,0.313100079202128,-0.0456107091135225,0.10091971146379,0.153580150918945,-0.0801266155932405,0.0778142205567336,0.453197245209665,0.211592121561513,0.0258110399098837,-0.0623576033953166,-0.0009317897650391,0.105861755319766,-0.0778217864516365,0.172704224677494,0.0927930020837554,0.0498006248212052,-0.0297044126835268,-0.0523872010574365,-0.1025426863892,0.0773308496129549,0.0381670733182852,0.0553149007075109,0.376132118823809,-0.0104094421795888,0.0667810277546357,0.09807568863567,0.106593234463366,0.262017952671436,0.154373931538981,0.0440261583240886,0.0211911822989816
healthy,-0.0275144170903881,-0.222790365983676,-0.311382490664106,0.021995623285918,-0.308803663564367,-0.287705207343809,0.139289342229494,0.20810108374801,0.0952187553489199,0.291377815581955,-0.196043208576497,0.37916586057813,0.0570902163132401,-0.157083455635262,0.29045593952465,-0.0128156270448522,0.233435431229543,-0.0813951606905621,-0.316104245055405,-0.0312618482338542,-0.0597908582254795,0.160628329373319,0.142932345624463,-0.0575457693630899,-0.270018148278672,-0.104841855929492,-0.149224256587241,-0.156242933576023,-0.0436542964589161,0.124741066523123,-0.229659645720327,0.281174181187307,0.242729446053758,0.110628000654801,0.154264861516274,-0.025022321920896
healthy,0.0175711156703536,-0.14813434235321,0.203894513461542,-0.0628209796940474,0.666345621336239,0.460107293091141,-0.273103501960855,-0.429979605946995,-0.279148989608139,-0.636427309445786,-0.183890651826971,0.370886058862795,-0.324596844090193,0.261905856485077,-0.662978225333451,-0.0180099947102932,-0.231318355675111,-0.0356410159057787,0.369274938676847,-0.0238181331133663,-0.227151978111657,-0.252841663402192,-0.391726550204858,-0.0278142180473229,0.322325544730332,-0.112463379672201,-0.0770372512970341,-0.0068885904848469,-0.0054463746265941,-0.244091667041884,0.400284975234121,-0.523513511010954,-0.467388851463658,0.195254331116009,-0.417989510278077,0.0232319963882726
healthy,-0.0561510969080948,-0.4583273898812,0.368976403240491,0.0,0.335816711914951,0.154476539140333,-0.189194941258339,-0.269347127724265,0.0,-0.475955826679779,-0.250923870884968,0.699454794136775,-0.197875541002253,0.0568987834883955,-0.215922204693929,0.0,-0.162165475884086,0.111253511653903,0.425026676629236,0.152127667193072,-0.558694531924795,0.0445251737546661,0.112016695057557,0.160603372501813,0.153150847096007,-0.24024644083584,-0.233394697891062,-0.308286558144099,0.20749190977975,-0.205199541912386,-0.0534312580775691,-0.468460277726415,-0.181080324019951,0.405074846741756,-0.0924539712671074,0.0
mild,0.102844205290323,0.0792882368147233,0.354940579092446,-0.229889932079174,0.627366516305767,0.43424136599555,-0.259284624371771,-0.282430096518435,-0.245587889617234,-0.646111061497159,0.101363104150423,0.459241971488821,-0.311289814796592,0.606349598533288,-0.689860441861424,0.0403425373541871,-0.411068990754501,-0.0329854023589405,0.545797672909927,-0.0706818627699201,-0.247551138344756,-0.479897080791811,-0.440206818105446,-0.0925060404300354,0.334451893336685,-0.0683639226593406,0.0548659200342173,0.0302224470835604,-0.0784705400482426,-0.413865937235151,0.531462654980932,-0.559650137580808,-0.300284272809229,0.132360206822274,-0.391475707055008,0.0552370067539365
mild,-0.0340844261491062,-0.342545917634588,-0.140410200112148,-0.180255322758101,0.303676913264141,-0.0104184094398589,-0.167199107825968,-0.230476889581917,-0.126726140369249,-0.403668945325278,-0.227411849126439,0.563953133920105,-0.239311499531456,0.0845770059786215,-0.336881109474547,-0.0902256736536301,-0.177296254718564,-0.132230794125657,0.0587280785298861,-0.0660235910215289,-0.418543686991336,-0.193688176452963,-0.148893750396455,-0.116403447663099,0.148714617484301,-0.387652329867842,-0.314902711608522,-0.328559527629616,-0.0257360575528022,-0.0467421775252312,-0.0001134694529312,-0.315556571227945,-0.166051129377419,0.108440035716289,-0.267830671439235,-0.072904488600901
mild,0.0250090906284741,-0.0698897594872728,-0.410077575076917,0.0,-0.466205591316218,0.0251810974132663,0.230358916159053,0.207071778517264,0.0,0.354460296463971,-0.0663634337676909,0.14698288348226,0.222030765831837,0.357916148604364,0.30873225113587,0.0,-0.0140359758816135,-0.011956227104896,-0.399936225167293,0.0439454500931989,0.0304838625895997,0.0899245728560561,0.0,0.132574418601231,-0.10656212973127,0.280153121725045,0.131069612905648,0.093783815445759,0.0739465465108341,0.229141515097729,-0.064020801908471,0.342774480398912,0.267461987370028,0.0943979646615748,0.212280488197582,0.0
