group,CD45RA,CD7,CD194,CD45RO,CD62L,CLEC15A,CD27,CD95,CD57,CD244,ITGB7,TCR,CD2,CD71,CD26,CD99,CD82,CD3,HLA-ABC,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CLEC15A,CD27,CD95,CD244,CD54,TCR,CD41,CD2,CD226,CD38,CD36,CD305,CD99,CD82
healthy,-0.246697521482763,-0.160348023269313,0.24686013324391,0.351640249299975,-0.296352181263674,-0.098608709261052,-0.0931643711537259,0.431184795428391,-0.136441065450282,-0.101586514838411,0.0557571725739174,0.159646565253899,0.160813564304996,-0.0534063061914501,-0.0865410085526857,0.183907973597842,0.129644054812414,-0.0896018163492752,0.0060286946912019,-0.214435149142895,-0.278782630864197,-0.223964288057071,0.410280054144045,0.364667568599261,-0.337196380871297,0.0012744153623189,-0.150980523517499,0.450522483636641,0.0084304521270248,0.078509137404898,-0.147620208339795,-0.283415497377771,0.0389979575762445,-0.204722945560615,0.0769274622916526,-0.26773410157242,-0.169480272134225,0.222726450859846,0.125004126297192
healthy,0.212247874404987,0.195499498081201,0.10066888971384,-0.0747248501694501,-0.0512294687419629,-0.0566563585443761,0.0806122753374374,-0.0519053002882365,-0.0875524510646688,-0.0879782441321334,0.0498936640857139,0.36217127404494,0.0288358612347842,0.0187904390546151,-0.0939766388163946,-0.199792187179139,-0.0996617312511329,0.51215058767189,-0.0947715844061068,0.750876527450363,0.503128349631147,-0.45865111479593,-0.287121320916676,-0.722813807949258,0.303919879160007,-0.0661469835428316,0.432232160836755,-0.595343958661797,-0.0236765556774205,-0.294473143723329,0.634294132661665,-0.0529262325117654,-0.197643256512075,-0.37326566860655,0.340929094869983,-0.0421193283519562,0.413119948892662,-0.507574178885754,-0.32960302701627
healthy,-0.209960730666933,0.002957293877384,0.370171678019663,0.363001867016957,-0.712105473752161,0.103420750707697,-0.0915164398407008,0.422499542712873,0.112986145883401,0.167078878737654,-0.0583031361999606,-0.121354307707453,0.258878921999081,0.197980699308299,-0.0722734678196655,0.24190884156701,-0.062324360688721,0.350797285402954,-0.186296143964988,0.45302333855767,0.526494870431573,-0.349283990264835,-0.355315751080018,-0.455253191566081,0.293305727989258,-0.188235007265116,0.44481954873554,-0.47874309200743,-0.207203463670766,-0.300062495270721,0.532027935408116,-0.241041804449727,-0.0306308094250317,-0.37262528609977,0.248021661489482,-0.28784844708379,0.406182359660807,-0.325736129137942,-0.172866237509173
healthy,-0.391677616462918,-0.17585407929934,0.139267260820619,0.178295831639164,-0.343721569010878,-0.26221195304311,-0.253506522289325,0.120426040241497,-0.0725434731289077,-0.0474213440335168,-0.227863812970458,-0.260815753366013,-0.100136585265495,0.0375722474829407,-0.535803959803816,0.0225294662479394,-0.0791771764938858,0.330292991663803,0.109223906616631,0.512665744905339,0.350323025457865,0.0539324766213298,-0.305873489146335,-0.383006705038125,0.29470661026714,0.160328302031564,0.335215484956382,-0.487959485396222,0.151243022776943,0.0460518920466504,0.377461302717931,0.0745446937401901,-0.0330294829833689,-0.0245306265839444,0.323081857423683,0.0851982478563512,0.221896683146146,-0.189933668418152,-0.177079790670704
healthy,0.200673960658132,0.123542961653939,-0.018146310489672,-0.15662098093636,-0.72423418944138,-0.116351115737867,0.0256770135394492,-0.0551130126354187,0.108883408000877,0.0586159986979893,0.0618354987752353,0.192636977633408,0.129850950936304,0.10672187593391,0.126543582710341,-0.198429781186089,-0.240664584133747,0.576926112411123,0.0066662927465839,0.648661594444589,0.616085954496328,-0.34839678302208,-0.255552104252015,-0.546026585385533,-0.0729331697161977,-0.284856758952089,0.312019778727946,-0.547570829832851,0.119915819154296,-0.29084387536303,0.604666690575328,0.0053906495617261,0.0642137828300964,-0.357180706284801,0.538471948450155,0.002346685475676,0.516836270715824,-0.480748644836683,-0.307787884178898
healthy,-0.392795718382933,-0.386176250469055,0.417103855668664,0.502616997918326,-0.193874301717974,0.206480040285686,-0.320985183082293,0.583649025291946,0.155431746201775,0.1880920982652,-0.0652109988312338,-0.346646852779184,0.165798165530348,0.0709804627781808,-0.159147592927627,0.382575166385188,0.291978999249467,0.365206811241627,-0.0013783126673372,0.471852457333707,0.44066489315026,-0.11183246491835,-0.303984738571355,-0.560233627744768,-0.419377024775439,-0.307879352729322,0.35704860531316,-0.583759989894594,-0.146600548102246,-0.302912491288098,0.388104904711821,0.123566548613613,0.0047850279958597,-0.173179992015111,0.413478900351728,0.110106673183449,0.265836706548185,-0.406431098338158,-0.423311762436908
healthy,-0.303616204294949,-0.316991808582472,0.362233880668419,0.364225643604094,-0.733874673759967,0.165113805928613,-0.240148087427247,0.199419191520572,0.0820178947405223,0.252323219796952,0.0406493414240314,-0.544479574548398,0.320141537481906,0.0,0.124930293121064,0.279136692996112,0.0720627176205729,0.438763614339909,0.0,0.361157556789097,0.349415333592406,-0.244226302638011,-0.213958831272852,-0.249169919142057,0.773957337584398,-0.125754992997378,0.13172000644667,-0.157298485626536,-0.0145034644193677,-0.0966776296975554,0.660703786197875,-0.0907419085851921,-0.270187552231531,-0.128262574929493,0.0784557317545595,0.0974015963036028,-0.0630338453506442,-0.261328575309086,-0.115777747200657
mild,-0.28955976544034,-0.500051875018945,0.258932287196094,0.321696629064113,-0.314353231056695,0.553176410958387,-0.598011301334809,0.496424994482721,0.376012331066607,0.54838675546574,-0.296301345150928,-0.385970850560436,0.255769428834477,0.208152210733366,-0.406311561859699,0.509290385962084,-0.0529968286370643,0.326375474490597,-0.24887614558782,0.489071335405752,0.635686605159279,-0.187913745575093,-0.227685673607767,-0.499337288753272,0.229111336060822,-0.599461871024055,0.663156492819309,-0.650171378598527,-0.523169965454855,-0.576512074765017,0.476505414726237,-0.151137170908009,-0.270073697816255,-0.600444601063918,0.252163667701425,-0.144051193589518,0.4252496363644,-0.575528027093366,-0.0996183004538179
mild,0.251599755196073,0.281827975903352,0.0132675919884759,-0.205541777652709,-0.537930062142381,-0.0486703186968213,0.135230228724185,-0.229447208309299,-0.0214124277592451,0.0176329858386633,-0.17110045520041,0.12656699662781,0.142391259768528,0.179256365766045,0.094643588887778,-0.208004055420955,-0.228351722513201,0.32705425111129,-0.16900590560329,0.603906636773755,0.493077972230238,-0.197480964067095,-0.111853122177194,-0.496349008179488,-0.265261090179623,-0.189080632609392,0.246598287375454,-0.524637626304683,-0.0755501107197442,-0.200269348810514,0.346231455116418,0.0757988183615959,0.0315311829375818,-0.206154006145235,0.383563988742348,0.0632718377499889,0.0804194641973827,-0.329734656226415,-0.377687767479954
mild,-0.402671486383657,-0.0460283748325615,0.249054154736633,0.348335969574613,0.088248401298667,0.116384538050013,0.111323204279955,0.363653030997768,0.0003599523268112,0.03256030907018,0.0047220448278525,-0.47672906952274,-0.149966319742592,0.110228518829579,0.0061261880408539,0.154666212297371,0.248041724967939,0.446564497928787,0.0,0.16820071951868,-0.0202905589173023,-0.0291457822996287,-0.0332207244070939,-0.177439320451124,-0.10829056309363,-0.29875640255722,-0.282685808014114,-0.124338791338055,-0.122264745365324,-0.0819212478336018,0.328061740781928,0.167665789799759,-0.0233324151729222,0.0800243336860889,0.0423632639791792,-0.0158064598859764,0.0562216443255126,-0.170839346920253,-0.15787042582553
