group,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD5,CD69,CD62L,CD197,CLEC15A,CD27,CD95,CD1d,CD314,CD278,CD21,CD11a,ITGB7,CD54,CD62,TCR,CD226,CD49b,CD18,CD28,CD38,CD45,CD26,CD36,CD49d,TCR-Vg2,CD99,CD82,CD360,CD224
healthy,-0.0461597874204098,-0.10015445274984,-0.305859958545256,-0.21104330126923,-0.148417710505104,0.201717863549009,-0.0235678103772375,0.23430711862281,-0.06288866274517,-0.237081792765477,-0.084802857797243,-0.071034633488945,-0.015210671692673,-0.3083450704909,0.281670332592171,-0.0573925488837331,-0.0829195745293226,0.262688465384604,-0.0554150239994065,-0.0412764555848999,-0.0844799091256683,0.0554397028811721,-0.27367668491576,-0.205759115548684,-0.133899344270801,-0.266819791735525,-0.0579300495977483,0.0395685272519286,-0.0418832808142062,-0.114004977371379,-0.15940935117673,-0.196663408315384,-0.127863947890844,-0.0653689489546445,0.184438455061579,0.161159480991487,-0.0822209844418975,0.181881738227563
healthy,-0.127593078825989,0.0952147528204031,0.167241148901018,0.109098102317376,-0.17906702441671,-0.09073252808039,-0.0742612192806301,-0.309922226348653,-0.0710364831827381,-0.117852617892799,0.552020277791316,-0.0385901939865312,-0.110044235031942,0.09816181501146,-0.29201391053247,-0.0103095664911303,-0.0114404763308618,0.0714549577030882,-0.0750636459306631,-0.212381745472166,-0.058594549555641,-0.276853557211927,-0.0589825042466468,0.110353176455287,-0.228746088409392,-0.0487363735062459,-0.0757013158228889,-0.196898867586188,0.146799760348155,-0.148623182619077,-0.263104025774058,-0.0193421515922917,-0.27527231968963,-0.0548753163744328,-0.14139101800335,-0.148528910680945,-0.0107071278143564,-0.255183514039923
healthy,0.244573717989455,0.176793091640292,-0.0199824283225221,0.257711846470563,-0.0419325987875606,0.119536932027487,0.190608159321053,0.115132605116142,0.16396430134655,-0.423900955674894,0.493826487215576,0.0780821704901375,-0.158295852687894,0.348730831856903,0.0922180817432868,-0.0963482157048172,-0.133231209564146,0.399698086231248,-0.0165439195300404,0.244040020929579,-0.101784527569881,-0.100988936957912,-0.441896321643083,0.242591718582339,-0.299419833450652,-0.437698778660319,0.205282401614119,0.364724635075787,-0.134616014124721,0.220014399014461,-0.0219155972846221,-0.456543501138435,0.0281738268406447,0.0260985287216914,0.17681036538332,0.311252130861683,-0.0286131786225172,0.113898730535927
healthy,0.378573647613957,0.0777005097121555,-0.126944732564411,-0.0497281089684607,0.186225696018859,0.294047678339786,0.239246625535012,0.385473082011334,0.422604607060511,0.121672196120219,-0.288297381966004,0.0779779742636266,0.10070170598668,-0.0624816255267674,0.320369895096954,0.0332193190428832,0.047247029291605,0.222999720405313,0.0044938547716308,0.252453499632195,-0.0546847780674834,0.14251166755159,0.0978111983307935,-0.0175859611927442,0.301853741103569,0.183697590053496,0.128424659272032,0.344953423045128,0.046736876379745,0.254295604705537,0.154187949871742,0.135567275561097,-0.0242745384666804,0.0584413674939561,0.334723398695687,0.158670502166301,0.0435262377001787,0.248977109043257
healthy,-0.195390245499287,-0.187844761830817,-0.116172549620377,-0.0845743452557151,0.112416205338121,0.087164970211247,-0.124009884230792,0.0978994399233009,-0.135564731271445,-0.106132838761067,0.74352656692993,-0.176266951962024,0.0131187175188218,-0.0136425913102129,0.0753617586245508,-0.0896190863932266,-0.128226493598378,0.0095456737122284,-0.144824821133468,0.108482692655541,-0.095668555611273,0.0252693563760503,-0.0370368273487591,-0.13872916743109,-0.0138226903832225,-0.052586331934963,0.0831269318909952,-0.040909017970236,-0.170967786477045,-0.0816187644808611,-0.150770698677131,-0.0596518178199172,0.100529908272784,-0.134215894413607,0.184225798277798,0.265508190570778,-0.142244635007173,0.069834331583904
healthy,-0.219191175847655,-0.369928489404758,-0.565071388063997,-0.476532530036988,0.135943707053379,0.3584992684477,-0.195320241833656,0.599509405399373,-0.0893018898970394,-0.089911205035859,0.396869538584961,-0.201125778849236,0.297579946792391,-0.334949776410025,0.673848095116697,-0.0354741214108928,-0.020370392579604,0.256584648724005,-0.0560040701457872,0.239767105137848,-0.0948904414283623,0.322534507054657,-0.144208301761895,-0.421566303045952,0.19216783132511,-0.171466141230127,0.425104842603386,0.119762548788952,-0.409581802425632,-0.11709289569727,-0.135868361839578,-0.107142254547507,0.362858447889493,-0.024298086182281,0.449987995158757,0.417252903333322,-0.176798472202458,0.331532848776651
healthy,-0.0062617140211321,-0.209462376237412,-0.175089978750155,-0.231552538784325,-0.0974947248776794,0.322344112721252,-0.179786114637651,0.118683973829378,-0.207511831845788,0.123722700371782,-0.0985743004630701,-0.0480071550246671,0.048377849490486,-0.150627250729044,0.193348964363032,0.0,0.0,0.103298870650991,0.0,0.0790311321594132,0.113516476764541,0.216009959806503,0.0578996500333026,-0.430668147595924,0.137226024273633,0.0355565193574497,0.0324896907742697,0.0142377851543324,0.0128152602335958,-0.183527892033767,-0.0196550459166861,0.0940152019106066,0.137765849630462,0.0,0.0731947183669471,0.191693936738492,-0.0708767665040401,0.164260469103579
mild,-0.022505176299951,-0.144861581173715,-0.481626668005232,-0.43509895594145,0.0776349116665278,0.416325140307346,0.0120285057765769,0.521713365284785,-0.0302226153789741,-0.134619255113925,0.130250846921628,-0.207262422448911,0.421137744650931,-0.34233448296168,0.682495318812093,-0.03695010529162,-0.0666024691664776,0.226630680536178,-0.168228609911739,0.410575923302157,-0.252673778551742,0.401594223689364,-0.0917802289212885,-0.259088133865676,0.275751530356724,-0.101258787032848,0.4052300141646,0.0020906211419273,-0.23660692139753,0.0760879560819241,-0.392751581949982,-0.0636200031144222,0.295410569404184,-0.0705063538597414,0.537907027568859,0.138362106422595,-0.171177325663001,0.275249621316051
mild,-0.320298801573492,-0.237652793464532,-0.170783841022325,-0.326422691707624,0.101174447663151,0.0205430632299692,-0.177538744766409,0.180211230004807,-0.219344057196138,-0.153957137620054,0.600040383211029,-0.223040696793982,0.0280795320629737,-0.13591845597023,0.292445016396086,-0.112898255539476,-0.104288487521272,0.217346674620716,-0.0746249763919869,0.048468951502378,0.0778612796005676,0.0910626360241677,-0.0925452479864037,-0.125966045679808,0.0328620943650823,-0.152681434256324,0.146149400901406,0.0134934291477401,-0.159809299474039,-0.268994870576919,-0.236898848604874,-0.0744317977958154,0.358878773401994,-0.0912562482236361,0.142084332997509,0.19848954106701,-0.0773620222110185,-0.0130119637517177
mild,0.308991081424054,0.203818515626595,0.340165493389322,0.27690370352974,-0.184459777539217,-0.0802253558708824,0.0855194891893729,-0.0601426105686552,0.273857911330029,-0.0816422320688895,0.132006386229753,-0.126660099276225,0.111971978753579,0.324232653776198,-0.151084714110167,0.0,0.0,0.0138513544162032,0.0,0.0712084996284593,0.0300715198675098,0.181946070776971,-0.278261270649174,0.26247359973871,-0.262006100382393,-0.217360689119402,0.0,0.0146413171031244,-0.0354275233764131,0.381078515266627,-0.0595455704987889,-0.231063209175628,-0.132712370852166,0.0,0.0403141878682519,0.0345662280869373,0.0140510224878829,-0.0721694221718556
