group,CD273,CD47,CD52,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD45RO,CD279,CD32,CD62L,CD161,CLEC15A,CD27,CD95,CD57,CD278,CD58,ITGB7,CD54,TCR,CD267,CD41,CD2,CD226,CD29,CD49b,CD81,CD18,CD38,CD71,CD26,CD36,CD49d,CD305,CD99,CD150,CD23,CD82,CD224
healthy,-0.093691429039578,-0.0148715737774528,-0.140211641007417,0.144083581027527,-0.189686333404159,0.444315617894006,0.351458854490477,-0.22522623065109,-0.361089052528263,-0.612679832795719,-0.203223010423813,-0.0425931418617439,0.621665146700703,-0.128737667388409,-0.268201731387678,0.148893911405206,-0.646213121888899,-0.132999309275129,-0.139654783148085,-0.221321254013789,-0.0188228950456586,-0.328997944302745,0.271330239600616,-0.0021613314190289,0.0185682575441122,-0.354379141267521,-0.104002849876323,-0.254967494710223,-0.0496544360626137,-0.0702534401959451,-0.134249561519301,0.177169700033175,0.011324225544038,-0.164180868963896,0.0787139839758134,-0.305710336315483,0.267867940673055,-0.48711862693911,-0.228671658916417,-0.0484480786501728,-0.220147303463183,-0.378092205811934
healthy,-0.0116004320914333,0.16928038367991,0.0379217702116913,0.43991245272169,-0.0403726104811207,0.710467095196122,0.539151299155895,-0.236085200631394,-0.239256698194421,-0.672723645201668,-0.143827766573521,-0.0246154245247608,0.679728520292779,-0.237723220481417,-0.145664877152377,0.390256516612467,-0.610578413781304,-0.0744500624262518,0.0600729375059417,-0.251260015247401,0.0717419848884868,-0.352269459839084,0.608492745125846,-0.0129039872485166,0.13836863403798,-0.227880724847645,-0.368821997008615,-0.301417786677298,0.0712475115209621,0.129633420170263,-0.190950256385768,0.28941737181106,-0.105731851476865,-0.316942202001147,0.058137716266899,-0.263933439802169,0.26528716153491,-0.448800499571491,-0.26312706131432,-0.0330445202668661,-0.276479176999479,-0.49547222647373
healthy,-0.124028222687238,0.133827896310093,0.159393710079528,0.359919731042137,-0.166930106098711,0.541280441002493,0.53417086687823,-0.302167845095408,-0.408124025332926,-0.565395033618357,-0.207187765757328,-0.118954293746699,0.305729768263669,-0.215607310497108,-0.195658971324211,0.433064304206981,-0.600302867398712,-0.0406692294779281,0.139651974905731,-0.487173411274585,0.112232068851323,-0.332485260341241,0.538060179825705,-0.0602045151415696,-0.100082016506211,-0.0906271664278782,-0.334398857309072,-0.32213179401136,-0.167485058068379,0.152841014059774,-0.0730807644135733,0.318298846686128,-0.193142929544727,0.208702509028846,-0.165094367672885,-0.124815449989492,0.415700362146376,-0.41799733583675,-0.29262913546965,-0.150273354377497,-0.248453053628789,-0.293395432837738
healthy,0.0890524118441352,0.24013787013311,0.173263354461659,0.412072950314708,-0.113400176962842,0.581610408379582,0.428472038914202,-0.0537751406713845,-0.336295659563976,-0.281516648323176,0.038413033521419,0.10501940299634,-0.0310395564730959,0.114736764409026,0.070585690014039,0.444895597845341,-0.412302465723633,0.0762821129509858,-0.0978838422666834,-0.0907540043600188,0.229837672813752,-0.116702264276639,0.43409712204855,0.100039772635646,0.103530648769845,0.0371474358771439,-0.0445760154605649,-0.0563830832691732,0.0174583139866066,0.299900129640417,-0.0946457678502469,0.29151683883833,-0.0225709435874589,0.328548937919177,0.0285649748671478,-0.0815084608998956,0.309320604238288,-0.226682840477395,-0.0431548108258773,0.137615628858164,-0.260093386686085,-0.122882022951012
healthy,-0.0751852607207547,0.22362615510413,0.124718161081664,0.522749872691878,-0.0013228455890485,0.712196400207261,0.653854060901557,-0.373577938104228,-0.334464780493382,-0.618508226893512,-0.117139571182546,0.0369178800631262,0.522610654829336,-0.184013903653675,-0.264668710577438,0.404678667931259,-0.696968820917019,-0.0152949010289674,0.175420911750144,-0.370303153349533,0.150832509129079,-0.363230679624589,0.61037991304254,0.0107894845363863,0.0292345610972953,-0.0963955820383227,-0.469416606274877,-0.320615212603009,-0.0136882791933955,0.243446605381372,-0.256905425548459,0.508834424538211,-0.127835982118697,-0.20291326736369,-0.0561405823231729,-0.238825743451358,0.561164887475403,-0.555074658215875,-0.334691728030712,0.0067643398854459,-0.31753978316379,-0.511350772440077
healthy,-0.0100499185924364,0.243944274784797,0.117127469343138,0.384254014100763,-0.0927133622051645,0.696548904797624,0.479625167940859,-0.239635250860571,-0.421558737320012,-0.690568875315417,-0.143855572101955,0.07021574812182,-0.0672417507536088,-0.136480116712738,-0.362723212438061,0.413231702266771,-0.741944286917579,-0.16548657540311,-0.400053344078811,-0.324609188149354,0.159099213188029,-0.286382410692539,0.532830652773978,0.0456201502123375,0.0402316832396204,-0.0958287360608444,-0.292291016174207,-0.337681759835394,0.0365984551158784,0.266265395663448,-0.393293157661884,0.477197412971579,-0.0807663723080636,0.0789015591872564,-0.012569994048055,-0.324891536470275,0.427328970544462,-0.485815466487024,-0.245175799588852,-0.0262022017880026,-0.521327480902729,-0.418613073112246
healthy,0.0,0.265317150310386,0.166143895504293,0.51403217847312,-0.13803490841916,0.433068346407966,0.435446639401068,-0.141565604152001,-0.44160330080915,-0.440583276836997,-0.0683738268533138,-0.102318279901058,0.432051230329959,-0.0276404831960205,-0.188469077626563,0.208378523604071,-0.355699302041558,-0.0730043260604871,-0.163895363027359,-0.0257008001647208,-0.0678183223128739,-0.256377880623296,0.61493685159518,0.0,0.0315026726673408,-0.225461266056392,-0.225150622759823,-0.112986536573206,-0.0910803562083074,0.0237611171334211,-0.103288121416708,-0.0015026516355331,0.0,-0.101329948879921,-0.160586926836356,-0.14148850509816,-0.0476854476600733,-0.325342356165378,0.0,0.0,-0.256846470740487,-0.17480734133868
mild,0.0353533629802448,0.305296770661106,0.218724849244551,0.375840797202363,-0.185258328279083,0.628929179574979,0.671130675622473,-0.227680468314676,-0.360554812137676,-0.617103326291155,-0.111767438577673,0.0121349346259261,0.164385073888328,-0.106445613332926,-0.438994897470285,0.648348896544913,-0.746935867965593,-0.280803037977483,-0.0705422142857964,-0.358312543708219,0.280325955810661,-0.497988843937586,0.524178901132477,0.0550013874138411,-0.122066710394838,-0.233345019703663,-0.563160352040566,-0.486368306883686,-0.124613326964642,0.156435547710013,-0.440769149832731,0.337060221665026,-0.114921604299048,0.307904150694709,-0.121244813461761,-0.487343626631652,0.513163944993987,-0.664493755149941,-0.230311164114329,0.0801315427239693,-0.280682931666425,-0.298550968905393
mild,-0.0626905845450263,0.0135414328811188,-0.0958448088055625,0.176076448154805,-0.0350542247447741,0.708869264281548,0.463283495840275,-0.382349313388579,-0.377416442223273,-0.715656628910574,-0.267673438149772,-0.0457653112632939,0.454490733240412,-0.17121735983852,-0.231877897149158,0.28479365623909,-0.706332232252777,-0.124253850918525,-0.0930941843578489,-0.31733763809474,0.370497061037429,-0.319946537030966,0.407721715523294,-0.0223365338103122,-0.0196672148856624,-0.260038381945162,-0.293442579180667,-0.342616068555577,-0.053426746695224,0.0157696595056698,-0.247730496204104,0.409631973116998,-0.137491464142429,0.0848081842220141,-0.0307814512551529,-0.0480181191957687,0.178935523941476,-0.421918567754404,-0.354655247496681,-0.0156870259033665,-0.377068669119849,-0.389093676142075
mild,0.0,-0.258407626488819,-0.0287397229253114,0.266162893044952,-0.245691253212974,0.285780982297634,0.14016808487929,-0.260813937883234,-0.256512835866217,-0.287460372412696,0.0403943019313365,0.108859220459026,0.2141959306192,-0.0349171084491214,-0.136376385742165,0.243874761733519,-0.237032245891522,-0.0015696890127953,0.0333659581351287,0.0,-0.0110636869315025,-0.118940914791683,0.324560153714331,0.0,-0.465579332871302,-0.37126201736588,-0.274075827654631,0.0,-0.197670025467367,-0.0328744088991826,0.0,-0.0076313115173429,-0.0212241247435836,-0.072413619316806,-0.275621225874665,0.0316196147197261,0.126062975092519,-0.151614040690027,0.0,0.0020304409258355,-0.0031222243341054,-0.0556379461366341
