group,CD137L,CD52,CD3,HLA-ABC,CD45RA,CD7,CD194,CD45RO,CD62L,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD54,CD62,TCR,CD41,CD163,CD18,CD28,CD38,CD127,CD71,CD26,CD36,CD49d,CD305,CD99,CD150,CD85j,CD82,CD224
healthy,-0.0528441177978243,-0.0178576174069982,-0.0856541239275907,0.0836267548641822,-0.314966742336959,-0.0713832972963038,0.4087750513037,0.351332354874116,-0.126871368227619,0.0874155347883587,-0.204328893235996,0.433037969087029,0.247920712803638,0.0547467395999428,-0.0222816769380256,0.190368139354491,-0.0898293314052964,-0.165256526893969,0.0521335152138157,0.0082056178461583,0.0258579801825545,0.131336546738435,-0.0304049961979361,-0.382377684860938,-0.227145019690693,-0.204317026650009,0.0687765639456045,-0.0453653233766698,-0.154615065016716,0.14716180688705,0.0856548013682118,-0.0237207285753864,0.0156742020428503,0.189203181396336
healthy,-0.016297223404604,0.174138673386908,-0.122203565416032,0.0579267338759328,-0.251264033815385,-0.311862265159102,0.157862774122419,0.211357207279516,-0.597873140389292,0.0737258567742565,-0.148452175491587,0.347397906682609,0.08031580217557,0.125811027619065,-0.092400926538955,0.0183802713104557,-0.0484612187918095,-0.220512036142527,-0.0100456063532256,0.0272947589014484,-0.223176148035923,-0.0066297165739991,-0.0758368418337522,-0.264582955861665,0.0289868139838959,-0.182806819559008,0.0342918894149302,-0.0388582744663114,-0.186635981462238,0.0631050207989549,0.0360558184836623,0.0061436854475745,-0.0358806143471449,0.161931506569344
healthy,0.0699833570961961,-0.122782673659681,-0.392932830080908,0.222670527554346,-0.651013679914135,-0.559549010478337,0.491613271606365,0.68392892219536,-0.36921841015379,0.211217080380429,-0.449777658169702,0.697192921984963,-0.0911457392052284,0.524090557828707,0.157754772241627,0.340995927947227,0.135043260524713,-0.590417971396701,0.115936167474133,0.207904260939229,0.134045931128733,0.0179644647996192,-0.400667889848997,-0.183131665436533,0.197225557802243,-0.207147889065364,0.16075099528551,0.114645557863385,-0.491029252710251,0.527858094127033,0.328414208856266,-0.0488889289374984,0.320445425440646,0.370083922638004
healthy,-0.160934423549486,-0.254061073424971,-0.38807464533091,-0.0731240128171503,-0.394559335475239,-0.395440194796711,0.30139020446401,0.120210875621429,0.139754255108298,-0.0800186052587872,-0.460328686804225,0.234660566450523,0.139704579760457,0.119602289509808,-0.128571817878466,-0.0050345758879217,0.048840839012241,-0.356995367499715,-0.0710863029696378,-0.129571764709897,-0.0003437654609809,-0.10129593314013,-0.121372197001755,-0.291475999001636,-0.0472317791939805,-0.350516113447792,-0.0193720300609545,0.0922440159692242,-0.190665234224031,0.0398444521108624,-0.0793439969123068,-0.149842391243841,0.179413490887093,0.000505121680572
healthy,0.106706819928078,-0.0010115437486902,0.0252286426305922,0.0169257963901908,0.122623661193208,0.027616962019158,-0.100164201364542,-0.160977524465886,-0.650725887192213,0.033988752970524,-0.169757785499836,-0.141604404607605,-0.138586190067307,0.103029393584077,-0.102345096156549,-0.002748155594659,-0.0216938556246946,0.0138470298882323,-0.13814980043756,0.0796268178290887,-0.102721967826549,-0.0437049210078611,0.135786590552436,0.0897162475407448,0.110657762390882,0.154883064842769,-0.0257617299836223,-0.189921990500919,0.147611159871894,-0.198996671485356,0.05029985096505,0.0785510041200771,-0.235903853727787,-0.108975277636569
healthy,0.0344360993286148,0.391678197324164,0.0589085169653537,0.256787423710286,-0.291619361339454,-0.0223667157167838,0.322201201158395,0.259921116115961,-0.639522138843735,-0.0542985681450365,0.0087903527527776,0.358563730623978,0.403210605215388,0.130999376445261,0.0987633632600962,-0.0360958302905898,-0.0324318754928423,-0.0832688133212136,-0.0153185083440514,0.0019396942187658,-0.0079850609603066,0.39931263966808,-0.0251524559008071,0.107603683621492,0.169956820188741,0.116503749517216,-0.0145617815712065,-0.026040529718677,-0.156309362670362,0.146270989923042,0.106273346707582,-0.0305184722151093,0.176628216560734,0.310525268039484
healthy,0.193233536822897,0.417168543027947,-0.18554928248407,0.0,-0.23550645697712,-0.17542486664056,0.0749680606209088,0.282562431209383,-0.854628868899251,0.279896034584766,-0.0903317412367067,0.181775953993228,-0.0101414182307228,-0.0334595322899195,0.169589141090107,0.120407763815608,-0.11527200019974,-0.326987301882502,-0.13846611098629,0.0,0.0111531774299732,0.281070755994837,-0.0592755627357295,0.137325770970419,0.0,0.216896700747045,-0.112363302439931,0.193889859512726,0.137240256016522,0.173057199280284,0.0,0.0,-0.0281450754769834,0.119431055608936
mild,-0.0936522104511682,-0.113349612156204,0.0804214224019043,0.118875390275247,-0.058375702283012,-0.257467218209916,-0.0601362486947564,0.201787772189233,-0.0015701685976975,0.502494077814561,-0.291621594676005,0.340029340614271,0.0468444889244601,0.161144390781539,0.470714818532111,0.5055473934237,-0.0647377214811415,0.0463124703978253,-0.0337273362682131,-0.149751629657317,0.405478484344904,-0.170518684795771,-0.127030149579721,-0.281512654465759,0.0600687364489208,-0.301495394395324,-0.0676583976390412,0.335533466746416,0.0492468562350645,0.374835290467846,0.09549468952159,0.0330663441946325,-0.148008071198767,-0.111367042911807
mild,-0.0717744758220629,0.0275372915148077,-0.198973977720745,0.127451462449528,-0.722613856063604,-0.449195322371881,0.191548334708796,0.640298063746045,-0.28508436081917,0.234007590879466,-0.210404061950425,0.669191889241612,0.0980790938020088,0.257602969068203,0.286384830260095,0.307569038512217,-0.0757628806671356,-0.371253407098225,-0.0258465616322599,-0.0636315528771625,0.32165277431999,0.186507092040109,-0.358425409564876,0.0068627275648071,0.0446842083689841,-0.0154504100378258,-0.0092760298057282,0.435038040086701,-0.120012762522222,0.408197276577723,0.364556316196676,-0.0487415986605445,0.328074875177147,0.303363602914019
mild,-0.021894891180253,0.104406616728929,-0.11683182640152,0.0,-0.340716697934328,-0.212443022920315,-0.14000398436939,0.189201280559395,0.128443931755914,-0.0531502279081555,0.172996829409276,0.139153829414271,0.0061650273319606,0.0,0.0205278114655934,0.0594917734213897,0.196482025631653,-0.110753172306054,0.0459408088826301,0.0,0.0,-0.0206957096614346,0.0190599742956053,0.0578292921945314,-0.12118290579401,-0.0609064026976944,0.112521029450084,-0.0576347420075664,-0.0581576409988386,0.0501224794882583,0.0,0.0,0.0430472116397782,-0.087584994814303
