group,CD47,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD5,CD62L,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD244,ITGB7,CD54,CD62,TCR,CD41,CD226,CD29,CD49b,CD81,CD18,CD127,CD45,CD26,CD36,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,0.207831656988552,0.220412870467471,-0.0905293316813249,0.533684546575027,0.302482863680713,-0.252595334249819,-0.374763107827334,0.144265354717618,-0.588719766395138,0.0333106056266968,0.316375655881002,-0.223630017771454,0.183416856443115,-0.537235070748077,-0.231885133423169,-0.132184728442746,-0.310913513209369,-0.183930786651444,0.185105121374225,-0.291290889375719,0.0913895776064482,0.362442999749353,0.0271994736235266,-0.0963125781799583,-0.230952252559511,-0.0565100922690106,-0.0197699624525993,-0.0905442650142551,0.0730282781025772,-0.0421526052225171,-0.106740021754994,0.157497828616635,-0.107566080964387,0.333302695624453,-0.50373841273678,-0.0680861275068209,-0.306829031856254,-0.3915497423624
healthy,-0.127656360416793,-0.14175843430338,0.0669046567158954,0.0634964828219155,-0.0613884117867491,-0.198027144541677,-0.0877218562733961,-0.116135593583582,-0.113604776511442,-0.0359194580938394,0.0357983489743327,0.0300136858571206,-0.100848492154116,-0.150760769330444,-0.0944418659799744,0.0676289394864085,-0.13991783761236,0.0515313522785875,0.115849854281668,-0.111145100210828,0.227609874899843,-0.17447937539862,0.0617683105189929,-0.0023514519439734,-0.211867168065853,0.141968169477014,-0.012483833563135,-0.0175297525367156,-0.174682337276844,-0.171358472134188,0.0297666542515695,0.111955834313952,0.0768579409399397,-0.0806082750279393,-0.118700533215288,-0.01752289637372,-0.234343633792064,-0.070447209265695
healthy,0.160058050753599,0.197313734733289,-0.142033567295399,0.207106014652423,0.328776013765156,-0.0935397717918317,-0.174351675064998,0.121442915820906,-0.192906192698596,0.0386384705936726,0.123446322423081,-0.0734660523330869,0.278789329337919,-0.257347738561254,0.165628026419857,-0.317076248533035,0.037078871462077,-0.165394420039195,-0.0160575293583558,-0.26221726838183,-0.167446912660572,0.295195156993799,-0.0412917946952181,-0.309969334391536,-0.144757101201529,-0.16264954939417,0.197016047600707,0.0591980614279399,0.245797477106189,0.140212336102719,0.239530623584972,-0.123046698529174,-0.0483622064630381,0.201481436188728,-0.105198537317552,-0.140831845162942,-0.0394697552834233,-0.0732963314625643
healthy,-0.265935476669642,-0.38611296363269,0.0653416473747093,-0.250557953013741,-0.320465858013951,-0.0952130487283148,-0.0411588648873139,-0.459619785970087,-0.146411553163288,-0.357134560980881,0.223812036873062,-0.046931946179843,-0.211389324071783,-0.0659345750049664,-0.234952738664253,-0.0353081853475623,-0.102840334400958,-0.119325104869492,-0.0956168245850702,-0.0124827146818591,-0.0599083714409113,-0.381648206578809,-0.212659512878149,0.0048069077889598,-0.0447852035982199,-0.114730011667388,-0.15198055253914,-0.028816202367098,-0.0737526088395986,-0.422816084086954,-0.15189634219345,-0.0831403824299602,0.122084620760731,-0.069681143299474,-0.0960510056374215,-0.0049758885227792,0.126019092959965,-0.102407839343755
healthy,0.0586441915532792,-0.0715915197862847,0.139740663096142,0.0333334769945674,-0.128190527732371,0.0566447779659383,-0.205040031333703,-0.0737007735071357,-0.0331994363513636,-0.143930549392505,-0.311422296353647,0.278456681787632,0.0167335984345764,-0.0497607804743887,-0.282535110075458,0.0114150388865991,-0.0985566818816071,-0.0404599388158573,0.14608257076971,0.0371355106370598,0.123961465588557,-0.135760184218774,0.0650148152015968,0.24107607402156,0.063557547009124,0.118871780680059,-0.052002004467503,0.0310496890742476,0.157889791114573,-0.0945060743379298,0.277580525572339,0.100494257515967,0.190012669539633,-0.0695104509010579,-0.0832393713321629,0.0836775615713912,-0.155511493274807,-0.0180253149982956
healthy,0.0998925586634288,0.194213037867256,0.1636943760148,0.148300809020877,0.157779127539776,0.0056682197361068,-0.0830547705139119,0.0317953242867894,-0.303197006440303,0.0209094580467888,-0.134791766842769,-0.0559761439728354,0.171952144886871,-0.262735043113927,0.0481726394415703,-0.13738921750642,-0.268771655454173,-0.0023990835048342,0.103133860159785,-0.188254632995081,-0.0794027866768394,0.218633684331367,0.0443700192539504,-0.148440024470247,-0.14281639228538,0.060898742614406,0.0322799486909276,-0.261689188052484,-0.0418992602941177,0.0202088146441665,-0.044748550230002,0.0843580814828444,-0.0751903420181331,-0.12156822885826,-0.267921306694551,-0.0975349258511958,-0.265930067880121,-0.206140525540168
healthy,-0.435195468265151,-0.157848254218403,0.165738351034187,-0.11932503518568,-0.350720692691362,-0.0571680560141609,0.286880434892115,-0.246099287126948,0.130109228566798,-0.216179348140405,0.206748251187286,0.0660927061960172,-0.221443726797863,0.225184526396292,0.117801633577164,0.0518865210872665,0.0535546766012783,0.197525736159095,0.0081637848838133,0.160621263382214,0.237116899472531,-0.306138161752831,0.0874536913081716,0.155076018595506,0.112986536573206,0.158838796720786,-0.0625547777594147,0.104257962932358,-0.201426822387701,-0.384048924451044,-0.135682871814148,0.229486370332241,0.0254760609406297,-0.0506398736624158,0.0425537941959833,0.0,0.0664979909439749,0.0849253788296111
mild,0.253534077591573,0.282641428827215,-0.152482020964807,0.39904872097609,0.538091305388067,-0.127129302434497,-0.295723996410653,0.0491527116803904,-0.457471433677704,0.10711344062972,0.407260272981176,-0.434705039982403,0.565643347574366,-0.67011364180882,-0.0665042636666799,-0.347110640782221,-0.430683514920249,-0.427761805395193,0.291015959609377,-0.517717018880779,-0.0145580763235261,0.441580168378792,-0.023259630079527,-0.495275911862383,-0.361434472700153,-0.0123890151096602,0.0376153221955307,-0.45839332940576,0.259102394192591,-0.0375410901286566,0.372028043575353,-0.0164018848103519,-0.33685081417707,0.352727828519984,-0.599712985643231,-0.179911132074253,-0.132498277923125,-0.225405798650115
mild,0.204507256193125,0.268083140649737,0.159387830271805,0.322720974464513,0.142146168798273,0.21726387471219,-0.0865080658579989,0.189940474711958,-0.134531589972722,0.0924011623724563,0.0697986182830654,-0.0025775778106589,0.0084551757590303,-0.189615572104769,-0.166855476354958,0.0116659782308736,0.0419605841757549,0.0690393678403906,-0.0958732093949701,0.049130847158329,0.119468662955126,0.197581521505919,0.0775975643943345,0.0254828256174162,0.132818615509423,0.180473104895614,0.103361914894002,-0.13183811278418,-0.13057187499638,0.184056693916376,0.002975894794454,0.0898144459649208,-0.104891533029975,0.171986823012214,0.0031372238434927,-0.069302526880592,-0.122894533969992,-0.0840126303815231
mild,0.223660809606653,-0.176046488469312,0.150380444701702,-0.110333278433138,0.0191140019017529,0.0057373923274795,0.0798920711979118,-0.153835469003802,0.0947638535323774,-0.133423408050823,0.04185788138772,0.275221206337857,0.0139266701635403,0.166797017798903,-0.0434927510888488,0.0,0.162660442771473,0.0892926675333478,0.0614464095743817,0.0915410447751543,-0.0461021755929252,-0.160122547526528,0.177148803275697,-0.064388421722865,0.0,0.0721808105306073,0.085219641084742,0.0,-0.15608442699522,0.171728712474348,0.0057963633606883,0.133992536596479,0.174277219452332,-0.130792624996526,-0.0157797483030683,0.0,-0.0489509065045268,0.0544242573950085
