group,CD3,CD45RA,CD7,CD49f,CD194,CD44,CD45RO,CD62L,CD197,CLEC15A,CD27,CD95,CD57,CD278,CD58,CD235ab,CD54,TCR,CD226,CD18,CD38,CD127,CD71,CD26,CD193,CD49d,TCR-Vg2,CD305,CD99,CD150,CD82,CD101,CD224
healthy,-0.0299480881332729,0.309998650421021,0.171594472334171,-0.22192073568917,-0.192370802012846,-0.212152650495146,-0.473107230148594,0.312252808452262,0.0343596796346803,-0.0945859938563897,-0.0142874259669337,-0.433615933721349,-0.0250410176792172,-0.132209664036277,-0.0769758694065257,0.143699584071381,-0.245031420375378,-0.0355934436864112,-0.0724418961486027,-0.103539204333562,0.165801516696336,-0.166867512291124,-0.0785467452358477,-0.23378990135763,-0.0046527261184385,-0.248367356431691,0.0328940415490914,0.116959040526089,-0.404831243405394,-0.0538189636478907,-0.283672924547105,0.14456132531803,-0.322817274245777
healthy,0.309602931516861,0.457442552353668,0.400430486784796,-0.186545881186082,-0.212631099185868,-0.158091450237073,-0.537297350042739,0.323872424425325,0.144507039774668,-0.124520422889146,0.356765137569224,-0.487388675378861,-0.0161742544181655,0.0060983357528584,-0.144283500314934,-0.0050352450720587,-0.321186537035795,0.394904548231645,-0.271332656899684,-0.121002138295462,0.144952675491768,-0.158878293424841,-0.0196969285642541,-0.385797287895945,0.0299223340624189,-0.440224345367553,-0.0145858430718233,0.252541251661339,-0.347921088069364,-0.201063202452204,-0.269779107327114,-0.0741715126179557,-0.395184029585952
healthy,0.261769977723514,0.804701212003362,0.422524089483185,-0.505175144588646,-0.537080031886582,-0.283674019329072,-0.839920674680647,0.353480568348166,0.323446890142143,-0.146484083140208,0.213271372129786,-0.779376715585453,0.0341773005955185,-0.0554039585533365,-0.485763214982008,0.0333144281595246,-0.295140402823967,0.462563763819697,-0.204940173951614,-0.267921361126085,0.502250264965218,0.0023025838460421,-0.140539361648928,0.104192938787384,-0.0102435838824493,-0.225915292370424,0.0451859369102802,0.535489154870025,-0.66496086149103,-0.340568951704616,-0.429638517952811,0.0881748792844537,-0.463242436984426
healthy,-0.131612298804683,-0.11846713459172,-0.155291959643333,-0.0879348144343453,0.14436381283861,-0.207352007739383,-0.0847691195082253,0.0062380691878769,-0.0277037464574886,-0.31883290002343,-0.0608073364170955,0.0140235313535641,-0.0873776515961636,0.154915324851154,0.0112458671694383,-0.0518897346919595,-0.317437087333662,-0.130658507542166,-0.160477384585125,-0.105679887943294,-0.0524041792015449,-0.478002194139228,0.0470540827330583,-0.570780172345985,-0.0837094659243484,-0.217094415847709,-0.057049562182107,-0.150270932792021,-0.195896512989006,-0.228683684451426,-0.155865767524499,0.0229656524004911,-0.130432202979576
healthy,0.0028535587917731,-0.0137669572599111,0.0546299547183592,-0.030086411647918,0.161526280152769,-0.0601728552467124,-0.0580634041573902,0.449978505092031,-0.0778923059877845,-0.175381459257448,-0.0167756639714433,-0.0096272854371254,-0.0422011837664457,0.109716627339756,0.0271942413052011,0.158133333725534,-0.144284737035674,0.0028193368810498,-0.176313455009042,-0.0098693772042374,0.0564993820420637,-0.410816893683401,0.113601830503342,-0.527699367427424,-0.008407715476046,-0.225159350547959,-0.0268163758042936,-0.0197018938026673,0.0083455608319251,-0.166337362622541,0.126547298134564,-0.0978690529618734,-0.0651903833190276
healthy,-0.263889431007419,-0.434424795255922,-0.317370277224541,-0.004530104059665,0.368600452939135,0.320710211814005,0.528898437276068,0.266395444251269,-0.117378247554156,0.120699686360495,-0.253532485955474,0.549450850600923,0.0974169994598268,0.268636969309845,0.32646367498541,0.0698319780797185,0.279403127012545,-0.312610593426073,0.102071633896247,0.485111837113015,-0.19273966562495,-0.223198850452787,0.109442068296248,-0.120208438299626,0.0250225127580503,0.180678662306798,-0.0259807104178726,-0.162651027368062,0.387435906362029,0.198909833984057,0.412166798932953,-0.120207810308533,0.306614611925393
healthy,0.554283434098773,0.481376425111761,0.361346326833314,-0.434832207525342,-0.498036465034817,0.0,-0.50767161558186,0.531216922430046,0.0460674719933674,-0.0677809347816221,0.116444505567509,-0.331548247354987,-0.0065611966214397,-0.18619796169655,0.0577055701811655,0.0,-0.156661461323843,0.591160092404251,-0.243062795080068,-0.0635246192750646,0.0723904419080253,-0.0036679649182815,0.0,-0.275551963518156,0.0,-0.133060132670794,0.0,0.0423500522723986,-0.500522449390151,0.0,-0.229102787179854,0.549156795421339,-0.0746566822091731
mild,0.073218544822332,0.0764524612453395,0.220641555102821,-0.0695710241719084,0.300040711997676,-0.13270244932313,-0.0965893895886556,0.234580601669295,0.0795180980020639,-0.580790884986493,0.486544410342538,-0.147437427674873,-0.327755903185331,0.270478787024755,0.0277174914701445,-0.0056545836544313,-0.45277981426003,0.140642455616456,-0.466493572979734,-0.285055240439008,0.261783973929751,-0.233977131716801,0.153100492594391,-0.0484779585262688,-0.0140565266696746,-0.495795285876976,0.0195767427911403,0.0609990186984752,-0.201486098816617,-0.0720008267752345,-0.0041644100359901,0.0939687427204878,0.117259969115615
mild,0.0188643107023625,0.488746687460018,0.316926709213835,-0.154961839757357,-0.27418446991766,-0.128129801863273,-0.543680015469568,0.411231857839905,0.15522556939392,-0.374424697776067,0.144315840394152,-0.558996266425597,-0.166715912139481,-0.108666963057221,-0.227565762253956,-0.0237295956479985,-0.301898377031366,0.197455232003675,-0.207817674525034,-0.302296798327339,0.170684007544467,-0.119381457169515,-0.0929714938284743,-0.0927167166566535,-0.0714383566153677,-0.346956703784357,-0.0971510372573069,0.0495651228113529,-0.399279502602688,-0.334749887018081,-0.232289960987231,0.0460286102115452,-0.301181814082284
mild,0.202307747191578,0.21927097523138,0.110229000994344,-0.199331969144277,-0.0465923353381741,0.0,-0.0531544907968838,-0.308514692985776,-0.0992741318651491,-0.142074201531883,-0.324516596601171,-0.0925796508427325,0.0054438150869286,-0.0348758538412915,0.0,-0.134655567865971,-0.094550366029029,0.131381761070305,0.0280331893999216,0.0,-0.0083701476084245,-0.0905128341822721,-0.123921502535117,-0.0634619331825332,-0.0080330297811333,-0.233674676302455,0.0,0.0499171162986452,-0.243288873031687,0.0,-0.148667368736781,-0.134737604866698,0.0025615926679489
