group,CD47,CD52,CD3,CD56,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD5,CD62L,CLEC15A,CD27,CD95,CD278,CD58,CD244,CD235ab,CD54,TCR,CD2,CD81,CD18,CD38,CD127,CD45,CD71,CD26,CD49d,CD305,CD99,CD150,CD82
healthy,0.2990602133664,0.228609652773018,0.331295584068728,0.0183789572155571,0.455114721560424,0.540856787944305,-0.149588612203058,-0.268257834806818,0.155617679489697,-0.317365652201138,0.209882786233802,0.332763934547722,-0.0885524257350107,0.44115923372488,-0.378410009710291,-0.0073131291187443,-0.195281628465133,-0.13447074292163,0.028988379659175,-0.251182813486897,0.438576347446661,0.0068433001181093,0.0261284139292652,0.000718165419786,0.206342316019827,0.365492074835604,0.248233752297897,-0.0006247514394988,0.0736715097182975,0.059333223698714,0.328133909623737,-0.204569127027997,-0.120055729139727,-0.0938772318402429
healthy,0.280308320321786,0.293594275697163,0.542049935603893,0.0033540460525702,0.591227518188876,0.450470870575177,-0.190166792216666,-0.158424738386281,0.301816910288679,-0.480905386391672,0.303434009247997,0.188996699178513,-0.0407649369972077,0.436226870936341,-0.452245418073455,0.10288398446903,-0.225182233676779,-0.0481667686953334,0.0008793932813996,-0.217989047692294,0.623289442310129,0.0405021254044888,0.352612049284171,-0.147761534742849,0.220889841543286,0.204742623570664,0.223294295069223,-0.027146567447524,-0.0956775080118397,-0.102032267072682,0.233713808128518,-0.243151249107146,-0.0973148166159551,-0.212990258966982
healthy,0.0474114371073836,0.0566343366506134,0.364916788183449,-0.0725781123466798,0.692075019549786,0.548096453972006,-0.356327519672496,-0.496297963574233,0.119222508915954,-0.741544897103358,0.120258394525717,0.517935882983104,-0.237228393180824,0.449058063076953,-0.751638834047034,0.0868931664296921,-0.561240272718402,-0.148037128427125,-0.0074898274205884,-0.351615586107836,0.574693712495793,-0.191408167925857,0.0813896736461905,-0.199540458683752,0.41029508316216,0.103828262809161,0.0794116641056657,-0.214405165775806,0.118112035739998,-0.163347140782954,0.471593820695314,-0.564614575743006,-0.365118373216576,-0.300547846530363
healthy,0.0675593758870655,0.0799742667774716,0.25437694061386,0.0004659569349428,0.367979327919454,0.264357629654349,-0.153991573640971,-0.332821030986482,0.21525491188116,-0.230213964878009,0.0471253943960216,0.299629665520077,0.101863387070441,0.382045170849425,-0.373816376444549,-0.119656473438537,-0.114018943135705,0.0275014001676248,0.0165648577431039,-0.101770736742417,0.323304816483913,-0.0174106360072626,0.26980607486126,0.0274792373198386,0.148267802033665,0.277140220580738,0.147104627744286,-0.182509534987149,0.358503839423604,0.103777017589796,0.238009619423833,-0.156592235494189,-0.0403314867825621,0.0031482852126163
healthy,0.120935206648487,0.16941398680409,0.390280306414735,-0.0082465248455926,0.575660733147346,0.51290537300818,-0.27237037116521,-0.378115600050049,0.136659596797944,-0.46434541984347,0.187392845396718,0.342910142836942,-0.215360764119188,0.374352681421116,-0.620133105059225,0.143005502627422,-0.404818249546003,0.0588142480537625,-0.190481353849384,-0.365419654124622,0.466304489929328,-0.11360129777278,0.199966758981219,-0.232517981964671,0.43995185217997,-0.107151294707045,0.18894283364605,-0.213752645995516,-0.106509356656888,-0.0395236098231983,0.429758945015444,-0.459955734899994,-0.282350840317151,-0.23742068768916
healthy,0.21229091239602,0.159667130271213,0.243930676277053,-0.0967288685241634,0.458405030766683,0.388489800212057,-0.222382898379106,-0.407436931406029,0.0618574712369408,-0.603501550784531,-0.0058104767820583,-0.168896142254521,-0.396374635061765,0.312042572453045,-0.628032911237919,-0.229083307768386,-0.322281775125634,-0.181599909863965,-0.0781058975645941,-0.341985559319997,0.354085759095411,-0.132854845397622,0.0429216231301618,-0.471396388494707,0.587921624149085,0.0914638616762735,-0.0098630427748118,-0.112129945209001,0.0431839964321304,-0.129477093766299,0.216058689263661,-0.406606881282801,-0.250160578691297,-0.416015545955004
healthy,-0.143501477441579,-0.0473015667578683,0.0045568608525933,-0.0761325589785125,0.158162873001723,0.103872136531525,-0.133066343715594,-0.167399358381414,0.114442296048224,-0.139634520585857,0.202054420051662,0.598654280858591,-0.0571912684655927,0.0235363939672113,-0.175615006957289,-0.0384561636511569,-0.0324896907742697,-0.2237619065659,0.0,-0.159809448809802,0.14600107986102,-0.178112231733849,0.0150325434925725,-0.0819516080724115,-0.0200653550088294,-0.0181925078666208,0.01067593186022,0.0,-0.171574369710872,-0.169860793484406,-0.125908865706871,-0.147385916442091,0.0,0.0007211912057744
mild,0.261326825832587,0.37517147372298,0.0149243702044288,-0.407528056373738,-0.107241274320406,0.242805279234978,0.100322374107604,-0.0788795689280635,-0.0089936361344247,0.0945525822443724,0.0406417059453397,-0.0832601152059228,-0.471017843438868,0.356169108207896,-0.0804284032503473,-0.143672150648723,-0.150518811165907,-0.493988651181359,-0.0864479829916314,-0.377475899603849,0.0288338614772047,-0.0287087326515148,0.0268205128904722,-0.107016966095071,-0.0796683540498903,0.540244688498646,-0.000584307860012,-0.117153088718135,0.602980727304035,-0.154972849315907,0.0764520463199214,-0.141474290354604,0.124131373923624,0.237673348111111
mild,0.131306253472292,0.0071750259576045,0.150303199717774,-0.0058779063259425,0.553718264945481,0.486923355277114,-0.174891090737983,-0.197314055567296,0.0107467751128167,-0.464165593938298,-0.0072587110784334,0.174442466004356,-0.19432196589085,0.064376234763223,-0.513380922569331,-0.200119529393057,-0.225870562279895,-0.100401627588197,0.0428888770779139,-0.267172627816261,0.196868755621739,-0.133827385750817,0.0498567931811051,-0.310026498574802,0.357862472942221,0.180951460508629,0.0007818355395889,-0.0090948229316787,0.188934666227534,-0.0413201979986042,0.100627917020788,-0.330347392389671,-0.269834150439195,-0.343071105690456
mild,-0.0852658064043927,0.0780441728801897,-0.0701061833965329,0.10338202697681,-0.0914437295993646,-0.203116410011646,0.259697829946737,0.0362030476014345,0.140509161497746,0.18216955869124,0.240015553274577,0.0536170489270396,-0.189886980392722,0.1235555440828,-0.0103705266533517,0.113121295073346,0.0,0.0478446762778561,0.0728810690574497,0.0136648262603023,-0.105988687008826,0.0705871230769264,-0.0765659418463523,0.0,-0.0110259638277179,0.101576509809177,0.000517348996091,-0.0335478100785676,0.0870456193872644,-0.0580260940540175,-0.0782498759038748,0.243246686831171,0.0,0.08461647126692
moderate,-0.165505384314947,-0.0665960557278606,0.255897989980975,0.072798464781852,0.454178584122428,0.368773294471999,-0.14733035968898,-0.389468635875112,-0.0346450108990287,-0.423511705044113,-0.0129761862004812,0.33730092695306,-0.0261584050134085,0.289099350449284,-0.444131410770474,-0.223334249960447,-0.195088951779168,-0.0128633714949417,0.048469288678781,-0.082902664490716,0.418069201741539,-0.220998035500318,0.0543044440952309,-0.0385202732684743,0.0554961905826789,0.178141647651926,0.141142556988332,-0.058982917154483,-0.0317794943460278,-0.0792831130683226,0.119355114818294,-0.258594490496218,-0.0748417451666408,-0.0225443955994248
moderate,0.131445395585824,0.196750919998374,0.378084430604696,0.0764340062097303,0.47274096749813,0.494655384800565,-0.0924214417222006,-0.106173660808926,0.191873956151698,-0.251967761746583,0.19022058136256,0.796741152479574,-0.0477534732470837,0.427559304069899,-0.154049069636614,0.188900676979013,-0.0864498826040996,-0.0622749487583519,0.0808591253706812,-0.0318726022068982,0.479869034135142,0.0122111482355116,0.190625098710163,0.0958805785560303,0.271750887321725,-0.0314583926850525,0.308315812419684,-0.0190702217691598,-0.0894188633874711,0.0550743731106633,0.294734089961418,-0.0395806940768839,-0.0494484214020521,-0.0275729230969409
moderate,0.237095092076562,0.153098233028089,0.302315464163774,0.106035048169642,0.494491858642649,0.597378831475833,-0.0787103200757185,-0.0908506482861656,0.118206816452132,-0.473135107063971,0.198631160991187,0.580259628901446,-0.234737593054112,0.576558214716829,-0.442905553291253,-0.246634302750252,-0.376047313042996,-0.187565637795569,0.129266939200382,-0.244246478785436,0.417624518805448,-0.083085550761586,0.140443673215636,-0.141099683492655,0.0444335301898831,0.298933981144302,0.0788604345279084,-0.0887741886841872,0.345767067276116,-0.144835788695029,0.235092019948803,-0.126575464403426,-0.146433660557692,-0.155586949136217
