group,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD45RO,CD5,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD244,ITGB7,CD54,TCR,CD2,CD226,CD29,CD81,CD18,CD38,CD127,CD49d,CD305,CD99,CD82,CD224
healthy,-0.166067106853171,0.0569936281485196,-0.46809862823422,-0.19259091439454,0.0166645624016505,0.398716040550098,0.661509892750306,0.0847220380554575,-0.451354927526638,-0.0022320684405109,0.244290999200823,-0.176177754326604,0.716205669248463,0.313293241315633,0.212432926945883,0.27367276680594,0.23262151559067,0.0521659856788229,0.39275331623098,-0.241203429666747,0.395571934585149,0.017561378548475,0.218453342253864,0.125181307824241,0.175227098874395,-0.151887731449567,-0.117609688821708,0.384928036405437,-0.265148204360549,0.520175560578533,0.309210055010295,0.412383583796452
healthy,-0.37234676528357,0.155661968003918,-0.620438200320159,-0.474318130892812,0.38040038773286,0.233273922328186,0.712460422373506,-0.171699772404948,-0.633538568124643,-0.163890896389435,0.170583361335071,-0.335460854187933,0.64918642735139,-0.0797153625309889,0.233620960594464,0.322908657058792,0.113764973884062,-0.0329560095110171,0.394988584401021,-0.521608182226876,0.379702421369296,0.405886780440658,0.389904555230777,-0.048555450904836,0.249217783198581,-0.318534239219577,0.222599935773767,0.384828601097594,-0.221369861261416,0.569394504260195,0.360224277674464,0.562353207177284
healthy,-0.312433330304865,0.0025367803247274,-0.744853534335289,-0.482554717387588,0.420993350526752,0.552361513028347,0.833104652976931,-0.0735105850816548,-0.2937181687305,-0.341077560158521,0.225874028305089,-0.340967212440883,0.804007247115031,0.0889487512602902,0.482520286438465,0.367840237551946,0.0264711556180719,-0.213105275867218,0.293589769738945,-0.497532470329477,0.268381095563428,0.153540210063921,0.380361818742879,0.0129219624923706,0.331595265936146,-0.526004892172779,0.0547728313686341,0.232066627600838,-0.465094190112885,0.68965651104059,0.509770982270324,0.482869715771237
healthy,-0.309159079111166,0.0544129113575359,-0.569893474332981,-0.378205700485679,-0.0361325728901214,0.288019796831726,0.411921312810213,0.0085204522845263,-0.422105412651424,-0.159602277068659,-0.0379152522854143,-0.34675777785015,0.500184316850042,0.156520350591817,0.0996220467050559,0.0944026622613389,-0.0204679927498268,-0.136782919622433,0.100600769854785,-0.386433878703317,0.128766865443793,0.0558860919052482,-0.0077085531090541,-0.148957491237631,0.153728623159794,-0.270925936851526,-0.0522177901988481,-0.0442952913077285,-0.332917985391208,0.294286964828667,0.140032120054267,0.241115416850358
healthy,-0.583550855304349,-0.0180877825647892,-0.751347388218867,-0.612740663661391,0.412557812695549,0.28477651191097,0.669519793372367,-0.320124644469358,-0.365516276336859,-0.294269291124748,0.317832489467632,-0.381867651877506,0.665280190427337,-0.218930004373862,0.270260600161221,0.201334369907399,-0.106989259154336,-0.166984858897078,0.373027961315792,-0.633719643596075,0.0848099566092771,0.475303228702372,0.342458918237123,-0.284046380804819,0.290363567446236,-0.571136895490728,0.250169256883903,0.343560099115121,-0.51993327741555,0.601265332410959,0.384536669232979,0.577475648560037
healthy,-0.241876469015288,0.0369987526676875,-0.563734089275627,-0.423042889343073,0.413591725510814,0.410965703432776,0.633059407796167,0.0159295250204341,-0.215142398073315,-0.174453845171486,0.327120917350845,-0.421535192545968,0.651105287042811,0.143942811254607,0.351788882951978,0.258104265488548,0.100780676190688,-0.535604276498631,0.325502346196734,-0.385358680130451,0.171381888953679,0.28119707487286,0.433651317959504,-0.0416837114731477,0.305340383942327,-0.582076502464405,0.0489879741803688,0.0127606197812801,-0.368699371091475,0.405153792580665,0.47669793118601,0.336406519899903
healthy,-0.121582670408911,-0.194295233448256,-0.0620865052530543,0.0021377539762293,0.0441664554558497,-0.0660011578876116,0.0055961545583889,0.0489762201733657,0.4287234828837,-0.0373388983525189,-0.120511383869097,0.0803589385673714,-0.0470266946121301,0.061362515296272,-0.048976996540317,-0.147468121142068,-0.272664910482326,-0.0283248228813212,-0.0557096720228916,-0.184059655765191,-0.0738973340967554,-0.0465394136492693,-0.112016695057557,0.0033944453047744,-0.0063039698517239,0.0098475517343054,0.0352779250082462,-0.10178415810227,-0.0778734408467109,0.0466871296570101,0.165414539650327,-0.0330285196383579
mild,-0.392583845306846,0.25273966783169,-0.538393883088359,-0.635177850757332,0.264950981911525,0.265714966662901,0.523501299162723,-0.200300355756839,-0.316198714212721,-0.258847872793307,0.536942629344574,-0.690665803266386,0.697524101035698,-0.0826452961352831,0.357661756163911,0.41099672113813,0.437264947801902,-0.262119938184769,0.564675093879229,-0.565742439984238,0.270109412490895,0.671770375982449,0.509957346208106,-0.0908575125689633,0.450392880419888,-0.349181223633462,-0.140351597528757,0.472943067884556,-0.475711415327603,0.649538602647785,0.237237562661695,0.229950946694504
mild,-0.087447965785919,0.0918094457354264,-0.647573534291605,-0.329962912569747,0.257828192678535,0.283436465399252,0.573458136876191,0.109927955689855,-0.555013740539147,-0.161214449668338,0.332918846098207,-0.287188879722091,0.529576672469097,-0.0399075379307612,0.283158189413418,0.272386706311488,0.175374854747846,-0.266874791857977,0.316530120628478,-0.332811811073762,0.319963456255312,0.273379039473169,0.253947289645819,0.0253098263807117,0.259673336992171,-0.43769882184331,0.204690292552383,0.10102028678802,-0.125827306267646,0.402830602683497,0.360368255189735,0.361235287604783
mild,0.0518781094268803,0.114573556666878,0.0026586332152563,-0.0341971598650409,-0.16241504525621,0.242000586873332,0.0601049006474585,0.312722447720376,-0.0352736678983961,-0.111597817200133,-0.18205171036267,-0.158629736980723,-0.0343338507416323,0.155110992883703,0.0,-0.198356519736559,-0.152405403345145,-0.0561645567171638,-0.0148384615493134,-0.0515677188698252,-0.0884423708754285,0.142921055092883,0.0,-0.0905113113737401,0.0,-0.0915058483076072,-0.0016019858934895,-0.252697647027035,-0.0269710417378513,0.0980249101743539,-0.0119412572951431,-0.0501696360400843
