group,CD47,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD279,CD62L,CD197,CLEC15A,CD27,CD95,CD58,CD244,ITGB7,CD54,TCR,CD41,CD2,CD226,CD29,CD49b,CD81,CD18,CD38,CD127,CD45,CD26,CD49d,CD305,CD99,CD150,CD82,CD360,CD224
healthy,0.134994946771515,0.242404504048851,0.529807710186902,0.367861567770092,0.0360456167425535,-0.422515464752697,-0.615177378512969,-0.22993849114973,0.53633783103311,0.0282275116061141,-0.190545043598453,0.319942133562567,-0.63876355896623,-0.282926213904358,-0.197590280252797,-0.0003200201364123,-0.333264127860468,0.356711993950359,0.256200947966742,-0.237725530848075,0.0314703698276744,-0.118855210329443,0.202970720741734,-0.0407535958108936,-0.101251725945384,0.104945673904646,0.285771615320736,-0.0275353182527572,-0.0328180228064966,-0.162261794833379,0.315055704745244,-0.474663308365358,-0.211169835857519,-0.229668931818951,-0.02255010464233,-0.386977278008548
healthy,0.165924505211937,0.461735000866904,0.789988705433095,0.592403656934812,-0.419495344651303,-0.30659909044081,-0.760829664745665,-0.127365550149124,0.600649851990567,0.219812552156375,-0.183834341433575,0.432172050000717,-0.673137357788037,-0.239101539381622,-0.0931832895214176,0.121423429625076,-0.314169440836933,0.627556341696337,-0.0333967471847431,-0.257640672701743,-0.396245573881851,-0.36262711969786,-0.0385864012651272,0.0969927822794017,-0.14875811348512,0.339643080600745,-0.0503304337812001,0.0609388113114585,-0.27092150973873,-0.285061500784329,0.372778224832186,-0.523810184204592,-0.263791196333429,-0.283948152905463,0.093496226561575,-0.565120439390773
healthy,0.0527009465820176,0.396344537753014,0.700941163790348,0.587990290237762,-0.411258017092095,-0.449680911613809,-0.724756710667847,-0.154693922656115,0.558715922481002,0.352377153221269,-0.242682749596364,0.480045652249511,-0.716638676418553,-0.545543735812035,-0.125749465583922,0.184603629175707,-0.340435794265615,0.604706429283623,-0.16372227652001,-0.17057158353474,-0.337694641690476,-0.438318084940778,-0.197537668946243,0.106895092626787,-0.176120944729279,0.455435370019073,0.0768590616927485,0.120924229073228,0.0777609640470428,-0.163441229413155,0.501793131126479,-0.554873984456084,-0.362104913267515,-0.298122627229268,0.19740649307111,-0.368634779555015
healthy,0.19922327458086,0.350748539155251,0.544428300507139,0.532810933817671,-0.046325471730262,-0.262344780104827,-0.312409833425108,-0.0269734710655231,0.246853262187796,0.139861546988471,0.0831247128113849,0.402621140603351,-0.35043159386237,-0.0545347778252327,0.116255088218753,0.165774286863684,-0.0182200806227985,0.44234565820332,0.0716265123634177,-0.003969685277494,-0.0679293235313231,-0.0685233538692143,-0.0129684451397704,0.351629051186337,-0.048683592398473,0.238587680211526,0.150666548395336,0.189476572007336,0.354060097642159,-0.101454446214087,0.207414747905123,-0.164948998024214,-0.0327438155097549,-0.0781532628287262,0.154289567647724,-0.113377969150205
healthy,0.287286266107891,0.582345862418319,0.752925754106323,0.671086318728362,-0.409548678781513,-0.313369604463755,-0.635223269201612,-0.0893712811308472,0.266671796585531,0.287133710396898,-0.289916712573312,0.40804339284828,-0.6864462195491,-0.339499836216609,0.0913452878593115,0.193630167398213,-0.369794678715411,0.649768108247489,0.0304559817030732,-0.0442034121679109,-0.464036072575708,-0.36276911559301,0.0008198924771079,0.332956724469958,-0.285540925095302,0.58608142813771,-0.0907342948268149,0.28566729601739,-0.126578670065533,-0.311244252824486,0.581453170729161,-0.599788019718321,-0.319101570643644,-0.355019303439947,0.209911105842051,-0.520069284563493
healthy,0.03355230688727,0.187971062811116,0.627134348063865,0.465193356528431,-0.314360786231179,-0.461460921998311,-0.652940648245407,-0.105442557842165,0.348153011638229,0.133209111787079,-0.260336461707534,0.341287164882931,-0.700490782046784,-0.343869651994494,-0.109915492313829,0.309603091377977,-0.325363014708956,0.371693178048408,-0.0465143590663936,-0.226418039630359,-0.277455575720812,-0.436831143499859,-0.0405504498067556,0.0682329581410623,-0.290679478490004,0.509910237637003,0.0444278927037695,-0.0999977159179659,0.0704617984370257,-0.0648346940197051,0.349240043064968,-0.394620785999413,-0.277896885776072,-0.379684077581848,0.169464598221203,-0.379148901297972
healthy,0.187783546427683,0.257130186472304,0.196879131499384,0.106090194737431,-0.268180825603697,-0.143104980448137,-0.0859951516577412,0.0771024004941623,-0.401268335412016,-0.0150325434925725,-0.0752957163831865,0.0033286780706405,-0.101733449518086,0.079042083525462,0.159774152524045,0.0882813370471554,-0.127729537092341,0.045217180217401,0.0448551387311904,0.0444569861421466,-0.0786788937547082,-0.0431579474464179,-0.117295097127889,0.0926198647445598,-0.0819516080724115,0.0253673570647593,0.0717731513739411,0.0219074656913966,-0.0415814006602973,-0.036483664505503,0.0914789801914661,-0.294537005755223,0.0,-0.310850932937505,0.0224504084304868,-0.0326789406573638
mild,0.309430322416207,0.371199339913725,0.510422516764372,0.650976960734111,-0.181439860457522,-0.295650658043436,-0.49844199317764,-0.158851406064804,0.276674571266341,0.247396563268745,-0.529785853059969,0.664930274365868,-0.663276451135415,-0.37424915883643,-0.475160999747241,0.269599345057787,-0.549806764523627,0.520786807171002,-0.0978386912500888,-0.239602708919065,-0.584971664087224,-0.46037946000096,-0.121422078747178,0.117032461256235,-0.421783173392217,0.259295555773338,0.32682555302582,0.0513842871998225,0.41435907912441,-0.410569040321575,0.43699767598534,-0.596026986575822,-0.204302411914733,-0.124402749514866,0.156015061994304,-0.205018072384671
mild,0.257603734311394,0.311362703579798,0.689360861602928,0.555835097064104,-0.39316138269964,-0.333119036964385,-0.623293224567627,-0.24551348158368,0.0162222625166037,0.352074057506947,-0.221826118886942,0.321850604486457,-0.678275946125128,-0.28366061345176,-0.104632304614765,0.402523618897876,-0.268259589796327,0.421702555444512,0.0627309341549523,-0.0595849499013961,-0.236462291042614,-0.321513481413354,0.0437583739422326,0.0945873342826217,-0.244297051358792,0.458188394654092,0.115864036724723,0.129903673789914,0.247092752867276,-0.209549321214023,0.139216522598378,-0.424133478806771,-0.28918828713931,-0.40679714311255,0.174740053832116,-0.315341874770912
mild,-0.302837096967764,-0.117079890848257,0.0452529895309796,0.0418700284707377,-0.14455731827226,0.0915742736142788,-0.145235047749105,-0.0445021970429979,0.200385188113783,0.115705712311794,-0.0914063282226681,0.0759173993236699,-0.12835438351339,0.0,0.0021729975251243,-0.0388318745255168,-0.0453028237093708,-0.112943071613603,-0.285308987067514,-0.449616640650019,0.0220578803391594,0.0,0.017433895077426,-0.0746251679605557,0.0,-0.0818610420375419,0.0615003520670825,-0.26934812532617,-0.0661151894985322,-0.0283061673931064,0.0315853343271257,-0.0472084676876048,0.0,0.0631773777990801,0.0778837418179867,0.0290940173229473
