group,CD47,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CLEC15A,CD27,CD95,CD314,CD57,CD278,CD58,CD11a,CD244,CD54,TCR,CD226,CD29,CD18,CD28,CD38,CD127,CD45,CD71,CD26,CD49d,CD305,CD99,CD82,CD224
healthy,0.247085089073221,0.173881206870162,0.386251260146748,0.480861075070001,0.512127014465605,-0.102924364241939,-0.234649496344563,-0.411622210294543,0.443842171512041,-0.214860437591016,0.45200231316364,-0.510158295119291,-0.144641815711712,-0.0434990639954266,0.0129818717518917,-0.168057081284996,-0.0907947494797319,-0.206618675668783,-0.274770445961227,0.540619474260072,-0.152480624559022,-0.11649154174406,-0.0616424028563106,-0.0025469454003571,0.247062897158499,0.302629511691387,0.14715125281102,-0.0166383723163896,0.0219487851384514,-0.125105264956229,0.327867928186163,-0.294754194153286,-0.11157746663704,-0.338427326312765
healthy,0.13198353362379,0.244716516640674,0.199673573161549,0.228757545518681,0.189901533163681,-0.14369536168663,0.0018643028329386,-0.274951180937424,-0.331146473080118,-0.090980295424229,0.252951815923792,-0.122072029552323,0.0894681144815106,0.082071929022777,-0.0128381092028434,-0.0115664178166646,0.0021491913495335,0.0895639192294065,-0.0436674139857233,0.188160446132378,-0.0423204912170416,-0.0456201782768341,-0.0414473087207154,-0.0161229673933446,0.25304989390057,0.0324588432255755,0.0949030548978855,0.0907266789309929,-0.186157847918946,-0.0443079978776486,0.220731300835884,-0.172754203500652,-0.117131355861105,-0.102370298299035
healthy,0.121399389255293,0.142174770217599,0.37911948179588,0.631663046462681,0.539263604443824,-0.352622060737553,-0.449083021606331,-0.639681839363364,0.278321544829312,-0.177796683863561,0.417370523907226,-0.661596799741876,-0.099228033156714,-0.0306645701111573,0.0950946831568065,-0.505826122085499,-0.135107118784147,-0.147526193653801,-0.336942298690466,0.554378323683672,-0.32732060807918,-0.364152654287957,-0.119912519437237,-0.0247858082128194,0.36827619001275,0.182982225589673,0.141837241996914,-0.186735138658227,0.221836268819231,-0.154889435749436,0.460541569766897,-0.481098345654367,-0.310810209566683,-0.340638540978065
healthy,-0.116072160679497,-0.111492211468169,0.100165036227599,0.13417134347005,0.0485657431432762,-0.125047912679774,-0.0672491780696555,-0.242028030306721,-0.112136078276759,-0.267417404894301,0.20160774231036,-0.140145801727666,-0.004628203452394,-0.0118384465807025,-0.056589930712291,0.0006364383725184,-0.235751277955573,-0.0584073523237088,-0.258862444765306,0.0422085350823351,-0.140591477509652,-0.0790674661775191,-0.284254955714478,-0.239923838306164,0.0646969793863339,-0.419589834752295,-0.008589985903135,0.0848719415556955,-0.431181245878013,-0.306079319745342,-0.0497329998646739,-0.306106811895763,-0.344187990087272,-0.290273455033668
healthy,0.210051027517431,0.063183206998385,0.460395812819921,0.643233507250389,0.439488003063311,-0.326249575999204,-0.365427567019546,-0.59265617156494,0.238725010959928,-0.208510153649665,0.248641683509089,-0.707447203296907,0.136662791153848,0.0429185227582212,-0.0273971007761037,-0.157545057207222,-0.184406605079407,0.144765020767043,-0.314866489529848,0.456791021751328,-0.367212859580272,-0.327672231219593,-0.295910365026139,-0.215232317259037,0.427076204567093,-0.196988357221696,0.168950716899468,0.115323658672211,-0.238046948062977,-0.270885116446312,0.401114070741816,-0.600261400689592,-0.448667824096576,-0.564255037834226
healthy,0.3483723393047,0.346511850404391,0.3493361768916,0.304184423264188,0.217579792612631,-0.0008725533653864,-0.0865371311355017,-0.331619571991868,-0.598645619861773,-0.305919817710846,0.257963504329537,-0.295176429267707,0.0275051513070655,-0.182817199106725,-0.0017070592768559,-0.149524709261435,-0.169219007362667,-0.0896014830765507,-0.23111696832763,0.365484667152008,-0.121100566099382,-0.0388581505864042,-0.364869757477811,0.0877276624140405,0.328825636782389,0.0463361115969889,0.164570092408212,-0.004539127774851,-0.0537728211359423,-0.318066815944315,0.166227107636076,-0.278544438772218,-0.296640336555122,-0.0981359562303379
healthy,-0.260271564929414,-0.226261690787981,-0.543584065388426,-0.511317020864641,-0.551756516553877,0.275458654838888,0.402842209885718,0.378096827358253,-0.481845322851509,0.172396275733355,-0.287980743950197,0.317479550918654,0.0,0.0326062689754809,0.107710074826435,-0.0276404831960205,0.139924738418456,0.188110451933396,0.236157520920212,-0.649358082605061,0.297705801806528,0.112986536573206,0.0955293892915093,0.13245017606405,-0.0713719653635471,-0.122683817700069,-0.3472258275241,0.0,0.114493404755059,0.193592255919937,-0.0253431280914546,0.223680636404808,0.259395008228471,0.160038745069274
mild,0.309513099794738,0.254207077612679,0.181185337913917,0.198243169720692,0.46213964411092,-0.0419208353597582,0.234770954593854,-0.227050322881023,0.157222397238727,-0.685003419765512,0.60148188421009,-0.329489224142813,-0.0213024807837584,-0.380009343415775,0.254363038775954,-0.0537383181693295,-0.462372633271881,-0.488240093707142,-0.545343517747653,0.231805763375632,-0.556641708312634,-0.427434645215858,-0.496044779916847,0.321620544921938,0.228238651095079,-0.0145347960121805,0.0198397534646478,0.0924049366918396,0.162569320624789,-0.73316844421681,0.199511832613209,-0.377094844080724,-0.0191930807312912,0.079148512104216
mild,0.147663839808054,0.127002670490167,0.223253683944281,0.489266450282839,0.441789306438899,-0.326357063778967,-0.0768138693510215,-0.489961898547157,-0.108671946834461,-0.21957649568957,0.118552164117524,-0.5487307375808,0.0654117024389604,-0.100438615935262,-0.0687236840890905,-0.219810190567441,-0.198183125625604,-0.105877237855198,-0.255576260455274,0.250167715650387,-0.211373535126898,-0.240335033568748,-0.289303440785086,-0.157383779630507,0.429735576846845,-0.100727993090437,0.0521180554989235,-0.0590741874274273,-0.0528573232666259,-0.351613373214155,-0.0234011267897253,-0.314609551756492,-0.379618129306943,-0.251556995239536
mild,-0.0507080510987332,0.245664333633811,0.252349620168737,0.244879396223951,0.0360453138036293,-0.105299341982019,-0.187649326885527,-0.171680308423359,0.0691649193944035,-0.0315792624306334,0.248332871343129,-0.287458334362877,0.0,-0.0238681790314418,0.0032045369594542,0.0,-0.060651339446154,0.0216097061574518,-0.0421430363928025,0.245365363246063,-0.260528579727122,0.0,0.0,0.0654597976865074,0.0290575581587095,0.039668402467392,0.121959361423388,-0.125290800905671,0.0163922866042312,-0.100566061503258,0.0307577709823102,0.0115758934216333,-0.0962521318970532,-0.208037371001346
