group,CD45RA,CD7,CD45RO,CD62L,CD95,CD244,TCR,CD38,CD99,CD3,CD45RA,CD7,CD45RO,CD62L,CLEC15A,CD27,CD95,TCR,CD81,CD305,CD99,CD45RA,CD45RO,CD62L,CD95,CD3,CD45RA,CD7,CD45RO,CD62L,CD27,CD95,CD58,TCR,CD2,CD81,CD38,CD26,CD99
healthy,0.523911377811497,0.399576266608966,-0.497108699785591,0.513972034820004,-0.529356371795329,-0.174164202744444,0.454063934395359,0.177040293323925,-0.36793301249342,-0.399907336210471,-0.133691694385704,-0.416618720848312,0.0816289755782825,-0.314345059181053,0.249697038531986,-0.451688421829286,0.111412035882495,-0.553976789496812,-0.0567330223922857,-0.112222162988779,-0.0268959197740528,-0.430928614205867,0.716797778674158,-0.307229599602318,0.764616171360594,0.331295584068728,0.455114721560424,0.540856787944305,-0.317365652201138,0.332763934547722,0.44115923372488,-0.378410009710291,-0.195281628465133,0.438576347446661,0.0068433001181093,0.0261284139292652,0.206342316019827,0.0736715097182975,-0.204569127027997
healthy,-0.284936729798851,-0.227199581884803,0.191868575251129,-0.17271410753769,0.173143196604516,-0.0787241048293231,-0.0635709060584331,-0.0407991105702347,0.156421572594808,0.120826861869066,0.340355816842258,0.315420891956179,-0.334423727698799,0.641727873604146,0.0007648288456764,0.220229514263182,-0.401704584933604,0.232247934714599,0.0516397124181508,0.070471076914481,-0.179931954889317,0.195660577936781,-0.147478561803883,0.0753026170101672,-0.0285176167018149,0.542049935603893,0.591227518188876,0.450470870575177,-0.480905386391672,0.188996699178513,0.436226870936341,-0.452245418073455,-0.225182233676779,0.623289442310129,0.0405021254044888,0.352612049284171,0.220889841543286,-0.0956775080118397,-0.243151249107146
healthy,0.34097975759065,0.39691862127755,-0.352925659090008,0.387933413088773,-0.3889905909456,-0.204037747654796,0.432786475617735,0.111468828507065,-0.231273184898435,-0.373884644323256,-0.556847821382737,-0.500145038243165,0.581691764564479,-0.0310911733942429,0.148053532780247,-0.376826105556062,0.600384122226717,-0.526262319313759,-0.118616169638067,-0.44325426336861,0.446631496588577,-0.315443109492604,0.361978342529566,0.172915237672138,0.409198666670424,0.364916788183449,0.692075019549786,0.548096453972006,-0.741544897103358,0.517935882983104,0.449058063076953,-0.751638834047034,-0.561240272718402,0.574693712495793,-0.191408167925857,0.0813896736461905,0.41029508316216,0.118112035739998,-0.564614575743006
healthy,0.14833142969796,0.0885756610254425,-0.447012779304043,0.306676031141713,-0.445471597921821,-0.0351820554558875,-0.0423083224825079,-0.0658825856858085,-0.42041533515176,-0.264275358143209,-0.39171073860353,-0.392529409678076,0.209715111429556,0.155148480609317,-0.0619282251355689,-0.340351673878043,0.304537206028456,-0.234848308497653,-0.151665225532007,-0.168234911644021,0.138787265912345,-0.201050372942674,0.223294974592728,-0.113676330033729,0.242089869261284,0.25437694061386,0.367979327919454,0.264357629654349,-0.230213964878009,0.299629665520077,0.382045170849425,-0.373816376444549,-0.114018943135705,0.323304816483913,-0.0174106360072626,0.26980607486126,0.148267802033665,0.358503839423604,-0.156592235494189
healthy,-0.0292067016487266,0.124344717878514,0.0112540297836914,-0.617643659572561,-0.180750432589771,0.0061246965809594,0.0600922944523061,0.0278712775276055,-0.14462052384111,-0.392780893696044,-0.723391229279516,-0.540105360420625,0.713253857548237,-0.227687210674688,0.163397188453448,-0.261926458739767,0.697124881556355,-0.435544719211491,-0.224947794151414,-0.478627453706968,0.611570781812906,-0.48509917969223,0.480138670515473,0.139436456155597,0.492824944566332,0.390280306414735,0.575660733147346,0.51290537300818,-0.46434541984347,0.342910142836942,0.374352681421116,-0.620133105059225,-0.404818249546003,0.466304489929328,-0.11360129777278,0.199966758981219,0.43995185217997,-0.106509356656888,-0.459955734899994
healthy,0.332979795588025,0.343280230717825,-0.398447011786731,0.499575412361602,-0.4976680647814,-0.149581084955321,0.21943706873313,0.269914260024135,-0.282221731790465,-0.344384921233604,-0.528562675577949,-0.497071694567008,0.600110912088865,0.341413907457548,0.345822040819586,-0.32338306376668,0.619157769667921,-0.414752271083465,-0.234105586083716,-0.236280172152962,0.375942726154548,-0.639542949886665,0.61653195152738,0.162044416298258,0.661700916417879,0.243930676277053,0.458405030766683,0.388489800212057,-0.603501550784531,-0.168896142254521,0.312042572453045,-0.628032911237919,-0.322281775125634,0.354085759095411,-0.132854845397622,0.0429216231301618,0.587921624149085,0.0431839964321304,-0.406606881282801
healthy,-0.0856627614090363,-0.240332837110527,0.0214449495711229,0.349773437966024,0.164980324741507,0.0741762475274207,-0.173632726239474,0.0899358079723517,-0.0150889423808748,-0.295384389043586,-0.338426727189632,-0.254639174083054,0.354473472256597,0.0440027877397428,0.235984776194058,-0.179569044879489,0.245544913222726,-0.392059345414282,-0.036369056836869,0.000971221868515,0.372633799500332,0.329635867030053,-0.364134649221031,0.598390345873212,-0.0801154361420895,0.0045568608525933,0.158162873001723,0.103872136531525,-0.139634520585857,0.598654280858591,0.0235363939672113,-0.175615006957289,-0.0324896907742697,0.14600107986102,-0.178112231733849,0.0150325434925725,-0.0200653550088294,-0.171574369710872,-0.147385916442091
mild,-0.0203660600036914,0.111075785418257,-0.0761170512002133,0.210814627484881,-0.135750462470898,-0.555761814967931,0.0155888985471385,0.0237956228741439,-0.225697613777881,-0.116612794763348,-0.279079062147994,-0.537925934503992,0.360179510937503,-0.0480317613877206,0.61231290617551,-0.472798499572477,0.53326403130218,-0.238016036778811,0.0517057263814132,-0.188314748022472,0.500421592935747,-0.0780049990216504,0.202245865556999,0.0989478265559184,0.335921647273808,0.0149243702044288,-0.107241274320406,0.242805279234978,0.0945525822443724,-0.0832601152059228,0.356169108207896,-0.0804284032503473,-0.150518811165907,0.0288338614772047,-0.0287087326515148,0.0268205128904722,-0.0796683540498903,0.602980727304035,-0.141474290354604
mild,0.661437782544377,0.404607132824937,-0.623865773779141,0.533295886354267,-0.622515967922975,-0.163466081717339,0.396751115898357,0.28026301767577,-0.272054314442331,-0.27882926538114,-0.489418349461599,-0.464882611377296,0.468340629646967,0.195249178521273,0.0915321299044444,-0.185256110746911,0.56029904700474,-0.335364455133406,0.0033474407727037,-0.0697946395774013,0.238958063787426,-0.484535362508814,0.497996298332052,-0.209915396241313,0.582473883995937,0.150303199717774,0.553718264945481,0.486923355277114,-0.464165593938298,0.174442466004356,0.064376234763223,-0.513380922569331,-0.225870562279895,0.196868755621739,-0.133827385750817,0.0498567931811051,0.357862472942221,0.188934666227534,-0.330347392389671
mild,0.244215741935702,-0.0218685592063976,-0.253943323079016,-0.17368211843824,-0.337946550413261,-0.215399908522368,0.251953826372715,0.0972235077872388,-0.282977650477287,-0.324444982004709,-0.434891349869606,-0.295448362927188,0.0659110500767195,-0.11506076048175,0.16472008068309,-0.234061117381355,0.0510736490066221,-0.320214132466445,-0.0150883109362317,-0.0667091288952656,-0.0469564051395208,0.277254882122424,-0.0023757250353948,-0.171271997193022,-0.13870818351085,-0.0701061833965329,-0.0914437295993646,-0.203116410011646,0.18216955869124,0.0536170489270396,0.1235555440828,-0.0103705266533517,0.0,-0.105988687008826,0.0705871230769264,-0.0765659418463523,-0.0110259638277179,0.0870456193872644,0.243246686831171
