group,CD47,CD52,CD3,CD117,CD45RA,CD7,CD194,CD4,CD45RO,CD5,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD235ab,ITGB7,TCR,CD2,CD29,CD49b,CD81,CD38,CD127,CD45,CD71,CD26,CD49d,CD305,CD99,CD150,CD82,CD88,CD224
healthy,-0.223171893692795,-0.0119149752630613,-0.0990455209976246,0.0545892813445742,-0.277960889352827,-0.191421650018703,0.340985039963821,-0.0699149807481832,0.339018196207305,0.0711305294823492,0.100192713246883,-0.0740531433754284,-0.0114832045439224,-0.0980421726762984,0.354255317005211,0.237276777389336,0.0424288602517862,0.0733354784831484,-0.222606605851607,-0.189840540773957,-0.19450992015168,-0.0101755692054507,0.0759213864152527,0.0018959650456147,-0.0562511337740291,-0.0517374961470221,-0.322973999003103,0.0090379791229976,-0.176335133028094,-0.315451357228015,-0.158258618667136,-0.248951152625346,0.212811435837418,-0.0346228795099493,0.219490988778244,-0.134997839743576,0.144995443225734
healthy,-0.163847997217958,-0.210109605168887,-0.461481889773945,-0.00812773064511,-0.487083257345923,-0.367126445293103,0.110998940573735,-0.339701013917435,0.43422402076196,-0.332470533243109,-0.116549755704476,-0.216443179259175,0.101597341125767,-0.311513646542534,0.365583869841326,-0.110919000402219,0.210831483453837,0.223106294397921,-0.0151945280940096,-0.149473931454066,-0.550533841157187,-0.0015567972200596,0.228130624533756,-0.0484065149575301,-0.188408633089644,-0.179409485648955,-0.0980377028623307,-0.176205423138098,-0.0184799268729869,0.0965455304195932,0.0819037822572195,-0.232455450116257,0.260487010953596,0.158021874490011,0.12558276735186,0.0523714295806976,0.282974217272368
healthy,-0.16306695648948,-0.157525518483149,-0.336552758492274,0.055184106723011,-0.516149665285237,-0.469739267250898,0.42067685622319,-0.152786478473186,0.547765460577632,-0.103153163562416,-0.0988714179182602,-0.299439692707661,0.151680924327052,-0.365746951410319,0.59615470056867,-0.0420780419568821,0.4518401997929,0.127289056371224,0.0170061025237148,-0.0880981880888343,-0.477928885132441,0.084561372268092,0.270656811185836,0.0582824644600028,-0.144725012365183,-0.324248787148136,-0.188830708331587,-0.134488412660646,0.152323767456457,-0.246883895060169,0.139140615132249,-0.380453404426908,0.419524754978188,0.267558607906839,0.322406694672459,0.109380141958152,0.307110563199314
healthy,-0.0239872621110678,-0.0208998925686896,-0.238677765929597,-0.0635504721313705,-0.444608467184262,-0.308600567307757,0.443090534775803,-0.120661840396712,0.415433628704708,-0.0644865911078457,0.270130360803951,-0.0831452870303707,0.104000523619197,-0.287378143813743,0.513351725366941,0.237322523191878,0.105856032130788,0.173257778144117,-0.152759391123672,-0.136460976258109,-0.243799040911486,0.156322980588204,0.187276406272219,0.0905430308835213,-0.141385708186035,-0.189923086997525,-0.0366761961637894,-0.0639581692166762,0.0280621684257797,0.0005148717306692,0.332078864507696,-0.128621414273859,0.382881848420748,0.153489244396695,0.413395551820891,-0.0921569998428596,0.258420370001601
healthy,-0.334839957541006,-0.246014494699465,-0.504042069024205,0.0339401035609378,-0.624260692970408,-0.559067293118467,0.29724829925859,-0.258394385960275,0.535372323253138,-0.284442343904754,0.151243073211582,-0.283174662020491,0.198092154583519,-0.314780392699537,0.5787542282319,-0.0959274431392352,0.239394244133801,0.160148053882934,0.0437459876077115,-0.187541135550259,-0.538049410923822,-0.0235538588274336,0.269677274442089,-0.0806044698475038,-0.365843458888518,-0.478732763511494,-0.0557551034480653,-0.250144529089458,0.041378549707231,-0.0475798461510505,0.265235634273735,-0.470436041691534,0.519106205853424,0.227527883990892,0.362904912699095,-0.0469883592546688,0.430163857570042
healthy,-0.349736371116061,-0.36077650115194,-0.316077722802912,-0.0470687753774755,-0.300912567895869,-0.298326538606234,0.157417298085577,-0.205024905264351,0.382606093168577,-0.15552209532272,0.574240792226354,-0.154739966233927,0.250638258780305,-0.215144512209524,0.386374728901737,0.118398959109829,0.210743874011375,0.147264064446784,0.0091589766657218,-0.0772214703397846,-0.30332426567413,-0.0757111162407993,0.086695534538088,-0.153654027312612,-0.257393678932704,-0.359314159940814,-0.124372246116039,-0.164903360290951,-0.0190990530153941,-0.237470247367518,0.292670625533763,-0.0535287824540545,0.216524554088448,0.145946377436865,0.2516127060072,0.0194663504368656,0.125234930959805
healthy,-0.359556006230642,-0.463155552734843,-0.355288483525739,0.0994087553541087,-0.221529901168277,-0.336235471124451,0.391693518821696,-0.251256062559495,0.216282122586122,-0.183028872911476,0.0731882850969182,-0.0877706571663106,0.0537772951035916,-0.162665434188756,0.328451319741425,0.185311369488662,0.0276404831960205,0.101885777814319,0.0,-0.0135056492274311,-0.466991575968141,-0.0678912408392004,0.112986536573206,0.159797253350049,-0.0596452532124652,0.0670633766709114,-0.263141453627892,-0.314520112857794,0.0,-0.0202423960778551,0.0792475852798929,-0.054240843889819,0.110839822336066,0.0,0.101864287704593,0.0,0.112211877758873
mild,-0.17517729138131,-0.0970486973705859,0.170085811459305,-0.0130839612273259,0.0732700593285315,-0.21351797257825,-0.0025129386659781,0.139705816488542,0.0087441469248037,0.0405632116874121,0.327617985403834,-0.0127286876720331,0.39255780879893,-0.0674857006981214,0.152669323144476,0.087061129466521,0.0921319278880668,0.26398011418897,-0.0089997093508742,-0.0942802892931749,0.179828282045313,0.156738863007369,0.0867694682772689,-0.0619478151039313,0.0931008855450413,-0.0692695272243599,-0.411339137245459,0.159208208887583,0.0158126949688595,-0.433287272814941,0.136131457451275,0.158383511103817,0.189791580278538,-0.0584387468965847,-0.144405714895659,0.0341128118317926,-0.172499462502799
mild,-0.331463379203014,-0.321412679518618,-0.269023815674396,-0.170878311023799,-0.237105330499811,-0.378898893009983,-0.022460810575942,-0.210530471121377,0.189243384214273,-0.246630092439182,0.513219312861965,-0.25073407484427,0.0337291902824919,-0.161583051450275,0.285206715921732,0.140398516938736,0.119447123355625,-0.0039679829543971,-0.116021912022333,0.112792005699405,-0.18827108940797,-0.184861107731007,0.161730272273123,-0.0915382019886719,-0.0129590170374899,-0.182870022083803,-0.230648452712722,-0.269620905304329,-0.0892779629678315,-0.260867048913324,0.394618060044536,-0.0436811540304803,0.100996511630296,0.062409420732838,0.187056380563318,-0.0365711049694522,0.015087043639995
mild,-0.207550062408665,0.0002366987825158,-0.321569859112637,0.0,-0.198680624031049,-0.0768915356868019,0.346278465500884,-0.313036716778764,0.28266178494041,-0.0049578392511389,0.10190383766179,0.117075010682348,0.0960880025971184,0.0273486682257603,0.410713477351324,0.14502981611446,0.0,0.140594279681859,0.0847223873549203,-0.0250118808845438,-0.354743984358647,-0.0372679219233028,0.0,0.0279137939656488,-0.0683241468169941,-0.180685361355457,0.351647896423141,-0.0643023263170633,0.114336413941241,0.0245621660892225,0.225580211475024,-0.0062117406215395,0.285749283851198,0.0,0.436260874463743,-0.0650416726013046,0.321497136065628
