group,CD3,CD45RA,CD7,CD194,CD45RO,CD62L,CLEC15A,CD95,TCR,CD2,CD81,CD127,CD26,CD99,CD82,CD224,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CLEC15A,CD27,CD95,CD127,CD26,CD99,CD82
healthy,0.0218620402598648,0.21144988198621,-0.0904197839070109,-0.43962067879066,-0.405591768221708,-0.301361039606904,0.138094881082747,-0.36376543770718,0.0228497880527569,-0.143814310410487,-0.0166704548599722,0.106968178378383,0.123773570383624,-0.315345081585717,-0.248757366637711,-0.234548142581174,0.170279478268545,0.465244002327386,0.30525427582836,-0.0933034991444161,-0.336960786827137,-0.503923375799018,0.232524847904144,-0.195523865099796,0.107252694961187,-0.509982357479669,0.305744633068721,0.0279633364134533,-0.395715973441037,-0.255621974675309
healthy,0.251061202869322,0.282336820498415,0.0547473982797381,-0.250307976317645,-0.229220187588605,-0.05014758469422,0.0210837084329224,-0.215437330147241,0.329895065793754,0.0450032040719906,0.279947293424653,0.0699393049369818,0.31938418460963,-0.103665915173467,-0.192384545439354,-0.1538224414186,0.266344188954952,0.581658180409698,0.35966049110239,-0.363748579900874,-0.204017515989768,-0.59708755094938,0.425957890687065,-0.177503480674337,0.247004286152067,-0.501178179923201,-0.278756858330424,-0.509792345554199,-0.562034898637678,-0.388658071328648
healthy,0.289850893517281,0.423245316783129,0.446892362393286,-0.265230393012618,-0.448120555349573,0.718718258119781,-0.259295656952238,-0.450756232732757,0.502173260958022,-0.113326233113757,0.0848519672938608,0.0804562243031479,-0.0176321101034828,-0.313302049724035,-0.0349904767366596,-0.183228430101628,-0.0402521626940128,0.013121784017461,-0.0663121786366554,-0.141275285506002,0.191337669093088,0.0360335791286474,0.223626983664979,-0.0282105705724495,-0.0932352837397428,0.149048211798419,-0.21851912995535,-0.29454497308603,0.0183623057816566,0.0850799428578573
healthy,-0.006011040279205,0.0327352981318924,0.0062268621777571,-0.0535057778152725,0.138285872801915,-0.142271709132754,0.0800312702219785,0.0876684407961099,-0.0111843033991512,0.128093044810038,0.0243581617245642,0.11856687926573,0.111234504663489,0.0693298350403765,0.0466059500502202,0.104217074348702,0.227075465514633,0.280444097599292,0.243305324933617,-0.0148930922053061,-0.155976169008939,-0.26297066610533,0.158253139279841,-0.177320021927861,0.254511932239301,-0.27087035272771,-0.286149198470957,-0.288587091592343,-0.265364252870306,-0.245364419607782
healthy,0.169887956928485,0.520717310473124,0.206873136404896,-0.448629269510635,-0.473106733725241,-0.275476355809642,0.151687371085378,-0.4885902751653,0.257734151158869,-0.067053288012409,0.0409299617691431,0.15561957339209,0.358735812976066,-0.453813937685971,-0.352755448012623,-0.261027853760878,0.153454801925889,0.232596222881862,0.175181879547059,-0.170517662625307,0.0824506838840032,-0.257253785980439,0.665751024656132,-0.272420191758852,0.0566279437636324,-0.206449578790589,-0.423724701151508,-0.563390993951471,-0.157310187726871,-0.0133660827832858
healthy,0.374988925174909,0.727190977872509,0.423362854991923,-0.395372112418297,-0.658532121176925,-0.34674541935044,-0.268398015117631,-0.641339531745908,0.479335569406123,-0.0572340519669786,0.314315845579632,0.102166408708094,0.20473263874081,-0.463611600315418,-0.521478429837752,-0.345517295033787,-0.146567423550015,0.101014751870829,-0.0359867457272373,-0.180257729141294,-0.184167020161821,-0.0561197005238335,0.746533504367971,0.0380228670873819,-0.0024882958771906,-0.126127305223286,-0.158769761779124,-0.212583583588037,0.0355185703346613,0.014488076675784
healthy,-0.460705895060242,-0.405877356999018,-0.197988693712978,0.322925281779122,0.542979862727277,-0.717353131540835,0.0916195881686125,0.243315160917385,-0.540478400786244,0.325087291131297,0.0383087398681687,0.25527551587546,0.225056464937995,0.422181851221416,0.208986097631388,0.0468748224259919,-0.366288675338128,-0.358709084405042,-0.346852244110025,0.081675516888798,0.504304984719283,0.510013204372687,-0.173319112591303,0.089146405437222,-0.147539890792239,0.37359424276093,0.0162391767075118,0.0357062375205702,0.436072088519457,0.294462314557538
mild,0.210290266801258,0.337148958344607,-0.0447555952208846,-0.540459729745527,-0.284152865754618,-0.0430049776108245,0.55606742304408,-0.243706062445894,0.327383437595527,0.116497996277808,0.401622741944219,0.0624383844814248,-0.136158974282464,-0.124772990206353,-0.292934906702448,-0.374442463099974,-0.161415234230599,-0.293696029290392,-0.499134428632649,0.087383896596218,0.129251256960712,0.355514102394031,0.043526937131924,0.555938983468232,-0.547186585639927,0.476245626635967,-0.479216805221513,-0.608978825347342,0.460831163774966,-0.0330927874883856
mild,0.227156133831909,0.320294762083048,0.332747643107976,-0.226049733876045,-0.327863104748613,-0.322994979500668,-0.0302058958991503,-0.227156095201505,0.18679318839878,0.097066520777965,0.188480159595278,0.234489198593047,0.287982752089715,-0.34212465424903,-0.308941059047953,-0.232341733422231,-0.268348726047359,-0.195224207032263,-0.352524974947664,0.0135661898238486,0.0047032399910156,0.123211292422625,0.568883666870224,-0.0845493152701801,-0.105393006689265,0.221700360348796,-0.270487601204682,-0.324615161710698,0.053077249439651,0.144166955214793
mild,0.0576982981941269,0.121881465458017,0.0995465702372846,-0.184471629917376,-0.157557942935179,-0.100415966471425,-0.005145665888271,-0.0730584486550466,0.0728380776110952,0.0801840850611894,0.139847045239259,-0.201354099288785,-0.291793451396742,-0.31514251906083,-0.143385684783114,-0.0206844773217316,0.212793599218324,0.220950693271079,0.160669464635216,-0.0814235951492719,-0.0907755396566423,-0.0164474178169669,0.184085712612111,-0.189045609114327,0.354357536703062,-0.144678404903338,0.165297423883074,0.116055532367165,0.111160638360072,0.0454960415527557
moderate,0.435668404503835,0.388080998042562,0.449025590459703,0.0935889481006388,-0.214895117763319,0.163125732855466,-0.238270742082292,-0.163110101911146,0.602247674288345,-0.104961450162583,0.149752467825672,0.197727518417168,0.144969934316122,-0.156070655161814,0.045578869149816,-0.152230238890815,-0.0178390579600661,-0.0758399099927505,-0.127425194849,-0.0433480273241557,0.0891252373168352,-0.0271997009713152,-0.279940379817842,-0.101984035691881,-0.0079608509939836,-0.0143049055737155,-0.195502785805695,-0.385113326384892,-0.152162082554159,-0.118860100208767
moderate,0.0183117331587919,0.150473109904824,0.0775412928437429,-0.248384730483304,-0.187636425072692,-0.004449429126502,-0.0743379792364418,-0.217061601159411,0.124369302705689,-0.163536471339478,-0.0288188874028642,0.059177053157258,0.065687913102362,-0.233982870654127,-0.227297775304203,-0.158311320649476,0.0141138331217472,0.251004614773284,0.0928441101657069,-0.0949483805093059,-0.110097559434295,-0.308854076203708,0.475440541818484,-0.233672292246371,0.0591102479246023,-0.246922066764292,-0.434646232571456,-0.472167638013925,-0.293269957971212,-0.218281100903781
moderate,-0.0121559913362076,-0.348125444107237,-0.3455577550477,0.181352143663726,0.581936905284142,-0.749485972109262,0.368961158235693,0.591184504034496,-0.152064490599747,0.381839676191743,0.10494325847985,0.147225052546697,-0.0251821818579959,0.339457252887255,0.18128300893057,0.419186521411802,-0.170497676140601,-0.0807213040890331,-0.17006073783623,-0.138506475593697,0.0388435949171385,-0.0014467408133366,0.425000535402412,-0.020071150759051,-0.146208346741419,-0.0159676181864814,-0.507484112257841,-0.591603615547997,-0.0336578031537269,-0.0444319755785949
moderate,0.24424352341772,0.0823169203521169,-0.0065085909639884,0.0489751369497359,0.117537715915748,-0.118741965936819,0.247059073107057,0.231626430707209,0.242983661859226,0.333898987212471,0.278321683605241,0.425547101860667,0.240747472754105,0.363519460450432,0.163338183691205,0.0925097083565348,-0.408957130320566,-0.23243900812461,-0.24222099497248,0.136556231758172,-0.0858694233076019,0.038253056422755,0.11738630660789,-0.216574718072469,-0.153112492177114,0.0175256657928752,-0.455267880263621,-0.329099998184945,-0.328544325394907,-0.190273502738858
moderate,0.12247631303922,-0.116445489640028,0.0836834301211565,0.227307384737745,0.241158395234667,-0.0846507325394045,-0.0111212906640435,0.304852808568975,0.104548239624853,0.201627409803408,0.0529502985569103,0.0749800940947383,0.0727430246240536,0.208155505438543,0.0053487304848725,0.102546420873199,-0.0199982529029942,0.0265632712001029,0.0358901930128151,-0.120991223472018,-0.0825670026795649,-0.0904281079425343,0.158233015145234,-0.132513449325847,-0.0751292702997634,-0.0485327201764415,-0.280409018451675,-0.339280383073666,-0.192956663318243,-0.0486778912707463
moderate,-0.155514965633714,-0.370284324346032,-0.111267463812776,0.0415935392228185,0.241437275299401,-0.105090142039205,-0.0335801996575912,0.246294438316193,-0.108694833249707,0.113998554618321,0.0161054848542606,0.0545763982429673,0.0243742278703124,0.215584571570278,0.0405510456769663,0.0148681666017564,-0.194041650937592,-0.418337842729419,-0.094237373989457,0.103646277576505,0.0591904544942291,0.295445121698113,0.166440668845206,-0.0475300334737894,-0.0778996779931545,0.275667139593394,0.005796359208423,0.047900541556419,0.308150441617792,0.0963185646398825
moderate,0.173623761909537,0.443098109521801,0.134925358425529,-0.230194669956254,-0.458127107519557,-0.165229386779568,-0.0599499066035843,-0.647573902700646,0.250240199737675,-0.0806010843971485,0.21023210848617,0.170479327071825,0.152656722444078,-0.384276096070231,-0.15118905777879,-0.0967260362011102,-0.187967485040853,-0.0535825997664394,-0.0224599338614904,0.11600419022139,0.070994960467178,-0.0550563839853557,0.350993935064072,-0.174098991724072,0.0165312161798521,-0.0713351080683618,-0.333852486032654,-0.257486414937645,-0.0826354527080405,-0.090333437009009
moderate,0.0954111504237147,-0.286652035163439,-0.127661292769449,0.0903879449752875,0.340881464105645,-0.400585237673081,0.0418914005583194,0.437112535749355,-0.003785988028471,0.316909044105928,0.109874599632015,0.0316649504782864,-0.0522770378082791,0.268299345536934,0.187302715803088,0.166099199734167,-0.38740228768261,-0.626585422466275,-0.587417103979184,0.196252273500888,0.358161934335723,0.611576884791968,0.105096252104989,0.123261873398422,-0.342372973839096,0.667299762212801,-0.0931843567245797,-0.0410819409614416,0.510073369100001,0.42022870170025
moderate,0.282796368361034,0.503017678586957,0.211627356337406,-0.107625676267492,-0.234672359966936,-0.146135382976938,0.056022166354752,-0.215162760422818,0.38037748286823,0.0689167386661715,0.147290631804233,0.110643040101192,0.262995374983795,-0.18005597167008,-0.201027297201387,-0.0247709472898266,-0.331878050471155,-0.322685716905157,-0.297617569648837,-0.0375027185000711,0.0517168003230527,0.148806268398178,0.367285131911242,-0.134383645476769,-0.207405080874656,0.119565915796909,-0.266045780521931,-0.351182613163176,-0.0875116599876302,0.0956422458244201
moderate,-0.232332345699157,-0.590743624653614,-0.395479592354339,0.437744705644565,0.59219285104699,-0.0612644445876188,0.100137403647774,0.666033724647578,-0.304037160995597,0.0846518325206522,-0.28132409419582,-0.0112929237431394,-0.194263235237388,0.482758698137842,0.331390804210561,0.354386105672622,-0.228726175811439,-0.226473402747933,-0.308454111739931,-0.115380208959218,0.176407194806179,0.201091532520779,0.297787294220715,-0.20769109713175,-0.216871288692999,0.0836574534296941,-0.463918516760519,-0.54613610660157,0.0666035652231342,0.0813596612599718
moderate,0.170231076125823,0.407296545390121,0.107110841708664,0.0099763943872828,-0.324683105141668,0.0833428965985047,-0.030065304965046,-0.124468226520577,0.245810207520656,0.0201816480730923,0.129041756327035,0.0237105411359835,0.0187295427835364,-0.211097097421865,-0.0484430417886712,-0.0384517876825521,0.1058737416064,0.125769284440931,-0.0353194618981577,0.0420212324372953,0.206851539814409,0.142300742537829,-0.225399452895325,-0.112654335471438,0.0608299245353162,-0.0348770743849273,-0.130239816381697,-0.138809809120029,0.0612486209177113,-0.107170257019961
moderate,0.198025727727208,0.230092547787635,0.111469476540595,-0.150284574640727,-0.0233165956141362,0.115468036799927,0.238860755143311,-0.0180835167026088,0.291550281734654,0.25498696409156,0.202612492605699,0.0463950459271641,0.475639785449081,0.0747729180426994,-0.0902663804573151,-0.0322793963305197,0.0101394609931437,0.672529521575593,0.328222990964973,-0.332132116583603,-0.360854750178511,-0.677735436888639,0.166886226778711,-0.0640064697104689,0.105235737148055,-0.705802964604108,-0.371965510462201,-0.0577946857292315,-0.682445380921219,-0.527488424968822
moderate,0.158983425818529,0.267935474588094,0.22620094145385,-0.207378753200986,-0.229778955227984,-0.342191805894133,-0.0549120343585782,-0.174233401767304,0.205608308278896,0.0935770700377227,0.111439034625278,0.134763434101401,0.275102006248936,-0.164392496976857,-0.202966459881108,-0.122757416974985,-0.209811690134846,-0.244607363441154,-0.277790659352161,0.226273145091681,0.32084707088597,0.141096463840318,0.314220021840817,0.0341575041551658,0.0266251744968638,0.325902959117008,-0.267901365873806,-0.237820230723146,0.262564162876339,0.097746543955454
