group,CD3,CD8,CD45RA,CD7,CD194,CD4,CD45RO,CD20,CD5,CD62L,CD197,CD27,CD95,CD278,CD58,CD54,TCR,CD226,CD29,CD81,CD18,CD38,CD127,CD45,CD26,CD49d,CD305,CD99,CD82,CD101,CD224
healthy,-0.279519717482086,0.222360736186959,0.132054667847,-0.149288464821903,-0.222468794343961,-0.475219562087477,-0.388620487209842,-0.0213204698812272,-0.392574447623966,-0.117121527666476,-0.0606327364349334,-0.424367524156698,-0.272730043813908,-0.254872408878495,-0.0483149142426742,-0.0199675655507501,-0.397537367028871,0.104624404552995,-0.141789288548081,0.0233422716209674,-0.0614761364926869,0.0277366238202549,-0.150467424177637,-0.323100658702118,-0.0759971399576318,-0.0766663201516011,0.0260973181472849,-0.281225844064665,-0.252273044799841,0.0450794590186031,-0.103216633815091
healthy,-0.466246679306483,0.0919420478752695,-0.653815907699438,-0.532087472868631,0.145354801508908,-0.256533145989064,0.57492724310566,0.0211479346945859,-0.245203275736522,-0.73569921322402,-0.2052033373017,-0.3868135429059,0.497428726745825,-0.154883562860408,0.22677500895363,0.240888572783893,-0.608610464181245,0.364630960585926,0.312651306232779,-0.136800974143815,0.115615576080245,-0.347033903467425,0.0376550363053255,-0.0706000335831106,0.162552700503324,0.289522297592983,-0.274157571293287,0.330565668911031,0.186448321478414,-0.25139627033365,0.443442332998325
healthy,-0.412467519086103,0.135767604468534,-0.519882457955275,-0.573478099581442,0.323458320756244,-0.230018427838864,0.507211288267015,0.059267051447885,-0.172353661619938,-0.151321528705733,-0.317971092046846,-0.467675767740918,0.55432647683146,-0.162756549702379,0.456122720968088,0.3155096887093,-0.529475074801809,0.343627001104717,0.315628143674295,-0.241691276909841,0.099593518813154,-0.350979604934124,-0.167793888397045,-0.232498563063587,-0.183940425924333,0.242745481694896,-0.387204275372103,0.384195792146278,0.288488261340164,0.0444152717613916,0.26784263674923
healthy,-0.513742024032957,0.0075789630906412,-0.516585059042395,-0.416398879062675,0.162242942752354,-0.268950481397738,0.135990811133884,-0.117391544144983,-0.218836964378634,-0.304186427652274,-0.147953899144468,-0.537282325001049,0.277794622827836,-0.0277413275809552,0.0539757106131064,0.0095907464987893,-0.594990860942336,0.209262677100243,-0.0609646134695488,-0.349478191898602,-0.0551632672790233,-0.30007576450711,-0.17686889652297,-0.410122201988551,-0.198774591294959,-0.15787380077482,-0.346197987214887,-0.0223881105098251,0.0523492818731844,0.0439529321462051,0.13123610533915
healthy,-0.500160826335942,-0.003903360528003,-0.603327971594283,-0.515887696089594,0.298778511593592,-0.277292727163167,0.487156733928412,-0.074364549348842,-0.272806260158552,-0.0083841307113611,-0.254861414227954,-0.384091564680593,0.494352579829483,-0.148358546612024,0.297762985649641,0.296951295252983,-0.550034918868398,0.321034501564238,0.186018146704843,-0.319841167422035,0.222952101802669,-0.43192390846886,-0.066965786176102,-0.2904187109654,-0.0370828038736619,0.13092271264843,-0.466106728413991,0.384262520996056,0.242743730572229,-0.0422699575596574,0.335969384196088
healthy,-0.221168079552249,0.0568310510997592,-0.532213537835168,-0.527881283715931,0.448155928940386,-0.0663826292515723,0.63403812580697,-0.0826787155969246,-0.0005533424072331,0.151782352278802,-0.208655703695104,-0.362452357565736,0.616429230200762,0.211297622918885,0.343903800589374,0.329778991275914,-0.321353552605613,0.327977621904195,0.362346479861201,-0.117282806056752,0.442830248950591,-0.540678896776639,-0.191101727192925,-0.0305632075606782,-0.1389973503824,0.126222635233576,-0.330800225020788,0.390943334117231,0.462236997449593,-0.233765203230387,0.300713407251449
healthy,-0.557629973966045,0.15800095293625,-0.554099432121478,-0.453352821152219,0.427870949193536,-0.223042712917277,0.455469957906143,0.0,0.0017696549828385,-0.665603162597777,-0.0286103247116703,-0.169215677842433,0.320083745075031,0.142104050662103,-0.0557658871498658,0.245912531896324,-0.671661122529661,0.29703984271871,0.112986536573206,-0.0198817510708217,0.0945595477758595,-0.058340250383362,-0.005796303915859,-0.194141253985319,0.184480288740236,0.186953980291304,0.0236846016010816,0.422254614557149,0.28409512252434,-0.419448145373915,0.17362621065396
mild,-0.346691961720342,0.159007241441082,-0.526335725206772,-0.611314651175037,0.408443880949994,-0.152940719753393,0.472466999613341,-0.0413611413276473,-0.199300807304702,-0.292003448451748,-0.251442441971141,-0.580768842830925,0.657135834937073,0.0280225701966162,0.372924647270743,0.42023930262705,-0.467446752022689,0.50278089881973,0.416915547416346,-0.239660155738521,0.293224328811506,-0.27273113680736,-0.387507938601936,-0.0994111338943223,-0.464492841542307,0.265123201683179,-0.445372250924465,0.532195518199596,0.150294021826098,-0.0290962566488222,0.22626529603635
mild,-0.103302123357776,0.042082955375948,-0.3651855148508,-0.284415172013748,0.146369089130586,0.0622128461155113,0.530243779948798,0.0675766806855363,0.0519352901211658,-0.0426586944507947,-0.177087838387033,-0.112378689731896,0.427748548982686,0.0046388040214571,0.198246047760403,0.257990745454538,-0.282182899918402,0.254621661387467,0.345297811906662,0.0953560754587419,0.190763106135564,-0.414059266040705,-0.034934423008033,0.0972869674471843,0.0976248102603613,0.220571958542838,-0.140524958831468,0.443555963236961,0.389682160581797,-0.106344111426482,0.24648220103455
mild,0.216390533696015,-0.203398397118004,0.115090304178563,-0.165562527931642,-0.196354952395019,0.0290319130557809,-0.290653931364045,0.0,0.0607370275157871,-0.27283071009416,-0.0143776328908147,-0.358691291790786,-0.270521400510583,-0.0767287030982203,0.0,-0.147037944232025,0.229904711665179,-0.0612433729576133,0.0,-0.017214627258529,0.0,-0.0239722358741478,-0.227541329686378,-0.317395497236855,-0.379521930029239,-0.256004571819547,0.0350861780524665,-0.39876927899902,-0.257067644166793,-0.0850693437543971,-0.160095707027248
