group,CD273,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CD197,CLEC15A,CD27,CD95,CD57,CD278,CD58,CD235ab,TCR,CD267,CD226,CD81,CD18,CD38,CD127,CD45,CD71,CD26,CD49d,CD305,CD99,CD150,CD82,CD101,CD360,CD224
healthy,-0.0635408090170967,0.0445132790014067,-0.0656685807675441,0.330545424887731,0.221868847105901,-0.16291702569946,-0.473194068627287,-0.585042430735963,0.578535761774031,-0.0139681946342543,-0.306384367009955,0.215389199440789,-0.689475076001491,-0.165429044639706,-0.225077207381325,-0.228798993778308,0.0430668125193157,0.20962936408108,-0.015259328121851,-0.122637750756865,-0.067687314462497,-0.0987863704139989,0.0754153041716757,0.27187694818156,-0.192634754907712,-0.0838625629133598,-0.0251592057153071,-0.146865191972279,0.173093025208782,-0.414311521090756,-0.154753771588987,-0.184672632251058,0.0070866429457366,-0.045350135331557,-0.370706079137972
healthy,0.0570645310007862,-0.240133530380681,-0.0898559971000901,-0.589451764470651,-0.352027668062764,0.424226774070481,0.231511866020057,0.682680078043541,-0.428290634647471,-0.128809971621539,0.069136883700198,-0.183006382081623,0.592173797391865,0.0140396874619114,-0.0066885946729818,0.143156172813907,-0.0147548973136256,-0.350552696579789,0.000819500425477,0.320417802903159,-0.0744548584278491,0.183071254560676,-0.322588626965519,0.29765839110096,0.0165858469601118,0.0462365717082566,0.406884521573991,0.268929920165566,-0.211415102462156,0.525089607524711,0.250616428007541,0.408131601014116,-0.0944583862655159,-0.0814093983251988,0.55011069939453
healthy,0.0447863390739614,-0.36068720724656,-0.0063830976109854,-0.736057626011036,-0.522152922865868,0.249671983192687,0.445715585168305,0.781257433646132,-0.330807034280819,-0.344273627289389,0.211705477867905,-0.395855677466104,0.782226710700994,-0.0300676111334645,0.007261982174808,0.495433576777998,-0.0344867847430243,-0.486780414114477,-0.002642514933897,0.21686339938072,-0.107952583203343,0.359640197705904,-0.541424655772934,0.082678581115844,-0.0760954151945506,0.117687592311358,0.0140801847779987,0.347493792178275,-0.428252122784848,0.651355918162838,0.354646479828662,0.485278385208207,0.02077948926809,-0.233917372378941,0.431578986217937
healthy,0.0216875189986936,-0.0282765075048212,-0.0279515560973244,-0.0460620888250581,0.0179005483091506,0.113805418645237,-0.0247568668624692,0.122837035368996,0.108337860166252,0.0088684234798538,0.175791107571405,0.0284556066342823,0.0965644078743626,-0.0046170361318996,-0.0229652251798925,0.0123959531216898,-0.0132148028843374,-0.01017870958097,0.0999637886345118,0.167481552638797,0.0336085289859968,-0.0321506557953331,-0.0639700042511202,0.317279896797797,0.0141298920051829,-0.0164100510980357,0.436118304383061,0.166477375300215,0.033945041836855,0.106231327080709,0.066958696816186,0.155861095811716,-0.0928301048695273,-0.0056164678861104,0.15517102494695
healthy,0.0681382495364083,-0.342681454015123,0.0080144287173756,-0.502490182985405,-0.399552161100465,0.359312186541914,0.0827257418706129,0.442641315755625,-0.754578367826456,-0.136339949828266,0.249385986812284,-0.313115194160395,0.44857165734579,0.0258417558672639,-0.291481276834345,0.226859140098789,0.0009089746251733,-0.414696711164696,0.0439776071534599,0.484579021902743,-0.100016698018351,0.150841560270045,-0.301820819927497,0.28662667269603,-0.155518288663465,0.0267332534650502,0.394905371510788,0.198138632531123,-0.359807868426058,0.336331329087417,0.283778924559077,0.129692627389196,-0.074812253949992,-0.111517186356183,0.396087465208285
healthy,-0.0245863509086133,-0.307486205209758,0.0124736494844885,-0.52843740559403,-0.458660674155009,0.26626695108787,0.417587482022709,0.58174587850945,0.369523570315613,-0.204698165159102,0.293078254073828,-0.360172205926106,0.589406798271452,0.175755541822344,0.0886762687078625,0.25696784830975,-0.0819813786715904,-0.345546093667132,-0.0248612885788439,0.258718970059037,-0.197250190049387,0.46535340422371,-0.473862162621297,-0.0977018700208428,-0.0851189974534715,-0.0575910156172496,-0.0572279154703695,0.255186316878592,-0.247520878935496,0.43016235188874,0.214675618106047,0.480429347641858,-0.163513644706556,-0.141069846516218,0.267570599827345
healthy,0.0,-0.224845588760871,0.209029469658187,-0.38719016547014,-0.392734758013825,0.065839029590262,0.286740294835607,0.2309856016307,-0.140700490760124,-0.0160023850082224,0.312159958665216,-0.229969880811096,0.189783317377746,0.0024435611410196,0.104956018458782,-0.0615849362437649,0.0,-0.283140496544838,0.0,0.0463725148115361,-0.0945595477758595,0.0218214341021214,-0.0913837763034834,-0.0615562380699312,-0.117072062721879,0.0,0.126309361391985,0.138648218177504,-0.0247471829796596,0.275170618709434,0.0,0.248708016905849,0.0291646936743686,-0.0959824876199509,0.171652205088941
mild,-0.021488590225153,-0.266587941088269,0.0334744186647159,-0.55297140941081,-0.218170339206454,0.304618967654694,0.231221614795395,0.518492999592826,-0.46470618670232,-0.19199249021173,0.0086064949577317,-0.269397903603482,0.519106686842587,-0.0805497121815398,0.0169328376641239,0.121745607218162,-0.0959735805411883,-0.390621494513326,-0.0185628061814794,0.239277090006208,-0.0776122644412954,0.249668777998768,-0.293650214059703,0.255743472404909,-0.0681196514206295,0.0973850506090662,0.241562184023332,0.281707096781376,-0.425793281390222,0.401552011628937,0.22722699421515,0.395544658440042,-0.12859699614281,-0.207047097455306,0.432781767666175
mild,0.101627565493435,0.129700189714034,0.087991678114006,-0.227887169768557,0.0552079396739021,0.0923228131699252,0.201199586481682,0.364844414792891,-0.63629853095831,0.0452150866372166,0.150132059707561,0.0416458515185984,0.262856885437485,-0.0012204025939989,0.102304814914189,0.0824923380454195,0.102515957059571,-0.0211249119646669,0.0906397167683331,0.029813912087475,0.120263978227369,0.0941108526125631,-0.141740635140652,0.159761376755357,0.316848250148302,0.161484352502007,0.238543516637859,-0.113607380395898,-0.0462847898864459,0.360833119114837,0.14686932921158,0.18854556696541,0.0148451450911454,-0.0379547669488508,0.328740087850825
mild,0.0,-0.406375259838018,0.258171056748903,-0.346527940022661,0.0002007216367729,0.109765907777598,0.180144675456223,0.240017756242081,0.0847779800943349,0.12118290579401,0.309507085932444,0.12686959209106,0.368293483246802,0.0574662034329769,0.002073255584444,0.0,0.103180148938004,-0.390335946797612,0.0,0.0584499797801806,0.0063641055719718,0.0,-0.0662522975908179,0.262489617689029,0.0726478831153198,0.112967115570687,0.0980593205590169,0.32677406688613,-0.0230589241078143,0.241260771441872,0.0,0.276179605508607,0.188587079601347,-0.0163982930659051,0.250880775316705
moderate,-0.0124952790102828,-0.366685718765535,-0.0209922009424642,-0.50033707804428,-0.425218608367135,0.301827041166035,0.0210318100849491,0.413179099029551,-0.376192010171481,-0.168808326057089,0.142049993326895,-0.401934438807921,0.33977930076652,-0.0098316240508349,-0.0458670938741576,0.179093399956733,-0.0894138326335974,-0.498672140724284,-0.0976060430469273,0.384523962018511,-0.0170693297811794,0.171793900383488,-0.219823093504516,-0.0036720744316452,-0.0655175558237993,-0.0969044915290557,0.0477687704951748,0.457070196650066,-0.153898260486888,0.339679575411707,0.147663776959519,0.174024991262083,-0.0208522808205442,-0.0828166197846874,0.224069230107818
moderate,-0.0899682849519941,-0.400516710969307,-0.19118934719047,-0.817430362109875,-0.53950831982919,0.192450028029207,0.327033112784388,0.61012016535482,-0.518707678358558,-0.188171477527251,0.0616837854226438,-0.394448205630718,0.534973911087639,-0.0335266729207387,0.0338972082748271,0.151906141486206,-0.0317893648749636,-0.483498130679303,-0.0436787306787143,0.120416126791915,-0.124014206634355,0.118912443801304,-0.3977956828577,0.0669623437451656,-0.179905256698246,0.0037205842016595,0.136816257873575,0.192312421709774,-0.41587385087543,0.491376643047395,0.161323774606808,0.34572717342751,0.0932810183681647,-0.119162977511421,0.228589445090864
