group,CD47,CD52,CD3,CD8,CD45RA,CD7,CD194,CD45RO,CD62L,CD197,CLEC15A,CD27,CD95,CD57,CD278,CD11a,CD244,TCR,CD2,CD38,CD127,CD45,CD26,CD49d,CD305,CD99,CD150,CD82,CD360,CD224
healthy,-0.281136114008255,-0.275287266496369,-0.0258037172498746,-0.0396213172291391,0.435964318698482,0.152887307224582,-0.35075576142163,-0.59044575538425,0.341169876730167,-0.0508027078060365,-0.138360840173021,-0.0394100102482792,-0.548456042672935,-0.116101350422822,-0.189139384371244,-0.311473958214444,-0.172544927750736,-0.0145591861611332,-0.421279523592024,0.136564951473411,0.123360005690954,-0.252368568567633,-0.136881055059829,-0.175851282780489,0.21684807879241,-0.543142082392047,-0.224804216194443,-0.33877570360428,-0.090589092313485,-0.327455404283855
healthy,0.0447655498659155,-0.0682419935263117,0.0064103272732424,-0.0468164877796906,0.0546122215455866,0.0103274459331862,-0.0594242835894634,0.0823748190375203,0.49207903480361,-0.0671043366688156,0.0565181687880185,0.088255808574914,-0.0371830446976496,-0.0248582137131067,0.0290801871322785,0.0905582697348591,0.0762003407670453,0.108548480106423,-0.0279736979834671,-0.0171713624769866,0.168516969707468,-0.0338111802758808,0.174003704006815,0.0406972864148078,0.0972704139202371,0.0826815234086895,0.0403763848058723,0.0416642126501182,0.0051240705295127,0.0354557391886696
healthy,-0.17834750109768,-0.212567403098139,-0.154502672344056,0.172177124553485,-0.0760282814485284,-0.225063769505435,0.209565754593128,0.0799970436989315,0.168421681831046,-0.106676112045782,0.0127449660665467,-0.204519855917721,0.132142785297358,0.0560190035660563,-0.0527843263624091,-0.123718652444249,0.150234291753069,-0.230291188066019,-0.0729235595888307,-0.0183950798998309,-0.32256529754576,-0.156244174539055,-0.346196648245651,-0.111630236394731,-0.170430342970787,0.031773937772336,0.0294447718939608,0.0773780175474056,0.0380778712458795,0.0724070855508528
healthy,-0.161734246217544,-0.227259263980449,-0.116433045323887,-0.145327313101405,-0.002247202710799,-0.0770607417857981,-0.1823736688504,-0.163157404157969,-0.0237262222924957,0.0194357741026482,-0.058818926012247,-0.141746953772779,-0.200494839915037,-0.101134877339584,0.0068161990072363,-0.0642150641974297,-0.137250765141414,-0.0767052805663464,-0.20599922656665,-0.0487489326103347,-0.229963727827097,-0.119113833545838,-0.0911825767709106,-0.0730629157271244,-0.0082218560679822,-0.26182917999689,-0.06412903572521,-0.204117957286958,-0.0089478147010408,-0.143756884589524
healthy,0.0429338519386145,0.0628056805589044,0.320723756504658,0.0451980218304277,0.473395567573149,0.346895531692795,-0.0778568673948735,-0.428373032103496,0.699334614986296,0.158998259543938,-0.219292523444454,0.268138269683665,-0.410951055710118,0.0087253190579928,0.261310453725627,-0.0969822942844786,0.077529520406005,0.38444530667806,-0.109690790822186,0.293816157220034,-0.340704451563203,0.170840379596389,-0.411000464999844,-0.283544688441895,0.371127113736022,-0.352360210809219,-0.21969305416019,-0.175568428459835,0.154154060761091,-0.428838191585824
healthy,0.248382719272077,0.149649606248327,0.192778931627317,0.147728857783972,0.204339850292505,0.0715052715204075,0.0046208059091264,-5.42450939768396e-05,-0.425025786770606,0.0322942224124262,0.0575969870390475,-0.129552166680762,0.0061841665058188,0.163164127282681,-0.0926663672540821,0.173103785828687,0.136491858248298,0.0632148137766406,0.207123244260575,0.0697011469734163,-0.141790208132004,0.217932055545506,-0.111977774162229,-0.117301529688401,0.202639441007388,-0.0747423143082517,-0.0068051111299031,-0.188078965534335,0.14321239560591,-0.0885116447943566
healthy,-0.301989894618446,-0.473310810466108,-0.244566839101637,0.148885052878336,-0.0452156862260943,-0.27629750173808,0.236641598556292,-0.0088731656071062,0.0462807042366939,-0.107167487479307,0.179610927808589,-0.260009262922748,0.256514903224353,0.0852691233259896,0.0815855203817252,0.0798796791974103,0.281707377689716,-0.320407237377316,-0.281838174180606,0.119422640635358,-0.357718790941008,-0.416414032997983,-0.0945409453197043,0.119051879347045,-0.0228300387992623,-0.227813026887449,0.0,-0.166610501376531,-0.0516067830155346,0.0041280071159952
mild,-0.0045972582325322,-0.125311564864068,0.158261053239923,0.18949253514829,0.0738465562919477,-0.17409002773663,-0.0949756723433717,0.0199607031653348,0.195782619079139,-0.0969828931320952,0.488252605131878,-0.192565180386349,0.136824409166146,0.304316918360255,-0.0192401998117407,0.37713352638595,0.425776349515592,0.0988305553290603,0.205535388093777,-0.112535633668166,-0.410371274661557,0.18713122726974,-0.477843832934904,0.161467646430039,0.0809163098554836,0.184297925986935,-0.0917535749368957,-0.295696625724664,-0.0556835372059915,-0.209277554329381
mild,-0.330825218085092,-0.267877010350715,-0.305024038787672,-0.124903887360918,-0.451874911610879,-0.523755483389888,0.0713660780561981,0.408779821273116,0.28084035016326,-0.326279411766008,0.111139105976738,-0.230653052023128,0.519622476370851,0.103703123203903,0.101733340945387,0.164704133040911,0.0692730210346512,-0.336181794324016,-0.0882022498552196,-0.283942547356351,-0.231622828359709,-0.209842049696222,-0.274923462121923,0.385542307072553,-0.105852974867961,0.115832199983614,0.210238514367718,0.255757894121295,-0.155276524011736,0.150275091349112
mild,-0.0142461756296903,-0.284406217364959,-0.219943637237628,0.23778997972055,-0.256570153459013,-0.0324626219472674,0.111091538989188,0.0388317913523459,-0.0663732435526866,0.112967115570687,0.217398583885527,-0.147991207633383,0.207091531843942,0.120569186086843,-0.0765736080710012,0.128228223366559,0.0768478740146945,-0.267819806360138,-0.106143371768865,-0.0807893968964235,-0.0112871204678405,-0.114817490701804,-0.0385125284873386,0.214579957702693,-0.0004689525620621,-0.0265867982202947,0.0,0.0258756539010145,-0.0422684247783806,0.179253965962986
