group,CD273,CD3,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD244,CD235ab,CD54,TCR,CD41,CD2,CD226,CD29,CD18,CD28,CD38,CD71,CD193,CD36,CD49d,TCR-Vg2,CD305,CD99,CD150,CD23,CD82,CD101,CD360,CD88,CD224
healthy,0.173608174405342,0.0169537095537728,-0.361389079093251,-0.122573223112775,0.181937073943825,0.472950755410887,0.612629258809868,-0.353232806373414,0.0420805885977914,-0.0184910582441023,0.0762037671036715,0.658396193479424,0.430128480713574,0.17843628736087,0.157679261357971,0.0275706504089142,0.130176783380934,0.226239465711031,0.0805261430726413,-0.0508613809362544,0.40644136690093,0.0125096207322559,0.204182276191787,0.0478752692895598,0.407510871514821,-0.0838858631517419,0.206648026087235,0.0992090361279949,-0.0223890823800703,0.136102992772228,0.0118900586672149,-0.247580005859748,0.504234297583317,0.164655118224822,0.0180744871980575,0.362512007332864,-0.205956467170217,0.0173724730406463,0.0457579425439409,0.306261945010754
healthy,0.0936882610477386,0.421563168368518,0.394943754131079,0.385363254361223,-0.0934576541446417,-0.0421652966821119,-0.247349524714762,0.174184231008349,0.158078272212902,-0.0933044941603939,0.27409323515795,-0.247630733127227,0.302158673962126,-0.151809494561672,-0.0543185580603627,-0.0983535345847735,0.0323074618123204,-0.166898671698264,0.436739957942453,0.0848868710767868,0.0541487775715189,-0.218986038450788,-0.254246839876884,-0.196865484623095,-0.0031478012927599,0.0593631392061492,0.009775760155218,0.0283938788259166,0.0969078922886594,-0.147797592630184,-0.0936972967193634,0.268375847407024,-0.132246349017465,-0.168175006326892,-0.0683402404915975,-0.0407962328089539,0.0974827624376584,0.0275021601096851,-0.0487769602376843,-0.223064590998325
healthy,-0.114738493318368,0.356744410390841,0.593297817372348,0.484902253640752,-0.33618495142899,-0.446335179609791,-0.606874382367028,-0.0361139350848485,0.280822277024179,-0.107695010651946,0.31581285713325,-0.617521987870721,0.0369504438457837,-0.454829056783954,-0.130795160537782,-0.0713177114547687,0.0275263841096563,-0.322601371885148,0.48999460015817,-0.0075685699636441,-0.115472950746135,-0.243219599752744,-0.291339004295899,-0.12389545331117,-0.100633293703274,0.409778894416795,-0.129994752825442,-0.010663967105492,-0.0262446861065686,-0.139847786372482,0.0030265676151109,0.445630652548384,-0.456650157690164,-0.284114906825926,-0.0851652310243629,-0.412508418913818,-0.0067797317773605,0.141443167899682,-0.066823366906811,-0.345876768653431
healthy,-0.0062848652385659,0.090551931190669,0.127691418804306,0.215441999896218,-0.0119086689586194,-0.0852825003868516,-0.0189489165199011,0.173882787426374,0.0393102587923427,0.145101014147228,0.102638721200507,-0.119358722713344,-0.0763592649665237,-0.0178157099265156,-0.0410478499766145,0.061529811750767,0.0198585215477657,0.0302898279175583,0.0995106272079547,0.0248530467275498,0.0403589692198403,0.0917875403590773,-0.0121334691755834,0.0021031935773543,0.0948194759058845,0.0117928560430916,-0.027603181610963,0.078240027139278,0.0002214557245344,0.0487298462320226,0.0047722729721702,0.0914446517183719,0.0313983157118069,0.0180109053145646,0.102993287331354,0.17202993867413,-0.102068276374602,0.0006185932531442,0.0160679228378665,0.0670402277856156
healthy,-0.0315561879477288,0.373070501711101,0.59297892150117,0.405947216377981,-0.302192929661738,-0.238079567210321,-0.48797475135542,-0.0628133391983075,0.232986744598101,-0.0955768582012606,0.149554281912643,-0.485398620975029,0.0946548212078493,-0.186381584964853,-0.239992660199923,0.0810613891059723,-0.0522713242615795,-0.231778250499155,0.383774002384685,0.0810080725138994,-0.0199544429945357,-0.168454730293747,-0.226265969888148,-0.232393606480453,-0.118886373825321,0.45737018943223,-0.0492636591883731,0.0433620521515335,0.0771906324705239,-0.212159445281693,0.0794775989284734,0.379070617757946,-0.517328721816822,-0.197916260786852,0.0983015339256292,-0.281908021526914,0.192708205740995,0.14766122742176,0.0319489509319336,-0.41294442640067
healthy,0.0224355731232619,-0.233222424057121,-0.115902058946844,-0.0987445585577419,0.0718583444404295,0.0104370051542802,0.160229303024942,0.50284495733117,-0.0868418679968318,0.147565879996338,-0.217051992305254,0.082759327156973,-0.136988843562406,0.03843618357975,-0.0250820075473776,-0.0524808900570622,-0.0537983750025927,0.0915654685994103,-0.191652614958324,-0.175826201199359,-0.0568855634768445,0.0909583444474911,0.142361535542741,0.136715190239832,-0.151887074919762,-0.32852360381505,-0.164711176824351,-0.0052979985848043,-0.161580828460898,0.117445742844388,-0.0227666307689106,-0.10166052537423,0.154760072968,0.048150324594463,-0.011836106475193,0.307032229862103,0.0994745267340069,-0.066347753278957,-0.0165983954448858,0.0836623619312286
healthy,0.0,0.371778462664502,0.450826807032548,0.188238098763368,-0.0910581820313022,-0.180007154739661,-0.459485843345334,0.571688594908302,0.0072738113673738,-0.214767927371208,0.008122276927622,-0.333209666304479,-0.192063249615812,0.100378596869759,-0.143977719782622,0.0817870091437898,0.0,-0.147583697830695,0.51827823335606,0.06605575709583,-0.486838726252064,-0.102043094774236,0.111046853541907,-0.0033944453047744,-0.343340695578846,0.0143703167025137,0.0,0.0,0.175211703833584,-0.225099451324963,0.0,-0.0612656874481957,-0.294089086000188,0.0,0.0,-0.217349068090452,0.066782835866295,0.028028796425075,0.0,-0.10907756749098
mild,0.0640747764212149,0.305051187158227,0.487126357825782,0.65391473394344,-0.170418039737918,-0.199781473583764,-0.53211510756498,0.214965772020405,0.257831374967248,-0.612902448349947,0.681732324457205,-0.686322064693239,0.0538461722307908,-0.309278106935471,-0.495285308922573,-0.470477187432535,0.116026321588946,-0.580277370348962,0.472103336034536,-0.0584234056761576,-0.294193051433378,-0.602154606591961,-0.52295259415535,-0.523616093411928,0.218337880825308,0.330565532127347,-0.0399325141121702,0.026987495821436,-0.0554838076513936,-0.549197464074264,0.114485116364415,0.382993293458952,-0.636929140577365,-0.219228677802526,0.025681738426376,-0.145117534999162,0.0968348757938474,0.192361341507832,-0.0126052825252916,-0.228999187409776
mild,-0.0686301514670567,0.0559338585528216,0.581835014786531,0.349504091223199,-0.259457450184069,-0.348075964406681,-0.640979837515512,0.422532624932566,0.194919065051406,-0.172962692969609,0.171866187918257,-0.655065971751791,-0.252760929337646,-0.271624585987608,-0.412273013568185,-0.139510280871636,-0.0145573638240005,-0.249765309172162,0.289290928988332,0.0044363252251784,-0.317907249602391,-0.204332087073446,-0.282990901350878,-0.319571477419603,-0.249323397771543,0.256507065437821,-0.132055432496773,0.0082578883371491,0.0044270249148849,-0.0526431873280523,-0.0821906291809459,0.138210217814702,-0.362155678378725,-0.343885824021181,-0.048208549280911,-0.329752778233798,-0.050830259206863,0.114168532349519,0.0018569499201575,-0.371010534690171
mild,0.0,-0.255161328089463,0.0013182724364167,-0.0139406857539831,0.201579123364413,-0.3933032089708,-0.12709775408851,0.0638480807205843,0.126660099276225,-0.0576153729094895,0.139899873409339,-0.346097210877451,-0.224192142654486,0.0,-0.0509828291108442,0.185224596735861,-0.111611197252592,-0.0054092549538396,-0.0870677318091587,0.427556212897039,-0.266832188487835,0.0590455255337449,0.0,0.0,-0.19971383134514,0.10728099727935,-0.0445021970429979,-0.0810767066863839,0.210379141090663,-0.094917546966146,0.0,-0.0454181810241027,-0.348644690200736,0.0,-0.113464588292578,-0.345575740220875,-0.0653826204830757,-0.0241322486883629,0.12118290579401,-0.226355826352832
