group,CD3,CD8,CD117,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD62L,CLEC15A,CD27,CD95,CD58,CD11a,CD235ab,TCR,CD41,CD2,CD29,CD18,CD38,CD71,CD26,CD36,CD49d,CD305,CD99,CD82,CD224
healthy,-0.160418616510576,0.0447739649447386,0.0594353968756769,0.30311477333457,-0.0768744737571449,-0.291647537116342,-0.148155187016036,-0.31596017341677,-0.434062224976396,0.0609637428948929,0.0165663897389174,-0.204800938544632,-0.280870073867727,-0.0174765329404952,-0.452494071556275,0.162539334897411,-0.18652153308822,-0.0509497381603966,-0.410989661819964,-0.240581164063652,-0.150196425439704,0.0626278700958604,0.0123641969159131,-0.234556682186812,0.0228972408478379,-0.165488563882028,-0.0300596389176332,-0.359334009878756,-0.264300004556192,-0.317043885551536
healthy,-0.0343062644227769,0.0929507048939888,0.0236426859086904,0.175572380278242,0.143575400667032,-0.263863459317323,-0.180869223620264,-0.18603756885075,-0.327650273380944,-0.0749483437056893,0.1866413233623,0.0191395182371811,-0.254089816517953,0.0293407413973779,-0.135653372838605,0.12234432246364,-0.0375656583605064,-0.0784227154175493,-0.180437728331971,-0.112867324003286,-0.0726963546526052,-0.0915314923803662,0.0874640805420481,0.0500413370580681,0.006664167718074,-0.097188145872657,0.161942107358487,-0.302959588177604,-0.282962361639054,-0.24343930212822
healthy,-0.254356478390035,0.225994305681209,0.114701439564799,-0.109516364996557,-0.391025725580563,0.104197075157241,0.126133043821447,-0.201564065257678,0.0946614746644326,-0.141248617893811,0.137122736383364,-0.400143678415067,0.154780308472601,0.286087317990007,-0.137559549709716,0.0784045268910904,-0.357888031870624,0.151925856107139,-0.0954612741246612,0.149478133595444,-0.131889108969783,-0.0384099068973258,0.147166130625844,-0.238643245992811,0.22325946154293,0.0209373566186213,-0.189836301769515,0.0478174448583322,-0.0044183629651479,0.0374909871413468
healthy,-0.0510957857998333,0.0092866987759503,0.0301981771285265,-0.105720677202548,-0.167866500226022,-0.0624042322238603,-0.0679735966537167,-0.0915880464697863,0.0256333826669533,-0.470166152578904,-0.178775986096336,-0.0589951594953939,-0.0082518365630476,-0.0273247551480709,0.0006198313787636,-0.011868041662659,-0.112626770811858,-0.0234746810085421,-0.0361614453107887,-0.003922154770615,-0.0428385064125951,-0.059419865261567,0.0747589121089464,-0.414542310696693,-0.0286602279415491,-0.092387578469018,-0.109403145140876,-0.0834136017116896,-0.250260913648189,-0.100122719604909
healthy,0.45065783951283,0.0271141609935251,-0.0493005691641807,0.679661704231566,0.489022115807569,-0.401724324647779,-0.20186100375344,0.15150019271221,-0.643219897343167,0.264899666477467,-0.258254822586975,0.296486972682553,-0.619255202980598,-0.243360454174318,-0.148529657490968,-0.0482285861144594,0.518813845363804,0.0218978670930485,-0.157614895618196,-0.318202230309348,-0.270902200722622,0.473976628677877,-0.0630840532131083,-0.342743261906645,0.0093959718703079,-0.34943752530909,0.459143690775529,-0.590176148952203,-0.356531389270181,-0.518609253690956
healthy,-0.0240717374179657,-0.0066983883039875,0.0551441803799826,-0.151377691185101,-0.218728426381505,0.127508517950475,0.235038798290284,0.0133311614900234,0.238891119029791,-0.0220732436310474,0.0591310960799657,0.0248468838731008,0.343167344320843,0.226309803499818,0.256105482488033,-0.023845712566289,-0.0200786940621524,-0.0327609725550523,0.0964447346533346,0.0312791446967839,0.163964933587502,0.086121078746056,0.0263176336122464,-0.0728407138959277,-0.0449621882857918,0.0610548559283406,-0.0697373884135201,0.20330568459449,0.0954931230020785,0.153898846983387
healthy,0.387217903805165,-0.111768117970859,-0.0877706571663106,0.222406285421604,0.347940504877717,0.0450412205071191,-0.381558095323108,0.16729221992821,-0.379472662430169,0.193359459671484,0.0128240440637296,0.188846246452859,-0.31890705488757,-0.0703135098846134,-0.0869941113711061,0.0,0.596580717832469,0.0674609196644354,-0.1096304042136,-0.112986536573206,-0.108137328994957,-0.0368337624564511,0.0,-0.0563930923483906,-0.14203701088361,-0.0704947578077565,-0.0577237495196024,-0.231569315972401,-0.160240800461142,-0.196021578989566
mild,-0.12860274811388,-0.191241762837888,0.0346374355850881,-0.0282559412768709,0.110624165063869,-0.105430236059253,0.456999163384149,-0.157897624861648,-0.0344006347167837,0.0360210657341824,-0.567316232741988,0.3058263534074,-0.0252621314574481,0.116841624188416,-0.41692416975562,0.036921442988179,-0.0363985265583453,-0.122265585205033,-0.241107211259833,-0.254616711324717,-0.387801617171481,0.17130695817619,0.256597066458367,0.102780564453451,-0.0856061385754537,-0.472426914297807,-0.0488389579905993,-0.111073890439553,0.18698898463104,0.316130271272258
mild,-0.216795992980103,-0.113096781268651,-0.10700902162213,-0.0284094192350235,-0.0824125434058565,0.0973973076712482,-0.237601735411979,-0.165087003642605,-0.121168742349702,0.335770317897478,0.0359177299019039,-0.0234964422992874,-0.0828187082426517,-0.0191077387728078,-0.136137944157717,-0.0372520077472527,-0.202190466757366,0.157564946173723,-0.144973425913187,0.0612031746441991,-0.138517042546958,-0.217375017417878,-0.0087446030164876,0.221487656804058,0.0398808725607467,0.175817921654011,-0.102739344421102,-0.131044503473203,0.0561819213331669,0.0157457547063364
mild,-0.37154365425291,0.245986532763593,0.0,-0.265242839906666,-0.263128392206054,-0.0085564718382105,0.194921253672499,-0.414748676895673,0.272284486001082,-0.195100944556248,0.0793549219703664,-0.358100607811828,0.283952905192262,0.0,0.0409944048306161,0.216220022951651,-0.406612884752776,-0.0573625178152366,-0.0980253104137764,0.0,0.0,-0.140209124689987,0.12118290579401,-0.137069029212383,0.106025911077138,0.013213023468307,-0.0917767749400412,-0.0425606030457373,0.0538864278641998,0.140185843057201
