group,CD47,CD3,CD45RA,CD7,CD194,CD4,CD45RO,CD5,CD62L,CD197,CD27,CD95,CD278,CD58,CD54,TCR,CD2,CD226,CD81,CD18,CD38,CD127,CD45,CD26,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,-0.186927405855497,-0.177406980181606,-0.492620220026442,-0.317756246477109,0.44821877800798,-0.0189805102699457,0.598203939677706,0.0519754404768274,-0.412119844921788,-0.0608567068143689,-0.216152312505149,0.639717797011638,0.361423271808757,0.210045044577486,0.182014762934295,-0.287756907703843,0.190567031708121,-0.0985795552931907,-0.105342091093075,0.0653538272525063,-0.0628109700317922,-0.320448059265229,0.0223202393821847,-0.021783571826777,0.12115151738714,-0.290938301492531,0.408842305473975,0.122382066324876,0.223131248993627,0.40414071637913
healthy,-0.189620996701698,-0.450012526367843,-0.729859583371247,-0.575177213167992,0.234922691185429,-0.243411253128844,0.671442606695546,-0.260576300134838,-0.62841391328239,-0.213787563582382,-0.398562647735265,0.619982592028491,-0.0759133862273549,0.235541186341255,0.317479068251186,-0.611527080164254,0.181574993999812,0.372799790276589,-0.0985687446685458,0.161669288688942,-0.298312139411205,-0.0140225799287926,-0.0834974305907058,0.156112511692698,0.193649395343578,-0.374629811155792,0.447201457703115,0.242167277038146,0.245141307027538,0.509001602278365
healthy,-0.125824730399706,-0.372765102343159,-0.598936466192204,-0.536945886270087,0.459316380646706,-0.16727230736477,0.629247798305769,-0.129038833262195,-0.318695893462659,-0.341832943303982,-0.436424499240496,0.654841503443715,-0.0966614133322465,0.503320118252484,0.333620782231142,-0.560969710992697,0.105640528615199,0.316881928609614,-0.129306431817684,0.110692216202428,-0.347142614069673,-0.202941419694948,-0.138311486762726,-0.223247181843893,0.122093111202288,-0.450201804777419,0.476686398330464,0.308898685378628,0.290828977979785,0.33983330336102
healthy,-0.186932991559101,-0.17957165612326,-0.2254826369886,-0.272190232494632,0.19135627496233,-0.154070149429678,0.0447776479341257,-0.160152753237097,-0.0443573398196839,-0.0686933875641908,-0.205366329850724,0.184608310823426,0.10285663878111,0.01823705309203,-0.0305494626398688,-0.196490865260494,-0.0781591756597388,-0.0888260505205439,-0.166936406961115,-0.0496363700314831,-0.0613938450152566,-0.35249254745106,-0.0947142433195537,-0.444660689222263,-0.0233289725782078,-0.184353110366264,-0.0464435722322031,-0.0312744428174154,-0.0258869487777559,-0.0877305283563949
healthy,-0.303364485726542,-0.432949971518543,-0.55528182212478,-0.521330022482397,0.297209778585578,-0.214667503552729,0.472615057193152,-0.220815093371219,0.0771684845188036,-0.257125675756063,-0.289363175653483,0.570175338005,-0.0569358464290974,0.227362037749339,0.288566951961759,-0.430748064186347,0.0023329547065079,0.256732651148017,-0.306795563428985,0.193531115110034,-0.449217072532677,-0.0348864026539324,-0.188202772054331,-0.123834619225826,0.158577181520714,-0.442822971605989,0.469852541070652,0.196511103908078,0.314434592336059,0.381915906287509
healthy,-0.0491560293469097,-0.132316574959039,-0.44010066743342,-0.374832865191032,0.41009955232619,0.0128890107638532,0.537530617377967,0.0315368507899381,-0.0118808565304448,-0.136115292679243,-0.196059374406215,0.602015371793679,0.22718840154211,0.344031264225325,0.308506022903054,-0.159234887005999,0.166316122007239,0.176425044593318,-0.0214846976273323,0.364838194517745,-0.367613885290107,-0.0703437504003684,0.0596518295967783,-0.072111177440806,0.115795524825356,-0.216137099358731,0.458410385137789,0.244604970835346,0.323772748958427,0.27074506851312
healthy,-0.138327753268232,-0.369008266123573,-0.309928197240878,-0.284043813879406,0.436773964548131,-0.143201668225344,0.41636906487465,-0.032199385186551,-0.594169355771209,-0.0703135098846134,-0.143843879896465,0.361579195336576,0.17087569022648,0.0334595322899195,0.227231972659392,-0.471164518482438,0.301627745648536,0.137952525096706,0.0004849207578249,0.103288121416708,0.02804911745145,-0.105636060473051,-0.0994668663144779,0.137537137103723,0.129083880156609,0.100676774558416,0.280203573594077,0.0,0.0688406302593151,0.150623913704541
mild,-0.286191985767231,-0.276520569243281,-0.496963873608269,-0.569373821897739,0.424430140535942,-0.0748430069457681,0.526812584709394,-0.121693348116587,-0.114216675274919,-0.230790884399517,-0.479003665355706,0.694152731523885,0.144827620700348,0.382331029022977,0.435061535416657,-0.41762315354077,0.216694367391637,0.425107053269728,-0.182719674723852,0.400362180503528,-0.2650897603552,-0.370940464690038,-0.0198544901067667,-0.439747685901279,0.270592428859785,-0.385957880355715,0.602262046538108,0.189209910075041,0.188114313756022,0.288001803158295
mild,-0.213866506719639,-0.267444755970386,-0.634355543611176,-0.528119151076969,0.232599366547326,-0.111561649851277,0.628130635397431,-0.0870727439927203,0.023171577118559,-0.323089548180032,-0.263393247498969,0.697533672740217,0.198369331664816,0.285844275804092,0.266612888544488,-0.41303502010914,0.089608485363996,0.207194732555159,-0.0535062490915868,0.269961655576689,-0.363269528043296,-0.133113302645346,-0.0713042072265299,-0.238184503531238,0.288198071771673,-0.12809907755788,0.32105805652013,0.307161629233633,0.368560871811892,0.275847393065636
mild,0.0516803677779076,0.293730686691575,0.241760923880074,-0.138312356539314,-0.0642822812992099,0.348880081662423,-0.133506083821881,0.299806143543815,-0.0345335670227761,-0.123921502535117,-0.126842648611318,-0.275501164922008,-0.006064671726113,0.0,-0.0987433536427609,0.426768590376065,-0.0014817051183573,-0.0658347471243784,-0.0090915793885311,0.0,0.0755110453628405,-0.244889233664576,-0.0021704112080533,-0.150880132301096,-0.225857419174594,-0.0227128521636187,-0.0393671076666642,0.0,-0.212013771239959,-0.253425111746622
