group,CD3,CD45RA,CD7,CD194,CD4,CD44,CD45RO,CD5,CD62L,CLEC15A,CD27,CD95,CD57,CD11a,CD244,CD54,TCR,CD226,CD29,CD81,CD18,CD38,CD45,CD49d,TCR-Vg2,CD305,CD99,CD150,CD82,CD224
healthy,-0.0733235351563743,0.319581587189154,0.0341321635849554,-0.0800714302658141,-0.189781682085674,-0.102909475949844,-0.443728329744065,-0.125473417606336,0.131255448028568,-0.0549217304413339,-0.11998556671063,-0.462040028408566,-0.0471636556520139,-0.32542539648002,-0.140585999663921,-0.180327159108056,-0.0795124312057476,-0.0839874567047136,-0.210798522909996,0.0758251740826914,-0.188101131275648,0.211737278711985,-0.198662254029664,-0.364499440293065,0.0629473822893142,0.103095484628746,-0.261920931666925,-0.109904310983457,-0.114565245461429,-0.409683994555992
healthy,0.543902574915757,0.704926370062025,0.544534113262237,-0.227110179077891,0.316069521268078,-0.167781342303875,-0.656673957242028,0.332107464569236,0.300207486468492,-0.15036246793554,0.387003392093611,-0.564124593104551,-0.0447646118483748,-0.218614338205417,-0.108113798448609,-0.2864566579032,0.659273542876825,-0.35156571799648,-0.322442869743122,0.220712740580695,-0.181138752730129,0.280856661062848,0.184977436541874,-0.198966515955728,-0.0726329462178491,0.384489766641393,-0.443722135744891,-0.23226674573476,-0.269967388066765,-0.460640898335918
healthy,0.309713384305502,0.731160996843115,0.460963979876045,-0.432781821966198,0.0114562094423144,-0.374338113790332,-0.770919676147514,0.0792103124005992,-0.0123695757521481,-0.139657228371061,0.239744667885616,-0.720869140727048,0.101463438491326,-0.320939611671324,0.0863609187503334,-0.266100172319479,0.408000464176924,-0.134693791014652,-0.368546305718246,0.0175470188132968,-0.343751756461241,0.593905860583247,0.0356090064202559,-0.36631237419207,0.0645677777850871,0.450341033241924,-0.645857360672462,-0.333786811270316,-0.59343230039725,-0.458292761413583
healthy,0.264691120415952,0.356171516739157,0.345686388688359,-0.310148572609652,0.199706482454626,-0.154583500918607,-0.246951540621566,0.200985110150579,-0.379376382752825,-0.103876761598891,0.290821596948452,-0.367661774954673,0.0854700232465512,-0.122957093389399,0.092964954776688,-0.231776404399548,0.196891813227518,0.01823816235689,0.0122860024547551,0.183443319696111,-0.196900342399552,0.162340582322338,0.140125043097011,-0.304867953086835,0.10423270763928,0.110893665666069,-0.236182679940354,-0.0541344957015435,-0.350789344851283,-0.143171281733814
healthy,0.591535457137814,0.619536313394907,0.55158774718354,-0.252376908357744,0.315195227944228,-0.136145807234832,-0.509916689578769,0.350998061018591,-0.183941514543335,-0.237351451784561,0.355254081782637,-0.537067024583963,0.0923108853401483,-0.0755823175327986,0.126288331873032,-0.300957766909466,0.600973523676074,-0.353476499621791,-0.250578144489945,0.375571874487183,-0.242132690970951,0.446680364584829,0.333828788681439,-0.273329796950702,0.119116213742443,0.454357837023804,-0.521374847235259,-0.209108531488386,-0.360159663649295,-0.442071376454501
healthy,0.337561193951612,0.56701904209581,0.44324712405508,-0.331492234851329,0.154020054319931,-0.311858042318283,-0.602442414451028,0.0670416524902464,-0.403010462607493,-0.32397795955059,0.298201198690382,-0.658935551675947,-0.166719523558487,-0.278925149657575,-0.14803877495626,-0.309345008711945,0.370397250989436,-0.135423017605171,-0.198642522386802,0.196112739631159,-0.430305372290007,0.415698515418891,0.0956971412260804,-0.340723097302906,-0.0225666616935192,0.335325567929117,-0.536677761098084,-0.241912830696797,-0.49518066867481,-0.329320137973227
healthy,0.163693218976783,0.389382533271495,0.167626495205512,-0.24337175607396,-0.0293517551159303,0.0,-0.298408799705235,-0.142189132051902,-0.135036721726848,-0.180271789938681,0.0807004383807894,-0.098220277756579,-0.0107258236622641,-0.0326844283501925,0.136840390853386,-0.288766634841131,0.191390028830564,0.0072527362573749,-0.0780722420098122,0.079042083525462,-0.0111531774299732,0.113473552810677,0.023502292686776,-0.0299542864321258,0.0,0.0178179155241179,-0.477715396040383,0.0,-0.491087403010532,-0.104427423258692
mild,0.309661769687789,0.489554021702539,0.665515906924119,-0.159628155569151,0.0605141670978865,-0.216427828450474,-0.52598634887808,0.171789212822942,0.167735998947674,-0.639623149174716,0.642985230201765,-0.687034895247709,-0.371043398204364,-0.514026221409395,-0.478916369583976,-0.604159468101117,0.455551958669855,-0.603613559311972,-0.52282664071427,0.0346080202107921,-0.560324071989324,0.338887853281765,0.0091456034420181,-0.583477195863714,0.107140328478807,0.35095300331628,-0.623735437456174,-0.238430829318982,-0.152067478870985,-0.177349137682334
mild,0.306949129044408,0.306600719930598,0.428914938622538,-0.0472104567377581,0.214519379375099,-0.135133391057519,-0.263690222875663,0.260054400358054,-0.504298537560682,-0.074433656318933,0.223346130188627,-0.330700205276061,-0.0641252357308653,-0.0399993872095077,0.0104559834069505,-0.118454456571768,0.221102161063271,-0.0934374410196248,-0.129736795899927,0.0277135288386047,-0.17600394744299,0.272011654035164,0.314389744947393,-0.391894290087974,0.126569168406078,0.0779384505789495,-0.220882993926208,-0.07480753646844,-0.274002646482615,-0.0734447292410432
mild,0.344394585931794,0.326179556573416,0.459540194589393,-0.0793461738887358,0.0383010090800798,0.0,-0.263805645907002,-0.0014723393224653,-0.167851427343006,0.153264130206858,0.0402380144192356,-0.219482399576881,-0.0028313775809997,0.0470846184486911,-0.0768397201778273,0.0926595091745111,0.206159222515463,-0.110663744740894,0.0,0.119166485266898,0.0,0.0375575012966484,0.171401121047991,-0.0679142557610166,0.0,0.135256451523106,-0.193377324546009,0.0,-0.155893512886395,-0.0172869157890927
