group,CD47,CD52,CD3,CD56,CD45RA,CD7,CD49f,CD194,CD45RO,CD62L,CD197,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD244,CD54,TCR,CD41,CD226,CD29,CD81,CD28,CD38,CD127,CD26,CD49d,TCR-Vg2,CD305,CD99,CD150,CD82,CD224
healthy,0.277124144720133,0.178852548653997,0.269814995407154,-0.119417499890698,0.382731447311795,0.358474440745499,-0.0805422493805842,-0.210243116263965,-0.234109408054124,0.388815153519451,0.0872168849597696,-0.0126416415434573,0.280735790189487,-0.305752373082431,-0.0429713100441284,-0.159629635675543,0.0537226948959052,-0.100595071455413,-0.137877248514001,0.452642258881722,-0.0008087176791298,-0.135767815680154,-0.034659941420786,0.115894625738123,0.0802783058669148,0.0073696970094187,0.34578606749139,0.0474219804384457,-0.015659276690239,-0.0234857385234329,0.167357125820356,-0.106412355641776,-0.0676560186399908,-0.034698839898076,-0.195590291677779
healthy,-0.048722578404113,-0.257667742884195,-0.114812709757042,0.0231939642721183,0.0948869872541861,0.0755725818320363,-0.0530713580977971,-0.0956312926131739,-0.154221807865427,0.491660835331805,-0.10355811129616,-0.0698348801195166,0.0730160646649054,-0.20176671552411,-0.154908832474511,-0.0678799051750491,0.0644268104366138,0.0515095290058888,-0.0570976917236695,-0.0686500698746635,-0.110361078531487,-0.0801160862439553,0.0333695951473415,-0.127271215922254,-0.123195151161789,0.001687243100818,0.0158502827273531,0.0223729591341824,-0.216800221932931,-0.0286326461331241,0.0389451936424329,-0.0690154428228682,-0.0876111507484666,-0.0779073254705263,-0.138678980261036
healthy,-0.152447395135164,-0.137717467744351,-0.374777926271072,0.066199521542882,-0.619697509815522,-0.497924458328176,0.321244054929558,0.503629816691068,0.668121973789544,-0.0381079417610445,-0.32115459030746,0.156396666028851,-0.366437996537175,0.690704688015307,0.0284454343901051,0.481297668522379,0.177938439848306,0.120765777496166,0.315705176513496,-0.522792404418402,-0.0089102906537909,0.231951595778352,0.299803844010818,-0.0881207169993462,0.084067644895395,-0.414354177257414,-0.164927471680208,-0.246403284635192,0.142299260838901,-0.0198707378718438,-0.448561698936214,0.526805841607828,0.291181031138617,0.439896418568617,0.393828211619163
healthy,-0.146547747315003,-0.258724012279805,-0.115202878128654,-0.141193404539252,-0.0053644878716154,-0.0178244706702947,-0.0373502043486302,0.0029975814284994,-0.20744918920963,0.395012700606774,-0.0288956410908651,-0.0097926508592345,-0.120952441522393,-0.089748969952645,-0.0901873361138571,-0.0453651401048,-0.0289537060598024,-0.0921728209783224,0.0499827672646157,0.0081873478368616,-0.192873665285934,-0.172287458028001,-0.0447579979003891,-0.0935406030305793,-0.0633694884897293,-0.009871802592293,-0.149693515377311,-0.0417505621363969,0.152381086260366,-0.0453308494691265,-0.0597355690572579,-0.151812611837518,-0.0229647351065552,0.0548686826726993,-0.0855582641411056
healthy,0.0620799074842247,0.025385774989294,0.248550294998664,-0.0368760794486787,0.439903204864931,0.387784587730003,-0.293445956553582,-0.262365836554827,-0.409094438853486,0.327815679103953,0.118751981709839,-0.0996447831290175,0.155106926221705,-0.408442959587645,0.139886546076377,-0.276344258570169,-0.118089926413053,0.0250354102747921,-0.216166871810464,0.352494717110706,-0.0544965282183203,-0.257637984681168,-0.246140664244256,0.151004099150395,-0.0340805295551378,0.384505384842763,0.055629305739254,0.083381958291408,0.0118218163849646,0.031116370583365,0.380683006087086,-0.271229586842537,-0.223930276397453,-0.145537007252094,-0.263647198387414
healthy,0.0917735906571337,0.0409733742764024,0.170669493181024,-0.054156886359517,0.404670271855757,0.377951507055091,-0.151582393036799,-0.326953199426906,-0.555375261475203,0.0796915260994575,0.157380715890601,-0.307208787293818,0.367281488215906,-0.568436956105436,-0.220841799370641,-0.346256887796922,-0.439673488116266,-0.220229467759808,-0.357685142657891,0.277790243501747,0.143482400130162,-0.229978436929151,-0.233867586349442,-0.0042095677893143,-0.0663016996147083,0.342225218681463,0.0224532097637664,0.0100029156762856,-0.243161186205872,0.0178066487079757,0.243201094407099,-0.223501113461397,-0.206565623951556,-0.300361249466271,-0.209419391623519
healthy,0.184972200591961,-0.0997873417573832,0.38158192207406,-0.111046853541907,0.369432830579987,0.288325413876875,-0.0862070158457441,-0.245952668781306,-0.39176297043591,0.726693278560759,0.073223034431563,-0.238779732408004,0.0951946481739022,-0.327455179900188,-0.150678068149024,0.012123018945623,-0.160404788661518,-0.166028213156626,-0.107637126425127,0.630615941042204,0.0486064209455921,-0.137623636210585,-0.0829214495880614,-0.0344293738055693,-0.262774799345062,-0.0684589401686583,0.0347800387842487,-0.152509997011429,-0.0785375135497289,0.0,-0.114456599737753,-0.205032432932494,0.0,-0.0262142325069298,-0.126019503723078
mild,0.0486870706002892,0.242370132230283,0.0061374455565214,-0.445035948343253,0.0024908874544309,0.316485183333557,-0.098129406918509,0.145729495128821,-0.0445479247247583,0.256398756168154,0.0583915329255282,-0.49229763445995,0.272932578605831,-0.0614203639658338,-0.0126561470519192,-0.152404081337422,-0.260754440518333,-0.547707777208528,-0.315613367293133,0.0766726504064656,-0.193952437331414,-0.240834095643023,-0.139671740014808,-0.227857329923203,0.416329889239999,-0.0084468880320526,0.5177356153329,0.357411387567948,-0.103767569061089,-0.0878352337500724,0.0628812424865464,-0.014687984982198,0.075908407502391,0.394742073581414,0.256985018943019
mild,-0.15061625567039,-0.207598846768654,-0.0430550947170927,-0.108184954769655,0.16575676751258,0.07847769688264,-0.0868085985276066,-0.126592830184916,-0.175046743609522,0.550732532511551,0.030836653275126,-0.0705134918333457,0.105274693993591,-0.13867674793053,0.181700772761827,-0.166413299695512,-0.0512050923190145,-0.163655586324892,-0.104017883352396,0.183959668209997,-0.190820712825251,-0.149361062262473,-0.130916997854401,0.154310421397524,0.0594588866871565,-0.0091455055707001,0.223245719156709,0.101803171363926,0.295151317485333,-0.1213236291864,0.151591857574227,0.0793759719438011,-0.0842757246765734,0.103417338818247,-0.112693884020102
mild,0.222918067698951,0.0735571872638027,-0.225306865181938,0.0253320198552449,-0.293618327795478,0.0659111784751616,0.189709539534976,0.0151084263173797,0.0235910910136748,0.029621291262832,0.12118290579401,0.200815527181577,0.161842228796109,-0.049422489117805,-0.0303644131965936,0.0,0.0509235857877112,0.0263389315404618,0.0628020268006517,-0.298467137543413,0.455218037737541,0.132248024409362,0.0,0.0588874584965718,-0.177363024380302,-0.0102139097456282,-0.19605706791835,-0.0170519359645624,0.0948555828921246,0.0,-0.150232840296556,-0.0392542595802835,0.0,-0.172866297573139,-0.0344051039174223
