group,CD3,CD8,CD45RA,CD7,CD49f,CD194,CD4,CD44,CD45RO,CD62L,CD197,CD27,CD95,CD58,CD11a,ITGB7,CD54,CD62,TCR,CD41,CD2,CD29,CD49b,CD18,CD28,CD38,CD127,CD71,CD26,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,-0.214062666942991,-0.0957709431316228,-0.251376827477977,-0.316915504924538,0.431785788559018,-0.0352404540253483,-0.0975513050112233,-0.075895078738309,0.107637355837797,-0.250103952877953,-0.191599024253253,-0.2208099336221,0.0872698133336901,-0.0826684451489301,0.0360153711527679,-0.169503379380607,-0.0668076008150619,0.490133570708413,-0.200805007554026,0.483433180326243,0.0619954789053049,0.19571464793039,0.398603048249322,-0.0825435090194362,-0.0511397588260247,-0.223211340265482,-0.0002410288525063,-0.0662007611861837,0.142880433683758,0.130187227007903,-0.205791443549753,0.0279056582528043,-0.0295217034594363,-0.019928610709764,0.130945933338184
healthy,-0.297329311686797,0.0528162427095015,-0.631775929934044,-0.403966403095259,0.209799713847381,0.261000396033349,-0.146631341006664,0.212518072655333,0.700390882920402,-0.635106985231263,-0.182839288198017,-0.192735528815608,0.715198406422132,0.202166864867796,0.320611047026911,-0.0501463160109248,0.351548559177066,-0.110946958903934,-0.436045073574682,-0.0773032723135053,0.26181842271662,0.278638566447316,-0.078994705320097,0.259097396302026,0.258181856846237,-0.176051703140409,0.103947828303336,0.0782163398678819,0.118802844494926,0.350037164462841,-0.212315246990705,0.4833568377937,0.262947209056956,0.247129606254862,0.548927945250138
healthy,-0.141674122718609,-0.0723445694818472,-0.667345336522392,-0.24373961125253,0.275384772211824,0.511792243478169,0.10675502167699,0.450292717665621,0.769128303625279,-0.0327938491856828,-0.258868749593868,-0.0787259191679355,0.73604196981149,0.361615361341353,0.426420581858497,-0.188410368480163,0.216289023049205,-0.280159088651028,-0.255386063282386,-0.171703356604007,0.323555578815156,0.257084507869462,-0.237031822720415,0.390830172075374,0.397464650262874,-0.463513377815359,0.140905118281013,0.0287811929682741,-0.0067793960972627,0.25145991036351,-0.349920520100922,0.654126629878961,0.282853230585884,0.536147641606158,0.443192054820321
healthy,-0.220867069173398,0.0381679702744961,-0.325187563389495,-0.411228464653225,0.108559692953919,0.184935585311106,-0.137273564862158,-0.0356426338030014,0.138277861654551,-0.235060678690903,-0.0969090385754695,-0.226697644812502,0.229989202206447,0.0363821398812488,0.0089687563256274,-0.0684932354554218,-0.0209034022566027,0.159002755486812,-0.263320746079802,-0.0083996869709994,-0.0041330635256551,0.0128099841949773,0.071290934035268,0.0596617298748255,-0.0547044579618146,-0.11738549467913,-0.247888650047206,0.0258245702780089,-0.295585648237766,0.148185300769473,-0.232663733903055,0.0461176153354761,-0.0266938215956766,0.0072436703513634,-0.0120878632794742
healthy,-0.45234396711733,-0.028296274118093,-0.693566649771209,-0.559253946887634,0.328472071407703,0.327214211529836,-0.203193854160846,0.0721368360015707,0.612841558387342,-0.0440640596409259,-0.281142317576429,-0.287746652481474,0.621754504091354,0.278105003672581,0.212598608831652,-0.227167326461675,0.24855020189831,-0.0734898454449432,-0.490234977148326,-0.0392694983781361,0.0282736966246529,0.296212606648345,-0.0242223688110028,0.244854990973776,0.0754474100835513,-0.521776142977148,-0.0383497042083555,0.0927976531799144,-0.0903271495088174,0.222097234820252,-0.518548744184053,0.532158685131675,0.236678651097155,0.331346298579086,0.452567369691194
healthy,-0.304954253206002,0.131297345484918,-0.526801303077371,-0.399398877732752,0.318052287104212,0.439243963534983,-0.113014984083813,0.241338764959008,0.617351020996623,0.0556672546611768,-0.154517246846524,-0.286673484598357,0.689601146544674,0.356647114168586,0.374364986709202,-0.328139666067099,0.29523355328699,-0.0610548675405706,-0.426115455329518,-0.016547150925635,0.130870795623065,0.351936607632599,-0.0213313310330277,0.356119548313578,0.115595836085091,-0.601153827425408,0.0240056363502306,0.118044294415071,-0.0776882908736907,0.12450967120572,-0.244960316646489,0.462431559002441,0.253105179811193,0.395593071910981,0.358886363749097
healthy,-0.192482270985353,-0.0833891067774321,-0.247282764843601,-0.14928002474682,0.143951228841204,0.284099616515926,0.211396417511588,0.0,0.346154159127735,-0.367681623690433,-0.0800119250411119,0.0490241254291744,0.208139862184262,-0.0538262041185662,-0.044979674486589,-0.0007869245997699,-0.0145894991159005,-0.121642091631689,-0.429201978604414,-0.0208886768366254,0.432451359936809,-0.112016695057557,-0.210376469577092,0.036369056836869,0.336666206965351,0.0044008667688132,0.0744420209105859,0.0,0.222209436646162,-0.0749953595092368,0.0165669930017179,0.395879322821274,0.0,0.122902043014723,0.0756459163468801
mild,-0.175624341591065,0.0627272458028758,-0.372326378753608,-0.429666725130943,0.060845199922347,0.424270764325586,-0.0113933125983879,0.179736791536001,0.465937990966969,-0.192694210509084,-0.166276677962976,-0.349604411135779,0.630039004662487,0.334213342149902,0.366805782155688,-0.241781372183024,0.332533200139487,-0.0173205652627385,-0.312100495761554,0.0129379663790489,0.223505243976505,0.233114847633399,-0.0164894521588341,0.348085142610213,-0.0615417648273871,-0.140778723923605,-0.375501723399085,0.23346065400812,-0.437829770016566,0.196865178594256,-0.271582759387399,0.477760216949277,0.130515958573788,0.0506176699361752,0.302707972557399
mild,-0.217634491714043,-0.0122708354694923,-0.686778182251239,-0.45332845936073,0.302779402034827,0.285649471535298,-0.0194787025165318,0.176698274650606,0.636413788455954,-0.387191863667472,-0.250263427528341,-0.257583953292919,0.68301719401869,0.285443921939492,0.293922678694356,-0.279774953803672,0.255556404999117,-0.0344017703208092,-0.479996875131246,-0.0078303141214937,0.197064712455652,0.308954974223232,-0.0177936997826845,0.313585974982957,0.152475964774596,-0.436992967739765,0.0595536882622107,0.0900612450885178,-0.102860914893408,0.148313095098345,-0.146474770344618,0.306099306867352,0.361400273948718,0.379853713964044,0.340419369583752
mild,-0.431373814572005,0.227461983484534,-0.443942550185141,-0.136875745076122,0.186068850931413,0.13868521139617,-0.3338898511027,0.0,0.3162106520201,-0.279228939684689,0.12118290579401,-0.0430525717645868,0.348547665965703,0.0,0.160776505095843,0.0590875238323232,0.123725735585343,0.25519332810312,-0.524899348207205,0.348450152979324,0.160797256967379,0.0,0.218696619776676,0.0,-0.194320545259007,-0.0580518825979121,0.112819446268923,0.0540872856368743,0.120560693183649,0.206283294317928,-0.0967020307255493,0.0355070703194359,0.0,0.0792509510600207,0.212800092698341
