group,CD47,CD52,CD3,CD56,CD45RA,CD7,CD49f,CD194,CD45RO,CD279,CD32,CD62L,CD161,CLEC15A,CD27,CD95,CD58,CD244,CD54,CD62,TCR,CD41,CD2,CD226,CD29,CD49b,CD28,CD38,CD127,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,0.0229265296990321,-0.051377551218577,0.311043717943891,-0.0184577066546853,0.502475612559068,0.40781729091544,-0.116053198201735,-0.373203543841494,-0.537087233304611,-0.164901353218938,-0.0619047107866236,0.591825128241027,-0.0990378656722854,-0.0955420999530707,0.268139859911832,-0.571436371965315,-0.318173211091546,-0.0953626697555631,-0.282558052681592,0.154371156868026,0.415524423559884,0.160600266758095,-0.201973403701816,-0.0633222707930202,-0.184755577164364,0.115940758193171,-0.163402674379767,0.128817441169504,0.24465307904972,-0.130946887824822,0.299134598372435,-0.383396895809438,-0.173210606112064,-0.202950873013607,-0.373097685094501
healthy,-0.0783506365592482,0.16383348768377,-0.174238939897513,-0.0175029769094131,-0.474954175048082,-0.342069711101254,0.361780907036744,0.284731724793148,0.512735784686258,0.084691654001131,-0.0310526610039255,-0.470971136107451,0.0815188448298469,-0.13890523171882,-0.127231381038653,0.470771610660649,0.138293954993724,-0.0056850989334604,0.133975768142173,0.133698168897284,-0.265066701499381,0.0128759444685583,0.193074800581078,0.212733994735034,0.168596688380987,0.0076866558899787,0.238369628515769,-0.268723639316015,-0.083940283147717,0.0422580616528438,-0.370541315537984,0.366695318759355,0.157691773658727,0.232483089607529,0.286058210593899
healthy,-0.165233817202505,-0.163072865589232,-0.456007180918429,0.0475564428446996,-0.720656805089467,-0.643616750410723,0.373462984509132,0.464360083881292,0.731319832302605,0.180737300737098,0.0456601549740324,-0.329403447853091,0.246413106914431,0.244270396852858,-0.519668246582841,0.731068455268315,0.538796954994324,0.145148505203357,0.34431222025358,0.0988390880832391,-0.626783308944521,0.0558327584241135,0.113450203763162,0.325189603536948,0.419599048335758,0.111154655082052,0.0042231247779411,-0.518094527326822,-0.0950889552953491,0.214316061104453,-0.522239473942389,0.582607203334649,0.366880732341632,0.404966007428713,0.405921093510281
healthy,-0.0863319851181563,-0.107203132309463,-0.202333985468308,-0.0732024170684769,-0.122584439339603,-0.16932718207657,-0.0008382065844724,0.0346055494927737,-0.0128895839710344,-0.0428123766465262,-0.0629741770023464,-0.496649487706891,-0.104686374726022,-0.121930261349296,-0.206670804905143,-0.044943745845562,0.0661064153356954,0.0087733022339649,-0.161389900566888,0.0745891198374069,-0.259123183608708,0.0363722897277842,-0.0815181905164796,-0.0123014498031688,-0.0167580750641911,0.102807762695067,-0.294205532993347,-0.0221640316299286,-0.134971649888771,-0.286929276783629,-0.201155783656776,-0.0648984025420833,-0.11183945820305,-0.264911764298323,-0.07698938340757
healthy,-0.131042262844952,-0.0188565577311948,-0.390933078953061,0.0399027281513139,-0.701302131242919,-0.576086355991,0.463228644090188,0.308787152592229,0.627112744673264,0.182081747737676,-0.0652833982613477,-0.406825551637531,0.248336550165547,0.227846534420675,-0.175480436217131,0.6660880983064,0.313766176964906,-0.0777815663372982,0.328426000547125,0.0753542246845698,-0.440496156900494,0.0198730409966319,0.177437307501999,0.417616246624371,0.338716803228381,0.0977924130364236,0.132682738763285,-0.49956237969835,0.121976055763066,0.204273020038872,-0.573090196525147,0.534939680817792,0.326111793478818,0.290194352991724,0.489473520483771
healthy,-0.272594472200003,-0.177802078575374,-0.351859884399685,-0.0031351411036421,-0.549238057334803,-0.53360010357776,0.163776615858071,0.365731363984136,0.498430003503311,0.153428752354418,-0.14252395599247,0.189366234699924,0.238367902530217,0.243413347016017,-0.369047503172748,0.531918789103759,0.253574281020766,0.0654289081936507,0.234751480395854,-0.0322344267186501,-0.470298852490177,-0.0800418704790197,-0.0080340727565842,0.269740838049947,0.28928700064288,-0.071687641205082,0.0690471178029285,-0.317654154022595,-0.209795370822306,0.358201876746383,-0.341641095928461,0.245985245402233,0.242281878648086,0.333428059237815,0.238104692770955
healthy,0.322876517775614,0.0679938940509541,0.314770141968366,-0.0751627174628627,0.358203629646219,0.414756393080355,-0.144629441745151,-0.391113723685949,-0.347236385656967,-0.0829214495880614,-0.102318279901058,0.510774763879585,-0.0179420680395221,-0.258249192498232,0.237274952465649,-0.319947665257434,0.0198817510708217,-0.169098990017492,-0.209656628370229,-0.109091195899486,0.447712893000924,0.152036422870435,-0.240113061242711,-0.14895312201906,-0.112986536573206,-0.0870878448188601,-0.19876142882665,0.0544064701729783,0.0865602060799831,-0.0471474203102864,-0.0138627515038554,-0.177922892990578,0.0,-0.182745032649832,-0.141802622822433
mild,-0.225150828498428,-0.274341824898416,-0.159317571025094,0.418039002551838,-0.143055207514345,-0.36455521218984,0.0534810848759678,-0.224154812210508,0.167010656162224,0.0971023360018749,0.146398571639764,-0.305402570518091,0.109659093243453,0.628686491467907,-0.524423024346253,0.162563113212407,0.0273310799504033,0.586484870633109,0.410873711639268,0.106192760761256,-0.248104440732203,0.154127871061183,0.132309288721198,0.425642913197054,0.23467013932885,0.137606581136918,-0.445901312220285,-0.0292759386258155,-0.108869905494966,0.495257526671429,-0.161944608978086,0.210262349108893,0.0589544313063348,-0.126193777337374,-0.179803838578257
mild,0.228293315191382,0.0659891364055372,0.0986380588339171,0.0012284547039435,0.0352447481953291,0.107082891053562,0.217552873865376,-0.0635409779867565,-0.0101173122047333,-0.133838771054038,-0.0733071238530652,-0.133502724547286,-0.0604535947197549,-0.0560705422203385,0.161697234330367,-0.0666511372552822,-0.106346388828272,-0.0107198079635021,-0.112084452319898,0.129857702054087,0.127805002351365,0.06857038426731,0.0805929997845497,0.0331644409465597,0.0839419990579026,0.0985033366370469,-0.0488274621506187,-0.0649253839081287,0.281061537550105,-0.184173304716902,0.149584102027673,0.108821814951787,-0.0476328716909973,-0.0482211758389594,-0.0394216774943186
mild,0.216856522052192,0.312237503460931,0.223669266804228,-0.0787346563068424,0.0172148508718978,-0.161093631112924,0.0565832579010437,0.0706549140979069,0.146770548602835,0.0362864068196752,-0.10338202697681,0.120279813806717,-0.0746267611951811,0.0154091581739838,0.172714959159668,-0.0094517553403992,0.0,-0.141416069707298,0.0244331808137503,-0.143331016341183,0.349699897521723,0.0376679622992682,0.426800251486771,-0.250846707333462,0.0,-0.0944574542406516,0.289697042597574,0.124087854306206,-0.201162214453631,-0.0852544126858563,-0.0964963937732012,0.150929569586653,0.0,-0.123567876276986,-0.188271309014905
