group,CD3,CD45RA,CD7,CD49f,CD194,CD4,CD45RO,CD5,CD62L,CLEC15A,CD27,CD95,CD278,CD58,CD11a,CD54,TCR,CD226,CD29,CD81,CD18,CD38,CD45,CD26,CD193,CD49d,CD305,CD99,CD23,CD82,CD224
healthy,-0.153167929018436,-0.621229368155605,-0.278417368859724,0.047943425175636,0.524295005260522,0.0924890505573978,0.730114785764397,0.106638321110348,-0.374180825673259,0.125434555071555,-0.218501261515358,0.705938935369013,0.364295192002668,0.209743685404345,0.237779162167558,0.268583413813499,-0.30712476426999,-0.0170216825275361,0.147191236271505,-0.0094776476614103,0.109177863330085,-0.069923512683086,0.115061960705514,-0.0399809189876432,0.101269396129884,0.0720088228017182,-0.243981783508888,0.525011845834131,0.0440001198191498,0.319070656073595,0.487536696593087
healthy,-0.268804626675235,-0.661757464853036,-0.384677237982358,0.46935692857075,0.369069254123753,0.0385620045117016,0.784899683071993,0.0046346271884724,-0.311509976229316,0.0781130511805997,-0.168491985032815,0.680630859322106,0.139318068065489,0.165575323360879,0.304885417712417,0.248618705338615,-0.389544366465023,0.319420303897257,0.335197780656714,-0.0941445424096641,0.250256212226404,-0.302266441077572,0.0946776293143984,0.216871044775844,-0.0054041733181432,0.215807700540707,-0.328417623959678,0.669087914725274,-0.0342279634140577,0.438137172805089,0.582779526893328
healthy,-0.350699345869605,-0.479570617640569,-0.506020015892424,0.361773798470394,0.417972726350231,-0.186389189097968,0.504927641578178,-0.126015621389287,-0.263122063878368,0.189493012281857,-0.435177749420345,0.526246785713465,-0.112302040389427,0.441252322328384,0.0390046696775955,0.289759525263248,-0.540182511305078,0.349758387905658,0.330624829215969,-0.146211835939347,0.0109883004796585,-0.264384844717545,-0.181497111794766,-0.286424255537319,0.0590972053899653,0.0443827162074686,-0.41875073744902,0.378843425904245,0.174338163467172,0.225919813332551,0.285345902944208
healthy,-0.228096135690712,-0.495899725555776,-0.288959754029134,0.140426652191173,0.356577813109047,0.0224194417932569,0.540021231824712,0.109583279353313,-0.0464701048401723,0.116492432753471,-0.304302111721087,0.523149280190265,0.191777559557538,0.129145258575905,0.171123080274625,0.234088911323608,-0.262041844441631,0.230151886091295,0.116034477704427,-0.101345527746269,0.246830665883232,-0.178684434075713,-0.0463544696696647,0.109433721547739,0.0010920536883516,0.260452281636753,-0.147157750866877,0.43990709454426,-0.0305022123422587,0.349841660961054,0.367361871209289
healthy,-0.289178887838608,-0.537411893312481,-0.407457120008022,0.371337702414153,0.0782180894011778,-0.0432143140351779,0.518500875452671,-0.11821309505683,-0.484699282768705,0.24909021311777,-0.19402252486842,0.498365869706011,-0.179718317572764,0.168453440587378,0.214204344044592,0.259229185250187,-0.350911563482302,0.36753370874204,0.289330381992784,-0.0451345829406835,0.272963275399578,-0.344837923677841,-0.0714749747342997,0.456240350012028,-0.050866919237993,0.31751937420032,-0.342617860538178,0.48840392092953,-0.0080739208359156,0.303755396714608,0.473106846715099
healthy,-0.298984207777542,-0.550594088176754,-0.405985143723832,0.12196555033669,0.261327444659192,-0.176730984667388,0.558345777334374,-0.133800980549976,0.3061585717875,0.384510917365442,-0.407796434031172,0.507106732003222,0.179655276956597,0.222376267586754,0.195109365214778,0.280458625794391,-0.329882614850181,0.206339910899755,0.339517226831404,-0.193348320739516,0.363140636298834,-0.382811868275942,-0.136149512343531,-0.0929159134168864,0.0054756624699883,0.368154617665375,-0.36425952855277,0.363493085765331,0.105210697502293,0.46320772638555,0.250486944876158
healthy,-0.463703817500848,-0.218131308925766,-0.342778881287443,0.0807942720964081,0.307228221528157,-0.109723837161705,0.402701708538552,0.054495445795947,-0.706510130835503,0.1213554981619,-0.218610916537481,0.284583811482934,0.0052968898473329,0.0712833514002633,0.180453215765567,0.195487375656624,-0.480835004849677,0.152945604019735,0.109107170510607,0.0567357286655157,0.060615094728115,-0.0506264867562239,0.0048301146789264,0.0971503751022103,0.0,0.183940650680104,0.109767748575139,0.235361514236028,0.0,0.066626129700354,0.135871680706586
mild,-0.286148032839944,-0.595518455167342,-0.643781343405438,0.268621318752032,0.29331082164158,-0.0263788004605693,0.633353668435795,-0.108474368959189,-0.271716508077787,0.526280266472539,-0.670757599933966,0.75765006731639,0.0418314767277113,0.353300895474059,0.504034970967968,0.56271253216941,-0.472960233215919,0.593064100530595,0.562858168590015,-0.0656741811484281,0.527502105974172,-0.372164958822978,0.0197554945461801,-0.319966201117899,-0.0637802843529595,0.522027549019569,-0.483978664782404,0.686864035865805,-0.0495472716208989,0.205183637973743,0.314184268220411
mild,-0.311157082914506,-0.775321512376518,-0.564413101937723,0.286488225248298,0.294435012001896,-0.129049025025277,0.69387230569858,-0.1324414014488,0.034427428094002,0.218165872617733,-0.30519336284468,0.700285596713026,0.144451098378403,0.291680478058587,0.245828189821368,0.279126156731856,-0.447053945072601,0.265537235332923,0.337781261911839,-0.0861018258025073,0.268808214858541,-0.448198274514505,-0.086361038130676,-0.245711115091877,-0.0592424788754722,0.383272775214024,-0.22409667070389,0.430418024234655,-0.0307185275266714,0.419837649619,0.359822006043042
mild,-0.24188335217726,-0.337443607193492,-0.227185332821158,0.148170264231131,0.16111584451584,-0.17280829566171,0.257635360051184,-0.258438910040424,0.0926832544730427,0.211252242965783,-0.105219469830722,0.434262219325698,0.0141980374182224,0.0,0.242844305854586,0.0274475176030481,-0.236639543383081,-0.0076385832725026,0.0,0.0247513610291848,0.0,0.0232200874210648,0.0148577344899275,0.202301021511805,0.0773603212385821,0.346481903692,-0.0747640787848033,0.271593704268002,-0.0703920985239538,0.327921447927206,0.280954563487948
