group,CD47,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD4,CD44,CD45RO,CD5,CD62L,CLEC15A,CD27,CD95,CD57,CD278,CD11a,TCR,CD41,CD2,CD81,CD18,CD28,CD38,CD127,CD45,CD26,CD36,CD49d,CD305,CD99,GARP,CD82,CD224
healthy,-0.0285468203240227,0.135275091291424,-0.0097108682768607,-0.101846743758628,0.0165508680212257,-0.320779571361428,0.0924211243548967,0.113930295371492,-0.042677621785524,0.193819203918301,0.0607351536944945,-0.209417608844178,0.0090141615463666,-0.0227692048117547,0.183449688871194,0.143361637349539,0.265671091181217,0.0123428175335032,-0.0282999397575151,-0.422608801352027,0.017486370382631,-0.0138589789786003,0.127134785411837,0.122262931080189,0.160502779505929,-0.0649462835556851,-0.0058819383138729,-0.0070292925592059,-0.299597091077919,0.0768295965831843,-0.0189621792607806,0.199935862231474,-0.174527560350102,0.0544802795009751,0.205514088362289
healthy,-0.171951550683246,-0.37454206783274,-0.086428182022,0.179634416334133,0.074078879416526,-0.19816678536695,-0.107252065478044,-0.163245036350963,-0.127785072444928,-0.337035262875995,-0.17635345515683,0.708611107418756,-0.0822001603843513,-0.0226550705988658,-0.37756581681102,-0.0658924838249003,-0.108521636862722,-0.131794028147022,0.0533808604583726,-0.0968798208116148,-0.34464667492321,-0.105821215496097,-0.124266265272576,-0.233085067251381,0.0892931634865375,-0.173444644295976,-0.25814792369461,-0.142511063619587,-0.117459336686534,-0.182234523103052,0.0113300687966138,-0.244770408020842,-0.0531420719599969,-0.106616315875901,-0.28723945955458
healthy,-0.22851357883234,-0.294725898088916,-0.241328413497311,-0.101604918411133,-0.35536031057811,0.174930328342527,0.163969807442228,-0.175909186591153,-0.155010050578413,0.0780925513428955,-0.0841991115436793,0.0684206293769538,0.0756598129085036,-0.330593446381051,0.121576385891521,0.0464905122588358,-0.166315240111734,-0.168818069391428,-0.332213713497025,0.195126149589744,-0.112750014272937,-0.227368514158571,-0.156674210054194,-0.18319544937924,-0.0453283660730261,-0.340364888695778,-0.240896827073464,-0.303124940596387,0.235567883213934,-0.0453348328845478,-0.208608347078085,0.0322112857461078,0.140574615681416,0.0512329082537827,0.0566174936911653
healthy,-0.253784919105659,-0.510404612705039,-0.30803394429681,-0.01863148243138,-0.128737954572455,-0.0157289107368314,-0.0195641865260073,-0.402731972535849,-0.245778708635614,-0.4193187710727,-0.495002684862645,0.351322962446864,-0.19080000083047,-0.271094482527778,-0.249070859714978,-0.165761992570641,-0.231483890820726,-0.328097409825571,-0.274385523911714,-0.141496162215395,-0.406514603931187,-0.322602153859283,-0.175394253537008,-0.337847059017749,-0.092006285339763,-0.393657491475831,-0.490211985900721,-0.166203620231015,-0.0025585323647181,-0.0504691866571057,-0.199540659147758,-0.27990279537274,-0.121356126081461,0.0314892308109245,-0.267400568650561
healthy,-0.262240161198837,-0.158793473274862,-0.466821463682442,-0.621778605218854,-0.592960150460075,0.288617995526719,0.3308364428916,-0.236139460543174,0.0486033890134411,0.500426599106166,-0.243676277468785,-0.429529197207462,0.185002838125731,-0.419068097930542,0.580015248609821,0.0255149271455385,-0.186591230956347,0.121370458329481,-0.553908733068154,-0.0317034666388896,0.0117702520683502,-0.273223051271908,0.140558077291424,0.0705802862695359,-0.461223562676043,0.0083944566530362,-0.26180322040608,-0.0379675713815578,0.068314368991421,0.110858178239147,-0.523214200853809,0.421294922012369,0.0643370441579543,0.265120769819816,0.402065689030629
healthy,-0.251023680349091,-0.241267391796299,-0.235197178955548,-0.345610154953934,-0.344535377658992,0.123553292327261,0.160956467382069,-0.153523779271342,0.225567110327774,0.428131390209312,-0.124079907594266,0.536891550850921,0.236492957376269,-0.16348242266326,0.451750094395957,0.149318149940968,0.121666684608699,0.285502420856663,-0.207355285916938,-0.140480546491257,0.0161817946968966,-0.238880637437672,0.411169716180794,0.0390602907635303,-0.289237461475136,-0.0305314725521078,-0.0755530042540904,-0.135563328414915,-0.106792186862053,0.249493923268359,-0.0395399488085936,0.330494196737835,-0.0982396116207905,0.289500912117276,0.134621882885885
healthy,-0.174899335371785,-0.299556913274004,0.297371133518135,0.28586168374087,0.0973796780177074,-0.460139916428362,-0.0670295385963947,-0.0980119815888749,0.0,-0.174987658293585,-0.229994738800289,0.184282262804905,-0.0634608011189716,-0.0130229882722069,0.0558265228167754,0.0449797342244181,-0.0555479933930043,0.0818132974084054,0.348841572347518,-0.0106624693771161,-0.339432786801829,-0.0664341438220141,0.105227804448008,-0.220240329355323,0.136909905688758,-0.175399944638246,-0.150109915399612,-0.127646891461973,0.172134873776513,-0.015580555011969,0.0560736562147736,-0.276614545683473,0.111046853541907,-0.368073101683596,-0.117223501533211
mild,-0.292646006053443,-0.176608968157098,-0.339661127487083,-0.485234121913235,-0.460426498773342,0.147781571660403,0.511710080917926,-0.155524272109061,0.249935615645774,0.485513389500153,-0.155331857916753,-0.0443858964634306,0.169675913768159,-0.405987776344347,0.599901867884556,0.145685188335511,0.141680414785226,0.232738363534955,-0.436605980479355,-0.070548557122012,0.106945194896277,-0.235050342896921,0.297972687569307,-0.0375608274893004,-0.22064070737883,-0.340875788041855,-0.104660484741626,-0.351362908757127,-0.0594046468796984,0.07405741838776,-0.400124537266202,0.518264633765761,-0.0088056569182514,0.279964641293739,0.340038897051051
mild,-0.0227150510658944,-0.0987288011817898,-0.0214374786629698,-0.02067512924898,-0.019977229971906,-0.380557847851481,-0.222048727144414,-0.114734658476165,-0.210666042761706,-0.162136085855795,-0.125095409730125,-0.0202739251368642,0.0291892126227233,0.0764382697310372,-0.176130955460936,0.0066219967494884,-0.154669574011868,-0.228244575333542,0.0399528015757539,-0.0444831972599792,-0.100492692267268,-0.221700933335145,0.0018553680159473,-0.1439807858956,0.125323956297157,0.087940892921583,-0.0906766980457016,0.144958202196664,-0.0102865387842211,0.109131397058906,-0.0658636529276039,-0.288865190856313,0.038077689307985,-0.182504532406886,-0.0071080968472665
mild,-0.110474659671799,-0.111077218781648,-0.102830173757482,0.0913865007121782,0.11017598018463,-0.154393152840738,0.0448914342485308,-0.244806544655443,0.0,-0.08868430717444,-0.133682629286824,0.148058522319625,0.0819115152115182,-0.113401997370815,0.138014027291311,0.0403925884261884,-0.008632862912124,0.113156721961517,-0.0754089105599739,-0.0556261914041493,-0.234598324648036,-0.0890677912177652,0.0,-0.136061120179194,-0.045158859999488,0.210870072232145,-0.202376920155184,-0.0353364389746326,0.0514919944215063,0.149103499064362,0.0943998999663352,-0.0001518703218581,-0.126660099276225,0.284149458356254,0.24395143706673
