group,CD47,CD52,CD3,CD8,CD45RA,CD7,CD194,CD4,CD45RO,CD279,CD5,CD62L,CD197,CD27,CD95,CD278,CD58,CD54,CD62,TCR,CD41,CD226,CD29,CD49b,CD81,CD18,CD38,CD45,CD36,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,-0.17460161014337,-0.194699943163822,-0.217077967455089,-0.0036802979063428,-0.284101887577735,-0.144277826202225,0.0920835825656013,-0.0567672500413568,0.198472550072413,-0.0113392914060779,-0.0212390287815458,0.171744339719971,-0.206730729346411,-0.071155191510398,0.217900122123582,-0.0100841157885474,-0.0663299675365812,-0.0334214608227956,0.0690736929912305,-0.240061025970758,0.0698636900666202,0.0633219535114088,0.188620961602507,0.066948072919658,-0.304841776131951,-0.0267851396348285,-0.208738300848667,-0.0597833801884585,0.0072582412785198,0.0861667396161011,-0.198922009325133,0.0438509441104851,-0.0823971511515134,0.11504440720471,0.187169088609488
healthy,-0.161346691878677,-0.249439912117372,-0.455410409269253,-0.0254484537745102,-0.474981017961554,-0.372665312674816,0.0965077628464739,-0.294649255414316,0.392979099075868,-0.000521680762689,-0.34516233123241,-0.0273037497790837,-0.195156399809655,-0.342136346603581,0.298168492779496,-0.197338306777322,0.191081543541054,0.220280478762182,-0.0719566485436469,-0.504247377717152,-0.163906094841247,0.251511949724141,0.269368095877823,-0.0989029304351625,-0.290672239283491,0.162393218069422,-0.182161512639855,-0.264886761293585,-0.055056950289636,0.136079380065571,-0.23629315064379,0.288667751065999,0.15218780338432,0.206203790135192,0.256750266168944
healthy,-0.192343160716408,-0.172210604126551,-0.382865583988511,0.0483782689641102,-0.583514081932173,-0.501231409136946,0.4336317606704,-0.1203681570469,0.603483278979316,0.0967493129851913,-0.127408388136879,0.203642383233818,-0.275345227998667,-0.329570269984295,0.601585399356496,0.0266078063329579,0.418508725929513,0.286150053492131,-0.0017619097763019,-0.476248935955332,-0.0103167880423128,0.220527276859331,0.297362784884008,-0.0076591594363981,-0.110781779319307,0.163681017514551,-0.454272761422861,-0.168158406626422,-0.007561728839371,0.200247071773617,-0.437279543244699,0.485040281805732,0.254215246509062,0.507794909135537,0.377175723472015
healthy,-0.249495153488802,-0.275133483026336,-0.263439116966899,-0.0069483522187323,-0.102707351029282,-0.152846984772339,0.0890400761721155,-0.311111601757099,-0.159139241529892,-0.0710019540317777,-0.335880072212363,0.236815713052873,-0.0600083455629358,-0.152687154164211,0.0712433785350376,-0.0199311818591352,0.0018330146432865,0.0393904805147868,-0.0568124577961464,-0.202144665835209,-0.260985839747093,-0.123045171464215,-0.115419810304768,-0.175048835352019,-0.248443966849959,0.0573379147073984,0.0132882144821479,-0.24174519257501,-0.104597390768773,0.114810182808928,-0.0978851257069359,-0.105755321679525,0.042881592160319,0.0561610401416228,-0.0239063647049824
healthy,-0.4139335703545,-0.374129407157721,-0.605916648355965,-0.0396683315416018,-0.66930349556158,-0.590878817999622,0.242623131545283,-0.336385893349664,0.536837365364682,0.0258055811227778,-0.380116890843551,0.0410063753568851,-0.311141380939116,-0.345493565755252,0.525738006016932,-0.20450935873919,0.239798248118031,0.311838023890355,-0.0647848592994863,-0.630911128301252,-0.0826362172379673,0.389084676029643,0.282694005008117,-0.0656069437790148,-0.405846618644713,0.265191519286485,-0.510398499090008,-0.358047469244006,-0.0259378943696089,0.31266024393434,-0.488113250592622,0.52262146046702,0.239804708880733,0.391286732836286,0.45939580970149
healthy,-0.234335466785079,-0.156008811508201,-0.243348388951722,0.0472569799838325,-0.551829544536217,-0.425254385434392,0.395399903511956,-0.0903757768864232,0.61382806014773,0.134436953314047,-0.020138657156958,0.257636577210507,-0.183086573602903,-0.318724684333963,0.657695425677829,0.282538645443831,0.333761359047494,0.34828941478441,-0.052036063041019,-0.296800057369605,-0.112801220006458,0.228843413810402,0.261483316467961,-0.121226364381557,-0.133420049291964,0.45699542500083,-0.369171702331857,-0.0349401627485246,-0.0989469897817982,0.233602776877141,-0.246180121919795,0.510633428788469,0.232190357163451,0.472294404965795,0.288034459250887
healthy,0.11242830201536,-0.368146714869091,0.0633832401716656,0.0789508777623689,0.0682611585985904,-0.0388007884908354,-0.120044384580976,-0.130356558334791,-0.248790169250073,-0.111046853541907,-0.234976839716515,0.334223924965435,0.0644944607907144,0.0175368345145065,-0.074241768721079,-0.129011857751752,0.0053341283360741,0.021434772534913,0.233774436397034,0.358012324900141,0.315240580554587,0.191518870693476,0.112016695057557,0.259571953716854,-0.108137328994957,-0.0324896907742697,-0.0593450561017398,-0.0482780947176501,0.260849855372021,0.124542255403491,-0.0552781257117642,-0.166017110303455,0.0,-0.029857973040888,0.0039361105689814
mild,-0.280403045378695,-0.118762767440915,-0.355606011780091,0.060901989149111,-0.655975051546633,-0.599797843410701,0.427138491834542,-0.0980498146331903,0.648842474216217,0.107302191351866,-0.153334075751568,-0.134359547329504,-0.26232000442691,-0.488343866475325,0.787769416645114,0.148577903686629,0.382576872971277,0.403279215744012,-0.0256929655536855,-0.504221380402172,-0.0228811803208019,0.413147086820604,0.442121224631673,0.0014335989614385,-0.24523486814126,0.416038510413797,-0.296085214428547,-0.0735217287814997,0.0039227334842643,0.395348564312937,-0.434426440424324,0.618894361686184,0.250506779737505,0.3001168300855,0.396614710518608
mild,-0.390502228957101,-0.354556517528123,-0.332492037866522,-0.155434629340755,-0.35966737247244,-0.454159197170904,0.07540754475236,-0.227390960779285,0.306157402882661,0.0931701134142185,-0.266006542226399,0.433804359457232,-0.293472358645147,-0.202425284328282,0.382508133367648,0.173034832136553,0.1212494823328,0.127428602110912,-0.121801964599951,-0.260936401598783,-0.100351949627248,0.100768452779063,0.126697680834793,-0.157072389302167,-0.053248787260493,0.181848049498086,-0.280047334581522,-0.303089591425647,-0.065614878379338,0.381882737146106,-0.109524226626369,0.190668839604079,0.0997733109550288,0.259756936534192,0.124313030334801
mild,-0.288393178362646,0.247254799761387,-0.196510872752032,0.0424371018524568,-0.347577136287745,-0.2526883422934,0.11188452665936,-0.106734508123636,0.126974018409583,-0.0198548263730298,0.0153751761166129,-0.001365160164356,0.122552204164563,0.0106292027581988,0.137306728699285,0.101927083402882,0.0,0.127346952160839,-0.282217701342737,-0.346517318922236,-0.418123791682496,-0.167332759124702,0.0,-0.140430167984094,0.0226064904632375,0.0,-0.0855951595789544,-0.0758293906277772,-0.192563959267725,0.248826523034222,-0.0891335877720546,0.267024938752102,0.0,0.298897877937063,0.11366300520111
