group,CD47,CD52,CD3,CD45RA,CD7,CD194,CD45RO,CD279,CD62L,CLEC15A,CD27,CD95,CD11a,CD244,CD54,CD62,TCR,CD41,CD226,CD49b,CD81,CD18,CD28,CD45,CD26,CD49d,CD305,CD99,CD82,CD224
healthy,-0.211098817363977,-0.153303660700934,-0.23539678768827,-0.265660270795029,-0.207294839882211,-0.0524577396054101,0.132216312961228,-0.146175328838438,0.0477060006926919,-0.0381366819313622,-0.33320424382357,-0.0061582240222997,0.0227170321068164,-0.0423623631572434,-0.114483562401902,0.083059840474666,-0.237059183571994,-0.0572993976686366,-0.0191826875825712,-0.0824460100021633,-0.231028005141863,-0.0790517605729445,-0.0358932843849761,-0.225157721442319,-0.0119162910795324,-0.0497456964605406,-0.223088263487036,0.166621733585113,0.200753300355566,0.0535075705436609
healthy,-0.194545450308018,-0.281299006047062,-0.471405324439153,-0.438617894451172,-0.391186135894875,0.125441368365864,0.369032595887855,0.0042732748936946,0.0270424262070314,-0.0304078730381069,-0.275831814027407,0.262332886011636,-0.0155372819352589,-0.0379217748717434,0.135834947054125,-0.0249130231178826,-0.539022466590428,0.0003378563046252,0.249244353591543,0.0400004530923052,-0.221659047913987,0.13933858499087,-0.115527722583758,-0.224806929362223,0.137658643374927,-0.0269585924321899,-0.276029868260535,0.158189143842471,0.21159856136391,0.198401147112784
healthy,-0.184867555825265,-0.230961209621945,-0.199304741457728,-0.107796114096746,-0.327797899159738,0.188295582554066,0.115986343068848,0.210763328325555,-0.1064647188562,0.0998882331925173,-0.337975583871839,0.190918572995107,-0.0945597306475952,0.20587773228772,0.232913740567575,0.240805175733969,-0.311371880208172,0.128786740386701,0.301920190424992,0.218948660409755,-0.217437982644457,-0.115926017732789,-0.15189458822826,-0.178795210865565,-0.260892311402449,-0.049816745468924,-0.164567156061811,0.0543292465002919,0.0008091147544147,0.0505774784313895
healthy,-0.267209148314104,-0.18131627484617,-0.179407709529575,-0.263469928326865,-0.311566316977755,0.186269308126621,0.108151986007877,-0.0596760155922139,0.172212296112449,-0.201899726550901,-0.265500164432432,0.174489842874681,-0.0861620700945976,-0.165685734213138,-0.0936363744498814,-0.1597796547812,-0.115427353543127,-0.258780437085841,-0.221768315733668,-0.147625179135272,-0.255541060237952,-0.0508875725716976,-0.114796613542276,-0.171423245879112,-0.494967977054489,-0.0654955129452337,-0.175818005056197,-0.0158042791735091,0.10728314392327,-0.0684370081353764
healthy,-0.262354489919883,-0.298621074588164,-0.269757692839591,-0.0263078135852595,-0.173452532506865,-0.0635715430669255,-0.0048292216163003,-0.001768093747423,0.094343146498045,0.234195759666686,-0.312788328873379,-0.0285874334692248,-0.005288308799216,0.0344279067029392,0.147943931222172,-0.0780196877172469,-0.265665864150163,-0.148954348234173,0.260860992773141,0.0024159946354123,-0.138173599149689,0.0999452694289499,-0.0914994266362892,-0.228316736835259,0.103035708492904,0.120247883883198,-0.0409556652086258,0.0300575746469424,0.0545066328559127,0.0230999710513617
healthy,-0.437013201190181,-0.475233237862695,-0.368159866716629,-0.289285397415452,-0.307252080819222,0.176990841309316,0.304847352563347,0.109300331644412,0.597828990287014,0.27630100812987,-0.272214457032569,0.314371672290942,-0.0121219052310813,0.0940757209423238,0.211577013786418,-0.0433965655608993,-0.31677397810336,-0.0521553730615491,0.202594583035758,-0.0890861442122792,-0.325463176903414,0.207912875000756,-0.109988703867923,-0.295053208458952,-0.0753644969170143,0.362311730259195,-0.143078076202271,0.258316760526402,0.340936255284588,0.110157343100544
healthy,-0.199926864766765,-0.0831633015030159,-0.312388860029767,-0.261394408783978,-0.198940160379082,0.405435487892168,0.313552691563839,0.0150325434925725,0.0471759165565074,0.134302912776116,-0.134613303758875,0.242208734165153,0.101398030304289,0.184499200696875,0.274462815038077,0.0541641264343365,-0.387063894836837,-0.172808192918682,0.0964601650257501,0.0474229741151152,-0.0838912911037112,0.073223034431563,0.106131533739231,-0.0519203220327615,-0.0607371574017889,0.0522723182703246,0.0660979027650622,0.336350409385657,0.348374779698693,0.177142826445748
mild,-0.263604901480366,-0.199571522161051,-0.165284750303794,-0.291889714260405,-0.548597410330604,0.120987110616793,0.392842450391369,0.120266590560074,-0.214304930639427,0.648058078351874,-0.58598690858106,0.555663804371894,0.499824868753059,0.522626622259481,0.607768583304108,-0.0082373405452949,-0.293764538331541,-0.0053937275316484,0.530231277184956,0.0025581817750427,0.0696712137612683,0.531290932593301,-0.257864988704524,0.0869212806864467,-0.362669775675648,0.476851637580627,-0.2505490697413,0.564889628899921,0.0192615690584801,0.0554159698090378
mild,-0.294221442188233,-0.378036503525052,-0.217088607671903,-0.0250258210039294,-0.174461996489354,-0.0270072242261792,-0.0621730965489202,-0.0909117293000304,0.62082568493632,-0.0431507661008343,-0.0455191316513641,0.0116394343541276,-0.0818939602891185,-0.0717198177476575,-0.033425891307047,-0.0771443885695915,-0.0552070990405964,-0.078627094765172,-0.0206428413324232,-0.137119878724342,0.0532421628182673,0.0741983731444087,-0.0528906109455227,-0.324659344451595,-0.0004869641279892,0.348398526077926,-0.0726915944169822,0.0195797906223743,0.153750696584613,-0.027604968578992
mild,-0.191256041233452,-0.193635508759224,0.10810387468342,0.150569202187443,-0.11319311673738,0.161158941671827,-0.156999364727452,-0.0431328986724441,0.226831331578619,0.078499630946557,-0.269274172828717,0.0151818297447166,-0.0081696542600442,0.0501175583046044,0.0712180952406544,-0.0749184748417338,0.165282978628292,-0.166340272551202,0.0300126700474831,0.0513880040863209,-0.101985255646939,0.0,-0.0945745910394533,-0.149941522452836,-0.13896491033689,0.0673109213560711,0.0318511577045513,0.069519694485587,0.124728061845917,0.0440475062580775
moderate,-0.436814000450251,-0.357215837833223,-0.182982289143593,0.170516005366707,0.133242681873028,-0.375543630012902,-0.290649230477091,0.0422775156715701,0.244428401390522,0.26769299677025,-0.0450073410188575,-0.373992021390335,-0.0063407444620497,0.0090055313344439,0.0375293442504123,-0.0529744363457096,-0.0640938397119803,-0.0656035782539864,0.143735011949738,-0.0057178790574831,0.056266405825565,0.0117076011756002,-0.345371563283448,-0.23258556253182,0.0436221441817294,0.317916318156863,0.192089886878325,-0.0514333779364455,-0.112082423957242,-0.191504757570314
moderate,-0.0409503301525214,-0.240656289717979,-0.23061296009793,-0.133338184667127,-0.222696824048995,-0.075623706364777,-0.0541396540680929,-0.0528711745419415,-0.320750777247675,-0.0652512897774994,-0.104874801220107,-0.0549160499771336,-0.110615657141386,-0.0413383853583208,-0.0062367902579357,0.0715625043968077,-0.167458488461499,0.0341865721703477,0.119711554887556,0.0679064948320132,-0.171453179528141,-0.0961058916451014,-0.127018395705165,-0.20672391973943,-0.0876199134551523,-0.068234884349652,-0.155351481044039,-0.134141421351095,-0.170116317165425,0.039755696273427
moderate,-0.248530603343434,-0.176024934175598,-0.316635287804886,-0.383606472250808,-0.47138296572533,0.0934949259572041,0.332422784466331,0.192421865320318,0.0160640331164802,0.332536189057804,-0.488348258092174,0.321739379253053,0.19551682154167,0.241306475378557,0.232911475030635,-0.0227999185242716,-0.298508793103017,-0.0901340999773428,0.162023547237725,-0.0453212151020354,-0.19004706290316,0.302107198904543,-0.24698423062871,-0.144911030147286,-0.371659676852973,0.300028664217888,-0.1344563320719,0.257265175206454,0.13565817865356,0.205942626387701
moderate,-0.082826656988973,-0.233197405506912,-0.216860547831726,0.120115922764161,-0.296367216922373,-0.244148532580308,-0.171314853340112,-0.0106156036219152,-0.0245132281104612,0.303164215303491,-0.581496132283555,-0.306781225115503,0.125449613914409,0.0634374062720875,0.109283945211409,0.0423455742769932,-0.147788991667045,0.0487500329696788,0.23736357633506,0.0397670829273168,-0.0260448826179497,0.131407746137283,-0.64935516819428,-0.191485998728919,-0.218923221057256,0.186404867685183,0.0806315338711781,0.133442399130083,-0.105696688732327,-0.111486931041729
moderate,-0.15835174897465,-0.248611348874697,-0.366351702774587,-0.239233467262278,-0.0796993548332024,-0.0082340819383631,-0.0480433650221884,-0.0640520855397994,0.139912348450337,-0.043396846493703,-0.191612514647067,0.0070786319449299,-0.0431375087533604,-0.0083943263986535,-0.0155241107230101,-0.0097552066480368,-0.269516828868894,-0.239038094584748,0.0390847536621082,-0.0087045874910725,-0.129740502984642,0.0662061275358571,-0.0547881726016345,-0.189271212226478,-0.0091757231811176,0.185398771633814,-0.101487437861053,0.083273798250266,0.0919130123618157,-0.0220353169402036
moderate,-0.251758185776919,-0.291376614011204,-0.394285914860349,-0.487297118949753,-0.360994882250506,-0.111300396119011,0.124972117074301,-0.0626711772739274,0.103446652412994,-0.0871033291657673,-0.374058141192532,0.104219217518038,-0.0805613766502888,-0.115503040074557,-0.0967216699960691,-0.141141009678318,-0.415279979906997,-0.194665005868027,-0.0239902858378163,-0.095564603933387,-0.315951830674669,-0.117730882548526,-0.224636564193234,-0.289655549464176,-0.252341275062172,-0.0259841908958465,-0.229448918333512,-0.0097901329167133,0.018621957707881,-0.0825694718229235
moderate,0.0345576115568062,0.0700671370158725,0.0865075645427678,0.238717961696137,0.257659253519343,0.0187006095442491,-0.0577311905502499,-0.0623646350937296,0.437043408201857,-0.0063020949462875,0.0848103816070838,-0.179759084674245,0.0005155365379524,-0.0579022638356916,0.0549900189415289,-0.121071034697754,0.213483320819049,-0.163872658853272,-0.069374784994264,-0.0123888818210737,-0.0096663356106894,-0.0193345899519603,-0.0559944793767872,-0.0946903653328241,0.114014794735787,-0.103409108856061,0.191877695843762,-0.0225199210725041,-0.0405699989355667,-0.0004016595782372
moderate,-0.460596520535778,-0.455905971593949,-0.453971893580883,-0.247470045610152,-0.366238734630519,0.0941391240825284,0.117197994667287,-0.082139303745186,0.541332165482144,-0.0153920420406756,-0.390927330386835,0.115944389669516,-0.10385337569212,-0.066649651951811,0.0628277336084181,-0.0656722385860987,-0.403109494284817,-0.0025725009693898,0.187496326965299,-0.0427396086179832,-0.158736320057584,0.0933516160858091,-0.196456244727213,-0.45229194826981,0.0483923565543302,0.351131802509796,-0.25979224007863,0.104827362220413,0.331502935951959,0.126118613814815
