group,CD47,CD52,CD3,CD45RA,CD7,CD194,CD4,CD44,CD45RO,CD279,CD195,CD62L,CD161,CLEC15A,CD27,CD95,CD57,CD278,CD11a,ITGB7,CD54,TCR,CD41,CD2,CD49b,CD28,CD38,CD45,CD26,CD49d,CD305,CD99,CD82
healthy,0.158697433603455,-0.062670847164164,0.115032446065061,0.415609495190983,0.21349284624238,-0.453144912133451,0.0414925612471336,-0.121999649979329,-0.492474234586197,-0.178870554827163,-0.187615499459039,0.279148049715284,-0.0773703614004019,-0.117388787605155,0.158273059659277,-0.544646409930858,-0.141125870625409,-0.295697609826474,-0.12134990275217,0.020179516838296,-0.227667254599187,0.253160957549306,0.235600080985946,-0.102114523636631,0.161867521761639,-0.194051855104044,-0.0025427362601925,-0.0312809261084397,0.124943550366297,-0.0236749475287462,0.189577370109647,-0.312104531774627,-0.143438163077986
healthy,0.0645681170902016,-0.176095854526479,-0.202651551938618,-0.158637757653097,-0.144009657403431,-0.005405675153292,-0.0440839274504536,0.109026043003437,0.163867912562296,-0.0884081641032273,0.0524692490642763,0.091606034266715,0.0225032866296591,0.027876289558918,-0.138431313091116,9.80369936523485e-05,0.0111723868142001,-0.216945504562226,0.0022052425347075,0.0472257521419907,0.216209152373647,-0.16320842803747,0.0770292356148857,0.0820021081547467,0.08163199411663,0.0398705346380374,-0.0617396903098058,-0.142350567114195,0.350636666575624,0.122696839856711,-0.124952068475096,0.165522915411951,0.20300385841009
healthy,-0.261572732684308,-0.379715328298975,-0.0967609285965919,0.478279590283334,-0.0516511695839255,-0.328818059611766,-0.231462925924234,-0.414266088451477,-0.558936951829271,0.103743218949067,0.0975402707643916,0.191778117216002,-0.124840816565648,0.0016771188707335,-0.164386761003761,-0.514020702515431,0.0562167462274171,-0.305000801624848,-0.436113940666655,0.17042342095333,-0.0472804650877862,-0.026696348198187,0.208403283185715,-0.353773084775806,0.278165927535949,-0.448315156009177,0.289658604109947,-0.298425802112289,-0.128981824511493,-0.142164153948518,0.168589463666032,-0.462340296017456,-0.310154092087024
healthy,0.133434636597453,-0.272135966827196,0.0162054263928378,0.261156156607974,0.134732132013526,-0.439681896491717,-0.134591520848141,-0.116728191277454,-0.384472304832885,-0.151498570819605,-0.0796427039930367,0.113392326681502,0.026125388656013,0.167629400012096,0.163194275881652,-0.460927052326316,-0.0558281644808178,-0.41546257983243,-0.0608382990898189,0.18059523206899,-0.0806079758727445,0.0583972533596923,-0.0233779336211633,-0.158098436161779,-0.0601765734760145,-0.275360715843245,0.0219671762443554,-0.139996116660125,0.259554114791795,0.21578651502139,0.178689337516673,-0.331554033560063,-0.175328572181793
healthy,-0.185303988457028,-0.361723741480297,-0.156410990594871,0.0251745743821515,-0.0091830664612553,-0.139180833136259,-0.146278856913072,0.046120295203619,-0.0613854584315771,-0.126923795414446,-0.0983024687280133,0.714364804428605,-0.133539620243246,0.0743755914733864,-0.0349284414888604,-0.108608095457505,-0.113235093200383,-0.0551823475713642,-0.0397957982731254,-0.0097595717044186,0.0311146315994338,-0.114447174702974,-0.0460400042106005,-0.170129965707193,-0.0664377846491808,-0.160497493888964,-0.0187661158746826,-0.155550616947705,-0.0061652739056316,0.127511690359107,0.030728781308212,0.0486380128095424,0.127769794777838
healthy,-0.340589077787997,-0.321430533815119,-0.226978011325579,-0.208829578865992,-0.204536140776141,0.0944747915292066,-0.142718218006132,0.221623406279991,0.314396445980185,0.149010102411871,0.0860134561027292,0.698360529351088,0.0361002830885101,0.261620425914381,-0.17588604322684,0.361968047859264,0.156613184523105,0.238676219081129,0.0853216496473167,-0.0447897309067929,0.235348770006803,-0.199980484269339,-0.290003470999314,-0.0314236475224423,-0.270573910963599,-0.0388774240760058,-0.21840887221824,-0.118192168393031,-0.0983398851096066,0.291963429500404,-0.0427725976267714,0.361181913373524,0.274769708241284
healthy,-0.32683051479748,-0.276253742629148,-0.197785566731332,-0.0901133524758689,-0.277398500418065,0.185882732697057,-0.0871945540106112,0.0,0.0280559948152771,0.0916500232289099,0.0578348280386088,0.227527222293716,0.112016695057557,-0.0068387687021149,-0.104245023302935,0.100564764025777,0.0052777396278994,0.122209211608609,-0.0897976573328668,0.0637736191242644,0.0753322008859649,-0.440089946786296,0.187444922823644,-0.156496103520407,0.0886588250555663,0.0154117796084145,0.091020360176315,-0.368911711057732,0.0242616323999705,-0.0288653108795634,-0.0009206227552494,0.0663776442892499,0.191417945570907
mild,-0.0382133987291555,-0.160218459008878,0.110181294938477,0.120154574629651,-0.111100967552005,-0.342101570943909,0.087409646244647,0.0049960703774365,-0.0805121959611263,-0.0321935165551243,0.227260336067097,0.223381362820847,-0.0346726561504158,0.435107722224228,-0.121473397696483,-0.122502332017815,0.317706926056782,-0.249815840261562,0.176384655005541,0.109754158588738,0.273208405093515,0.0997786353272202,0.0885092037515702,0.135526614557123,0.10870749561002,-0.362696265603718,-0.0603632462192122,0.106571870567504,-0.127314296873601,0.266953268743023,0.19385826060486,0.0088153795649204,-0.222790401753466
mild,-0.159802068680535,-0.219133053107569,0.0603959676948534,0.313584667483622,0.182704294509707,-0.220115147638407,-0.0794938882657879,-0.0181701578399794,-0.307398587416312,-0.158656583793426,-0.110767111384143,0.546113096036513,-0.0395215489872648,-0.102474641527433,0.161832422756663,-0.349697940482985,-0.0338911758823518,0.0012578932008529,-0.141113699989346,0.245991966903972,-0.0764712659767611,0.33715261607552,-0.132921152920797,-0.219297036500202,-0.143582120738794,-0.052662611561459,0.149673835441053,-0.16593693265135,0.0490562005223005,0.158733736439145,0.144002479634405,-0.0304090101222417,-0.0983702038121284
mild,-0.263655049836745,-0.49151858763462,-0.178855398670713,-0.130069212387932,0.0480886120100042,0.0969901495500515,-0.127445873218784,0.0,0.205772434055289,0.0540872856368743,-0.0881977263502418,0.0908330022839927,0.0855811481596113,-0.233110883181874,-0.047183214466564,0.225223226831415,-0.0910308301959419,0.141261919276724,0.0368552713210554,-0.0836507036246277,-0.117987963061289,-0.124562485934374,-0.130879144693997,-0.336084374713648,0.0526953076580819,-0.146871936030272,-0.0271938274785037,-0.104654603944651,0.0659759301891289,0.0624842461165069,0.117546595944054,0.0309699444539233,0.200487638618082
