group,CD47,CD3,CD19,CD45RA,CD7,CD194,CD4,CD45RO,CD279,CD62L,CD161,CD27,CD95,CD278,CD58,CD11a,ITGB7,CD54,CD62,TCR,CD41,CD2,CD226,CD49b,CD81,CD18,CD38,CD45,CD71,CD26,CD49d,CD305,CD99,CD150,CD82,CD224
healthy,0.206933855347171,0.155499562643673,-0.0423921754536948,0.475217430375228,0.39691054616378,-0.384448006077903,0.0260810123299147,-0.528310151776216,-0.197036595439088,0.470999442466682,-0.139063672193416,0.220841618119494,-0.618850888117552,-0.261315956866464,-0.20083165990381,-0.138998204298378,0.0498019932139095,-0.248662147189253,0.242231468063018,0.278046212575169,0.201994708612106,-0.177685971758301,0.0216927024101123,0.149941809409947,0.0704748335954185,-0.0803495361094969,0.0927006017477853,-0.0066253054595328,0.0584130064142756,0.0130896427624441,-0.135062831418999,0.298821565067653,-0.378833360628978,-0.146688876627973,-0.20463396286272,-0.394052334550177
healthy,0.176057124652811,0.359505733833365,-0.0172154208550701,0.605897683664849,0.436936936063959,-0.215653208259874,0.214526546146269,-0.564623714180229,-0.133007155733681,0.582202674689045,-0.170598235843892,0.249019474729091,-0.538330239671239,-0.0179234145341797,-0.189530550781818,-0.179982961248271,0.115058143281367,-0.231161102183014,0.0876108707451361,0.489266695686425,0.0830635779515967,-0.113520170238233,-0.240589797026208,0.0652952687027989,0.076838338478707,-0.148273681986101,0.225769361110117,0.0108876519570271,-0.0428503590948321,0.0105481923479778,-0.113122050512399,0.290523240593553,-0.363514919929747,-0.163154829497148,-0.165304379758621,-0.422756833457452
healthy,0.108904818130574,0.30823069803208,-0.114776412600446,0.533915046740954,0.443127294364223,-0.444897488298426,0.120145837692585,-0.57975395560541,-0.187222082304368,0.183553508845503,-0.217424579511161,0.337060149608278,-0.626764580742425,0.0329767305325021,-0.46891871283715,-0.162737188032125,0.11073663366676,-0.324739304247233,-0.0160829468954692,0.467076621900713,0.0253297065813936,-0.129761451652806,-0.256642797993931,-0.0482733499564414,0.100746180120333,-0.132494679587722,0.314362661611823,0.081636882927204,-0.165428977345666,0.229402362617788,-0.11618096926539,0.379775178537437,-0.437363620381377,-0.281225538226529,-0.301503654505157,-0.315137926633164
healthy,-0.0443926479983663,0.101267767045536,-0.0318800491263626,0.276498480585868,0.23349100097922,-0.234472452504823,-0.0628429121383242,-0.30446022223658,-0.0767203237812619,0.393990342617465,0.0239406268923283,0.216746917146284,-0.31543850348199,-0.185427859859112,-0.0592459658239627,-0.145233862870289,0.0883849279634152,-0.0939019915390654,-0.100122534931054,0.160229659228459,-0.112373447530459,-0.157890512120214,-0.0751380813751536,-0.130583758762777,0.0694174609812123,-0.0551968926206802,0.0631257535670543,-0.134487874401825,-0.0967463166865699,0.197184898593243,0.0616085748537433,0.142451787523587,-0.220985496579055,-0.0558778126755856,0.0228482242139649,-0.130475853786431
healthy,0.0884790612485181,0.266234361067647,0.0446324300757445,0.538817337896341,0.460899566504647,-0.302621513288721,0.0540527852973169,-0.514262511546813,-0.168181962645924,0.430637186990103,-0.155690806587263,0.220150429815587,-0.586951477287822,0.0265640167913791,-0.251051906055688,-0.213287321702894,0.187922653446351,-0.260459371279911,0.0413406689099296,0.325778743141486,0.037636991868225,-0.164657129814572,-0.292711774423481,0.0028643617946306,0.0868571610422552,-0.199275207163021,0.406082671109657,0.0250585756593757,-0.0370026924068728,0.0249339624067624,-0.114382948314634,0.418451303683313,-0.472712150203509,-0.258947120562939,-0.23110548602316,-0.402620027513393
healthy,0.130874508073022,0.222429586482555,0.0322913697786644,0.553451051036727,0.448288572466164,-0.394197165187785,0.0660082577940486,-0.608017603371083,-0.0709509499141807,0.0799561586986128,-0.105137615331241,0.223330897817212,-0.659541863313903,-0.304210878419475,-0.341191680190089,-0.317842140796817,0.190808839488547,-0.303070039426474,0.108597353304811,0.273907694550062,0.0770292749599854,-0.131307238612699,-0.225764164918371,0.0609759356427079,0.109971698263954,-0.395135563415864,0.356463168306826,-0.0103367247244646,-0.0500643106199496,0.183060641922658,-0.19629064230393,0.233940878067901,-0.43204892069691,-0.244199867771456,-0.370348135951426,-0.324816425302235
healthy,2.55314135183798e-05,0.0405572330176058,0.0,0.0936436556466257,0.100954046971745,-0.230992030788068,0.0375402199918402,-0.277031185977579,-0.103288121416708,0.651921875967581,-0.0286103247116703,0.0078601663697218,-0.34163594206866,-0.165271484675186,-0.0567357286655157,-0.163706772489692,-0.135830028742893,-0.0707061814339284,-0.120309355704447,0.237344776519394,-0.0051364850874303,-0.215352445339684,-0.142534061818793,-0.0921467185507988,-0.0441277889620677,-0.111046853541907,-0.136506616318797,0.017134275515845,0.0,-0.235924519829668,-0.0543689691458402,-0.183305126521171,-0.126731523855977,0.0,0.138307169059405,-0.0809862931203659
mild,0.260216996329644,0.2648661784357,0.0358179201221328,0.470629621277696,0.502379520895157,-0.393057603015295,0.0677301869862513,-0.496562977953241,-0.138839896819896,0.262134412102949,-0.0791031391381736,0.474122388058608,-0.665224441868275,-0.138751008787502,-0.350423272743297,-0.372619438369534,0.294799839573615,-0.394601706364849,-0.0168047463168946,0.388204036107699,-0.0022629373980157,-0.212788262672693,-0.418835073142929,-0.0054607361928872,0.150701878745944,-0.396836719543107,0.200115981458155,0.0048885198307168,-0.250307836149555,0.378606759797287,-0.264710357221268,0.360865822477319,-0.566261504590653,-0.172898069638253,-0.175215673774712,-0.312246799787114
mild,-0.0781559756757176,0.0832837868652629,-0.0452706192959295,0.49512588981557,0.292610839013039,-0.276643424262008,-0.081783615059534,-0.508897232194232,-0.254098026896191,0.5661006130477,-0.181034880948762,0.223278227326104,-0.530943086190095,-0.0185199272464989,-0.263073232297759,-0.286941840162472,0.293578785630418,-0.253191286485601,-0.0404799404022871,0.382559547159462,-0.0594613432693618,-0.282857464022342,-0.255870049638428,-0.0634559319575884,0.0073766659931032,-0.212365901931025,0.271158502419326,-0.173655560935775,-0.134373627501519,0.0460637080407674,0.0444130396834339,0.142682329269947,-0.20439544630151,-0.331384300814189,-0.244004105062112,-0.288130509814937
mild,-0.165626622418307,0.227316560229753,0.0,0.0892620037773283,-0.204977187952548,0.24331648670282,-0.0723088355278546,-0.061760601875003,-0.0225934231141374,-0.147931976574053,-0.102012728606257,-0.328133240612687,0.18148302167252,0.0340593241391672,0.0,0.0438459834507524,-0.1192134701924,0.0742625252424909,0.0016943458799785,0.0077115605864357,-0.0915345548520884,0.114879355573944,0.0317596042579385,-0.0496322095081893,0.0114145706935191,0.0,-0.0088227679164745,-0.125452411214514,-0.0801039546773962,-0.0527218643380291,0.18073778948583,-0.0531822298590992,0.0169493607123787,0.0,-0.014940431644665,0.14082815858397
