group,CD11b,CD11c,CD123,CD14,CD155,CD16,CD195,CD1d,CD224,CD226,CD32,CD33,CD35,CD36,CD38,CD39,CD41,CD45,CD45RA,CD49d,CD49f,CD52,CD54,CD58,CD64,CD82,CD88,CD99,CLEC12A,Podoplanin
healthy,-0.196837189017945,0.412721892759562,-0.0695032957576579,-0.106395623820314,-0.361818681669604,0.316525181131265,0.0581675905985262,0.0255717662060382,-0.163716058622956,0.0329244512982727,0.35628027253221,-0.196977640026216,-0.364099845136268,-0.327592114088427,-0.326069100272281,0.192561114022293,-0.20061277792666,0.38514437794382,0.182439151259599,0.457861572164743,0.0256005478303771,0.344590339255429,0.425866433097587,-0.0744567386217112,-0.227487457574548,-0.243227750243179,0.348095466944141,-0.392241132599028,-0.151235163795858,-0.0239764705381821
healthy,-0.783867492293079,0.0352404442394766,0.373955241716218,-0.716343477563859,-0.650183826056788,0.528979482686152,-0.511262399140923,-0.653416539252584,-0.685008395799331,-0.579828930309176,-0.083195051429864,-0.76100635413144,-0.761313199541251,-0.8044640070731,-0.747867628072858,-0.556398828828275,-0.659969833638318,-0.0158684162013011,0.518596677608643,0.390799375181599,-0.616540789220223,0.193134286001043,-0.277099999318079,-0.513392122248517,-0.778179762826104,-0.586131237699153,0.232244923949088,-0.741944536595655,-0.587174417106408,-0.362033366868576
healthy,-0.575400521937587,0.43446568650221,0.302574246444085,-0.620450553177352,-0.480902869803126,0.670061561088773,-0.383336600027789,-0.353297667238742,-0.494398633187564,-0.509215984186911,0.360747458508481,-0.701176640215164,-0.591849168515518,-0.641861770151054,-0.629155773103898,-0.193389833314597,-0.45985977299135,0.333308025826132,0.479533416100003,0.432706799332726,-0.496078387800476,0.309875586060344,0.347936092836425,-0.480025438278615,-0.672849862571384,-0.511655089335986,0.600812874169601,-0.743394441891843,-0.379049612336837,-0.355411398600109
healthy,-0.335435637567305,0.50941919560435,0.201163461391664,-0.447968490275386,-0.528694135318403,0.633759628976996,-0.205854354783115,-0.297151908023055,-0.292299760677518,-0.453812490429089,0.207899188780548,-0.513725435173604,-0.324086347320994,-0.590788906182754,-0.551699920401204,-0.10436299622779,-0.443722102517181,0.45935365939961,0.404347295489252,0.306499038092865,-0.339463095595871,0.423420338237749,0.448685187593743,-0.2518332778305,-0.597657359881341,-0.327133451152659,0.621588406809346,-0.638743159943238,-0.452496955748537,-0.232941143014621
healthy,-0.395943933153354,0.292899800809245,0.37941627731225,-0.358136206315527,-0.410652340292037,0.439984669940082,-0.115125873721226,-0.142947972832569,-0.322674796971338,-0.182250175833309,0.158410570096655,-0.407245725129446,-0.5199023451222,-0.376002948126564,-0.521156997090098,-0.0185289955704597,-0.134280975780417,0.274879429989044,0.2309103689494,0.51802434805362,-0.221876060134521,0.229393559076029,0.381323190119284,-0.311380330630531,-0.415010835347021,-0.437447890826826,0.248654995265815,-0.552498872668922,-0.31266026532372,-0.188805360974283
healthy,-0.498960957618538,-0.0377069325820262,0.132025827881885,-0.367626522116338,-0.179567787019805,-0.0247871469440794,-0.319689915010522,-0.50147088082391,-0.336233371646806,-0.248533324361082,-0.0582972021693599,-0.323678723501159,-0.330874850405666,-0.385792548537393,-0.343585498590017,-0.324915007524334,-0.178577430875364,-0.0739768775673186,0.284695774337867,0.0484965923230681,-0.222960296209503,0.169678952506494,0.0148650498848481,-0.401002798741412,-0.35586468902678,-0.496147269674751,0.12583955679475,-0.402266275613143,-0.383373849409868,-0.379316596888466
healthy,-0.877381684363845,-0.207141828733242,0.795477769797328,-0.824744370373199,-0.398751899037656,0.738551635650335,-0.558570669426662,-0.714458402900442,-0.767850964632692,-0.535430968874888,-0.118069285046185,-0.873742100035954,-0.707275068856286,-0.791042306576228,-0.715608565402819,-0.307662209512654,-0.557035952637036,0.139047532668137,0.49727521463473,0.15497691828573,-0.644177126412572,0.260923103251025,-0.039090962249019,-0.734908125131271,-0.776413678255586,-0.622080659000488,0.556809071536403,-0.724326163450688,-0.620663934007934,-0.668616854999985
healthy,-0.485388597690047,0.186015219575851,0.2914383311725,-0.404913499843953,-0.219730910772738,0.417142648964051,-0.251729845562925,-0.25065838489167,-0.356326281346613,-0.209956146362584,0.0488954239954998,-0.370863973973206,-0.552186538537958,-0.515529194884704,-0.439020476308187,-0.085950247643848,-0.153852498112007,0.223144210041992,0.314661206333102,0.493294803260857,-0.132479044359134,0.259559770004205,0.303441001241659,-0.291076258584182,-0.438293169716031,-0.324231561112985,0.245757449596963,-0.389481419810074,-0.189469348500271,-0.258453067973502
healthy,-0.692484682234776,0.130838636416838,0.318339261656792,-0.523846241820527,-0.449071473271658,0.557922546957481,-0.215631597150402,-0.213455085998204,-0.4527782047246,-0.208105420961489,0.0382873397294061,-0.580377166556744,-0.592461927723256,-0.594493558710243,-0.546130069516404,-0.321829726706465,-0.260303749357653,0.207141234051795,0.406696019443474,0.473580015236826,-0.14620315367562,0.293469508679382,0.209806104696885,-0.456663568147906,-0.536352661463453,-0.407384254201954,0.25088928618439,-0.475336584713242,-0.256306588187991,-0.265024218028148
healthy,-0.653633335366122,0.355449448289301,0.25468236807653,-0.489961084404055,-0.442826184215478,0.531794795433616,-0.181980443258842,-0.251181500715971,-0.44822496695245,0.0592530844820689,0.292642131869738,-0.469939138425582,-0.700207225282385,-0.467621530510867,-0.494017928769597,-0.0177487072681188,-0.0523411107440312,0.291912027623753,0.443463453523368,0.593398192280143,-0.227161616711537,0.376803563095287,0.131537120412114,-0.302063563403388,-0.474611278178507,-0.494491316697672,0.261647269302781,-0.49794143857601,-0.281317447707551,-0.387409206748524
