group,CD107a,CD11b,CD11c,CD123,CD138,CD14,CD144,CD155,CD16,CD195,CD1d,CD224,CD226,CD32,CD33,CD35,CD36,CD38,CD39,CD41,CD45,CD45RA,CD49d,CD49f,CD54,CD58,CD64,CD69,CD82,CD88,CD95,CD99,CLEC12A,CX3CR1,KLRG1,Podoplanin
healthy,0.0049854403471365,0.0049384548003124,0.44471238170686,-0.0868339537758516,0.14110665392676,-0.0652728431655508,0.0628383847088047,-0.285542863725307,0.370473316478765,0.177403191069259,-0.0853934759572865,-0.141950852886868,-0.0780945168077615,0.292471154231428,-0.19192174723103,-0.114389889022316,-0.24230843684661,-0.282605660913246,0.192768325518618,-0.161283586909621,0.346211564853477,0.20896163777096,0.392154567974298,-0.0875028359529077,0.449381755782701,0.0011271788253971,-0.142716466935547,-0.0052747359984992,-0.102521306245975,0.362519515035419,-0.223171537570935,-0.370802613389524,-0.135396090047459,0.304115580798659,-0.247236872487034,0.0387887444772995
healthy,-0.639181094197221,-0.764314864817075,-0.0144318238144687,0.227280207740292,-0.508355769480061,-0.749842008378747,-0.613122556447692,-0.588127673810144,0.402272962176388,-0.630256725389619,-0.73296086045213,-0.727108244020682,-0.705403841713282,-0.2066842794456,-0.7535861526867,-0.731281416047334,-0.814305968732393,-0.78238486449232,-0.539694495996917,-0.723089508439928,-0.110951148504072,0.340768759407502,0.416179212988983,-0.731580999740326,-0.28306481022436,-0.656879884313894,-0.771787813009639,-0.648373600984396,-0.673572995689909,0.0861332904550808,-0.679617297738057,-0.792254685930245,-0.661207466288945,0.13817359663744,-0.360984533104185,-0.54978214075554
healthy,-0.372775505948841,-0.618228223988168,0.473367477094043,0.297770855941436,-0.278250327999989,-0.562933298016906,-0.312956286850296,-0.405345712789344,0.694971362872202,-0.442796318397127,-0.329152471845309,-0.534141346605114,-0.590426170325092,0.384483829089233,-0.652148169360137,-0.594571150725075,-0.669653613546415,-0.598755954571872,-0.1845821404192,-0.573703353000525,0.409888340174692,0.638320021769351,0.522090777260884,-0.578319065618893,0.33839867110742,-0.43047373573501,-0.613820802108725,-0.487788280595184,-0.518355298128327,0.633716630585434,-0.470425769531704,-0.636719626752905,-0.224564695351979,0.521267929970299,-0.190123672154997,-0.394886211444962
healthy,-0.0783314244631867,-0.4451005737333,0.589602195599644,0.270769895300447,-0.119333690594004,-0.428627993791533,-0.113210539963718,-0.534309605546961,0.596758222731501,-0.301884960514245,-0.149231726057034,-0.366724925228101,-0.379794580867151,0.184091561410609,-0.444146192950067,-0.48489105638008,-0.519224560840839,-0.583810167222877,-0.105224349439694,-0.314439293258426,0.437053248840995,0.466470476259224,0.443010583580956,-0.265957993360584,0.592602189370726,-0.281772634170711,-0.647851095061064,-0.288646941381835,-0.415810334795939,0.559488258312127,-0.511508096977795,-0.610042167567954,-0.330934373093228,0.363589087127445,-0.246749407754744,-0.316791842836417
healthy,-0.185366654279073,-0.295342248307575,0.354028631661411,0.349817474050888,-0.111518258700851,-0.312476539073163,-0.0203770869867067,-0.351300484104976,0.496010999860388,-0.128837006340452,-0.136363097339271,-0.143690414509915,-0.157594648277268,0.173583941267817,-0.320453221339817,-0.362578573432429,-0.340968857131936,-0.423372616126219,0.0693560416399804,-0.0882765832661547,0.280608759255063,0.271308205317792,0.487095087847251,-0.204478408027291,0.424745479501697,-0.233814627980616,-0.425593340311991,-0.145840370696098,-0.356343477136057,0.305446399605447,-0.313928984764304,-0.493618611475058,-0.241410935807467,0.298835207354558,-0.199194297717665,-0.151075431134889
healthy,-0.182233012259045,-0.395812342918069,-0.0035901366767964,0.155593065118046,-0.276967135502062,-0.573219952294193,-0.358664867518231,-0.182779243278808,-0.0983364569811953,-0.313410633771551,-0.234213745145754,-0.258074504960956,-0.383347262628297,0.097806132913574,-0.302879964042467,-0.432830289792924,-0.321497291224116,-0.286624940165235,-0.221058058117609,-0.388971708269845,-0.0022407671959384,0.0828161709601654,0.122439186943899,-0.307382155939314,-0.171200023673801,-0.28954249407827,-0.285306763586456,-0.413587277146106,-0.348387161084089,0.0229210016176173,-0.399399238294827,-0.389370567722658,-0.266955010692578,0.138515966969022,-0.248444222481789,-0.33181661902001
healthy,-0.42777856452482,-0.810940535261224,-0.0990602882803027,0.804424861277666,-0.379048708234654,-0.773244968018133,-0.238827326770748,-0.355791475462504,0.733033923541678,-0.445247701698978,-0.719932733669324,-0.689705559261103,-0.487521845370391,-0.112339452095414,-0.839213468691447,-0.653741852368923,-0.762875659862472,-0.641680142411967,-0.279313458720928,-0.588246179089361,0.245258767534177,0.533131099574502,0.160300994642073,-0.593522592872833,0.0126640839238686,-0.706141539466134,-0.683129978192349,-0.502380380145057,-0.534946380496358,0.608816485075232,-0.607452675694306,-0.670198528953694,-0.645603907488954,0.243005378807846,-0.36710845661639,-0.526288957746156
healthy,-0.136318103216482,-0.458973152580666,0.291616599024158,0.361326051920991,-0.204726945728521,-0.331663093375591,-0.118840302912368,-0.271107805593044,0.419981007300862,-0.290371090582333,-0.163134747466959,-0.27559498466062,-0.20279230575228,0.119739707066461,-0.301900882405449,-0.489790534953095,-0.288954276100854,-0.466501627369031,-0.03772118837602,-0.100594850976237,0.272950304521681,0.191143200596369,0.522829525858862,-0.123111088104911,0.39539734283067,-0.264059438680468,-0.501376706904192,-0.249091927138186,-0.425388838813653,0.269088443348226,-0.432122377791277,-0.36622912655327,-0.0966000491984984,0.376720548690245,-0.149542597097486,-0.315288713601585
healthy,-0.15858035272547,-0.672007678732812,0.260371189399058,0.480300186506516,-0.160146903992003,-0.528583312702662,-0.106308098705393,-0.453557266409423,0.632385903637484,-0.239965533203254,-0.277996611224113,-0.451172725646043,-0.191648325757336,0.0878117751864408,-0.499523808662241,-0.532848221911194,-0.582924400039905,-0.510907453620049,-0.211398124616997,-0.213669702641154,0.247591907560996,0.510958209445914,0.573702339298815,-0.125002112509901,0.295714566273137,-0.402858309943564,-0.50948427134904,-0.173119675164852,-0.431057087936837,0.324918083690368,-0.424843312963782,-0.459869872442649,-0.154961308042514,0.547146121703621,-0.198399145427427,-0.213718876112192
healthy,-0.0889809736128429,-0.383920154572232,0.61387532147996,0.272946566736425,-0.0219065941832184,-0.419729492119951,-0.0211486576846405,-0.389403169023075,0.582708854782424,-0.0419922865606768,-0.186094942096625,-0.269568517381957,0.102462614724045,0.483963408791906,-0.398786866622458,-0.435061730598044,-0.405968374041694,-0.432210324925915,0.0818025878853885,0.0510300805390791,0.496148240491862,0.444777069644355,0.587822885131408,-0.163013576090029,0.286128691733515,-0.121449693155661,-0.468417176354073,-0.127030625579592,-0.363723456275454,0.530457150436885,-0.372792479619101,-0.547944432320024,-0.219578435509892,0.452384011529523,-0.178692462213817,-0.187963576145485
healthy,0.408176819664528,0.348322185670929,0.17422607444667,0.171402160228362,0.310022907449047,0.354611341172303,0.320535904272882,0.326747132899635,-0.0953908867318117,0.344504265567275,0.336398842734277,0.312555122068473,0.400379494130573,0.295631477465989,0.114085461891601,0.310597656043493,0.218434053465146,0.23495800313273,0.294936281743182,0.27460944349833,0.150523675549441,-0.0653917422570945,0.0043284411513636,0.383424001274641,0.101747032809304,0.276923962482702,0.336152769107212,0.410655636937001,0.347102651579651,0.249953515819915,0.311035420375723,0.109350957704103,0.156299427309925,0.322178238794565,0.201034449295235,0.559033679028976
healthy,-0.179686723452754,-0.326455927988794,-0.0526898812884139,-0.0068926797848155,-0.302642316559098,-0.287694911540573,-0.2460112878593,-0.261029551057752,0.204647938672189,-0.252570290561886,-0.183757616855944,-0.202175032829036,-0.299646208330415,-0.0666762919973497,-0.121640737828009,-0.414926998403129,-0.237594530946896,-0.194106077845387,-0.144349122250589,-0.228650574975278,0.0168495073981119,0.146172612831925,0.077340087033269,-0.327961095508121,-0.111153799659814,-0.159005835903255,-0.31720044963153,-0.326826241553465,-0.332402877130213,0.132990622738675,-0.258988584627678,-0.303678812642597,-0.145676890738447,0.0896623870962627,-0.166031488825603,-0.296928351930373
healthy,-0.297975326448016,-0.527298115335901,-0.376221994680718,0.0275227812378432,-0.310117432280066,-0.238793169213289,-0.11769472747804,-0.280163951314304,-0.0769333161475819,-0.485674799475285,-0.408269053248142,-0.420228917488028,-0.275948709330482,-0.32680239902626,-0.317114659060877,-0.525271608735094,-0.391001492288695,-0.458245226003862,-0.499381367470203,-0.35652650639265,-0.354285544833686,-0.10060044899385,-0.271781823136486,-0.380147221470968,-0.393022770056321,-0.425478339177933,-0.304466687852662,-0.332553961154397,-0.42274193224642,-0.27929316180302,-0.404083834206359,-0.438808529797709,-0.371071574190308,-0.25417052472282,-0.285284192310763,-0.296845561338211
