group,CD11b,CD123,CD14,CD226,CD32,CD33,CD35,CD36,CD38,CD41,CD49f,CD52,CD54,CD58,CD64,CD88,CD99,CLEC12A,CD11b,CD11c,CD14,CD16,CD1d,CD224,CD32,CD33,CD35,CD36,CD38,CD54,CD64,CD88,CD99
healthy,0.0162160378923777,-0.235573759540365,0.0342779347346711,0.0275031618731719,0.349864984181661,-0.218817994486722,-0.0722434290970807,-0.359875516416246,-0.26439654461954,-0.16210620583686,0.0680668184902083,0.21824464236528,0.101300708712564,-0.0505708813345766,-0.244318248724399,0.435888273338658,-0.449243854066132,-0.33738148995626,0.0531127344910825,0.351771883430959,-0.139753492408526,0.29918143149293,-0.268483857813223,-0.142176999769574,0.25912988107902,-0.254321167507806,-0.0443098965573325,-0.383121082803423,-0.419002700117448,0.161818616423332,-0.332671397591146,0.486460131264226,-0.611137437855438
healthy,0.641774798580328,-0.0046510293943776,0.686708982276136,0.75241099256962,0.463126664299219,0.584005910063592,0.591362654212048,0.701509070219416,0.650967655249455,0.774662125175892,0.782526384955432,0.0674261488754925,0.357173941342996,0.708843830970931,0.578780225837223,0.214285569654387,0.639219242748482,0.560988584576551,0.384679125169989,0.312379320989487,0.298788379369706,-0.318437471829279,0.267641978761439,0.34058032867171,0.282661335491682,0.243401445487048,0.344445966420646,0.351047626635644,0.237717358459709,0.386172583265106,0.198991742306488,0.305985999104155,0.183821503632337
healthy,-0.471352874449297,0.106734444320383,-0.524212783044162,-0.577089622838887,0.415324137487861,-0.612527169721503,-0.497490105547368,-0.655374598791228,-0.503200395908611,-0.642135935390116,-0.574549653615396,0.390288010250139,0.348533336593465,-0.385317407212266,-0.478873912579911,0.553969324837735,-0.554000253681413,-0.244435999381223,-0.566974667750939,0.421235290292615,-0.562023927181427,0.6804394175976,-0.336218420626918,-0.458869840258679,0.411797152463187,-0.645594685327322,-0.545834664683046,-0.633360982279036,-0.642118934602661,0.308178450573775,-0.584250574298819,0.654838340540838,-0.708964186753081
healthy,-0.635490961892476,0.194128419935622,-0.538624732598097,-0.31105776602007,-0.131030608659913,-0.562658370037279,-0.623094332118458,-0.569499161499493,-0.518839762885115,-0.35666166781143,-0.264351456659156,0.322264211336061,0.198265565825791,-0.393106903766758,-0.555504382697963,0.224148077447607,-0.486943657455178,-0.418445932472572,-0.357414186492242,0.522349614403509,-0.448841356266269,0.570628844548448,-0.265294322100663,-0.297122822002794,0.151137442724971,-0.498208142717193,-0.378603889914332,-0.554821771731274,-0.547924807679228,0.516901365838183,-0.592024540217705,0.590672915744813,-0.659920794773433
healthy,-0.12341714892386,-0.032543131906992,-0.0610820415888275,-0.228031931379653,0.0240677354104203,-0.226373211631039,-0.141893793021605,-0.222027219058742,-0.149195520462638,-0.188970261823254,-0.178592574775531,-0.0038203951791609,-0.050112916244721,-0.124557185483642,-0.220608939165837,0.0905567538327636,-0.289889626828486,-0.253301845301706,-0.0686814567936342,0.418319936746654,-0.257223182159857,0.37243583741477,-0.271493940580353,-0.159862601899824,0.258040901083437,-0.326649589967582,-0.158371068607958,-0.333372557271907,-0.382644404535206,0.279535444037429,-0.326808572742047,0.491500321879151,-0.568854811824574
healthy,-0.535841730111156,0.137159391609089,-0.41033438695697,-0.193695892914432,-0.315168264655466,-0.550142426793677,-0.332733167033361,-0.354684650438417,-0.353570448550574,-0.109422239562943,-0.133809803559799,-0.0803415688807333,-0.134341838542656,-0.306229489817411,-0.325693277625805,-0.0222694188114311,-0.309202950429525,-0.558715947073971,-0.336083123721857,0.0456115317563764,-0.371299524784988,0.0336062010713914,-0.237672019585648,-0.32658827961594,-0.0164988118551729,-0.211592432633575,-0.248604968515176,-0.272766485289192,-0.24652715060844,-0.0131118978150955,-0.180649351194525,0.167309649588477,-0.399588420961617
healthy,-0.832046731451352,0.814301520704013,-0.825150334130503,-0.456066947535522,-0.153779456062604,-0.895257428109918,-0.655941054775971,-0.806864311829016,-0.636515597948712,-0.541633503219006,-0.579887065516775,0.27772694512151,-0.0831550350800138,-0.754413838147671,-0.712575737538573,0.571040243650476,-0.692428487934277,-0.692822047536546,-0.767109037419809,-0.212346397294379,-0.76019613296195,0.811338476232629,-0.654299002004114,-0.740876328408129,-0.172300128226711,-0.813938741894882,-0.566931231038064,-0.723697361141282,-0.546339169904925,-0.0804949991873291,-0.691218833032517,0.471364188558817,-0.555575302960059
healthy,-0.277687690345816,0.0168309816928415,-0.360389369498512,-0.295092689283761,0.200329639797532,-0.453640768750763,-0.277581085450273,-0.523171355468595,-0.340945780723804,-0.199821123209878,-0.277876747843632,0.229005570692959,0.173582626650478,-0.329523674600951,-0.519283089650414,0.463990553097675,-0.530339842767949,-0.323376434520114,0.0679093904237297,0.444632263576583,0.0430345385487632,0.13918240842761,0.0605294049379158,-0.0893111299324619,0.415818032033929,-0.0818312254215545,0.124190133301398,-0.0975137224545714,-0.0843648513050764,0.280641802625258,-0.212513617748857,0.485442953356838,-0.25391845640432
healthy,-0.227700516106897,0.233746616037619,-0.399975380773474,-0.109848681791161,0.174684345240599,-0.426084381095802,-0.0716104081366897,-0.436977259623883,-0.401237099134361,-0.115401413732947,0.0268433560196682,0.454380016429,0.398727813041914,-0.196352098658945,-0.415491033211003,0.689701735882991,-0.495819320730918,-0.253511600639642,-0.369941445559966,0.346629012197614,-0.524980281905702,0.62389983242229,-0.413136169609387,-0.340940138069113,0.0993226525044607,-0.511442864883963,-0.197961503522171,-0.549627775572477,-0.630639367045185,0.320768971221331,-0.546903689462831,0.518709693302885,-0.664431701384193
healthy,-0.435123250358745,0.144884861703213,-0.497986346885879,0.0243285321375128,0.421794346459746,-0.535122927763833,-0.448976200373747,-0.539659028491929,-0.50804404692346,-0.0837696812291894,-0.256854667385369,0.394102560017244,0.0572655880685589,-0.272878066616019,-0.49233661752176,0.450291737927986,-0.679462178473698,-0.449315964022086,-0.515844286433086,0.52870299277111,-0.444692790797596,0.596825400982905,-0.182961026328656,-0.33774303401035,0.448751506117176,-0.45133123669289,-0.536414133092107,-0.47663888464131,-0.478318905863724,0.208683163006962,-0.491496298786178,0.493615372703176,-0.619291032761837
