group,CD101,CD11a,CD11b,CD11c,CD14,CD155,CD16,CD18,CD224,CD226,CD305,CD31,CD33,CD35,CD36,CD38,CD39,CD45,CD45RA,CD47,CD49f,CD57,CD58,CD64,CD82,CD88,CD95,CD99,CLEC12A,Podoplanin,TCR
healthy,-0.083927858913507,0.148317376316927,-0.291711918601643,0.0871113403511899,-0.0750237603564054,-0.239895472749183,0.104217663609191,-0.0484948254353205,-0.125024023202778,0.0712058071511807,0.205595223778623,-0.0625109701808132,-0.150898288673347,-0.421810750861287,-0.210766289917869,-0.292005159667852,0.159329547002825,0.176261756204698,0.120928548125161,0.133071194990439,-0.0034233007268908,-0.114294231447221,-0.131844558555688,-0.253430172936164,-0.291320447178445,0.0188596907001779,-0.314736903828874,-0.149030946435632,-0.0793930335663444,-0.195527438934298,0.0507971127111977
healthy,-0.359287218540612,0.0315033133080587,-0.681813861149771,0.153858738871217,-0.645772230051752,-0.635459593637471,0.50410636188172,-0.375456462992164,-0.617428281663964,-0.52845946115571,-0.18249639747059,0.217626317673526,-0.732952134261325,-0.666439564488427,-0.739832128679892,-0.712972892911115,-0.498525839213832,0.0240083302978232,0.456710254846848,-0.244674289418794,-0.557868653766233,-0.114527462335543,-0.392541455731936,-0.734565333699105,-0.51672867412903,0.375330852065275,-0.564140851392102,-0.729836804022283,-0.567996604495748,-0.236565760433473,-0.140357479309572
healthy,-0.245779885658145,-0.0207420839835569,-0.23511820744752,0.055743999184424,-0.222723937865072,-0.293397304139905,0.163580019527787,-0.108980897059504,-0.181834126426046,-0.167323358204367,-0.0813798435576074,-0.0065199065681208,-0.246193304418643,-0.331282406207748,-0.169047040852865,-0.23567610635282,-0.120060235351937,0.0003159003148652,0.0238396578575389,-0.0988591811958597,-0.0872654777437984,-0.0599732404704565,-0.254867048766396,-0.203933639758106,-0.261321979103013,0.163651313093822,-0.343322410644122,-0.377781284119688,-0.27806140524634,-0.151860698133846,-0.321679966416973
healthy,-0.161480248905662,0.287779646897538,-0.528438328924292,0.471188111291241,-0.488655633697832,-0.396931997063369,0.575404728067934,-0.0533267029404185,-0.392645071868945,-0.491796155277215,0.0405080139460421,0.122288545127218,-0.449214594103147,-0.547276944476952,-0.595915646697188,-0.539375238590915,-0.184711910624362,0.316001790006357,0.505878289850442,-0.0001413145513504,-0.44153158944502,-0.0611543507569721,-0.373936796600238,-0.546514603864234,-0.435315028232462,0.442103315861379,-0.493872595396399,-0.538422496704221,-0.309362587898501,-0.3986572199221,-0.190216338601707
healthy,-0.109791676835538,0.177201621860626,-0.274092761937057,0.184424814590588,-0.12588088185073,-0.108984225450451,0.227885637600192,0.0273725041832688,-0.333910999053596,-0.120272037568783,0.0264939418661778,0.0734714732915922,-0.117341617129265,-0.388215691056493,-0.140347553140573,-0.396111590717005,-0.0213476700980117,0.167707872914615,0.0990390917391656,-0.0558131465542382,-0.202484895695074,-0.0996759071187396,-0.195944437844519,-0.24372663017924,-0.357763493076707,-0.0603664287702254,-0.274205359618398,-0.190367511029324,-0.0809340650785699,-0.20195740501391,-0.11266386955436
healthy,0.164151551697072,0.227752259449183,-0.424160369811228,-0.0492646532871517,-0.414144206343936,-0.0075390251850698,-0.150267074021399,-0.227658456077486,-0.193616291878862,-0.191248168483959,-0.20836247359709,0.142235656984658,-0.209511505714514,-0.460421567180393,-0.163185185908804,-0.0480183405803589,-0.252338368404393,0.0014096845270222,0.310315013345189,0.142492588105744,-0.2723692561858,-0.0233659743348493,-0.191910959183837,-0.306705823958805,-0.253999195143419,-0.0306979576914536,-0.181873800511939,0.0501546424144618,-0.0257612110200388,-0.325741162678348,0.0748291004936699
healthy,0.0621039279472455,0.194373135041475,-0.229970800679827,0.0002313141582727,-0.362583630094455,0.14360889560962,0.193824312582849,0.0310143733017922,-0.372203671510608,-0.322456309412545,-0.132488675221128,0.276435236105581,-0.40520534539299,-0.0414376032485967,-0.403895804420084,-0.240006246067634,-0.261167939298004,0.02808748577428,0.0845548016002726,-0.113446381694415,-0.293947155684209,0.280152602797055,-0.199456044672156,-0.305281528715995,0.0716824664493979,0.169269957747067,0.0533858895234154,-0.139516148810435,-0.273355997040228,-0.13630588695505,0.0097647250739421
healthy,-0.27903475105068,0.217571500749612,-0.437604409917798,0.231548009879251,-0.364841010723835,-0.353785953057048,0.38819056180946,-0.229034006269123,-0.404786053829889,-0.335958390243952,0.0660754279712939,0.0608130170389844,-0.491498374867926,-0.447183349260179,-0.530052613626296,-0.427675857366034,-0.109377566045598,0.139132851346163,0.195045818550414,-0.0017196054739358,-0.285235323454102,-0.0755266512794675,-0.371451683091795,-0.585487213672237,-0.387880317519379,0.305654666907849,-0.491392907861349,-0.540245488856716,-0.267230789850451,-0.266185830897099,-0.120003647777992
healthy,-0.371848710256873,0.0115436242855542,-0.568273695075394,0.113529876527089,-0.482119634713831,-0.423050057139618,0.398282118420123,-0.279857725180562,-0.543631632408148,-0.328998585868235,-0.185167849946671,0.0891606125975721,-0.485509769534898,-0.519364458335243,-0.48275361621078,-0.52856256879388,-0.294558037675031,0.0094476610121366,0.157132692476049,-0.0455049021463447,-0.276458643392951,-0.175859596304873,-0.444138317390604,-0.453255192733432,-0.381167363515698,0.240598491236078,-0.520725858636714,-0.533234614383649,-0.315154539460952,-0.321735207928861,-0.296547512267836
healthy,-0.188383162054512,0.355309660237985,-0.355913716452532,0.632107785446817,-0.334160378231819,-0.397161431767434,0.52763101069537,-0.0674366908547888,-0.249808354584531,-0.0007826375938082,0.362330375029876,0.462718789747102,-0.357502821840191,-0.391488460602947,-0.382363312117569,-0.459516363775205,0.092180280236677,0.421396807841363,0.304452657204469,0.299609560089882,-0.245552974477813,-0.0319216079643548,-0.111477713293762,-0.45126728668904,-0.373114307937479,0.589740345327918,-0.399113352359876,-0.640030565416072,-0.201503640168953,-0.14728013070682,-0.0195294588203979
