group,CD11b,CD11c,CD123,CD14,CD16,CD169,CD18,CD195,CD1d,CD224,CD226,CD3,CD305,CD31,CD32,CD33,CD35,CD36,CD38,CD39,CD41,CD45,CD45RA,CD47,CD49d,CD49f,CD5,CD54,CD58,CD64,CD82,CD86,CD88,CD95,CD99,CLEC12A,CX3CR1,Ig,Mac,Podoplanin
healthy,-0.344731618542421,0.326290856222717,-0.178807955368187,-0.281246215890664,0.309608721456383,-0.0118338280788911,0.044167543272564,-0.0534233905760713,-0.18504712463525,-0.179010219728852,0.0310473231189369,0.170314727660396,0.0897350298402615,0.0610304915088814,0.126213554515833,-0.204864038625979,-0.286746922039367,-0.336989042764214,-0.239159803151971,-0.0580590913699112,-0.212547854377365,0.370708536397359,0.307868184358506,0.273284865192878,0.30495744710469,0.0608301782213641,0.210213526772435,0.297553678163795,-0.116698968037348,-0.302795340823679,-0.187825778810721,0.109034515887799,0.290958513372606,-0.195868727906543,-0.307187235221698,-0.133497684130249,0.184282925109593,-0.0898345563654633,-0.156888533532809,0.0007723422572913
healthy,-0.708207866006615,0.148650250960734,0.396033745535388,-0.706096661203734,0.508491916272388,-0.321029702026565,-0.342841866137545,-0.516687178639155,-0.622962509453814,-0.652838630496383,-0.564592528317067,-0.332660315895151,-0.159420994337134,0.252796184347868,-0.0563554083681197,-0.703835196598947,-0.687209575514937,-0.719421536498003,-0.74953226921726,-0.442029202290828,-0.518622620200108,-0.018877189739604,0.350735884534823,-0.258253359027909,0.387843783424437,-0.554472304746298,-0.283479813567734,-0.153307744544262,-0.490378793527993,-0.782665956683702,-0.57128255516352,0.0679867435625164,0.312612899502353,-0.619006758114218,-0.763577593478133,-0.558597718878099,0.260998886639844,-0.343782041416713,-0.429171150190943,-0.402913057937476
healthy,-0.673743475436663,0.345961388816236,0.241731984515848,-0.647129557700895,0.693734435067056,-0.223449350469707,-0.209692936699292,-0.462285999137753,-0.399757886141925,-0.514323895264682,-0.556372266440266,-0.11032389706421,-0.158607804024759,0.166338522418715,0.27549740381008,-0.710557899287709,-0.64166700990305,-0.722667729992965,-0.63452448449683,-0.282352240472529,-0.564796168228999,0.303459651347124,0.544517148810183,-0.119594420172074,0.373094993361059,-0.565705934061477,-0.0839457326504146,0.226666828674954,-0.534759227638108,-0.692785085776369,-0.578961348717764,0.148002088212218,0.552671203054214,-0.545171994571464,-0.710737605824751,-0.369292527572226,0.445409740713901,-0.274613003855759,-0.269643702522345,-0.378988285677672
healthy,-0.508095211583671,0.542404797277548,0.315195145587096,-0.456370373140865,0.627524692841887,-0.0252212996342657,-0.0044308889536306,-0.302982771528785,-0.160023511405697,-0.371245417195538,-0.48252903918634,-0.121820817973312,0.0515104636274615,0.127833698062325,0.145777899348038,-0.481446630945105,-0.534117238573626,-0.605345248869002,-0.588970833065597,-0.150948700700856,-0.491030490925218,0.446067626784557,0.468863123713003,0.0498212685497174,0.424642718779895,-0.387595698300025,-0.0512738329155377,0.506976170236448,-0.295220604341253,-0.573117205001681,-0.418024435401797,0.239129718158685,0.512918623994664,-0.498478724886838,-0.586567355022208,-0.351485838168172,0.409219116895046,0.0117235214678293,-0.144070480315337,-0.32051756343593
healthy,-0.418657955680507,0.200518246376659,0.226310691560058,-0.295702282621403,0.485556170334323,-0.0577795083284093,-0.0514701864769363,-0.304197670896907,-0.252587442222032,-0.331404926358823,-0.232286638567058,-0.0622661814449502,-0.0969910096830614,0.0604955438383639,0.0635681215704906,-0.37014019516408,-0.507784153441466,-0.423070341376449,-0.493338167112856,0.027946161013491,-0.2171037982401,0.19936757558803,0.248586406366086,-0.0794811160606217,0.408044579441929,-0.248454287438448,-0.095805954204084,0.250130214893734,-0.381292277377912,-0.361587373833655,-0.471055730400677,0.0595494407929721,0.211545315536795,-0.385832806137881,-0.541428161339356,-0.358993276058255,0.245146835324104,0.0354039773754494,-0.180116375578323,-0.228866556573161
healthy,-0.226143996840761,0.219376246408459,0.146065428054405,-0.461324925437221,0.187087482887569,-0.0398610861573719,0.125497947628233,-0.160621885522964,-0.329832924704898,-0.442486983529318,-0.104138593473303,0.0115011419920536,-0.127080000655128,0.0643907504203379,0.0560707552481017,-0.39832934928948,-0.163584358057137,-0.231660370110465,-0.24325149719311,-0.0896912870041241,0.004629240948509,0.223845278850598,0.0926941043506176,0.166989760376624,0.205091416537828,-0.0380392248222453,-0.0104851695108519,0.076204376493017,-0.267843094707158,-0.126119658966167,-0.204079243932826,0.168658952080472,0.378327894191933,-0.0296501381902554,-0.308698883671591,-0.38555735873838,0.205847778572429,-0.195286102158853,-0.188121794905859,-0.0507584406122537
healthy,-0.687946345408071,-0.0762180151508692,0.469954694704249,-0.571538975460789,0.278644461487215,-0.294369745222956,-0.294055752859502,-0.463214970157357,-0.412380172068636,-0.625452670400018,-0.39269201474438,-0.294034986130185,-0.170152486386611,-0.0016788736852485,-0.174152195443122,-0.473742075951182,-0.706696331380747,-0.531457099516742,-0.572974292473843,-0.137337813140282,-0.346786727686404,0.0127407151965806,0.0724672423337044,-0.076171970131048,0.0825231835233201,-0.522327733018012,-0.142523458562582,0.0160180422233406,-0.543092300394322,-0.548238139922491,-0.754060046174744,0.0073403013707774,0.050676856796456,-0.750065957577357,-0.594940855321509,-0.512397831031163,-0.0222972677329063,-0.288897291361668,-0.595964516574688,-0.695078957947503
healthy,-0.238800342895319,0.23979038959937,0.088024114025151,-0.322210437121383,0.463416959952528,-0.121947460978398,-0.189431498440526,-0.0563253958079136,-0.334258263719672,-0.378221110655495,-0.286581224495457,-0.0159852825735623,-0.0361996036458589,0.18726415969648,0.250774327952214,-0.390377255928904,-0.164057229284574,-0.521021809967667,-0.3798605014838,-0.113011469794626,-0.266211210760872,0.312917300409623,0.226903769043787,-0.0307073509149001,0.230822982351255,-0.190610850628341,-0.0021133906249024,0.151728433428952,-0.225350793286992,-0.480649071224617,-0.249516529965127,0.1254572641767,0.567456374534276,-0.273636670237671,-0.538825796672008,-0.339636730326914,0.419486896812962,-0.148691248075934,-0.0959697269279108,-0.101024139599752
healthy,-0.528274756535836,0.37016498305696,0.37001370510347,-0.52687364588247,0.683192207445494,-0.070379285639101,-0.162412807863838,-0.2084244085612,-0.33497907355418,-0.422590633816687,-0.182529256083259,-0.0026449455711364,-0.146899089002852,0.299481927095315,0.130105897692705,-0.515727505240671,-0.387811225237789,-0.585402414762703,-0.536792859036959,-0.186408833787245,-0.186288421788303,0.327455155493345,0.482382733763428,0.206997069739041,0.503052243645684,-0.0719938012837048,0.0179717154073488,0.327058136949943,-0.386457212549571,-0.534460862366398,-0.30528107480693,-0.0088280302796972,0.484802635392229,-0.406983463025884,-0.54160741954071,-0.282002078230139,0.55861189489443,-0.031253608663376,-0.176717224351987,-0.14582488872256
healthy,-0.466074216957893,0.560032618338453,0.2982158390548,-0.448389253610149,0.642340666091303,-0.007494502005406,-0.0523919282542507,-0.0908288191062441,-0.145620610492482,-0.302544524713295,0.0557430648408974,0.0152157814018573,0.317440183196907,0.470723491545657,0.465091243661692,-0.407849722953232,-0.500010665800646,-0.446581832250435,-0.433886775389945,0.0118335320952152,-0.0034879539035692,0.424265385534647,0.446198401283586,0.334721316477528,0.593963099100749,-0.206891278995738,-0.0049401869302586,0.248298814917634,-0.16533633055074,-0.47775613699278,-0.411713409534052,0.256456856033544,0.516946168079092,-0.402385375619757,-0.550027024246245,-0.204211078803192,0.421482729883411,0.0395801416204206,-0.123143646486775,-0.22591727299425
