group,CD11b,CD11c,CD138,CD14,CD16,CD18,CD1d,CD224,CD226,CD244,CD257,CD30,CD305,CD31,CD32,CD33,CD35,CD36,CD38,CD39,CD41,CD45,CD49d,CD49f,CD54,CD58,CD64,CD82,CD86,CD88,CD99,CLEC12A,CX3CR1,Mac
healthy,-0.548995658067454,-0.438540177290493,-0.224161858159622,-0.293994517325834,-0.127817530096406,-0.348367771017476,-0.208612193272617,-0.171636434601622,-0.0713902996291185,-0.213207585015575,-0.262640214111283,-0.326625129075621,-0.213338427059971,-0.134409824661103,-0.369893231540532,-0.19872360634469,-0.377598807518967,-0.0580631183901495,-0.0465080991614064,-0.325547327735949,-0.145303417937651,-0.302382363091588,-0.143559229624593,-0.17095084055015,-0.265855251656032,-0.367099083601901,-0.145131409866052,-0.239327309164966,-0.274913769817642,-0.482908970398083,0.136935418907716,-0.121888414791276,-0.218283889649592,-0.294021645068975
healthy,-0.530515218295526,-0.0448073254049326,0.1161053023014,-0.376356458998138,0.398849148213878,-0.36243762063746,-0.357152172576973,-0.325067104236258,-0.0572113831389168,0.020260701110153,0.196151085702292,0.126373100151498,-0.186963051886921,0.24770600125482,0.122333086227406,-0.483000174594861,-0.506132610660734,-0.458002731869037,-0.328928362958283,-0.429312195619583,-0.196239121203944,0.130755533558037,0.154382773602614,-0.0898343685528276,-0.226343307133381,-0.114081242458821,-0.436425729160416,-0.208938455710277,-0.0398871738228408,0.251422040710926,-0.304354777838314,-0.242641316939675,0.365044575456015,-0.029922714400119
healthy,-0.693553633655886,0.0465014685012607,-0.417931703437289,-0.626954580477144,0.6623610295203,-0.365551974216184,-0.440114642094244,-0.623217222091527,-0.541924255964897,0.0617254431935663,-0.295065353457865,-0.370346936454874,-0.408704345384821,0.118193812921829,-0.130751197674834,-0.655128624536896,-0.52142934598155,-0.64927391470313,-0.514401547024705,-0.552562000037704,-0.576794220140273,0.0484268342106508,0.0407056200559766,-0.604065718837676,-0.201809483032247,-0.553620168341207,-0.548232393409541,-0.548631044732715,-0.143931490050245,0.253004876925842,-0.468097039357868,-0.324010359136333,0.24546467135434,-0.456057932138468
healthy,-0.580652923499296,-0.331731794937794,-0.221447794758826,-0.386522010736614,0.0947669831665879,-0.420320922482345,-0.0927886478676331,-0.364960895290397,-0.19268978693269,-0.228154458720693,-0.233291099229913,-0.279796289823991,-0.456078284092791,-0.285348099774799,-0.466440382137535,-0.421676819321931,-0.530716888751342,-0.359241299753492,-0.169403542149769,-0.478425850292149,-0.397492436748729,-0.200745452756963,-0.139346778647556,-0.267600675270197,-0.314596664547216,-0.408354499527629,-0.284517428395035,-0.280337515915825,-0.173747421842159,-0.262466707421405,-0.0318968784019095,-0.27509856482942,-0.030374695362184,-0.21997678634464
healthy,-0.293502798170648,0.0401520669874336,-0.190389857954856,-0.395568941887932,0.332580238131572,0.0067184127836053,-0.306019655129734,-0.266377516435024,-0.214028924780723,0.0620231740746903,-0.204459690399084,-0.0813252874332851,-0.0875018960193943,0.0476899734798743,0.0544783190324328,-0.24404665285673,-0.225001670153174,-0.308303696738061,-0.209936310965877,-0.0211001256250119,-0.184574748755275,0.036357055759857,0.223243991576485,-0.240335863902321,0.0538419735766767,-0.211528337612381,-0.269294598581113,-0.347746157112132,0.188423880956177,0.0207430019733727,-0.250057433377599,-0.129558323237169,0.0426064103396812,-0.226623335136863
healthy,-0.437636440352071,0.0057211242364154,-0.322119423602753,-0.396515898407007,0.0642155251241632,-0.100960477747222,-0.542284845326441,-0.444073485595397,-0.181972028260321,0.016202215035042,-0.383018843176032,-0.0050477003379655,-0.0492210530592995,0.205627856753684,-0.116636412771196,-0.264708617729193,-0.394299091919251,-0.332923825029546,-0.276682120795229,-0.201605286030172,-0.0815418224218096,0.0946592639861679,0.237492519381056,-0.008669160353136,-0.0351365268111486,-0.413728209220064,-0.230935036862815,-0.254578068707953,0.0342914782213769,0.126522667801236,-0.130983847327383,-0.304568058404395,0.0937929925274283,-0.145281552022445
healthy,-0.205568568372337,-0.165158309006739,-0.273543906495607,-0.123702956332609,0.142990922305215,-0.177897051354662,-0.0164229923066453,-0.0959162494079435,-0.0983765011767087,-0.139397753967481,-0.109111331620988,-0.163743199298953,-0.0640458355763271,-0.195038808469048,-0.092198221116947,-0.0155002901178021,-0.155738254667561,0.0194152811710042,-0.307667581395211,-0.043421706222909,0.139027372378537,-0.173331639015299,0.0642361386471847,-0.040442393902861,-0.0484010878734155,-0.0881519315251575,-0.324077932409336,-0.308397256385619,-0.143718440331016,-0.0791392010246025,-0.195380498852787,0.0494748893881021,-0.124667275579557,-0.354409056466829
healthy,-0.607461748689062,0.0406789496026018,-0.253524241729077,-0.492464450645945,0.394352903204676,-0.37421129975359,-0.346810295295937,-0.473043366476119,-0.360386930992777,0.0452186075566193,-0.216212651937293,-0.154245025243099,-0.111642292479285,-0.0241969175069714,-0.10172648741596,-0.503035466592891,-0.588505859965823,-0.600082916505578,-0.46004157864196,-0.156712601524214,-0.400208071467207,0.143271973160768,0.347828886657624,-0.378676537198283,0.115507847678691,-0.461569807468394,-0.639550379435797,-0.459732428739715,-0.0359545994623664,0.0993718778045833,-0.512398723507415,-0.312473488170678,0.235805558936545,-0.298192060984709
healthy,-0.797892939269679,0.0605943954397386,-0.2681612484479,-0.665752333974828,0.588740907740719,-0.340951013253741,-0.344372373542316,-0.528640217900842,-0.266300901185017,0.226091551486325,-0.15230439647865,-0.308451088111174,-0.326288843099027,0.112922804857227,-0.0722345980349578,-0.598279604677998,-0.656960254817626,-0.609933843398512,-0.585191872816985,-0.344669474631985,-0.321964439487088,0.0987854806042201,0.402378606957675,-0.241467850103276,0.0667123320607989,-0.524756134226266,-0.642415476455285,-0.526944975897533,-0.217612868771362,0.147409770006949,-0.46651117756172,-0.261728126426427,0.364849068315985,-0.340882346788449
healthy,-0.72467988026492,0.18565672488541,-0.270558035900485,-0.590551674420669,0.496607917695333,-0.257755887838729,-0.343544367850445,-0.491841911318569,-0.0403362392959234,0.207481378269884,-0.218818624301352,-0.2752868037726,0.121930497247831,0.205706825146343,0.0976712244992898,-0.538455280272898,-0.73333477450066,-0.515579505417269,-0.494860900528102,-0.215168426753669,-0.285112731019211,0.18057495213222,0.496133369884782,-0.300137023889559,-0.0266376616708886,-0.412431954335012,-0.479603608865008,-0.520617116178738,0.0588333320382466,0.134293089668759,-0.435724199397745,-0.32695362079728,0.209625605642448,-0.278659393623234
