group,CD275,CD137L,CD70,CD154,CD269,CD90,CD117,CD10,CD45RA,CD16,CD25,TIGIT,CD294,CD326,CD31,IgM,CD5,CD195,CD32,CD185,CD103,CD62L,CD152,CD107a,HLA-DR,CD1c,CD66b,CD366,CX3CR1,CD79b,CD370,XCR1,CD54,CD122,CD267,CD254,CD163,CD83,CD124,CD81,CD98,IgD,CD28,CD127,CD15,CD22,CD71,CD26,CD204,CD144,CD1a,CD207,CD73,CD305,CD133,CD158f,CD307d,Ig-light-chain-1,HLA-A2,GARP
progressive,-0.26502869922811,0.0110728783110477,0.255938276380048,0.0632770493362196,-0.15834784562472,0.204632650275056,0.319919149865618,-0.286303140051725,-0.222958736692292,-0.08537926220934,0.284655917873187,0.0629142766600457,-0.152155229074025,0.141377273618138,-0.0930194609898176,0.0342923243440678,0.0887036890066997,-0.353931274220865,0.0549280457799654,-0.494439043137657,-0.171514274905757,-0.071046025783808,0.224168843954975,-0.300043923797088,0.0681776773612729,-0.381996367446515,-0.275925905280517,-0.0322051439290661,-0.306889897719318,0.0368042254419033,-0.008622144905626,-0.368878511248344,0.224663632141359,0.0093918501768161,0.0413524617024626,0.0128281730978008,0.20026892942021,-0.30780759697848,0.0309929313100231,0.161943620992328,0.0035703987972023,0.0605553653158828,-0.163745744997504,0.0572988261410714,-0.1518425185066,0.157455250818736,0.414084527571309,-0.0873777404494899,-0.0546205404328391,-0.182313206437659,0.0720971647733537,-0.0297284322773456,-0.616259107893593,-0.165504605615802,-0.247196941527241,0.0360940644853798,-0.0074395675612899,0.178398834387628,-0.0912019955891313,-0.0952843412908365
progressive,-0.0319764467873249,-0.129091314495914,-0.0420741920945423,-0.077483893362157,-0.0384457629988834,-0.132243685658445,-0.249444989586677,-0.152347677378614,0.140251349113738,-0.158524925570911,0.092133761545401,0.161576080734636,-0.108127029130926,0.237013538315145,-0.383677716298936,-0.309632638253269,0.093469172628161,0.152978333498691,-0.365203410813738,-0.0743032051467535,0.120286646992488,0.0148593158258561,-0.0398432233131087,-0.004170614241814,0.0090158978028453,-0.271331964456594,-0.105998222629399,-0.127652688018525,-0.0146554222106455,-0.225352776413667,-0.205549583543103,-0.0973559991923063,0.221434128394165,0.0628069806594586,-0.161771369460427,-0.0946507956938614,-0.0482523388872614,-0.200886153675992,-0.105003774461031,-0.222802330286388,0.0491739817461378,-0.339317167694978,0.0133611247124092,-0.0538146077435114,-0.0923170595461409,0.0243657222016559,0.366313009584805,0.0332321665545127,-0.069395930801298,-0.13953019184056,-0.0749728777525131,-0.132130896811109,0.089371447790645,-0.258303995442005,0.0196164534701672,-0.165003600499914,-0.14473696242563,-0.173196979663217,-0.228697110639524,0.000178275602576
progressive,-0.171108332427532,-0.215163022656509,-0.144078854831849,-0.255089299027776,-0.281795317924965,-0.105181577715392,-0.0960382269923609,-0.154025766902143,-0.131251844003464,-0.312379448846881,-0.0063098386391632,-0.143617905242985,-0.165155610459664,-0.166232746254669,0.0225043073625039,-0.034774629731641,0.0649694828684259,-0.151659414267243,-0.0908333756237437,-0.0888230828996745,-0.0572186970930914,-0.140916029888699,-0.188994654657086,-0.149971861833214,-0.0767964035062561,0.0221583992549245,-0.111846187487498,-0.159875008565653,-0.117944272841118,-0.173588150560978,-0.0960548888276378,-0.225731154429306,-0.098495274950176,-0.167237130748547,-0.138758019390453,-0.179389162404927,0.015429973301623,-0.0933421262550444,-0.188006981538209,-0.0376741161070532,-0.153920792517863,-0.235519173069402,-0.197064127200156,-0.0164204673975763,-0.208376955850701,-0.167980073637333,-0.0128504499740516,-0.241067867968012,-0.175200533286102,-0.186195962291217,-0.145607175755362,-0.177268406135906,-0.0195514790549329,-0.215099351515232,0.0575261448694005,-0.186225863212141,-0.1738164675148,-0.0900396487993455,-0.16706405952072,-0.11559859687132
progressive,-0.119196669886557,-0.139412726762011,-0.363279068497348,-0.194077585189993,-0.42523062945395,-0.496762694902756,-0.169735149449109,-0.392665788027344,-0.375576183889666,0.0820748527567142,-0.453684793002343,-0.39478694608017,-0.355008359867743,-0.37573993676397,-0.0088068545099391,0.0707037461685421,-0.431242731254702,-0.18780705975199,-0.186692931737273,-0.0747707083418887,-0.200942642504577,-0.37448747030066,-0.362300982700726,-0.0859698220644318,-0.368346290685335,0.101970112737349,0.179927770535672,-0.396528624310012,-0.365379638129489,-0.200011212051781,-0.370126408979914,-0.438042144860873,-0.400251707819044,-0.320176133423924,-0.383727866557117,-0.321899144753982,-0.374843635722923,-0.250431929344197,-0.446866610559851,-0.212287303867503,-0.227651208211583,-0.131228370857238,-0.480598977192887,-0.350803868207804,-0.018515489908211,-0.39586505527397,-0.0646898351696554,-0.177416048824361,-0.0786704737163809,-0.108405060016436,-0.218236502401508,-0.581388948006137,0.0003295279185084,-0.2083859933962,-0.478628309551507,-0.270945235958815,-0.408969612624416,0.0131398883542035,-0.365406172064866,-0.354189326453801
progressive,-0.352272913898873,-0.422358846628311,0.103241539247037,-0.37306567024549,-0.443093091867625,-0.102002493470603,-0.554228417307456,-0.499901862786975,-0.115954965251728,-0.118960450921808,-0.330611166500396,-0.195753137780394,-0.180320966690759,-0.0963350711404284,-0.0732157307674955,-0.0603448658475134,-0.0787402463593927,-0.226601753007388,-0.160227649674102,-0.422670553318249,-0.383814135094538,-0.150768708172725,-0.151199126760371,-0.132412266031919,-0.12826558234155,0.0856660225548777,-0.151342671214767,-0.176457430650421,-0.369144484971954,-0.188588189685422,0.0063799742108233,-0.0414954396708342,0.107491654261736,-0.439579267980659,-0.207379938618591,-0.421672672255576,-0.172407991767176,-0.296185576472416,-0.38038375056487,-0.428966040943362,-0.474247924375195,-0.0419674300577118,0.120130133103237,0.138219227861132,-0.205628883115871,-0.233504600671876,0.164713516320452,-0.391793839387305,-0.382524900456089,-0.350960341927259,-0.27492148610027,0.0759699040847267,-0.136737478128184,-0.428248487238182,-0.168018763405662,-0.531098264987908,-0.259708439758883,-0.465022938990021,-0.225013101148811,-0.165440456888594
stable,0.121023003830447,0.198604846489524,0.186916123579772,-0.118472619572105,0.163688565704767,0.116328305098539,0.199531134385332,0.101363968789939,0.205854689023946,0.0604598898576468,0.359012135259553,0.193787245701604,0.149044042979647,0.172659999653789,-0.0099870715384975,0.102584570597905,0.215936163669863,0.11987964221135,0.229064098432121,0.059890685767156,0.251534022491654,0.135102871545531,0.18059406116457,0.0868251648307619,0.0342914056364886,0.0852153650274316,0.0886355176227165,0.154268629704609,0.243893434981084,0.246213965948845,0.23701689405963,0.144595820710263,0.166737311120929,0.218293110599485,0.0901972961711138,0.12635474402854,0.12040816876242,0.278887819834779,0.197706827243816,-0.0088003232725006,0.0639958176018445,-0.0007427120522227,0.0906247911941824,0.13035263096894,0.158646453810428,0.088330282030572,-0.0013410734200832,0.137205703987012,0.184323756815154,0.136252673344493,0.35031947844263,0.134719150194067,0.0376732802575032,0.20138140069285,0.0763213345449872,0.256101684770198,0.190225683969087,0.193313569217583,0.139037618596698,0.216019793361638
stable,0.359899638739681,0.222506761368006,0.0191235454110973,0.045590686358347,0.187402152405661,0.120644389399358,0.0313513349047643,0.144652131256079,0.222974330009878,0.351121470194365,0.120150972329094,0.0595291986225409,0.0834527117022122,0.078228232586992,0.0427071610612589,0.320661024320636,-0.112418667096206,0.198013464067445,-0.0565794823340231,0.138070707537259,0.268739582884347,0.157275146626663,0.105749171850569,0.371412349974634,-0.0573131370854609,0.497261151903707,0.386778894318337,0.0246236025670358,0.289685081217777,0.341457686715567,0.162971446151728,0.0899454717027669,0.0745600206541359,0.214236917197884,0.199015238630287,0.0723568871048142,0.105764439503743,-0.0004136294964208,0.104188585070864,0.0818387145912598,0.136121074274373,-0.246707549040666,0.284741966648168,0.070548752166359,0.361105128004833,0.171602873290792,0.21748140079492,0.317913581826357,-0.0020538665784941,0.169445096839151,0.298777891081921,0.124172270530583,-0.0887896682759371,-0.0302612291728535,-0.106718956476119,0.174986412305288,0.129593230678837,0.434897609412766,0.133073090799126,0.23324513467639
stable,-0.0569487689090425,-0.147332773336775,-0.0314892415416295,-0.106228458245571,-0.0682052901178867,-0.0108412911935577,-0.199361764044862,-0.0558792680244146,-0.352277214398951,-0.0498076290787664,-0.223723975052153,-0.102283607493333,-0.0540832372961334,-0.0062401469621825,0.241077604021941,-0.22482464129865,-0.193168107047037,-0.0770208053294321,-0.131299865350536,-0.0731439601917251,-0.0886951285333735,-0.215449962427826,-0.124719731563719,-0.0507350709456852,-0.121260929249611,-0.140971750097514,-0.0979967757887448,-0.0902879704624894,-0.161547771027939,-0.36016000240681,-0.0590636586415095,-0.187499946914623,-0.238940909150903,-0.117801221739403,-0.174257282295107,-0.069406074289157,-0.18335614095195,-0.350686817991671,-0.210558382209362,-0.036731009730554,-0.102870128022892,0.102848497187513,-0.119569455595703,0.101890117007663,-0.0027162575039448,-0.118118944942277,-0.142090019639401,-0.0563699882205904,-0.0292546152672071,-0.108179267688321,-0.226062271451718,0.0356957323971518,0.173909206065886,0.0583033917351635,-0.136978392944822,-0.170857603199763,-0.136374367760604,0.053322088534911,-0.0889185875535154,-0.048746012839011
stable,0.0213150413226226,-0.179564948512558,0.0097978879425999,0.0156626126871304,-0.0745050665200989,-0.284816687507214,-0.138367976708398,-0.236782750573285,-0.0694224184078607,-0.0410526144672251,-0.0456422828706481,-0.197333026503552,-0.123102962658995,-0.0621568820149845,0.0069294351606368,-0.182715031997042,-0.112540075963195,-0.0239302386501627,-0.0309300449269908,-0.0379108361030632,-0.0953223831888192,-0.0028716513524346,-0.108168115260678,-0.017598554539356,-0.140148039592111,-0.179619661776799,-0.0684366390919563,-0.102813656912005,-0.0949465535173902,-0.17767789417975,-0.080920002962679,-0.155214846446115,-0.0883338641016326,-0.0502105192697809,-0.0856255035144314,-0.092350801206099,-0.169486702968385,0.125201768024505,-0.0813766843455883,-0.0049427984279254,-0.0125032429967537,-0.0779462376170129,0.033673561273489,0.114047773290438,-0.108283973889873,0.0846533240898783,-0.109265925924347,-0.137056825504958,-0.0473465905195593,-0.0945066519991988,-0.0485561504895855,-0.189356476649467,0.231752493653429,-0.155030740844662,-0.292087361396608,-0.0947356731186509,-0.0373547543363834,-0.15937853827173,-0.0011159470190177,-0.21703200628881
stable,0.0056579463856441,0.0293603548255068,0.0651845168238766,0.279156861038037,-0.0141607164487572,-0.0282955154422278,-0.133754870653451,0.15207674591848,0.12792142301027,-0.0054483305445993,-0.0188972869725717,0.0123174772738786,-0.0992072126355383,0.132367234414307,0.120615255518644,0.13335422252837,0.113483193031493,0.0715858534470554,-0.290842318811662,-0.101239153444055,0.195583159545117,-0.281048266101473,0.0631854357989441,-0.0578155142159285,-0.2316555683919,0.0458123450551082,0.0961444945610651,-0.258958604680199,-0.0283158083275532,0.0270596844136705,-0.0118508153347201,0.0113757252577645,0.102122687996363,-0.157336096115921,0.198017406349859,-0.0884729224073061,-0.169201808131993,0.18206834205236,-0.0460862234786202,0.0420515227887522,-0.253227042777075,-0.253031792253686,0.039941738492012,-0.185662118481583,0.124920106155228,-0.0759907631240352,0.285532055371371,-0.137605539658148,0.0483807762009415,-0.22191272450538,0.192562274206681,0.164644143385136,0.0620374831623039,-0.286365497189353,0.0306905253290856,-0.0243917710489494,-0.0784687299757617,0.0205995252482177,0.0044655428882179,-0.22524117210667
