group,CD137L,CD56,CD19,CD16,Podoplanin,CD195,CD32,CD185,CD152,CD223,CD107a,CD314,CD66b,CD58,CD39,IgA,CD254,CD2,CD49b,IgG-Fc,CD71,B7-H4,CD193,CD144,CD49d,CD73,TCR-Vd2,TCR-Va24-Jz18,CD307e,CLEC12A,CD94,CD82,CD101,CD88,CD224
progressive,-0.313301782896835,0.141908792864896,-0.0519956816080277,0.335304893113167,-0.0786498119457848,-0.156248480308407,-0.161081971943448,-0.170728332964612,-0.25978728772064,-0.217837723861842,0.0940776990901068,-0.179170435432197,0.287175776900769,-0.149267963103979,-0.0606863653046681,-0.111707914428394,-0.124311105971546,-0.134425224586823,0.0144155627837424,0.0978941710095128,0.217998585915946,-0.137380781481153,-0.150493719245463,-0.307301910100507,-0.182833576119023,-0.221229179682169,-0.462033508084515,-0.369887260606391,-0.14457055780524,0.164133200413292,-0.0156916610831751,0.162414169805436,-0.224622929943448,-0.0783503750025088,-0.0244317923138945
progressive,-0.10568136737243,0.0830601891385701,0.429913421712575,-0.114062935016333,0.0619423404682408,0.141962732561177,-0.0732355720555514,-0.104891829780254,0.060617164459439,-0.0406423266403131,0.0089370305181729,0.131392904975646,-0.128943809670021,-0.039030379616474,0.285767591211927,-0.0887418199869677,-0.0495625519861022,0.119600818075742,0.001373605763198,-0.0765644654733424,0.462261421447719,0.0243629145249619,-0.0407169617068831,-0.18261778519136,0.393669377332337,0.0940401055110519,-0.0471295863309881,-0.0177215601005487,0.0938944621329776,-0.0792073735377488,-0.0254616437239387,0.124435249324908,-0.0065275821555048,-0.164804251563739,-0.0544877410445283
progressive,-0.15259086474768,-0.182632883835159,0.207392275303922,-0.245441405906832,-0.20810486043509,-0.141417224579415,0.153807528529044,-0.189378705490982,-0.221195757624886,-0.184994288168063,-0.146215719313106,-0.228775303960195,-0.212218925404963,-0.175519905630858,0.0296131407856424,-0.138562586959689,-0.231519501099009,-0.114991358873588,-0.114419348558667,-0.207541865529726,-0.0108902838451645,-0.18656215151597,-0.155405314770843,-0.245575561059472,-0.133287458625798,-0.173457287634646,-0.141250230050847,-0.12733019953413,-0.0875500255006855,-0.160162312158945,-0.12117703042729,-0.0453798778662378,-0.134062443072546,-0.288662993726132,-0.140590658227043
progressive,-0.425033454703677,-0.085694209764387,0.0494962913701603,-0.517399871778326,-0.404162299324676,-0.531432677090499,-0.12530094187525,-0.456233658422409,-0.418841893637355,-0.409487947229142,-0.487308532212162,-0.404146917436159,-0.546021683213178,-0.446135385432694,-0.126440823043367,-0.504269836884169,-0.456675815084047,-0.130649900584782,-0.456027447299736,-0.288351457325992,-0.124137563006597,-0.404628371706318,-0.418615311491355,-0.448542394076102,-0.487224683372135,-0.564151796486405,-0.403930430716777,-0.4084265670562,-0.0162391372565911,-0.45140556137742,-0.406344241335061,-0.404082868592505,-0.416512158509734,-0.41479079758868,-0.440757904347113
progressive,-0.0637502013028655,-0.482658060905268,0.226363757498416,-0.0659298884626885,-0.0730585914647295,0.206339301173642,-0.0122578529805324,-0.0974018822657276,0.135683059167058,-0.170844639258221,0.287313773601984,0.0482330710703742,0.25381541805182,0.0648455369126654,0.104422557583697,0.0660161693040368,0.100572310587881,0.455602625817231,-0.104157450763134,0.11341937150735,0.343679981715388,0.0421837505699267,-0.18057260151774,0.0376656437049593,0.14208339816377,-0.0273032797879235,-0.0416393186343925,0.142977549023987,-0.135379772014822,0.214192567433708,0.145442023116334,0.231872628928465,0.236925252777226,-0.0643606389539119,0.160922879023932
stable,-0.094075965865076,-0.0456459572230089,-0.0887715329290622,0.0089606733661447,-0.18121663769898,-0.109056192467239,-0.271162554977434,-0.270103457998673,-0.158818307845291,-0.245887956266983,-0.0973973654880341,-0.111864238032337,0.0402476324271868,-0.251175862957796,-0.033091857697382,-0.102569198987533,-0.0443256599882317,-0.190412580396809,-0.196189955131352,-0.137693861074652,0.213519250098812,-0.198658065240816,-0.141548703732924,-0.195265881900069,-0.19657014249777,-0.185060900530422,-0.0291396007759373,-0.141039522977569,-0.127877587110633,-0.130524812730791,-0.120978709878033,-0.156397936923167,-0.18883633542954,-0.201656546665603,-0.189070952243013
stable,0.20633176773842,0.190295536429942,0.195157291480902,0.294619675588464,0.171349666067673,0.442144045547065,0.0902198710316643,0.244617347981515,0.152176402466511,0.0652340927417775,0.25413884842569,0.327522273331839,0.283956345636188,0.239978964338078,0.133475771743586,0.288666075932008,0.235491457420556,-0.0196749332372365,0.309923686787647,0.470842922576667,0.209494080016037,0.271295955048321,0.36051298236233,0.176977528384177,0.0050736469002224,0.134723370678549,0.0989174667422548,0.119954636342404,0.46607439462916,0.314494445328739,0.166671313201586,0.197707700290317,0.254426723569956,0.243682173564809,0.320120636288414
stable,-0.131593009841669,-0.0033616504913393,-0.120100104072567,0.0542564296814948,-0.0823105085342792,0.0693626714112668,0.0656266723533166,-0.126676146325517,-0.0315716640250664,-0.017103589225794,0.0068027370223058,0.102219341973493,-0.0512046957501987,-0.0482870159934452,-0.0600895028009002,-0.176734283911558,-0.0112659948517072,-0.0870810220609693,-0.156224846323184,0.21353063726008,-0.0285855632954967,-0.0562733115719384,-0.0919124319511572,-0.141899177422294,-0.187052475485681,0.0862319154940104,-0.0131688192672885,-0.150640648434309,-0.123130612397652,-0.113691669681088,-0.108886970730544,-0.178129303568626,-0.0862362529715421,0.026228598536587,-0.155597015500715
stable,-0.14090722834332,-0.109620947506108,-0.0685289248928019,-0.150641107112356,-0.224145972208506,0.0118275152616163,-0.0454249536809094,-0.335269865874924,-0.0836303570205567,-0.241819751369637,-0.231325885378613,-0.184414546205878,-0.150226371110492,-0.181415930213705,-0.208048568102396,-0.200537979514077,-0.101930242970679,-0.131203717583325,-0.108867393261402,-0.06250033826524,0.110723154773795,-0.106899168648485,-0.284416732275592,-0.226079314466516,-0.125632211407938,-0.375384454053319,-0.0028142054438674,-0.126063514444614,-0.0513582836553837,-0.2562370281923,-0.116766074463002,-0.17923923395312,-0.219252400120382,-0.245247459361636,-0.166869619784869
stable,-0.0799750010242852,-0.200810497800812,-0.0751445316681119,-0.055254750478857,-0.0644643321285104,0.106278228964549,-0.0904485276119483,-0.133996573499098,-0.171665436962359,-0.347296288207161,-0.110960289945597,-0.0597625793162727,-0.127140187718631,0.0928909753300239,-0.490024678813797,-0.288588443731935,-0.124158052339071,0.0106302553844572,-0.0177116983009141,-0.0829450260531614,-0.0884145631441641,-0.154242067304431,0.176045990268587,-0.485976064474119,0.28165470611606,0.0464463848402008,0.129467975743549,-0.261895970053606,0.009109462901425,0.148149131654729,-0.203542376994537,0.274820362826438,-0.225148741781035,-0.281511094278254,-0.0671022180243825
